tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,756996,1244832,1.64,1359626,1.80,2540733,3.36,0,0.00,0,0.00,720,0.00
2,7823,17986,2.30,16846,2.15,47160,6.03,3540,0.45,60,0.01,0,0.00
3,757324,1076002,1.42,956132,1.26,9114675,12.04,203192,0.27,529,0.00,2040,0.00
4,11057,33077,2.99,21017,1.90,210948,19.08,240,0.02,0,0.00,180,0.02
5,64160,137352,2.14,125144,1.95,2061487,32.13,198180,3.09,4225,0.07,0,0.00
6,3300,13080,3.96,11640,3.53,72900,22.09,9120,2.76,120,0.04,0,0.00
7,23401,143642,6.14,48601,2.08,1312532,56.09,403025,17.22,2160,0.09,0,0.00
8,2880,13200,4.58,12840,4.46,106226,36.88,2276,0.79,134,0.05,240,0.08
9,15480,65520,4.23,33780,2.18,897435,57.97,383340,24.76,850,0.05,0,0.00
10,2594,16740,6.45,13904,5.36,110296,42.52,17298,6.67,0,0.00,360,0.14
11,12858,33308,2.59,46698,3.63,1592886,123.88,508688,39.56,2640,0.21,0,0.00
12,1802,16564,9.19,13264,7.36,98422,54.62,29474,16.36,0,0.00,0,0.00
13,3733,26907,7.21,16955,4.54,394100,105.57,118116,31.64,2104,0.56,0,0.00
14,960,11940,12.44,12000,12.50,63840,66.50,720,0.75,0,0.00,0,0.00
15,2460,21540,8.76,10920,4.44,234596,95.36,137640,55.95,2401,0.98,0,0.00
16,1320,15780,11.95,15960,12.09,112800,85.45,4980,3.77,0,0.00,0,0.00
17,5672,25776,4.54,13384,2.36,457602,80.68,189447,33.40,49682,8.76,3420,0.60
18,212,2076,9.79,1384,6.53,55556,262.06,8644,40.77,4,0.02,0,0.00
19,4162,30130,7.24,14766,3.55,1013570,243.53,319183,76.69,1556,0.37,300,0.07
20,328,3112,9.49,2156,6.57,53462,162.99,8199,25.00,722,2.20,240,0.73
21,1228,15592,12.70,6716,5.47,209414,170.53,173440,141.24,1128,0.92,0,0.00
22,300,1680,5.60,1680,5.60,42480,141.60,2400,8.00,0,0.00,0,0.00
23,3091,61844,20.01,49076,15.88,578787,187.25,270684,87.57,0,0.00,0,0.00
24,1988,11120,5.59,4764,2.40,867104,436.17,128476,64.63,0,0.00,0,0.00
25,1440,20880,14.50,7980,5.54,253558,176.08,343517,238.55,1322,0.92,120,0.08
26,660,5460,8.27,1380,2.09,628440,952.18,60660,91.91,0,0.00,0,0.00
27,3660,35640,9.74,14940,4.08,1694874,463.08,548309,149.81,3,0.00,0,0.00
28,122,1816,14.89,728,5.97,39694,325.36,38318,314.08,1502,12.31,0,0.00
29,2040,34260,16.79,7200,3.53,3231540,1584.09,682920,334.76,0,0.00,0,0.00
30,240,1380,5.75,660,2.75,227400,947.50,24120,100.50,0,0.00,360,1.50
31,1200,15600,13.00,2220,1.85,480408,400.34,351925,293.27,3964,3.30,0,0.00
32,540,15960,29.56,180,0.33,8828460,16349.00,1608780,2979.22,12600,23.33,420,0.78
33,1460,21240,14.55,9180,6.29,844034,578.11,362736,248.45,7350,5.03,0,0.00
34,200,2620,13.10,740,3.70,93585,467.93,31485,157.43,1937,9.69,0,0.00
35,420,5460,13.00,1620,3.86,167132,397.93,165075,393.04,3209,7.64,60,0.14
36,300,6120,20.40,4800,16.00,100050,333.50,37455,124.85,2430,8.10,0,0.00
37,960,18780,19.56,10680,11.12,584220,608.56,326302,339.90,962,1.00,0,0.00
38,60,1020,17.00,60,1.00,24240,404.00,32640,544.00,0,0.00,0,0.00
39,360,4740,13.17,2040,5.67,269518,748.66,98819,274.50,2102,5.84,0,0.00
40,420,3780,9.00,420,1.00,290925,692.68,60015,142.89,1527,3.64,0,0.00
41,420,7740,18.43,3180,7.57,390480,929.71,149760,356.57,0,0.00,0,0.00
42,4500,7140,1.59,8880,1.97,804540,178.79,99480,22.11,720,0.16,120,0.03
43,2760,39120,14.17,16560,6.00,2357742,854.25,628587,227.75,2820,1.02,0,0.00
44,240,6600,27.50,5400,22.50,102840,428.50,49680,207.00,0,0.00,0,0.00
45,600,12480,20.80,6480,10.80,407348,678.91,327916,546.53,6239,10.40,180,0.30
46,60,1260,21.00,60,1.00,29040,484.00,29718,495.30,720,12.00,0,0.00
47,1560,24060,15.42,9540,6.12,1505400,965.00,330338,211.76,6301,4.04,0,0.00
48,180,3240,18.00,240,1.33,97138,539.66,38151,211.95,4442,24.68,120,0.67
49,420,8400,20.00,2880,6.86,321178,764.71,264303,629.29,3242,7.72,60,0.14
50,60,1380,23.00,60,1.00,32520,542.00,60720,1012.00,0,0.00,0,0.00
51,360,11940,33.17,8220,22.83,433078,1202.99,181373,503.81,542,1.51,0,0.00
52,360,6240,17.33,2400,6.67,254518,706.99,233223,647.84,482,1.34,240,0.67
53,540,11160,20.67,4920,9.11,592620,1097.44,290520,538.00,0,0.00,0,0.00
54,420,1020,2.43,420,1.00,1124340,2677.00,777060,1850.14,13500,32.14,0,0.00
55,60,780,13.00,180,3.00,104880,1748.00,25500,425.00,0,0.00,0,0.00
56,120,6720,56.00,6720,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,840,23280,27.71,17280,20.57,653760,778.29,114840,136.71,3120,3.71,120,0.14
58,120,480,4.00,240,2.00,58440,487.00,3720,31.00,0,0.00,120,1.00
59,60,660,11.00,120,2.00,74340,1239.00,13080,218.00,1800,30.00,0,0.00
60,660,1980,3.00,660,1.00,607766,920.86,120120,182.00,34,0.05,0,0.00
62,180,7800,43.33,7560,42.00,40620,225.67,3480,19.33,0,0.00,60,0.33
63,1080,19680,18.22,7920,7.33,1286160,1190.89,489480,453.22,0,0.00,120,0.11
65,240,1920,8.00,960,4.00,151680,632.00,5400,22.50,3720,15.50,120,0.50
66,60,480,8.00,180,3.00,120652,2010.87,10200,170.00,2,0.03,0,0.00
67,300,6600,22.00,2040,6.80,398760,1329.20,242760,809.20,0,0.00,0,0.00
68,60,180,3.00,60,1.00,74040,1234.00,13140,219.00,0,0.00,0,0.00
69,240,6360,26.50,5760,24.00,141360,589.00,8760,36.50,0,0.00,120,0.50
