tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,108193,180955,1.67,193610,1.79,343385,3.17,0,0.00,0,0.00,180,0.00
2,1398,3018,2.16,2850,2.04,7626,5.45,562,0.40,8,0.01,0,0.00
3,104635,150018,1.43,132043,1.26,1263704,12.08,29595,0.28,72,0.00,273,0.00
4,1859,5288,2.84,3295,1.77,36113,19.43,184,0.10,1,0.00,48,0.03
5,9696,20833,2.15,18680,1.93,310920,32.07,31252,3.22,740,0.08,0,0.00
6,609,1942,3.19,1701,2.79,18751,30.79,1704,2.80,16,0.03,0,0.00
7,3361,20444,6.08,7526,2.24,179253,53.33,54821,16.31,322,0.10,0,0.00
8,507,1963,3.87,1811,3.57,25497,50.29,1271,2.51,0,0.00,32,0.06
9,2556,11290,4.42,5420,2.12,154107,60.29,62517,24.46,280,0.11,0,0.00
10,353,1754,4.97,1340,3.80,22768,64.50,2906,8.23,58,0.16,80,0.23
11,1873,5525,2.95,6836,3.65,233364,124.59,64545,34.46,469,0.25,0,0.00
12,329,2720,8.27,2125,6.46,20882,63.47,5638,17.14,0,0.00,0,0.00
13,474,3208,6.77,1983,4.18,56549,119.30,14016,29.57,256,0.54,13,0.03
14,179,1727,9.65,1714,9.58,16492,92.13,344,1.92,140,0.78,8,0.04
15,492,4294,8.73,2564,5.21,41392,84.13,23908,48.59,192,0.39,29,0.06
16,314,2975,9.47,2810,8.95,42052,133.92,1572,5.01,120,0.38,8,0.03
17,778,3581,4.60,1919,2.47,74666,95.97,24669,31.71,6448,8.29,456,0.59
18,63,349,5.54,238,3.78,16328,259.17,1278,20.29,136,2.16,8,0.13
19,578,4096,7.09,2000,3.46,138507,239.63,42743,73.95,158,0.27,58,0.10
20,64,441,6.89,305,4.77,10665,166.64,1406,21.97,16,0.25,32,0.50
21,173,2176,12.58,942,5.45,34810,201.21,25327,146.40,51,0.29,0,0.00
22,96,312,3.25,312,3.25,17728,184.67,1456,15.17,24,0.25,8,0.08
23,552,9208,16.68,6984,12.65,127058,230.18,43468,78.75,204,0.37,0,0.00
24,274,1483,5.41,639,2.33,117616,429.26,17563,64.10,0,0.00,0,0.00
25,204,2736,13.41,1249,6.12,67220,329.51,38532,188.88,598,2.93,99,0.49
26,97,754,7.77,209,2.15,86628,893.07,8320,85.77,160,1.65,0,0.00
27,475,4647,9.78,1867,3.93,211975,446.26,73668,155.09,321,0.68,0,0.00
28,27,251,9.30,107,3.96,11212,415.26,4328,160.30,166,6.15,6,0.22
29,314,5092,16.22,1026,3.27,441576,1406.29,103406,329.32,200,0.64,0,0.00
30,40,232,5.80,96,2.40,29795,744.88,3528,88.20,213,5.33,48,1.20
31,210,2567,12.22,330,1.57,72782,346.58,61117,291.03,428,2.04,0,0.00
32,89,2265,25.45,81,0.91,1191323,13385.65,218270,2452.47,1688,18.97,57,0.64
33,164,2620,15.98,1078,6.57,90501,551.84,49359,300.97,582,3.55,4,0.02
34,27,340,12.59,96,3.56,12330,456.67,4701,174.11,140,5.19,4,0.15
35,57,698,12.25,201,3.53,18635,326.93,18704,328.14,640,11.23,28,0.49
36,44,857,19.48,656,14.91,15306,347.86,4476,101.73,280,6.36,6,0.14
37,106,1887,17.80,806,7.60,72424,683.25,42846,404.21,80,0.75,4,0.04
38,27,768,28.44,619,22.93,4513,167.15,4570,169.26,0,0.00,5,0.19
39,57,651,11.42,286,5.02,38241,670.89,14234,249.72,232,4.07,8,0.14
40,65,567,8.72,65,1.00,45930,706.62,9293,142.97,110,1.69,2,0.03
41,56,1032,18.43,424,7.57,51272,915.57,19944,356.14,184,3.29,0,0.00
42,600,952,1.59,1184,1.97,107272,178.79,13264,22.11,96,0.16,16,0.03
43,336,4736,14.10,2000,5.95,284136,845.64,79888,237.76,304,0.90,0,0.00
44,32,880,27.50,720,22.50,13712,428.50,6624,207.00,0,0.00,0,0.00
45,128,2368,18.50,1160,9.06,110204,860.97,54368,424.75,976,7.62,24,0.19
46,24,288,12.00,64,2.67,11136,464.00,8440,351.67,16,0.67,24,1.00
47,216,3424,15.85,1360,6.30,202736,938.59,44226,204.75,1293,5.99,0,0.00
48,32,536,16.75,64,2.00,21760,680.00,5454,170.44,528,16.50,16,0.50
49,74,1404,18.97,420,5.68,63017,851.58,36938,499.16,985,13.31,24,0.32
50,24,424,17.67,24,1.00,21216,884.00,12241,510.04,383,15.96,0,0.00
51,40,1520,38.00,1072,26.80,50248,1256.20,22742,568.55,46,1.15,0,0.00
52,58,842,14.52,340,5.86,37826,652.17,31826,548.72,44,0.76,82,1.41
53,40,944,23.60,432,10.80,44968,1124.20,27408,685.20,0,0.00,0,0.00
54,56,136,2.43,56,1.00,144952,2588.43,186394,3328.46,1800,32.14,0,0.00
55,40,696,17.40,152,3.80,60544,1513.60,10504,262.60,200,5.00,0,0.00
56,18,898,49.89,900,50.00,1680,93.33,56,3.11,0,0.00,10,0.56
57,98,2834,28.92,2194,22.39,67592,689.71,14118,144.06,392,4.00,28,0.29
58,16,64,4.00,32,2.00,7792,487.00,496,31.00,0,0.00,16,1.00
59,16,152,9.50,24,1.50,17926,1120.38,2856,178.50,522,32.62,0,0.00
60,112,312,2.79,112,1.00,96106,858.09,18928,169.00,166,1.48,8,0.07
61,16,976,61.00,976,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,8,48,6.00,16,2.00,5416,677.00,464,58.00,0,0.00,8,1.00
63,112,1984,17.71,800,7.14,130624,1166.29,49072,438.14,0,0.00,16,0.14
65,48,416,8.67,192,4.00,36792,766.50,3744,78.00,848,17.67,16,0.33
66,8,64,8.00,24,3.00,16088,2011.00,1360,170.00,0,0.00,0,0.00
67,25,550,22.00,152,6.08,32873,1314.92,23773,950.92,0,0.00,0,0.00
68,16,144,9.00,24,1.50,16088,1005.50,2952,184.50,0,0.00,0,0.00
69,32,848,26.50,768,24.00,18848,589.00,1168,36.50,0,0.00,16,0.50
70,8,200,25.00,120,15.00,11120,1390.00,720,90.00,0,0.00,0,0.00
72,25,146,5.84,17,0.68,41420,1656.80,5540,221.60,512,20.48,7,0.28
73,240,5632,23.47,1920,8.00,340592,1419.13,184800,770.00,1104,4.60,16,0.07
74,3,3,1.00,12,4.00,5937,1979.00,321,107.00,0,0.00,33,11.00
75,35,1781,50.89,700,20.00,126685,3619.57,110607,3160.20,0,0.00,10,0.29
76,8,112,14.00,8,1.00,27648,3456.00,2880,360.00,0,0.00,0,0.00
