tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,302368,497896,1.65,543496,1.80,1009774,3.34,0,0.00,0,0.00,288,0.00
2,3456,7848,2.27,7392,2.14,18576,5.38,1416,0.41,24,0.01,0,0.00
3,304096,432760,1.42,383200,1.26,3662526,12.04,82776,0.27,146,0.00,816,0.00
4,4410,13650,3.10,8106,1.84,88482,20.06,96,0.02,0,0.00,72,0.02
5,25848,55104,2.13,50040,1.94,830112,32.12,80992,3.13,1632,0.06,0,0.00
6,1368,5472,4.00,4944,3.61,29160,21.32,3648,2.67,48,0.04,0,0.00
7,8928,55296,6.19,18576,2.08,499800,55.98,156864,17.57,672,0.08,0,0.00
8,1056,4560,4.32,4368,4.14,42552,40.30,912,0.86,0,0.00,96,0.09
9,6144,25824,4.20,13080,2.13,359040,58.44,153072,24.91,336,0.05,0,0.00
10,888,5280,5.95,4104,4.62,43536,49.03,6816,7.68,0,0.00,144,0.16
11,5184,14040,2.71,19680,3.80,633648,122.23,183888,35.47,1200,0.23,0,0.00
12,816,7680,9.41,6456,7.91,39240,48.09,11784,14.44,0,0.00,0,0.00
13,1400,9184,6.56,5160,3.69,174712,124.79,45152,32.25,960,0.69,0,0.00
14,384,4728,12.31,4800,12.50,25536,66.50,288,0.75,0,0.00,0,0.00
15,1080,10296,9.53,6480,6.00,90716,84.00,54480,50.44,1,0.00,0,0.00
16,576,7080,12.29,7152,12.42,45072,78.25,1992,3.46,24,0.04,0,0.00
17,2175,9549,4.39,5262,2.42,174484,80.22,69341,31.88,19442,8.94,1368,0.63
18,87,837,9.62,558,6.41,23088,265.38,3462,39.79,0,0.00,0,0.00
19,1608,11592,7.21,5832,3.63,396550,246.61,121206,75.38,458,0.28,120,0.07
20,129,1236,9.58,858,6.65,20365,157.87,3278,25.41,290,2.25,96,0.74
21,441,5268,11.95,2154,4.88,62214,141.07,58575,132.82,168,0.38,0,0.00
22,120,672,5.60,672,5.60,16992,141.60,960,8.00,0,0.00,0,0.00
23,1704,29448,17.28,21600,12.68,405720,238.10,166464,97.69,0,0.00,0,0.00
24,792,4416,5.58,1896,2.39,344736,435.27,51048,64.45,0,0.00,0,0.00
25,480,7200,15.00,3096,6.45,86254,179.70,109757,228.66,866,1.80,48,0.10
26,264,2184,8.27,552,2.09,251376,952.18,24264,91.91,0,0.00,0,0.00
27,1368,13296,9.72,5592,4.09,628842,459.68,202997,148.39,891,0.65,0,0.00
28,48,720,15.00,288,6.00,15550,323.96,15220,317.08,602,12.54,0,0.00
29,912,15048,16.50,2976,3.26,1309272,1435.61,304224,333.58,552,0.61,0,0.00
30,96,552,5.75,264,2.75,86640,902.50,9648,100.50,0,0.00,144,1.50
31,480,6240,13.00,888,1.85,192738,401.54,143380,298.71,1012,2.11,0,0.00
32,216,6768,31.33,72,0.33,3630840,16809.44,654360,3029.44,5040,23.33,168,0.78
33,480,6648,13.85,2400,5.00,243988,508.31,117811,245.44,1653,3.44,0,0.00
34,72,984,13.67,264,3.67,32492,451.28,11728,162.89,772,10.72,0,0.00
35,216,3816,17.67,1512,7.00,102776,475.81,111759,517.40,1889,8.75,24,0.11
36,120,2448,20.40,1920,16.00,39886,332.38,14975,124.79,1010,8.42,0,0.00
37,288,5112,17.75,2256,7.83,198696,689.92,113878,395.41,1034,3.59,0,0.00
38,72,2232,31.00,1848,25.67,9696,134.67,13056,181.33,0,0.00,0,0.00
39,144,1896,13.17,816,5.67,107806,748.65,39527,274.49,842,5.85,0,0.00
40,168,1512,9.00,168,1.00,117070,696.85,24095,143.42,386,2.30,0,0.00
41,120,2328,19.40,936,7.80,104112,867.60,57744,481.20,0,0.00,0,0.00
42,1800,2856,1.59,3552,1.97,321816,178.79,39792,22.11,288,0.16,48,0.03
43,1056,14976,14.18,6336,6.00,903504,855.59,240552,227.80,888,0.84,0,0.00
44,96,2640,27.50,2160,22.50,41136,428.50,19872,207.00,0,0.00,0,0.00
45,336,6528,19.43,3264,9.71,269588,802.35,135496,403.26,2498,7.43,72,0.21
46,24,504,21.00,24,1.00,11616,484.00,11952,498.00,288,12.00,0,0.00
47,672,10392,15.46,4104,6.11,649800,966.96,143666,213.79,2329,3.47,0,0.00
48,72,1224,17.00,96,1.33,36926,512.86,14991,208.21,1786,24.81,48,0.67
49,120,2592,21.60,816,6.80,73894,615.78,103527,862.73,1298,10.82,24,0.20
50,72,2952,41.00,2424,33.67,13008,180.67,24288,337.33,0,0.00,0,0.00
51,96,2328,24.25,840,8.75,173230,1804.48,72473,754.93,218,2.27,0,0.00
52,144,2496,17.33,960,6.67,101806,706.99,93255,647.60,194,1.35,96,0.67
53,72,2064,28.67,960,13.33,79368,1102.33,80064,1112.00,0,0.00,0,0.00
54,168,408,2.43,168,1.00,358200,2132.14,535992,3190.43,5400,32.14,0,0.00
55,120,1896,15.80,744,6.20,156144,1301.20,14712,122.60,1200,10.00,0,0.00
56,96,5376,56.00,5376,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,288,6672,23.17,4176,14.50,252984,878.42,63192,219.42,936,3.25,48,0.17
58,48,192,4.00,96,2.00,23376,487.00,1488,31.00,0,0.00,48,1.00
59,24,264,11.00,48,2.00,29736,1239.00,5232,218.00,720,30.00,0,0.00
