tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,4997128,10468339,2.09,10221348,2.05,12565224,2.51,0,0.00,0,0.00,6842,0.00
2,57894,112298,1.94,109126,1.88,298596,5.16,27238,0.47,0,0.00,0,0.00
3,3796460,5629904,1.48,4795847,1.26,46083974,12.14,1264128,0.33,2384,0.00,10436,0.00
4,71745,197145,2.75,150323,2.10,1470205,20.49,7534,0.11,622,0.01,1740,0.02
5,624641,1426156,2.28,1121787,1.80,19742030,31.61,6398005,10.24,30484,0.05,0,0.00
6,21834,72704,3.33,63992,2.93,616075,28.22,63622,2.91,585,0.03,0,0.00
7,124974,735236,5.88,272242,2.18,6751578,54.02,2055006,16.44,10972,0.09,0,0.00
8,17672,63592,3.60,58390,3.30,982791,55.61,41480,2.35,200,0.01,872,0.05
9,90961,375570,4.13,196439,2.16,5372539,59.06,2144218,23.57,8402,0.09,0,0.00
10,13458,63384,4.71,48026,3.57,795892,59.14,113061,8.40,4692,0.35,2036,0.15
11,70126,191460,2.73,253364,3.61,8501796,121.24,3357374,47.88,17606,0.25,288,0.00
12,11233,78653,7.00,55002,4.90,905449,80.61,202752,18.05,2103,0.19,288,0.03
13,18401,125328,6.81,78935,4.29,2125161,115.49,524311,28.49,12216,0.66,0,0.00
14,6108,59688,9.77,56828,9.30,615560,100.78,20492,3.35,5129,0.84,290,0.05
15,19543,178006,9.11,118695,6.07,1538392,78.72,831726,42.56,3557,0.18,1332,0.07
16,10179,87451,8.59,85138,8.36,1515308,148.87,55968,5.50,1738,0.17,290,0.03
17,27832,121465,4.36,68387,2.46,2638904,94.82,835043,30.00,239250,8.60,16866,0.61
18,2217,12451,5.62,8494,3.83,560396,252.77,44286,19.98,8566,3.86,290,0.13
19,20682,147474,7.13,71854,3.47,5020000,242.72,1590758,76.92,2030,0.10,1450,0.07
20,3119,20394,6.54,15306,4.91,658635,211.17,69669,22.34,290,0.09,2072,0.66
21,8533,89396,10.48,37046,4.34,1795189,210.38,1092557,128.04,8160,0.96,0,0.00
22,3480,11310,3.25,11310,3.25,642745,184.70,52779,15.17,857,0.25,290,0.08
23,18511,316851,17.12,250225,13.52,4326103,233.70,1207467,65.23,4116,0.22,0,0.00
