tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,12451449,20610316,1.66,22434155,1.80,41292069,3.32,0,0.00,0,0.00,11824,0.00
2,127939,294149,2.30,275456,2.15,773426,6.05,58067,0.45,983,0.01,0,0.00
3,12389598,17616880,1.42,15660179,1.26,149107002,12.03,3324184,0.27,7859,0.00,32448,0.00
4,179271,536220,2.99,336746,1.88,3457799,19.29,4011,0.02,0,0.00,2961,0.02
5,1067434,2286607,2.14,2074836,1.94,34253162,32.09,3155102,2.96,67447,0.06,0,0.00
6,54182,214490,3.96,190880,3.52,1199208,22.13,149624,2.76,1966,0.04,0,0.00
7,378640,2326415,6.14,777933,2.05,21255936,56.14,6601988,17.44,29063,0.08,0,0.00
8,48228,216469,4.49,212492,4.41,1778786,36.88,37668,0.78,41,0.00,3931,0.08
9,256808,1095912,4.27,573491,2.23,14777587,57.54,6302418,24.54,13746,0.05,0,0.00
10,42604,274690,6.45,228110,5.35,1818459,42.68,285255,6.70,36,0.00,5911,0.14
11,210771,545917,2.59,765273,3.63,26107975,123.87,7956917,37.75,43264,0.21,9,0.00
12,29583,271589,9.18,217431,7.35,1619796,54.75,483756,16.35,4,0.00,1,0.00
13,62677,431751,6.89,262663,4.19,7074214,112.87,1989971,31.75,35418,0.57,0,0.00
14,21647,274308,12.67,279205,12.90,1049513,48.48,11885,0.55,58,0.00,4,0.00
15,40327,352986,8.75,178947,4.44,3857672,95.66,2294816,56.91,27524,0.68,4,0.00
16,17753,199803,11.25,198757,11.20,1861395,104.85,82026,4.62,28,0.00,4,0.00
17,91067,406898,4.47,217549,2.39,7355447,80.77,3048541,33.48,791086,8.69,56032,0.62
18,3566,34274,9.61,22852,6.41,944179,264.77,141831,39.77,142,0.04,4,0.00
19,70208,511496,7.29,244030,3.48,16862085,240.17,5532712,78.80,17314,0.25,4915,0.07
20,5308,50701,9.55,35190,6.63,847671,159.70,135547,25.54,6652,1.25,3934,0.74
21,20057,255190,12.72,109905,5.48,3415573,170.29,3076596,153.39,3321,0.17,0,0.00
22,4975,27648,5.56,27616,5.55,709916,142.70,40512,8.14,12,0.00,4,0.00
23,50308,1010432,20.08,802620,15.95,9326148,185.38,4409033,87.64,10078,0.20,0,0.00
