tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,100887,191441,1.90,167544,1.66,209436,2.08,0,0.00,0,0.00,74,0.00
2,1467,4785,3.26,3324,2.27,5324,3.63,317,0.22,5,0.00,324,0.22
3,85769,122591,1.43,104532,1.22,1010680,11.78,23883,0.28,54,0.00,167,0.00
4,11495,16998,1.48,15770,1.37,178895,15.56,62,0.01,1,0.00,21,0.00
5,6481,14674,2.26,12736,1.97,209113,32.27,19792,3.05,382,0.06,0,0.00
6,464,1976,4.26,1324,2.85,12156,26.20,967,2.08,11,0.02,0,0.00
7,2934,17612,6.00,7270,2.48,171528,58.46,45293,15.44,181,0.06,0,0.00
8,486,2748,5.65,1928,3.97,28700,59.05,3850,7.92,16,0.03,20,0.04
9,2770,10739,3.88,5068,1.83,158384,57.18,56693,20.47,164,0.06,0,0.00
10,204,1154,5.66,903,4.43,11052,54.18,1575,7.72,15,0.07,38,0.19
11,2024,12050,5.95,9197,4.54,311383,153.85,82511,40.77,290,0.14,0,0.00
12,230,2019,8.78,1517,6.60,15070,65.52,4087,17.77,0,0.00,0,0.00
13,585,3724,6.37,2634,4.50,99832,170.65,19156,32.75,134,0.23,0,0.00
14,121,1097,9.07,1078,8.91,9770,80.74,300,2.48,38,0.31,2,0.02
15,341,2758,8.09,1583,4.64,35651,104.55,16459,48.27,21,0.06,120,0.35
16,164,1635,9.97,1614,9.84,17118,104.38,717,4.37,56,0.34,2,0.01
17,879,4872,5.54,2213,2.52,148435,168.87,31140,35.43,4098,4.66,285,0.32
18,184,2081,11.31,446,2.42,65060,353.59,11021,59.90,36,0.20,2,0.01
19,354,2466,6.97,1242,3.51,85699,242.09,25595,72.30,152,0.43,109,0.31
20,161,1454,9.03,991,6.16,53486,332.21,7294,45.30,352,2.19,20,0.12
21,108,1220,11.30,490,4.54,17741,164.27,12873,119.19,59,0.55,0,0.00
22,167,1314,7.87,290,1.74,71190,426.29,7012,41.99,412,2.47,2,0.01
23,351,6028,17.17,4524,12.89,87093,248.13,32139,91.56,38,0.11,0,0.00
24,167,920,5.51,395,2.37,72378,433.40,10767,64.47,0,0.00,0,0.00
25,153,1834,11.99,740,4.84,32382,211.65,27320,178.56,188,1.23,10,0.07
26,57,457,8.02,119,2.09,52982,929.51,5077,89.07,0,0.00,0,0.00
27,285,2782,9.76,1181,4.14,132084,463.45,44748,157.01,135,0.47,0,0.00
28,12,152,12.67,62,5.17,4430,369.17,3136,261.33,127,10.58,0,0.00
29,202,3333,16.50,722,3.57,286213,1416.90,64104,317.35,115,0.57,0,0.00
30,28,191,6.82,84,3.00,28333,1011.89,3329,118.89,56,2.00,32,1.14
31,105,1338,12.74,196,1.87,43562,414.88,30521,290.68,218,2.08,0,0.00
32,85,1792,21.08,161,1.89,759729,8937.99,126599,1489.40,750,8.82,35,0.41
33,128,1659,12.96,632,4.94,69277,541.23,27023,211.12,442,3.45,0,0.00
34,176,1809,10.28,696,3.95,217451,1235.52,12855,73.04,179,1.02,2,0.01
35,45,787,17.49,311,6.91,20485,455.22,21788,484.18,388,8.62,9,0.20
36,25,510,20.40,400,16.00,8365,334.60,3135,125.40,175,7.00,0,0.00
37,129,1964,15.22,803,6.22,90524,701.74,36658,284.17,158,1.22,0,0.00
38,15,465,31.00,385,25.67,2020,134.67,2720,181.33,0,0.00,0,0.00
39,32,397,12.41,172,5.38,22928,716.50,8274,258.56,177,5.53,2,0.06
40,38,355,9.34,51,1.34,26462,696.37,5379,141.55,122,3.21,0,0.00
41,33,556,16.85,221,6.70,26323,797.67,13248,401.45,0,0.00,0,0.00
42,375,595,1.59,740,1.97,67045,178.79,8290,22.11,60,0.16,10,0.03
43,396,5584,14.10,2376,6.00,338265,854.20,90230,227.85,226,0.57,0,0.00
44,23,595,25.87,459,19.96,15158,659.04,4932,214.43,0,0.00,0,0.00
45,85,1637,19.26,823,9.68,84299,991.75,33008,388.33,539,6.34,15,0.18
46,9,135,15.00,19,2.11,4174,463.78,3074,341.56,102,11.33,6,0.67
47,145,2300,15.86,910,6.28,137985,951.62,32668,225.30,391,2.70,0,0.00
48,21,329,15.67,58,2.76,14730,701.43,4057,193.19,405,19.29,10,0.48
49,29,556,19.17,172,5.93,20083,692.52,21827,752.66,363,12.52,9,0.31
