tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,219004,379357,1.73,391889,1.79,645311,2.95,0,0.00,0,0.00,335,0.00
2,2795,6843,2.45,5636,2.02,15104,5.40,1499,0.54,15,0.01,0,0.00
3,217474,325611,1.50,283243,1.30,2691526,12.38,63805,0.29,130,0.00,825,0.00
4,3543,10117,2.86,6203,1.75,69040,19.49,345,0.10,1,0.00,90,0.03
5,19295,42430,2.20,37085,1.92,619158,32.09,121842,6.31,1323,0.07,0,0.00
6,1205,4208,3.49,3500,2.90,37670,31.26,3633,3.01,34,0.03,0,0.00
7,6442,38912,6.04,14081,2.19,349545,54.26,106558,16.54,545,0.08,0,0.00
8,983,3979,4.05,3584,3.65,51228,52.11,2341,2.38,6,0.01,60,0.06
9,4821,20140,4.18,10390,2.16,286078,59.34,114486,23.75,466,0.10,0,0.00
10,677,3579,5.29,2599,3.84,43626,64.44,5454,8.06,108,0.16,169,0.25
11,3539,9800,2.77,13122,3.71,445329,125.83,109990,31.08,678,0.19,42,0.01
12,732,5592,7.64,4164,5.69,58695,80.18,13664,18.67,16,0.02,154,0.21
13,931,6371,6.84,3600,3.87,109953,118.10,29189,31.35,465,0.50,0,0.00
14,366,3923,10.72,3640,9.95,31824,86.95,2498,6.83,285,0.78,15,0.04
15,1048,12839,12.25,6678,6.37,83310,79.49,42451,40.51,153,0.15,59,0.06
16,582,6250,10.74,5643,9.70,78114,134.22,5094,8.75,435,0.75,15,0.03
17,1572,7646,4.86,4185,2.66,165190,105.08,52410,33.34,12058,7.67,855,0.54
18,128,1036,8.09,592,4.62,30575,238.87,2574,20.11,261,2.04,15,0.12
19,1212,8942,7.38,4228,3.49,289550,238.90,90258,74.47,214,0.18,75,0.06
20,141,1078,7.65,755,5.35,23151,164.19,2615,18.55,22,0.16,60,0.43
21,334,4282,12.82,1870,5.60,66898,200.29,46367,138.82,63,0.19,0,0.00
22,185,855,4.62,679,3.67,33709,182.21,2730,14.76,45,0.24,15,0.08
23,1029,17376,16.89,13164,12.79,239128,232.39,79405,77.17,357,0.35,0,0.00
24,525,2902,5.53,1223,2.33,225161,428.88,33161,63.16,0,0.00,0,0.00
25,395,5861,14.84,2501,6.33,131552,333.04,79664,201.68,830,2.10,42,0.11
26,217,2095,9.65,592,2.73,178365,821.96,15629,72.02,292,1.35,0,0.00
27,897,8915,9.94,3580,3.99,403003,449.28,141881,158.17,417,0.46,0,0.00
28,46,549,11.93,223,4.85,18846,409.70,7349,159.76,175,3.80,0,0.00
29,686,11048,16.10,2068,3.01,839416,1223.64,225477,328.68,531,0.77,0,0.00
30,83,559,6.73,223,2.69,57355,691.02,6705,80.78,429,5.17,92,1.11
31,363,4993,13.75,649,1.79,133671,368.24,111888,308.23,564,1.55,0,0.00
32,166,4355,26.23,151,0.91,2253773,13576.95,405490,2442.71,3150,18.98,107,0.64
33,399,7615,19.09,3649,9.15,234145,586.83,174185,436.55,708,1.77,0,0.00
34,48,635,13.23,168,3.50,21867,455.56,9972,207.75,200,4.17,6,0.12
35,145,1759,12.13,606,4.18,55647,383.77,37900,261.38,1192,8.22,61,0.42
36,79,1566,19.82,1236,15.65,25660,324.81,7135,90.32,524,6.63,0,0.00
37,291,6986,24.01,2690,9.24,206584,709.91,126092,433.31,167,0.57,0,0.00
38,15,255,17.00,15,1.00,6060,404.00,8160,544.00,0,0.00,0,0.00
39,109,1207,11.07,526,4.83,72184,662.24,27074,248.39,431,3.95,15,0.14
40,130,1366,10.51,170,1.31,92784,713.72,20562,158.17,187,1.44,0,0.00
41,169,2953,17.47,1300,7.69,149321,883.56,58624,346.89,76,0.45,0,0.00
42,1273,1933,1.52,2516,1.98,223459,175.54,25602,20.11,172,0.14,326,0.26
43,693,10383,14.98,4092,5.90,590028,851.41,170855,246.54,457,0.66,0,0.00
44,67,1650,24.63,1350,20.15,25942,387.19,12382,184.81,76,1.13,0,0.00
45,210,3960,18.86,1965,9.36,172506,821.46,108141,514.96,1574,7.50,45,0.21
46,60,696,11.60,135,2.25,36889,614.82,17353,289.22,68,1.13,51,0.85
47,439,7066,16.10,2652,6.04,441140,1004.87,100026,227.85,1669,3.80,3,0.01
48,61,1061,17.39,121,1.98,42868,702.75,10787,176.84,950,15.57,32,0.52
49,175,2953,16.87,833,4.76,185305,1058.89,80576,460.43,1732,9.90,45,0.26
50,52,908,17.46,79,1.52,51726,994.73,24387,468.98,620,11.92,42,0.81
