tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1021535,1687065,1.65,1838376,1.80,3387063,3.32,0,0.00,0,0.00,980,0.00
2,11856,26527,2.24,25316,2.14,70340,5.93,4791,0.40,81,0.01,0,0.00
3,1026478,1461370,1.42,1293326,1.26,12366256,12.05,280060,0.27,761,0.00,2674,0.00
4,15103,47279,3.13,27592,1.83,306265,20.28,343,0.02,1,0.00,246,0.02
5,87422,186840,2.14,169968,1.94,2803642,32.07,259962,2.97,5541,0.06,0,0.00
6,4313,16564,3.84,14776,3.43,99274,23.02,12370,2.87,163,0.04,0,0.00
7,30334,188319,6.21,65699,2.17,1688607,55.67,531225,17.51,2278,0.08,0,0.00
8,3578,15440,4.32,14781,4.13,144753,40.46,3172,0.89,0,0.00,324,0.09
9,21029,89109,4.24,45846,2.18,1219909,58.01,520880,24.77,1000,0.05,0,0.00
10,2844,16217,5.70,12245,4.31,147969,52.03,23085,8.12,7,0.00,490,0.17
11,17676,48245,2.73,66621,3.77,2150596,121.67,770715,43.60,4267,0.24,0,0.00
12,2600,24174,9.30,19861,7.64,133326,51.28,39979,15.38,0,0.00,0,0.00
13,4334,28634,6.61,16887,3.90,542421,125.15,137124,31.64,2025,0.47,0,0.00
14,1301,15967,12.27,16208,12.46,87018,66.89,982,0.75,19,0.01,1,0.00
15,4298,40598,9.45,24791,5.77,349889,81.41,221899,51.63,2,0.00,0,0.00
16,1798,21391,11.90,21617,12.02,155572,86.53,6832,3.80,28,0.02,1,0.00
17,7657,34473,4.50,18715,2.44,679547,88.75,243043,31.74,65612,8.57,4617,0.60
18,287,2801,9.76,1868,6.51,74738,260.41,11678,40.69,17,0.06,1,0.00
19,5672,40992,7.23,20009,3.53,1384054,244.02,434750,76.65,2656,0.47,405,0.07
20,449,4219,9.40,2920,6.50,74292,165.46,11079,24.67,974,2.17,324,0.72
21,1502,19452,12.95,8916,5.94,266202,177.23,220083,146.53,534,0.36,0,0.00
22,412,2279,5.53,2279,5.53,58856,142.85,3382,8.21,3,0.01,1,0.00
