tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13314,22050,1.66,23757,1.78,43145,3.24,0,0.00,0,0.00,20,0.00
2,177,370,2.09,357,2.02,960,5.42,73,0.41,1,0.01,0,0.00
3,13016,18638,1.43,16428,1.26,157156,12.07,3668,0.28,7,0.00,34,0.00
4,225,653,2.90,394,1.75,4508,20.04,23,0.10,0,0.00,6,0.03
5,1182,2514,2.13,2280,1.93,37875,32.04,3942,3.34,92,0.08,0,0.00
6,71,234,3.30,204,2.87,2081,29.31,211,2.97,2,0.03,0,0.00
7,410,2482,6.05,893,2.18,22051,53.78,6876,16.77,36,0.09,0,0.00
8,60,256,4.27,237,3.95,2902,48.37,130,2.17,1,0.02,4,0.07
9,312,1295,4.15,673,2.16,18338,58.78,7360,23.59,25,0.08,0,0.00
10,42,197,4.69,145,3.45,2849,67.83,365,8.69,7,0.17,10,0.24
11,230,603,2.62,835,3.63,28578,124.25,7095,30.85,59,0.26,0,0.00
12,40,334,8.35,261,6.53,2526,63.15,699,17.48,0,0.00,0,0.00
13,49,313,6.39,176,3.59,6154,125.59,1558,31.80,25,0.51,0,0.00
14,25,261,10.44,264,10.56,1912,76.48,22,0.88,13,0.52,1,0.04
15,62,560,9.03,343,5.53,4915,79.27,2843,45.85,32,0.52,0,0.00
16,37,336,9.08,321,8.68,5232,141.41,192,5.19,0,0.00,1,0.03
17,100,457,4.57,238,2.38,9295,92.95,3341,33.41,810,8.10,57,0.57
18,7,41,5.86,28,4.00,1698,242.57,158,22.57,17,2.43,1,0.14
19,74,530,7.16,251,3.39,17774,240.19,5690,76.89,24,0.32,5,0.07
20,9,59,6.56,40,4.44,1774,197.11,173,19.22,12,1.33,4,0.44
21,20,232,11.60,114,5.70,4464,223.20,2501,125.05,5,0.25,0,0.00
22,12,39,3.25,39,3.25,2216,184.67,182,15.17,3,0.25,1,0.08
23,69,1151,16.68,873,12.65,15887,230.25,5460,79.13,8,0.12,0,0.00
24,34,184,5.41,79,2.32,14643,430.68,2193,64.50,0,0.00,0,0.00
25,22,311,14.14,149,6.77,7607,345.77,4388,199.45,32,1.45,2,0.09
26,12,92,7.67,25,2.08,10780,898.33,1022,85.17,0,0.00,0,0.00
27,61,596,9.77,241,3.95,27488,450.62,9536,156.33,3,0.05,0,0.00
28,3,31,10.33,13,4.33,1244,414.67,636,212.00,25,8.33,0,0.00
29,43,689,16.02,132,3.07,55898,1299.95,14254,331.49,0,0.00,0,0.00
