tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,3407686,5782076,1.70,6119043,1.80,10229589,3.00,0,0.00,0,0.00,3084,0.00
2,37414,82523,2.21,78068,2.09,242291,6.48,15871,0.42,246,0.01,0,0.00
3,3155466,4518182,1.43,3992309,1.27,38063665,12.06,876147,0.28,3070,0.00,8326,0.00
4,55351,151752,2.74,114404,2.07,1099492,19.86,1968,0.04,45,0.00,1341,0.02
5,305686,672634,2.20,589659,1.93,9934414,32.50,1992433,6.52,18613,0.06,5400,0.02
6,16002,62395,3.90,52716,3.29,401729,25.10,39781,2.49,503,0.03,0,0.00
7,106404,609928,5.73,218743,2.06,6090219,57.24,1638885,15.40,4439,0.04,4,0.00
8,15560,64063,4.12,57050,3.67,791544,50.87,25964,1.67,12,0.00,984,0.06
9,71837,300720,4.19,156930,2.18,4228942,58.87,1728694,24.06,4323,0.06,0,0.00
10,17471,85019,4.87,69177,3.96,1077921,61.70,80270,4.59,573,0.03,1564,0.09
11,57868,152981,2.64,200911,3.47,7078966,122.33,1874343,32.39,11019,0.19,0,0.00
12,8312,62617,7.53,47675,5.74,571606,68.77,125985,15.16,129,0.02,0,0.00
13,21367,131824,6.17,82798,3.88,2398751,112.26,568767,26.62,7352,0.34,1260,0.06
14,6873,70265,10.22,64047,9.32,597558,86.94,17217,2.51,3345,0.49,1275,0.19
15,11128,82578,7.42,34550,3.10,1364807,122.65,652789,58.66,6225,0.56,3024,0.27
16,10519,82758,7.87,89196,8.48,1694972,161.13,106486,10.12,982,0.09,3104,0.30
17,22741,99371,4.37,54716,2.41,1883607,82.83,720042,31.66,197639,8.69,14022,0.62
18,1081,9096,8.41,6335,5.86,282444,261.28,37741,34.91,753,0.70,308,0.28
19,21624,146112,6.76,69932,3.23,5112805,236.44,1549122,71.64,4644,0.21,1230,0.06
