tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,777616,1282861,1.65,1396575,1.80,2546584,3.27,0,0.00,0,0.00,745,0.00
2,9088,20213,2.22,19210,2.11,54341,5.98,3728,0.41,61,0.01,0,0.00
3,775607,1105422,1.43,977597,1.26,9343726,12.05,212979,0.27,391,0.00,2036,0.00
4,11960,36713,3.07,21900,1.83,238947,19.98,350,0.03,0,0.00,249,0.02
5,66954,142793,2.13,129485,1.93,2150726,32.12,198785,2.97,4236,0.06,0,0.00
6,3342,12289,3.68,10970,3.28,86410,25.86,9806,2.93,122,0.04,0,0.00
7,23204,143301,6.18,50777,2.19,1281981,55.25,401004,17.28,1960,0.08,0,0.00
8,2803,12002,4.28,11404,4.07,119139,42.50,2808,1.00,4,0.00,244,0.09
9,16332,68716,4.21,35285,2.16,947864,58.04,400310,24.51,1569,0.10,0,0.00
10,2418,13841,5.72,10764,4.45,125815,52.03,18077,7.48,20,0.01,374,0.15
11,13165,34528,2.62,49091,3.73,1628394,123.69,515248,39.14,2982,0.23,0,0.00
12,1937,16984,8.77,13627,7.04,110848,57.23,30428,15.71,0,0.00,0,0.00
13,3557,24080,6.77,14499,4.08,424758,119.41,110846,31.16,1556,0.44,0,0.00
14,1032,12088,11.71,12289,11.91,73012,70.75,752,0.73,293,0.28,142,0.14
15,3184,29030,9.12,16927,5.32,271746,85.35,167936,52.74,97,0.03,0,0.00
16,1561,18313,11.73,18303,11.73,133442,85.48,5695,3.65,56,0.04,162,0.10
17,5685,25201,4.43,13778,2.42,483541,85.06,175678,30.90,50278,8.84,3477,0.61
18,227,2137,9.41,1425,6.28,59689,262.95,8835,38.92,40,0.18,2,0.01
19,4276,30790,7.20,15094,3.53,1042267,243.75,318853,74.57,2788,0.65,305,0.07
20,374,3234,8.65,2230,5.96,59750,159.76,9234,24.69,829,2.22,244,0.65
21,1275,16027,12.57,6864,5.38,221614,173.81,187298,146.90,471,0.37,12,0.01
22,354,1788,5.05,1771,5.00,52964,149.62,3278,9.26,21,0.06,9,0.03
