tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,131547,222387,1.69,229032,1.74,382885,2.91,0,0.00,0,0.00,261,0.00
2,1635,3475,2.13,3305,2.02,9716,5.94,645,0.39,9,0.01,93,0.06
3,139344,205655,1.48,171128,1.23,1678661,12.05,47759,0.34,88,0.00,306,0.00
4,2262,9012,3.98,3934,1.74,55071,24.35,243,0.11,4,0.00,54,0.02
5,11570,24725,2.14,22059,1.91,371645,32.12,63672,5.50,791,0.07,0,0.00
6,730,2619,3.59,2043,2.80,23891,32.73,1944,2.66,22,0.03,0,0.00
7,3832,25058,6.54,9942,2.59,225967,58.97,65987,17.22,324,0.08,0,0.00
8,550,2474,4.50,2263,4.11,26296,47.81,1192,2.17,4,0.01,36,0.07
9,2879,11790,4.10,6021,2.09,169295,58.80,68216,23.69,334,0.12,0,0.00
10,414,2133,5.15,1665,4.02,25541,61.69,3271,7.90,65,0.16,90,0.22
11,2091,5492,2.63,7536,3.60,259443,124.08,67529,32.30,432,0.21,0,0.00
12,362,3020,8.34,2353,6.50,23090,63.78,6335,17.50,0,0.00,0,0.00
13,549,3692,6.72,2106,3.84,69572,126.72,17525,31.92,225,0.41,0,0.00
14,216,2218,10.27,2003,9.27,18576,86.00,312,1.44,178,0.82,9,0.04
15,528,5066,9.59,2771,5.25,44251,83.81,26019,49.28,1,0.00,0,0.00
16,380,4190,11.03,3523,9.27,47610,125.29,1764,4.64,252,0.66,9,0.02
17,906,4518,4.99,2409,2.66,86371,95.33,27858,30.75,7200,7.95,513,0.57
18,84,1046,12.45,486,5.79,18834,224.21,1444,17.19,155,1.85,9,0.11
19,639,4563,7.14,2223,3.48,154685,242.07,48720,76.24,179,0.28,45,0.07
20,78,855,10.96,462,5.92,11889,152.42,1581,20.27,18,0.23,36,0.46
21,214,2834,13.24,1188,5.55,39791,185.94,29554,138.10,47,0.22,0,0.00
22,110,481,4.37,395,3.59,19944,181.31,1638,14.89,27,0.25,9,0.08
23,629,10531,16.74,7921,12.59,149036,236.94,49240,78.28,246,0.39,0,0.00
24,313,2160,6.90,879,2.81,131787,421.04,19737,63.06,0,0.00,0,0.00
25,218,3039,13.94,1373,6.30,71797,329.34,44376,203.56,477,2.19,18,0.08
26,118,938,7.95,295,2.50,108170,916.69,9618,81.51,180,1.53,0,0.00
27,537,5616,10.46,2313,4.31,244067,454.50,80133,149.22,268,0.50,0,0.00
