tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,95032,159709,1.68,169243,1.78,293284,3.09,0,0.00,0,0.00,119,0.00
2,1197,2541,2.12,2450,2.05,7140,5.96,483,0.40,7,0.01,0,0.00
3,91442,131295,1.44,115285,1.26,1104288,12.08,26200,0.29,62,0.00,238,0.00
4,1561,4482,2.87,2750,1.76,31020,19.87,161,0.10,2,0.00,42,0.03
5,8379,17901,2.14,16180,1.93,268080,31.99,25972,3.10,660,0.08,2,0.00
6,511,1832,3.59,1654,3.24,14345,28.07,1392,2.72,15,0.03,0,0.00
7,2861,17098,5.98,6091,2.13,161038,56.29,47925,16.75,211,0.07,0,0.00
8,435,1906,4.38,1773,4.08,20406,46.91,916,2.11,8,0.02,28,0.06
9,2160,8801,4.07,4410,2.04,128778,59.62,51941,24.05,210,0.10,0,0.00
10,323,1665,5.15,1301,4.03,19750,61.15,2521,7.80,55,0.17,70,0.22
11,1659,4556,2.75,6058,3.65,202284,121.93,53588,32.30,309,0.19,0,0.00
12,289,2369,8.20,1854,6.42,18383,63.61,4919,17.02,0,0.00,0,0.00
13,387,2523,6.52,1476,3.81,47468,122.66,11905,30.76,197,0.51,0,0.00
14,147,1449,9.86,1456,9.90,13363,90.90,154,1.05,104,0.71,7,0.05
15,380,3444,9.06,2179,5.73,30940,81.42,17829,46.92,2,0.01,0,0.00
16,255,2201,8.63,2071,8.12,36564,143.39,1344,5.27,28,0.11,7,0.03
17,703,3187,4.53,1657,2.36,64740,92.09,23315,33.17,5666,8.06,399,0.57
18,56,308,5.50,210,3.75,14560,260.00,1114,19.89,127,2.27,7,0.12
19,483,3423,7.09,1715,3.55,118647,245.65,35702,73.92,134,0.28,35,0.07
20,56,385,6.88,266,4.75,9237,164.95,1124,20.07,24,0.43,28,0.50
21,148,1596,10.78,659,4.45,24147,163.16,17915,121.05,180,1.22,10,0.07
22,86,281,3.27,275,3.20,15878,184.63,1310,15.23,3,0.03,9,0.10
23,511,8519,16.67,6293,12.32,119898,234.63,46497,90.99,157,0.31,0,0.00
24,241,1303,5.41,556,2.31,102954,427.20,15426,64.01,21,0.09,3,0.01
25,170,2345,13.79,1059,6.23,55159,324.46,34179,201.05,387,2.28,34,0.20
26,85,650,7.65,176,2.07,75515,888.41,7117,83.73,140,1.65,1,0.01
27,399,3850,9.65,1617,4.05,182528,457.46,59624,149.43,405,1.02,0,0.00
28,21,217,10.33,91,4.33,8724,415.43,4206,200.29,163,7.76,0,0.00
29,289,4655,16.11,912,3.16,385248,1333.04,93370,323.08,462,1.60,0,0.00
30,35,203,5.80,84,2.40,36135,1032.43,3087,88.20,202,5.77,42,1.20
31,129,1648,12.78,234,1.81,54618,423.40,37254,288.79,144,1.12,0,0.00
32,77,2086,27.09,70,0.91,1014391,13173.91,173831,2257.55,1050,13.64,49,0.64
33,140,1939,13.85,700,5.00,71299,509.28,35009,250.06,348,2.49,0,0.00
34,22,297,13.50,78,3.55,9891,449.59,4142,188.27,126,5.73,1,0.05
35,63,1085,17.22,427,6.78,26530,421.11,30303,481.00,770,12.22,21,0.33
36,36,715,19.86,561,15.58,11837,328.81,3389,94.14,245,6.81,3,0.08
37,77,1456,18.91,630,8.18,52274,678.88,33724,437.97,327,4.25,0,0.00
38,21,651,31.00,539,25.67,2828,134.67,3808,181.33,0,0.00,0,0.00
39,49,560,11.43,245,5.00,33278,679.14,11966,244.20,208,4.24,7,0.14
40,56,490,8.75,56,1.00,39704,709.00,7851,140.20,110,1.96,0,0.00
41,35,679,19.40,273,7.80,30366,867.60,16842,481.20,0,0.00,0,0.00
42,527,869,1.65,1046,1.98,96315,182.76,12394,23.52,84,0.16,14,0.03
43,309,4378,14.17,1849,5.98,264879,857.21,71754,232.21,252,0.82,0,0.00
44,28,770,27.50,630,22.50,11998,428.50,5796,207.00,0,0.00,0,0.00
45,126,2296,18.22,1113,8.83,112214,890.59,50757,402.83,612,4.86,21,0.17
46,21,252,12.00,56,2.67,9734,463.52,7010,333.81,24,1.14,21,1.00
47,191,3029,15.86,1201,6.29,181906,952.39,39893,208.86,770,4.03,0,0.00
48,28,448,16.00,56,2.00,18452,659.00,4767,170.25,462,16.50,14,0.50
49,50,832,16.64,249,4.98,38471,769.42,29142,582.84,925,18.50,27,0.54
50,35,1071,30.60,721,20.60,19201,548.60,11101,317.17,280,8.00,0,0.00
51,24,682,28.42,242,10.08,46989,1957.88,21452,893.83,75,3.12,0,0.00
52,44,750,17.05,282,6.41,33594,763.50,27964,635.55,42,0.95,28,0.64
53,35,840,24.00,378,10.80,38045,1087.00,28308,808.80,0,0.00,0,0.00
54,50,120,2.40,51,1.02,99241,1984.82,155120,3102.40,1575,31.50,3,0.06
55,49,833,17.00,231,4.71,68579,1399.57,9842,200.86,700,14.29,0,0.00
56,28,1568,56.00,1568,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,84,1946,23.17,1218,14.50,73955,880.42,18431,219.42,245,2.92,14,0.17
58,14,56,4.00,28,2.00,6818,487.00,434,31.00,0,0.00,14,1.00
59,14,133,9.50,21,1.50,15893,1135.21,2499,178.50,249,17.79,0,0.00
60,99,299,3.02,105,1.06,85830,866.97,17423,175.99,202,2.04,7,0.07
61,14,854,61.00,854,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,7,42,6.00,14,2.00,4739,677.00,406,58.00,0,0.00,7,1.00
63,98,1736,17.71,700,7.14,114296,1166.29,42938,438.14,0,0.00,14,0.14
65,42,364,8.67,168,4.00,30492,726.00,3255,77.50,1071,25.50,14,0.33
66,7,56,8.00,21,3.00,11292,1613.14,972,138.86,142,20.29,0,0.00
67,21,462,22.00,126,6.00,27580,1313.33,20300,966.67,0,0.00,0,0.00
68,14,126,9.00,21,1.50,14077,1005.50,2583,184.50,0,0.00,0,0.00
69,28,742,26.50,672,24.00,16492,589.00,1022,36.50,0,0.00,14,0.50
70,7,175,25.00,105,15.00,9730,1390.00,630,90.00,0,0.00,0,0.00
72,22,126,5.73,16,0.73,35452,1611.45,4809,218.59,448,20.36,11,0.50
73,168,3962,23.58,1302,7.75,236096,1405.33,126763,754.54,392,2.33,14,0.08
75,28,1540,55.00,602,21.50,106780,3813.57,82088,2931.71,392,14.00,0,0.00
76,7,98,14.00,7,1.00,24192,3456.00,2520,360.00,0,0.00,0,0.00
77,35,770,22.00,91,2.60,46025,1315.00,47348,1352.80,574,16.40,7,0.20
79,14,1092,78.00,560,40.00,25130,1795.00,87542,6253.00,0,0.00,0,0.00
81,9,177,19.67,17,1.89,9416,1046.22,9176,1019.56,491,54.56,4,0.44
83,98,2548,26.00,980,10.00,166544,1699.43,84742,864.71,287,2.93,0,0.00
84,42,42,1.00,42,1.00,26502,631.00,2100,50.00,0,0.00,84,2.00
85,7,0,0.00,7,1.00,28,4.00,0,0.00,574,82.00,7,1.00
86,7,280,40.00,7,1.00,19600,2800.00,4879,697.00,259,37.00,0,0.00
87,14,112,8.00,42,3.00,26341,1881.50,4459,318.50,0,0.00,7,0.50
88,14,0,0.00,0,0.00,1232,88.00,0,0.00,0,0.00,14,1.00
89,14,616,44.00,14,1.00,7980,570.00,52374,3741.00,0,0.00,0,0.00
90,7,210,30.00,14,2.00,11137,1591.00,22092,3156.00,532,76.00,0,0.00
91,24,1424,59.33,718,29.92,53781,2240.88,128395,5349.79,0,0.00,6,0.25
93,49,1358,27.71,504,10.29,107163,2187.00,51926,1059.71,0,0.00,0,0.00
96,351,2562,7.30,1299,3.70,589026,1678.14,176551,502.99,3388,9.65,0,0.00
97,28,868,31.00,308,11.00,55776,1992.00,34272,1224.00,0,0.00,0,0.00
98,14,154,11.00,14,1.00,44198,3157.00,4228,302.00,980,70.00,0,0.00
99,7,112,16.00,42,6.00,33880,4840.00,3381,483.00,0,0.00,0,0.00
100,8,128,16.00,8,1.00,35547,4443.38,4540,567.50,0,0.00,14,1.75
101,15,701,46.73,21,1.40,12878,858.53,68261,4550.73,0,0.00,2,0.13
103,56,2772,49.50,1232,22.00,121961,2177.88,207214,3700.25,392,7.00,0,0.00
107,35,952,27.20,343,9.80,61768,1764.80,41860,1196.00,728,20.80,7,0.20
109,7,126,18.00,14,2.00,15708,2244.00,4683,669.00,441,63.00,0,0.00
113,392,13342,34.04,3472,8.86,1484168,3786.14,487109,1242.62,392,1.00,0,0.00
114,7,56,8.00,14,2.00,1358,194.00,147,21.00,0,0.00,49,7.00
115,44,3990,90.68,1640,37.27,83910,1907.05,424459,9646.80,602,13.68,2,0.05
117,73,3689,50.53,1473,20.18,202599,2775.33,294384,4032.66,356,4.88,3,0.04
119,2,0,0.00,2,1.00,8,4.00,0,0.00,232,116.00,2,1.00
123,61,2460,40.33,612,10.03,124052,2033.64,161887,2653.89,448,7.34,10,0.16
124,7,154,22.00,7,1.00,45206,6458.00,7105,1015.00,0,0.00,0,0.00
125,21,1736,82.67,889,42.33,40840,1944.76,176238,8392.29,294,14.00,7,0.33
127,28,778,27.79,210,7.50,69719,2489.96,31186,1113.79,1701,60.75,42,1.50
129,7,0,0.00,7,1.00,182,26.00,0,0.00,728,104.00,7,1.00
130,14,161,11.50,56,4.00,55044,3931.71,5870,419.29,196,14.00,0,0.00
131,7,91,13.00,7,1.00,42665,6095.00,3234,462.00,721,103.00,21,3.00
133,14,574,41.00,210,15.00,38752,2768.00,32564,2326.00,0,0.00,0,0.00
136,7,455,65.00,7,1.00,20990,2998.57,5026,718.00,670,95.71,7,1.00
137,49,2107,43.00,735,15.00,139013,2837.00,115626,2359.71,252,5.14,0,0.00
141,1,1,1.00,11,11.00,6686,6686.00,837,837.00,0,0.00,2,2.00
143,14,616,44.00,224,16.00,41734,2981.00,37716,2694.00,0,0.00,0,0.00
144,7,49,7.00,14,2.00,30166,4309.43,2254,322.00,258,36.86,14,2.00
145,7,0,0.00,7,1.00,168,24.00,0,0.00,854,122.00,7,1.00
147,93,3956,42.54,1383,14.87,263938,2838.04,245014,2634.56,0,0.00,7,0.08
153,28,882,31.50,252,9.00,148078,5288.50,64652,2309.00,0,0.00,0,0.00
157,45,2205,49.00,765,17.00,147150,3270.00,146475,3255.00,0,0.00,0,0.00
163,14,700,50.00,252,18.00,47698,3407.00,49154,3511.00,0,0.00,0,0.00
165,14,0,0.00,14,1.00,1090,77.86,0,0.00,1234,88.14,14,1.00
167,7,42,6.00,7,1.00,47024,6717.71,4129,589.86,251,35.86,14,2.00
171,7,168,24.00,7,1.00,26316,3759.43,23689,3384.14,595,85.00,7,1.00
172,8,213,26.62,11,1.38,67126,8390.75,14862,1857.75,0,0.00,9,1.12
173,7,35,5.00,21,3.00,54278,7754.00,2002,286.00,917,131.00,14,2.00
175,7,210,30.00,42,6.00,36964,5280.57,8040,1148.57,774,110.57,0,0.00
182,7,84,12.00,42,6.00,27370,3910.00,8834,1262.00,861,123.00,14,2.00
184,7,210,30.00,63,9.00,64596,9228.00,11641,1663.00,0,0.00,0,0.00
186,7,280,40.00,63,9.00,54709,7815.57,16691,2384.43,450,64.29,0,0.00
192,7,63,9.00,49,7.00,31230,4461.43,6306,900.86,324,46.29,14,2.00
194,1,3,3.00,3,3.00,1039,1039.00,29,29.00,0,0.00,6,6.00
196,14,245,17.50,49,3.50,87255,6232.50,21001,1500.07,1260,90.00,7,0.50
198,2,8,4.00,8,4.00,5379,2689.50,483,241.50,244,122.00,8,4.00
199,7,147,21.00,21,3.00,56119,8017.00,5495,785.00,819,117.00,21,3.00
201,14,805,57.50,245,17.50,73113,5222.36,65591,4685.07,813,58.07,0,0.00
203,7,42,6.00,21,3.00,47950,6850.00,6000,857.14,1087,155.29,14,2.00
207,7,0,0.00,7,1.00,1456,208.00,0,0.00,0,0.00,7,1.00
209,7,0,0.00,7,1.00,168,24.00,0,0.00,1302,186.00,7,1.00
218,2,10,5.00,2,1.00,14700,7350.00,696,348.00,410,205.00,4,2.00
220,7,266,38.00,7,1.00,85054,12150.57,20039,2862.71,283,40.43,0,0.00
222,7,686,98.00,175,25.00,48342,6906.00,92148,13164.00,0,0.00,0,0.00
225,7,0,0.00,7,1.00,182,26.00,0,0.00,1400,200.00,7,1.00
226,3,18,6.00,3,1.00,27486,9162.00,1362,454.00,639,213.00,6,2.00
230,7,42,6.00,28,4.00,39472,5638.86,2935,419.29,119,17.00,42,6.00
231,7,0,0.00,7,1.00,168,24.00,0,0.00,1456,208.00,7,1.00
234,1,7,7.00,1,1.00,10974,10974.00,569,569.00,221,221.00,2,2.00
242,1,7,7.00,3,3.00,7325,7325.00,581,581.00,0,0.00,6,6.00
245,14,0,0.00,14,1.00,1890,135.00,0,0.00,1554,111.00,14,1.00
257,1,1540,1540.00,514,514.00,0,0.00,0,0.00,0,0.00,0,0.00
259,7,70,10.00,7,1.00,19439,2777.00,2996,428.00,1603,229.00,7,1.00
266,1,11,11.00,1,1.00,18222,18222.00,1119,1119.00,253,253.00,2,2.00
267,7,0,0.00,7,1.00,168,24.00,0,0.00,1708,244.00,7,1.00
268,14,350,25.00,42,3.00,128527,9180.50,38108,2722.00,0,0.00,42,3.00
271,7,0,0.00,7,1.00,182,26.00,0,0.00,1722,246.00,7,1.00
285,7,0,0.00,7,1.00,168,24.00,0,0.00,1834,262.00,7,1.00
287,7,0,0.00,7,1.00,2016,288.00,0,0.00,0,0.00,7,1.00
292,7,350,50.00,7,1.00,112791,16113.00,39935,5705.00,1680,240.00,0,0.00
295,14,1036,74.00,350,25.00,100422,7173.00,143927,10280.50,1008,72.00,0,0.00
307,7,0,0.00,7,1.00,168,24.00,0,0.00,1988,284.00,7,1.00
309,14,0,0.00,14,1.00,3066,219.00,0,0.00,1274,91.00,14,1.00
316,7,378,54.00,7,1.00,129262,18466.00,52605,7515.00,0,0.00,0,0.00
326,14,525,37.50,133,9.50,281507,20107.64,41162,2940.14,1684,120.29,63,4.50
331,7,0,0.00,7,1.00,630,90.00,0,0.00,1694,242.00,7,1.00
340,7,406,58.00,7,1.00,132797,18971.00,55832,7976.00,2016,288.00,0,0.00
345,7,0,0.00,7,1.00,2422,346.00,0,0.00,0,0.00,7,1.00
347,14,392,28.00,105,7.50,125496,8964.00,41349,2953.50,2268,162.00,7,0.50
362,2,30,15.00,6,3.00,49114,24557.00,5824,2912.00,0,0.00,12,6.00
364,7,434,62.00,7,1.00,150276,21468.00,70770,10110.00,0,0.00,0,0.00
365,7,0,0.00,7,1.00,1762,251.71,0,0.00,800,114.29,7,1.00
369,7,0,0.00,7,1.00,168,24.00,0,0.00,2422,346.00,7,1.00
370,7,42,6.00,105,15.00,7389,1055.57,259,37.00,2128,304.00,7,1.00
374,3,48,16.00,9,3.00,79431,26477.00,9675,3225.00,0,0.00,18,6.00
387,7,0,0.00,7,1.00,2716,388.00,0,0.00,0,0.00,7,1.00
388,14,924,66.00,14,1.00,314552,22468.00,118881,8491.50,1505,107.50,0,0.00
389,7,0,0.00,7,1.00,28,4.00,0,0.00,2702,386.00,7,1.00
393,7,0,0.00,7,1.00,40,5.71,0,0.00,2718,388.29,7,1.00
405,7,0,0.00,7,1.00,28,4.00,0,0.00,2814,402.00,7,1.00
409,7,0,0.00,7,1.00,2630,375.71,0,0.00,240,34.29,7,1.00
412,7,490,70.00,7,1.00,163682,23383.14,65145,9306.43,2051,293.00,0,0.00
414,14,1512,108.00,168,12.00,203616,14544.00,335160,23940.00,5432,388.00,0,0.00
427,7,0,0.00,7,1.00,28,4.00,0,0.00,2968,424.00,7,1.00
429,7,0,0.00,7,1.00,1442,206.00,0,0.00,1568,224.00,7,1.00
436,7,518,74.00,7,1.00,181797,25971.00,103110,14730.00,0,0.00,0,0.00
447,14,119,8.50,98,7.00,135044,9646.00,15959,1139.93,5733,409.50,14,1.00
449,7,0,0.00,7,1.00,28,4.00,0,0.00,3122,446.00,7,1.00
455,14,112,8.00,14,1.00,34748,2482.00,1820,130.00,6188,442.00,70,5.00
460,7,546,78.00,7,1.00,188314,26902.00,73998,10571.14,955,136.43,0,0.00
465,7,0,0.00,7,1.00,28,4.00,0,0.00,3234,462.00,7,1.00
467,7,0,0.00,7,1.00,2856,408.00,0,0.00,420,60.00,7,1.00
487,7,581,83.00,7,1.00,203364,29052.00,130382,18626.00,0,0.00,0,0.00
511,7,609,87.00,7,1.00,211858,30265.43,131982,18854.57,283,40.43,0,0.00
513,7,0,0.00,7,1.00,168,24.00,0,0.00,3430,490.00,7,1.00
524,14,882,63.00,182,13.00,333718,23837.00,113666,8119.00,6972,498.00,0,0.00
535,7,637,91.00,7,1.00,217901,31128.71,87039,12434.14,1847,263.86,0,0.00
542,14,2842,203.00,434,31.00,478121,34151.50,51800,3700.00,7322,523.00,0,0.00
557,7,616,88.00,252,36.00,690347,98621.00,125223,17889.00,0,0.00,0,0.00
559,7,665,95.00,7,1.00,224142,32020.29,137874,19696.29,3211,458.71,0,0.00
561,14,84,6.00,84,6.00,124012,8858.00,21154,1511.00,7798,557.00,14,1.00
583,7,693,99.00,7,1.00,242326,34618.00,163562,23366.00,497,71.00,0,0.00
691,7,308,44.00,70,10.00,276459,39494.14,67100,9585.71,2903,414.71,7,1.00
821,7,735,105.00,7,1.00,201215,28745.00,227395,32485.00,5208,744.00,0,0.00
984,14,1274,91.00,392,28.00,71002,5071.57,5511,393.64,12957,925.50,0,0.00
1286,1,1026,1026.00,513,513.00,29532,29532.00,159219,159219.00,1233,1233.00,0,0.00
1570,14,1414,101.00,0,0.00,2331532,166538.00,263004,18786.00,0,0.00,532,38.00
1579,14,1568,112.00,0,0.00,1682394,120171.00,291396,20814.00,20944,1496.00,532,38.00
1766,14,1708,122.00,0,0.00,1114358,79597.00,411110,29365.00,24500,1750.00,560,40.00
1804,7,1043,149.00,189,27.00,516670,73810.00,152089,21727.00,9541,1363.00,21,3.00
2079,7,2814,402.00,0,0.00,4821159,688737.00,488999,69857.00,0,0.00,0,0.00
2611,14,4452,318.00,1078,77.00,2002455,143032.50,460383,32884.50,34202,2443.00,0,0.00
2798,14,10052,718.00,0,0.00,1377369,98383.50,1114484,79606.00,38402,2743.00,1008,72.00
3493,7,1680,240.00,0,0.00,1461943,208849.00,419300,59900.00,24416,3488.00,42,6.00
5512,1,6,6.00,257,257.00,1265559,1265559.00,804608,804608.00,2559,2559.00,2619,2619.00
8901,14,46046,3289.00,5474,391.00,8463378,604527.00,2902438,207317.00,7644,546.00,0,0.00
10785,14,10990,785.00,0,0.00,6254140,446724.29,5745013,410358.07,150108,10722.00,1246,89.00
12884,7,10598,1514.00,168,24.00,9724795,1389256.43,6714073,959153.29,79800,11400.00,371,53.00
32165,14,29610,2115.00,280,20.00,42580237,3041445.50,25828481,1844891.50,422436,30174.00,10794,771.00
