tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,226706,373388,1.65,407588,1.80,757520,3.34,0,0.00,0,0.00,216,0.00
2,2556,5814,2.27,5472,2.14,13860,5.42,1062,0.42,18,0.01,0,0.00
3,228002,324500,1.42,287330,1.26,2746050,12.04,62082,0.27,184,0.00,612,0.00
4,3388,10606,3.13,6268,1.85,67982,20.07,72,0.02,0,0.00,54,0.02
5,19350,41256,2.13,37494,1.94,621720,32.13,60464,3.12,1224,0.06,0,0.00
6,990,3924,3.96,3492,3.53,21870,22.09,2736,2.76,36,0.04,0,0.00
7,6768,41796,6.18,14436,2.13,373950,55.25,118044,17.44,504,0.07,0,0.00
8,792,3420,4.32,3276,4.14,31914,40.30,684,0.86,0,0.00,72,0.09
9,4644,19692,4.24,10134,2.18,269352,58.00,115002,24.76,216,0.05,0,0.00
10,630,3600,5.71,2718,4.31,32652,51.83,5112,8.11,0,0.00,108,0.17
11,3816,9954,2.61,14328,3.75,473112,123.98,140850,36.91,792,0.21,0,0.00
12,576,5364,9.31,4410,7.66,29430,51.09,8838,15.34,0,0.00,0,0.00
13,1051,7181,6.83,4233,4.03,123974,117.96,34402,32.73,450,0.43,0,0.00
14,288,3546,12.31,3600,12.50,19152,66.50,216,0.75,0,0.00,0,0.00
15,882,8226,9.33,4932,5.59,74444,84.40,46476,52.69,1,0.00,0,0.00
16,432,5310,12.29,5364,12.42,33840,78.33,1494,3.46,0,0.00,0,0.00
17,1627,7149,4.39,3938,2.42,129386,79.52,51157,31.44,14654,9.01,1026,0.63
18,61,615,10.08,410,6.72,15650,256.56,2588,42.43,0,0.00,0,0.00
19,1242,9018,7.26,4410,3.55,301260,242.56,95687,77.04,470,0.38,90,0.07
20,101,944,9.35,652,6.46,17241,170.70,2487,24.62,218,2.16,72,0.71
21,335,4328,12.92,1984,5.92,59916,178.85,48847,145.81,123,0.37,0,0.00
22,90,504,5.60,504,5.60,12744,141.60,720,8.00,0,0.00,0,0.00
23,1134,20214,17.83,15552,13.71,261594,230.68,93636,82.57,0,0.00,0,0.00
24,594,3312,5.58,1422,2.39,258552,435.27,38286,64.45,0,0.00,0,0.00
25,360,5400,15.00,2322,6.45,64978,180.49,84809,235.58,398,1.11,36,0.10
26,198,1638,8.27,414,2.09,188532,952.18,18198,91.91,0,0.00,0,0.00
27,1062,10440,9.83,4230,3.98,478398,450.47,169253,159.37,3,0.00,0,0.00
28,36,540,15.00,216,6.00,11662,323.94,11404,316.78,452,12.56,0,0.00
29,684,11286,16.50,2232,3.26,982422,1436.29,230148,336.47,0,0.00,0,0.00
30,72,414,5.75,198,2.75,63900,887.50,7236,100.50,0,0.00,108,1.50
31,360,4680,13.00,666,1.85,144556,401.54,107549,298.75,758,2.11,0,0.00
32,162,4716,29.11,54,0.33,2709126,16723.00,488286,3014.11,3780,23.33,126,0.78
33,360,4986,13.85,1800,5.00,182998,508.33,88421,245.61,1232,3.42,0,0.00
34,54,738,13.67,198,3.67,24370,451.30,8796,162.89,578,10.70,0,0.00
35,162,2862,17.67,1134,7.00,77558,478.75,87333,539.09,941,5.81,18,0.11
36,54,540,10.00,144,2.67,29827,552.35,11225,207.87,785,14.54,0,0.00
37,324,6966,21.50,4536,14.00,175266,540.94,97906,302.18,290,0.90,0,0.00
38,18,306,17.00,18,1.00,7272,404.00,9792,544.00,0,0.00,0,0.00
39,108,1422,13.17,612,5.67,80854,748.65,29645,274.49,632,5.85,0,0.00
40,126,1134,9.00,126,1.00,87802,696.84,18077,143.47,290,2.30,0,0.00
41,90,1746,19.40,702,7.80,78084,867.60,43308,481.20,0,0.00,0,0.00
42,1350,2142,1.59,2664,1.97,241362,178.79,29844,22.11,216,0.16,36,0.03
43,828,11808,14.26,5004,6.04,718574,867.84,174284,210.49,540,0.65,0,0.00
44,72,1980,27.50,1620,22.50,30852,428.50,14904,207.00,0,0.00,0,0.00
45,180,3744,20.80,1944,10.80,121838,676.88,81064,450.36,2198,12.21,54,0.30
46,18,378,21.00,18,1.00,8712,484.00,8910,495.00,216,12.00,0,0.00
47,540,8370,15.50,3330,6.17,528534,978.77,110624,204.86,1405,2.60,0,0.00
48,54,918,17.00,72,1.33,27700,512.96,11241,208.17,1334,24.70,36,0.67
49,90,1944,21.60,612,6.80,55420,615.78,77631,862.57,974,10.82,18,0.20
50,54,2214,41.00,1818,33.67,9756,180.67,18216,337.33,0,0.00,0,0.00
51,72,1746,24.25,630,8.75,129922,1804.47,54323,754.49,164,2.28,0,0.00
52,108,1872,17.33,720,6.67,76354,706.98,69927,647.47,146,1.35,72,0.67
53,54,1548,28.67,720,13.33,59526,1102.33,60048,1112.00,0,0.00,0,0.00
54,126,306,2.43,126,1.00,301266,2391.00,420498,3337.29,4050,32.14,0,0.00
55,90,1422,15.80,558,6.20,118692,1318.80,11034,122.60,0,0.00,0,0.00
56,36,2016,56.00,2016,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,216,6372,29.50,4932,22.83,152208,704.67,32688,151.33,0,0.00,36,0.17
58,36,144,4.00,72,2.00,17532,487.00,1116,31.00,0,0.00,36,1.00
59,18,198,11.00,36,2.00,22302,1239.00,3924,218.00,540,30.00,0,0.00
60,198,594,3.00,198,1.00,182264,920.53,36036,182.00,34,0.17,0,0.00
61,36,2196,61.00,2196,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,18,108,6.00,36,2.00,12186,677.00,1044,58.00,0,0.00,18,1.00
63,324,5904,18.22,2376,7.33,385848,1190.89,146844,453.22,0,0.00,36,0.11
