tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,53504,88821,1.66,95601,1.79,171935,3.21,0,0.00,0,0.00,78,0.00
2,641,1359,2.12,1300,2.03,3832,5.98,282,0.44,4,0.01,0,0.00
3,51789,74219,1.43,65620,1.27,625129,12.07,14514,0.28,36,0.00,149,0.00
4,873,2402,2.75,1576,1.81,16593,19.01,92,0.11,0,0.00,24,0.03
5,4798,10259,2.14,9287,1.94,153814,32.06,15612,3.25,354,0.07,0,0.00
6,307,1039,3.38,922,3.00,8616,28.07,832,2.71,8,0.03,0,0.00
7,1716,10103,5.89,3548,2.07,96052,55.97,28357,16.53,163,0.09,0,0.00
8,263,1161,4.41,1089,4.14,11961,45.48,546,2.08,2,0.01,16,0.06
9,1246,5116,4.11,2618,2.10,73812,59.24,29659,23.80,112,0.09,0,0.00
10,209,1182,5.66,981,4.69,11412,54.60,1453,6.95,28,0.13,44,0.21
11,928,2420,2.61,3268,3.52,115355,124.30,32118,34.61,179,0.19,0,0.00
12,153,1259,8.23,960,6.27,10104,66.04,2796,18.27,0,0.00,0,0.00
13,254,1741,6.85,1053,4.15,27283,107.41,7735,30.45,147,0.58,0,0.00
14,92,948,10.30,944,10.26,7634,82.98,88,0.96,58,0.63,4,0.04
15,186,1565,8.41,863,4.64,17049,91.66,8897,47.83,137,0.74,4,0.02
16,140,1200,8.57,1126,8.04,21055,150.39,768,5.49,32,0.23,4,0.03
17,400,1828,4.57,925,2.31,35050,87.62,14210,35.52,3240,8.10,228,0.57
18,31,173,5.58,118,3.81,7910,255.16,632,20.39,70,2.26,4,0.13
19,284,2028,7.14,988,3.48,68722,241.98,21370,75.25,104,0.37,20,0.07
20,31,226,7.29,158,5.10,5192,167.48,716,23.10,48,1.55,16,0.52
21,94,1079,11.48,467,4.97,18326,194.96,12268,130.51,69,0.73,0,0.00
22,49,156,3.18,156,3.18,8886,181.35,728,14.86,12,0.24,4,0.08
23,229,4231,18.48,3301,14.41,43380,189.43,19186,83.78,5,0.02,0,0.00
24,142,802,5.65,368,2.59,60148,423.58,8848,62.31,0,0.00,0,0.00
25,113,1532,13.56,627,5.55,34084,301.63,23300,206.19,200,1.77,9,0.08
26,48,368,7.67,100,2.08,43120,898.33,4088,85.17,0,0.00,0,0.00
27,253,2426,9.59,1048,4.14,119686,473.07,34730,137.27,96,0.38,0,0.00
28,13,135,10.38,58,4.46,5554,427.23,2581,198.54,100,7.69,0,0.00
29,156,2532,16.23,512,3.28,220600,1414.10,51196,328.18,104,0.67,0,0.00
30,21,124,5.90,49,2.33,16087,766.05,1831,87.19,17,0.81,25,1.19
31,73,923,12.64,136,1.86,31713,434.42,20300,278.08,128,1.75,0,0.00
32,45,1139,25.31,41,0.91,593584,13190.76,108343,2407.62,840,18.67,30,0.67
33,97,1412,14.56,609,6.28,54882,565.79,25212,259.92,336,3.46,10,0.10
34,13,182,14.00,52,4.00,7112,547.08,2143,164.85,128,9.85,0,0.00
35,28,348,12.43,100,3.57,9176,327.71,10620,379.29,344,12.29,12,0.43
36,20,408,20.40,320,16.00,6668,333.40,2496,124.80,164,8.20,0,0.00
37,52,1128,21.69,656,12.62,30008,577.08,19712,379.08,64,1.23,0,0.00
38,4,68,17.00,4,1.00,1616,404.00,2176,544.00,0,0.00,0,0.00
39,28,320,11.43,140,5.00,18992,678.29,6668,238.14,140,5.00,4,0.14
40,32,280,8.75,32,1.00,22677,708.66,4310,134.69,79,2.47,0,0.00
41,28,516,18.43,212,7.57,26032,929.71,9984,356.57,0,0.00,0,0.00
42,301,484,1.61,593,1.97,54239,180.20,6721,22.33,48,0.16,10,0.03
43,185,2615,14.14,1105,5.97,158257,855.44,41996,227.01,156,0.84,0,0.00
44,17,449,26.41,361,21.24,7534,443.18,3418,201.06,0,0.00,2,0.12
45,58,1070,18.45,526,9.07,48364,833.86,26820,462.41,416,7.17,12,0.21
46,12,144,12.00,32,2.67,5528,460.67,3160,263.33,48,4.00,12,1.00
47,100,1584,15.84,632,6.32,95588,955.88,21768,217.68,312,3.12,0,0.00
48,18,264,14.67,40,2.22,14036,779.78,3198,177.67,296,16.44,8,0.44
49,36,592,16.44,196,5.44,30915,858.75,18232,506.44,438,12.17,12,0.33
50,12,212,17.67,12,1.00,11132,927.67,7132,594.33,0,0.00,0,0.00
51,22,860,39.09,586,26.64,27372,1244.18,15518,705.36,36,1.64,0,0.00
52,24,416,17.33,160,6.67,16968,707.00,15552,648.00,32,1.33,16,0.67
53,36,744,20.67,328,9.11,39508,1097.44,19368,538.00,0,0.00,0,0.00
54,28,68,2.43,28,1.00,71906,2568.07,48747,1740.96,900,32.14,0,0.00
55,16,268,16.75,40,2.50,25872,1617.00,6968,435.50,0,0.00,0,0.00
56,8,448,56.00,448,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,56,1552,27.71,1152,20.57,43952,784.86,7656,136.71,0,0.00,8,0.14
58,8,32,4.00,16,2.00,3896,487.00,248,31.00,0,0.00,8,1.00
59,8,76,9.50,12,1.50,9023,1127.88,1440,180.00,213,26.62,0,0.00
60,56,156,2.79,56,1.00,48062,858.25,9464,169.00,74,1.32,4,0.07
62,12,520,43.33,504,42.00,2708,225.67,232,19.33,0,0.00,4,0.33
63,72,1312,18.22,528,7.33,85632,1189.33,31816,441.89,80,1.11,8,0.11
65,24,208,8.67,96,4.00,18396,766.50,1872,78.00,424,17.67,8,0.33
66,4,32,8.00,12,3.00,7346,1836.50,658,164.50,56,14.00,0,0.00
67,20,440,22.00,136,6.80,26584,1329.20,16184,809.20,0,0.00,0,0.00
68,8,72,9.00,12,1.50,8044,1005.50,1476,184.50,0,0.00,0,0.00
69,16,424,26.50,384,24.00,9424,589.00,584,36.50,0,0.00,8,0.50
70,4,100,25.00,60,15.00,5560,1390.00,360,90.00,0,0.00,0,0.00
72,12,72,6.00,8,0.67,20092,1674.33,2740,228.33,256,21.33,0,0.00
73,80,1896,23.70,600,7.50,110576,1382.20,63304,791.30,600,7.50,8,0.10
75,24,1176,49.00,352,14.67,65080,2711.67,75544,3147.67,0,0.00,0,0.00
76,4,56,14.00,4,1.00,13824,3456.00,1440,360.00,0,0.00,0,0.00
77,28,944,33.71,428,15.29,48960,1748.57,58336,2083.43,316,11.29,4,0.14
78,2,73,36.50,12,6.00,6104,3052.00,3203,1601.50,0,0.00,0,0.00
81,4,100,25.00,4,1.00,2520,630.00,5280,1320.00,300,75.00,0,0.00
83,56,1456,26.00,560,10.00,95368,1703.00,49896,891.00,0,0.00,0,0.00
84,26,26,1.00,26,1.00,16368,629.54,1300,50.00,8,0.31,52,2.00
85,4,0,0.00,4,1.00,16,4.00,0,0.00,328,82.00,4,1.00
