tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,147341,248094,1.68,264309,1.79,467110,3.17,0,0.00,0,0.00,189,0.00
2,1889,4087,2.16,3837,2.03,11466,6.07,745,0.39,11,0.01,0,0.00
3,142157,203952,1.43,179573,1.26,1717168,12.08,40294,0.28,92,0.00,373,0.00
4,2387,6933,2.90,4218,1.77,47455,19.88,215,0.09,0,0.00,60,0.03
5,13467,28673,2.13,25870,1.92,430971,32.00,68955,5.12,949,0.07,0,0.00
6,817,2742,3.36,2389,2.92,23374,28.61,2158,2.64,22,0.03,0,0.00
7,4671,27327,5.85,10021,2.15,259591,55.58,76056,16.28,381,0.08,0,0.00
8,696,3025,4.35,2739,3.94,35319,50.75,1572,2.26,6,0.01,44,0.06
9,3433,14048,4.09,7259,2.11,203658,59.32,81731,23.81,375,0.11,0,0.00
10,504,2403,4.77,1834,3.64,32225,63.94,3846,7.63,64,0.13,102,0.20
11,2511,6632,2.64,9166,3.65,310812,123.78,94127,37.49,528,0.21,0,0.00
12,448,3888,8.68,3127,6.98,26004,58.04,7273,16.23,0,0.00,0,0.00
13,693,4239,6.12,2432,3.51,85305,123.10,20298,29.29,275,0.40,0,0.00
14,225,2289,10.17,2303,10.24,19546,86.87,258,1.15,171,0.76,9,0.04
15,649,5739,8.84,3467,5.34,54740,84.35,31390,48.37,0,0.00,0,0.00
16,416,3543,8.52,3338,8.02,54246,130.40,2092,5.03,252,0.61,9,0.02
17,1047,4628,4.42,2522,2.41,93211,89.03,32514,31.05,8822,8.43,627,0.60
18,74,450,6.08,306,4.14,18676,252.38,1718,23.22,153,2.07,9,0.12
19,912,6238,6.84,3055,3.35,225120,246.84,64004,70.18,414,0.45,55,0.06
20,87,616,7.08,423,4.86,15671,180.13,1890,21.72,22,0.25,44,0.51
21,231,2732,11.83,1256,5.44,46566,201.58,32133,139.10,212,0.92,0,0.00
22,164,471,2.87,453,2.76,29082,177.33,2256,13.76,27,0.16,9,0.05
23,749,12627,16.86,9587,12.80,172088,229.76,58534,78.15,435,0.58,0,0.00
24,373,2029,5.44,870,2.33,160909,431.39,24010,64.37,0,0.00,0,0.00
25,278,3879,13.95,1639,5.90,81287,292.40,55078,198.12,855,3.08,22,0.08
26,131,1016,7.76,272,2.08,117943,900.33,11143,85.06,220,1.68,1,0.01
27,624,6028,9.66,2533,4.06,285860,458.11,93061,149.14,453,0.73,0,0.00
28,44,365,8.30,167,3.80,16604,377.36,5869,133.39,209,4.75,0,0.00
29,427,6951,16.28,1400,3.28,605476,1417.98,141066,330.37,274,0.64,0,0.00
30,53,307,5.79,130,2.45,56967,1074.85,4551,85.87,442,8.34,66,1.25
31,242,3181,13.14,411,1.70,93053,384.52,73675,304.44,482,1.99,0,0.00
32,119,3090,25.97,98,0.82,1606311,13498.41,276143,2320.53,1650,13.87,81,0.68
33,232,3447,14.86,1476,6.36,129911,559.96,65980,284.40,519,2.24,0,0.00
34,35,471,13.46,123,3.51,15704,448.69,6968,199.09,172,4.91,2,0.06
35,77,965,12.53,279,3.62,26260,341.04,25866,335.92,816,10.60,29,0.38
36,55,1122,20.40,880,16.00,18403,334.60,5313,96.60,385,7.00,0,0.00
37,157,3148,20.05,1824,11.62,91640,583.69,55502,353.52,110,0.70,0,0.00
38,11,187,17.00,11,1.00,4444,404.00,5984,544.00,0,0.00,0,0.00
39,75,878,11.71,383,5.11,51782,690.43,19518,260.24,319,4.25,9,0.12
40,90,781,8.68,94,1.04,63194,702.16,12801,142.23,125,1.39,8,0.09
41,77,1419,18.43,583,7.57,71588,929.71,27456,356.57,0,0.00,0,0.00
42,826,1323,1.60,1629,1.97,147934,179.10,18371,22.24,132,0.16,23,0.03
43,484,6864,14.18,2904,6.00,415239,857.93,113201,233.89,22,0.05,0,0.00
44,45,1225,27.22,991,22.02,19319,429.31,9258,205.73,0,0.00,1,0.02
45,146,2792,19.12,1395,9.55,117844,807.15,76394,523.25,959,6.57,33,0.23
46,31,386,12.45,76,2.45,14536,468.90,11285,364.03,64,2.06,29,0.94
47,321,5092,15.86,2014,6.27,305183,950.73,67383,209.92,1184,3.69,0,0.00
48,42,772,18.38,80,1.90,29446,701.10,7317,174.21,722,17.19,22,0.52
49,95,1612,16.97,537,5.65,79836,840.38,45560,479.58,1265,13.32,29,0.31
50,29,523,18.03,29,1.00,25165,867.76,15312,528.00,453,15.62,0,0.00
51,59,2122,35.97,1482,25.12,73765,1250.25,33079,560.66,58,0.98,0,0.00
52,66,1144,17.33,440,6.67,46700,707.58,44040,667.27,50,0.76,44,0.67
53,55,1298,23.60,594,10.80,60190,1094.36,37653,684.60,345,6.27,0,0.00
54,77,187,2.43,77,1.00,212365,2757.99,142028,1844.52,2475,32.14,0,0.00
55,29,503,17.34,51,1.76,50251,1732.79,11812,407.31,0,0.00,0,0.00
56,23,1236,53.74,1233,53.61,298,12.96,64,2.78,24,1.04,0,0.00
57,170,4280,25.18,3187,18.75,128035,753.15,19933,117.25,335,1.97,178,1.05
58,25,100,4.00,47,1.88,13621,544.84,835,33.40,0,0.00,22,0.88
59,20,193,9.65,31,1.55,22556,1127.80,3660,183.00,681,34.05,0,0.00
60,149,443,2.97,155,1.04,130128,873.34,26159,175.56,234,1.57,9,0.06
62,33,1430,43.33,1386,42.00,7447,225.67,638,19.33,0,0.00,11,0.33
63,176,3168,18.00,1276,7.25,207702,1180.12,78606,446.62,0,0.00,22,0.12
64,6,24,4.00,6,1.00,6829,1138.17,330,55.00,157,26.17,0,0.00
65,62,532,8.58,248,4.00,46447,749.15,4392,70.84,1078,17.39,22,0.35
66,16,113,7.06,38,2.38,23750,1484.38,2309,144.31,140,8.75,0,0.00
67,33,726,22.00,198,6.00,43340,1313.33,31900,966.67,0,0.00,0,0.00
