tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,25880,42822,1.65,46395,1.79,85163,3.29,0,0.00,0,0.00,31,0.00
2,322,695,2.16,669,2.08,1939,6.02,129,0.40,2,0.01,0,0.00
3,25638,36629,1.43,32345,1.26,309230,12.06,7125,0.28,16,0.00,67,0.00
4,410,1247,3.04,733,1.79,8311,20.27,27,0.07,1,0.00,9,0.02
5,2261,4823,2.13,4381,1.94,72401,32.02,7066,3.13,154,0.07,0,0.00
6,125,445,3.56,396,3.17,3260,26.08,356,2.85,5,0.04,0,0.00
7,778,4750,6.11,1693,2.18,42327,54.40,13330,17.13,64,0.08,0,0.00
8,106,462,4.36,435,4.10,4686,44.21,170,1.60,0,0.00,8,0.08
9,568,2367,4.17,1211,2.13,33333,58.68,13779,24.26,48,0.08,0,0.00
10,75,377,5.03,276,3.68,4663,62.17,649,8.65,7,0.09,16,0.21
11,454,1240,2.73,1683,3.71,55356,121.93,16822,37.05,113,0.25,0,0.00
12,72,632,8.78,506,7.03,4161,57.79,1190,16.53,0,0.00,0,0.00
13,96,618,6.44,349,3.64,12132,126.38,3047,31.74,67,0.70,0,0.00
14,41,460,11.22,464,11.32,2962,72.24,34,0.83,19,0.46,1,0.02
15,115,1043,9.07,621,5.40,9395,81.70,5753,50.03,41,0.36,0,0.00
16,60,614,10.23,603,10.05,7052,117.53,275,4.58,28,0.47,1,0.02
17,197,895,4.54,473,2.40,18244,92.61,6360,32.28,1636,8.30,114,0.58
18,12,80,6.67,54,4.50,3199,266.58,305,25.42,17,1.42,1,0.08
19,142,1018,7.17,496,3.49,34578,243.51,10597,74.63,93,0.65,10,0.07
20,13,105,8.08,73,5.62,1986,152.77,305,23.46,24,1.85,8,0.62
21,35,446,12.74,219,6.26,6655,190.14,4836,138.17,17,0.49,0,0.00
22,17,67,3.94,67,3.94,2924,172.00,222,13.06,3,0.18,1,0.06
23,137,2326,16.98,1745,12.74,31410,229.27,11471,83.73,21,0.15,0,0.00
24,67,368,5.49,158,2.36,29007,432.94,4320,64.48,0,0.00,0,0.00
25,40,587,14.68,276,6.90,10909,272.73,8596,214.90,54,1.35,4,0.10
26,23,183,7.96,48,2.09,21254,924.09,2033,88.39,0,0.00,0,0.00
27,116,1124,9.69,472,4.07,53398,460.33,17744,152.97,3,0.03,0,0.00
28,5,61,12.20,25,5.00,1892,378.40,1272,254.40,50,10.00,0,0.00
29,85,1372,16.14,260,3.06,110244,1296.99,28326,333.25,12,0.14,0,0.00
30,9,52,5.78,23,2.56,10409,1156.56,855,95.00,12,1.33,12,1.33
31,41,534,13.02,73,1.78,16227,395.78,11637,283.83,164,4.00,0,0.00
32,22,592,26.91,15,0.68,290714,13214.27,50218,2282.64,358,16.27,16,0.73
33,36,490,13.61,196,5.44,19506,541.83,7956,221.00,140,3.89,0,0.00
34,6,82,13.67,22,3.67,2708,451.33,980,163.33,64,10.67,0,0.00
35,18,314,17.44,124,6.89,8123,451.28,9606,533.67,140,7.78,4,0.22
36,6,60,10.00,16,2.67,3334,555.67,1248,208.00,82,13.67,0,0.00
37,31,717,23.13,480,15.48,15811,510.03,10036,323.74,32,1.03,0,0.00
38,2,34,17.00,2,1.00,808,404.00,1088,544.00,0,0.00,0,0.00
39,13,159,12.23,69,5.31,9216,708.92,3314,254.92,70,5.38,1,0.08
40,16,140,8.75,16,1.00,11037,689.81,2149,134.31,47,2.94,2,0.12
41,10,194,19.40,78,7.80,8513,851.30,4809,480.90,63,6.30,0,0.00
42,150,238,1.59,296,1.97,26818,178.79,3316,22.11,24,0.16,4,0.03
43,92,1312,14.26,556,6.04,79691,866.21,19487,211.82,115,1.25,0,0.00
44,8,220,27.50,180,22.50,3428,428.50,1656,207.00,0,0.00,0,0.00
45,24,472,19.67,239,9.96,18323,763.46,10481,436.71,238,9.92,6,0.25
46,4,57,14.25,9,2.25,1866,466.50,1288,322.00,24,6.00,3,0.75
47,58,920,15.86,368,6.34,55764,961.45,12154,209.55,206,3.55,0,0.00
48,7,138,19.71,12,1.71,4815,687.86,1449,207.00,148,21.14,4,0.57
49,12,224,18.67,69,5.75,8643,720.25,8784,732.00,108,9.00,4,0.33
50,8,276,34.50,204,25.50,3325,415.62,2795,349.38,0,0.00,0,0.00
51,8,192,24.00,68,8.50,14891,1861.38,5768,721.00,18,2.25,0,0.00
52,12,208,17.33,80,6.67,8484,707.00,7776,648.00,16,1.33,8,0.67
53,10,240,24.00,108,10.80,10870,1087.00,8088,808.80,0,0.00,0,0.00
54,14,34,2.43,14,1.00,34132,2438.00,45704,3264.57,450,32.14,0,0.00
55,12,198,16.50,64,5.33,16635,1386.25,2019,168.25,0,0.00,0,0.00
56,4,224,56.00,224,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,28,784,28.00,576,20.57,21371,763.25,5011,178.96,74,2.64,4,0.14
58,4,16,4.00,8,2.00,1948,487.00,124,31.00,0,0.00,4,1.00
59,3,30,10.00,5,1.67,3479,1159.67,578,192.67,99,33.00,0,0.00
60,25,72,2.88,25,1.00,22136,885.44,4368,174.72,29,1.16,1,0.04
61,4,244,61.00,244,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,2,12,6.00,4,2.00,1354,677.00,116,58.00,0,0.00,2,1.00
63,28,496,17.71,200,7.14,32656,1166.29,12268,438.14,0,0.00,4,0.14
65,10,84,8.40,40,4.00,7127,712.70,558,55.80,168,16.80,4,0.40
66,2,16,8.00,6,3.00,4022,2011.00,340,170.00,0,0.00,0,0.00
67,2,44,22.00,4,2.00,2468,1234.00,3508,1754.00,0,0.00,0,0.00
68,3,21,7.00,4,1.33,3245,1081.67,588,196.00,0,0.00,0,0.00
69,8,212,26.50,192,24.00,4712,589.00,292,36.50,0,0.00,4,0.50
70,2,50,25.00,30,15.00,2780,1390.00,180,90.00,0,0.00,0,0.00
72,6,36,6.00,4,0.67,10046,1674.33,1370,228.33,128,21.33,0,0.00
73,56,1264,22.57,476,8.50,83312,1487.71,35684,637.21,224,4.00,4,0.07
75,12,440,36.67,28,2.33,27620,2301.67,24060,2005.00,32,2.67,0,0.00
76,2,28,14.00,2,1.00,6912,3456.00,720,360.00,0,0.00,0,0.00
77,12,649,54.08,326,27.17,21640,1803.33,44727,3727.25,158,13.17,2,0.17
81,2,50,25.00,2,1.00,1260,630.00,2640,1320.00,150,75.00,0,0.00
83,24,624,26.00,240,10.00,40872,1703.00,21384,891.00,0,0.00,0,0.00
84,13,48,3.69,13,1.00,10338,795.23,1252,96.31,32,2.46,24,1.85
85,2,0,0.00,2,1.00,8,4.00,0,0.00,164,82.00,2,1.00
86,1,40,40.00,1,1.00,2800,2800.00,697,697.00,37,37.00,0,0.00
87,5,48,9.60,17,3.40,11201,2240.20,1911,382.20,0,0.00,2,0.40
88,4,0,0.00,0,0.00,352,88.00,0,0.00,0,0.00,4,1.00
89,4,176,44.00,4,1.00,2132,533.00,8040,2010.00,140,35.00,0,0.00
90,2,60,30.00,4,2.00,3140,1570.00,7462,3731.00,166,83.00,0,0.00
91,6,405,67.50,188,31.33,12237,2039.50,19032,3172.00,206,34.33,3,0.50
93,13,368,28.31,138,10.62,26805,2061.92,14162,1089.38,0,0.00,0,0.00
95,2,14,7.00,2,1.00,4942,2471.00,288,144.00,134,67.00,4,2.00
96,100,720,7.20,368,3.68,166980,1669.80,49776,497.76,1244,12.44,0,0.00
97,9,260,28.89,90,10.00,22487,2498.56,10111,1123.44,53,5.89,1,0.11
98,4,44,11.00,4,1.00,12628,3157.00,1208,302.00,280,70.00,0,0.00
100,2,36,18.00,2,1.00,9914,4957.00,1278,639.00,0,0.00,0,0.00
101,5,212,42.40,5,1.00,9351,1870.20,19768,3953.60,53,10.60,1,0.20
103,12,664,55.33,304,25.33,26468,2205.67,54780,4565.00,0,0.00,0,0.00
107,10,272,27.20,98,9.80,17648,1764.80,11960,1196.00,208,20.80,2,0.20
109,2,36,18.00,4,2.00,4488,2244.00,1338,669.00,126,63.00,0,0.00
113,108,3588,33.22,988,9.15,420376,3892.37,120696,1117.56,272,2.52,0,0.00
114,1,8,8.00,2,2.00,194,194.00,21,21.00,0,0.00,7,7.00
115,12,912,76.00,240,20.00,16332,1361.00,99466,8288.83,140,11.67,0,0.00
116,1,20,20.00,8,8.00,5607,5607.00,540,540.00,0,0.00,0,0.00
117,23,1482,64.43,655,28.48,61759,2685.17,126294,5491.04,226,9.83,0,0.00
123,17,702,41.29,174,10.24,35304,2076.71,52972,3116.00,0,0.00,2,0.12
124,2,44,22.00,2,1.00,12916,6458.00,2030,1015.00,0,0.00,0,0.00
125,6,496,82.67,254,42.33,11756,1959.33,65400,10900.00,0,0.00,2,0.33
127,4,80,20.00,4,1.00,12638,3159.50,615,153.75,481,120.25,12,3.00
129,2,0,0.00,2,1.00,52,26.00,0,0.00,208,104.00,2,1.00
130,4,46,11.50,16,4.00,15812,3953.00,1988,497.00,0,0.00,0,0.00
133,5,182,36.40,61,12.20,14836,2967.20,11899,2379.80,12,2.40,1,0.20
134,1,29,29.00,5,5.00,5001,5001.00,1958,1958.00,6,6.00,0,0.00
136,1,65,65.00,1,1.00,3029,3029.00,691,691.00,80,80.00,1,1.00
137,14,602,43.00,210,15.00,39816,2844.00,34580,2470.00,0,0.00,0,0.00
141,2,63,31.50,21,10.50,13637,6818.50,5864,2932.00,137,68.50,1,0.50
143,8,352,44.00,128,16.00,23848,2981.00,21552,2694.00,0,0.00,0,0.00
144,1,7,7.00,2,2.00,3642,3642.00,266,266.00,86,86.00,2,2.00
145,2,0,0.00,2,1.00,48,24.00,0,0.00,244,122.00,2,1.00
147,26,1104,42.46,386,14.85,73664,2833.23,68376,2629.85,0,0.00,2,0.08
153,8,252,31.50,72,9.00,42308,5288.50,18472,2309.00,0,0.00,0,0.00
157,17,833,49.00,289,17.00,55071,3239.47,51667,3039.24,473,27.82,0,0.00
165,4,0,0.00,4,1.00,140,35.00,0,0.00,524,131.00,4,1.00
167,1,6,6.00,1,1.00,5256,5256.00,418,418.00,103,103.00,2,2.00
