tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13411,22266,1.66,23982,1.79,43000,3.21,0,0.00,0,0.00,28,0.00
2,182,371,2.04,358,1.97,972,5.34,77,0.42,1,0.01,0,0.00
3,13103,18791,1.43,16586,1.27,158408,12.09,3724,0.28,8,0.00,34,0.00
4,227,657,2.89,404,1.78,4500,19.82,23,0.10,0,0.00,6,0.03
5,1256,2686,2.14,2428,1.93,40514,32.26,4214,3.36,81,0.06,0,0.00
6,77,252,3.27,216,2.81,2255,29.29,247,3.21,2,0.03,0,0.00
7,429,2552,5.95,939,2.19,22810,53.17,7134,16.63,36,0.08,0,0.00
8,62,262,4.23,241,3.89,3045,49.11,154,2.48,0,0.00,4,0.06
9,311,1277,4.11,650,2.09,18432,59.27,7413,23.84,25,0.08,0,0.00
10,44,201,4.57,147,3.34,3039,69.07,358,8.14,7,0.16,18,0.41
11,230,603,2.62,835,3.63,28523,124.01,6990,30.39,51,0.22,0,0.00
12,42,336,8.00,263,6.26,2624,62.48,699,16.64,0,0.00,0,0.00
13,51,339,6.65,202,3.96,6154,120.67,1558,30.55,25,0.49,0,0.00
14,27,239,8.85,240,8.89,2280,84.44,22,0.81,13,0.48,1,0.04
15,62,544,8.77,315,5.08,5097,82.21,3015,48.63,28,0.45,0,0.00
16,39,366,9.38,353,9.05,5232,134.15,192,4.92,0,0.00,1,0.03
17,98,438,4.47,233,2.38,8939,91.21,3182,32.47,810,8.27,57,0.58
18,8,44,5.50,30,3.75,2090,261.25,160,20.00,17,2.12,1,0.12
19,72,512,7.11,249,3.46,17540,243.61,5397,74.96,26,0.36,5,0.07
20,8,55,6.88,38,4.75,1311,163.88,172,21.50,12,1.50,4,0.50
21,20,231,11.55,113,5.65,3949,197.45,2465,123.25,25,1.25,0,0.00
22,12,39,3.25,39,3.25,2216,184.67,182,15.17,3,0.25,1,0.08
23,69,1151,16.68,873,12.65,15911,230.59,5464,79.19,0,0.00,0,0.00
24,37,197,5.32,83,2.24,15682,423.84,2247,60.73,0,0.00,0,0.00
25,22,311,14.14,149,6.77,7607,345.77,4388,199.45,32,1.45,2,0.09
26,12,92,7.67,25,2.08,10780,898.33,1022,85.17,0,0.00,0,0.00
27,61,596,9.77,241,3.95,27457,450.11,9531,156.25,11,0.18,0,0.00
28,3,31,10.33,13,4.33,1244,414.67,636,212.00,25,8.33,0,0.00
29,43,689,16.02,132,3.07,55898,1299.95,14254,331.49,0,0.00,0,0.00
30,5,29,5.80,12,2.40,3991,798.20,453,90.60,0,0.00,6,1.20
31,22,289,13.14,37,1.68,8457,384.41,6577,298.95,58,2.64,0,0.00
32,12,286,23.83,11,0.92,149057,12421.42,27253,2271.08,239,19.92,8,0.67
33,18,245,13.61,98,5.44,9753,541.83,3978,221.00,70,3.89,0,0.00
34,7,113,16.14,43,6.14,8138,1162.57,1222,174.57,32,4.57,0,0.00
35,9,155,17.22,61,6.78,3816,424.00,4755,528.33,86,9.56,3,0.33
36,3,30,10.00,8,2.67,1667,555.67,624,208.00,41,13.67,0,0.00
37,17,382,22.47,248,14.59,8930,525.29,5258,309.29,16,0.94,0,0.00
38,1,17,17.00,1,1.00,404,404.00,544,544.00,0,0.00,0,0.00
39,7,80,11.43,35,5.00,4744,677.71,1667,238.14,35,5.00,1,0.14
40,8,70,8.75,8,1.00,5682,710.25,1079,134.88,16,2.00,0,0.00
41,5,97,19.40,39,7.80,4338,867.60,2406,481.20,0,0.00,0,0.00
42,76,131,1.72,149,1.96,14196,186.79,1763,23.20,12,0.16,4,0.05
43,46,656,14.26,278,6.04,39927,867.98,9745,211.85,26,0.57,0,0.00
44,4,110,27.50,90,22.50,1714,428.50,828,207.00,0,0.00,0,0.00
45,14,264,18.86,131,9.36,11552,825.14,5841,417.21,119,8.50,3,0.21
46,3,36,12.00,8,2.67,1382,460.67,790,263.33,12,4.00,3,1.00
47,29,460,15.86,184,6.34,27993,965.28,6080,209.66,78,2.69,0,0.00
48,4,63,15.75,8,2.00,2604,651.00,752,188.00,74,18.50,2,0.50
49,7,116,16.57,35,5.00,5423,774.71,4468,638.29,100,14.29,3,0.43
50,5,153,30.60,103,20.60,2783,556.60,1783,356.60,0,0.00,0,0.00
51,3,88,29.33,32,10.67,6277,2092.33,2672,890.67,9,3.00,0,0.00
52,6,104,17.33,40,6.67,4242,707.00,3888,648.00,8,1.33,4,0.67
53,3,86,28.67,40,13.33,3307,1102.33,3336,1112.00,0,0.00,0,0.00
54,7,17,2.43,7,1.00,13797,1971.00,22795,3256.43,225,32.14,0,0.00
55,7,119,17.00,33,4.71,10041,1434.43,1406,200.86,0,0.00,0,0.00
56,2,112,56.00,112,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,12,354,29.50,274,22.83,8415,701.25,1686,140.50,34,2.83,2,0.17
58,2,8,4.00,4,2.00,974,487.00,62,31.00,0,0.00,2,1.00
59,2,19,9.50,3,1.50,2256,1128.00,360,180.00,53,26.50,0,0.00
60,14,39,2.79,14,1.00,12005,857.50,2366,169.00,29,2.07,1,0.07
61,2,122,61.00,122,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,1,6,6.00,2,2.00,677,677.00,58,58.00,0,0.00,1,1.00
63,14,248,17.71,100,7.14,16328,1166.29,6134,438.14,0,0.00,2,0.14
65,6,52,8.67,24,4.00,4599,766.50,468,78.00,106,17.67,2,0.33
66,1,8,8.00,3,3.00,2011,2011.00,170,170.00,0,0.00,0,0.00
67,1,22,22.00,2,2.00,1234,1234.00,1754,1754.00,0,0.00,0,0.00
68,2,18,9.00,3,1.50,2011,1005.50,369,184.50,0,0.00,0,0.00
69,4,106,26.50,96,24.00,2356,589.00,146,36.50,0,0.00,2,0.50
70,1,25,25.00,15,15.00,1390,1390.00,90,90.00,0,0.00,0,0.00
72,3,18,6.00,2,0.67,5023,1674.33,685,228.33,64,21.33,0,0.00
73,30,678,22.60,256,8.53,44574,1485.80,18758,625.27,160,5.33,2,0.07
75,6,220,36.67,14,2.33,13804,2300.67,11751,1958.50,20,3.33,0,0.00
76,1,14,14.00,1,1.00,3456,3456.00,360,360.00,0,0.00,0,0.00
77,7,338,48.29,167,23.86,12580,1797.14,22260,3180.00,100,14.29,1,0.14
81,1,25,25.00,1,1.00,630,630.00,1320,1320.00,75,75.00,0,0.00
83,12,312,26.00,120,10.00,20436,1703.00,10692,891.00,0,0.00,0,0.00
84,6,6,1.00,6,1.00,3786,631.00,300,50.00,0,0.00,12,2.00
85,1,0,0.00,1,1.00,4,4.00,0,0.00,82,82.00,1,1.00
86,1,40,40.00,1,1.00,2800,2800.00,697,697.00,37,37.00,0,0.00
87,2,16,8.00,6,3.00,3763,1881.50,637,318.50,0,0.00,1,0.50
88,2,0,0.00,0,0.00,176,88.00,0,0.00,0,0.00,2,1.00
89,2,88,44.00,2,1.00,1092,546.00,5551,2775.50,46,23.00,0,0.00
90,1,30,30.00,2,2.00,1570,1570.00,3731,3731.00,83,83.00,0,0.00
91,2,180,90.00,92,46.00,4108,2054.00,12647,6323.50,46,23.00,0,0.00
93,7,194,27.71,72,10.29,15309,2187.00,7418,1059.71,0,0.00,0,0.00
95,1,7,7.00,1,1.00,2471,2471.00,144,144.00,67,67.00,3,3.00
