tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,732362,1205120,1.65,1315088,1.80,2444723,3.34,0,0.00,0,0.00,696,0.00
2,8468,19082,2.25,18096,2.14,44892,5.30,3422,0.40,58,0.01,0,0.00
3,738394,1048984,1.42,929330,1.26,8890598,12.04,199810,0.27,352,0.00,1972,0.00
4,10668,32998,3.09,19600,1.84,214010,20.06,232,0.02,0,0.00,174,0.02
5,62350,132936,2.13,120814,1.94,2003320,32.13,193272,3.10,3944,0.06,0,0.00
6,3074,11832,3.85,10556,3.43,70398,22.90,8816,2.87,188,0.06,0,0.00
7,21692,136648,6.30,46284,2.13,1206520,55.62,379320,17.49,1678,0.08,0,0.00
8,2552,11020,4.32,10556,4.14,102834,40.30,2204,0.86,0,0.00,232,0.09
9,14964,63452,4.24,32654,2.18,867840,58.00,370562,24.76,714,0.05,0,0.00
10,2030,11600,5.71,8758,4.31,105212,51.83,16472,8.11,0,0.00,348,0.17
11,12528,33930,2.71,47560,3.80,1531316,122.23,460752,36.78,2900,0.23,0,0.00
12,1972,18560,9.41,15602,7.91,94830,48.09,28478,14.44,0,0.00,0,0.00
13,3159,20841,6.60,12261,3.88,407374,128.96,100018,31.66,1450,0.46,0,0.00
14,928,11426,12.31,11600,12.50,61712,66.50,696,0.75,0,0.00,0,0.00
15,2842,26506,9.33,15892,5.59,239884,84.41,149756,52.69,1,0.00,0,0.00
16,1508,18850,12.50,19140,12.69,109040,72.31,4814,3.19,0,0.00,0,0.00
17,5367,23873,4.45,13054,2.43,453390,84.48,170779,31.82,46982,8.75,3306,0.62
18,205,2007,9.79,1338,6.53,53738,262.14,8356,40.76,0,0.00,0,0.00
19,4002,29058,7.26,14210,3.55,970742,242.56,308211,77.01,1510,0.38,290,0.07
20,317,3008,9.49,2084,6.57,51649,162.93,7926,25.00,698,2.20,232,0.73
21,1071,13912,12.99,6376,5.95,188466,175.97,157459,147.02,404,0.38,0,0.00
22,290,1624,5.60,1624,5.60,41064,141.60,2320,8.00,0,0.00,0,0.00
23,4002,68614,17.14,50808,12.70,924926,231.12,357396,89.30,0,0.00,0,0.00
24,1914,10672,5.58,4582,2.39,833112,435.27,123366,64.45,0,0.00,0,0.00
25,1160,17400,15.00,7482,6.45,209378,180.50,273369,235.66,1278,1.10,116,0.10
26,638,5278,8.27,1334,2.09,607492,952.18,58638,91.91,0,0.00,0,0.00
27,3190,30972,9.71,13050,4.09,1464030,458.94,501145,157.10,3,0.00,0,0.00
28,116,1740,15.00,696,6.00,37582,323.98,36844,317.62,1452,12.52,0,0.00
29,2204,36366,16.50,7192,3.26,3165582,1436.29,741588,336.47,0,0.00,0,0.00
30,232,1334,5.75,638,2.75,209380,902.50,23316,100.50,0,0.00,348,1.50
31,1276,16820,13.18,2262,1.77,486556,381.31,387652,303.80,3948,3.09,0,0.00
32,522,16356,31.33,174,0.33,8774530,16809.44,1581370,3029.44,12180,23.33,406,0.78
33,1160,16066,13.85,5800,5.00,589418,508.12,284683,245.42,4213,3.63,0,0.00
34,174,2378,13.67,638,3.67,78528,451.31,28388,163.15,1860,10.69,0,0.00
35,522,9222,17.67,3654,7.00,249838,478.62,281373,539.03,3101,5.94,58,0.11
36,174,1740,10.00,464,2.67,96203,552.89,36153,207.78,2537,14.58,0,0.00
37,928,20938,22.56,14036,15.12,481922,519.31,296286,319.27,930,1.00,0,0.00
38,58,986,17.00,58,1.00,23432,404.00,31552,544.00,0,0.00,0,0.00
39,348,4582,13.17,1972,5.67,260534,748.66,95525,274.50,2032,5.84,0,0.00
40,406,3654,9.00,406,1.00,282922,696.85,58197,143.34,930,2.29,0,0.00
41,290,5626,19.40,2262,7.80,251604,867.60,139548,481.20,0,0.00,0,0.00
42,4350,6902,1.59,8584,1.97,777722,178.79,96164,22.11,696,0.16,116,0.03
43,2668,38048,14.26,16124,6.04,2315416,867.85,561701,210.53,1740,0.65,0,0.00
44,232,6380,27.50,5220,22.50,99412,428.50,48024,207.00,0,0.00,0,0.00
45,580,12064,20.80,6264,10.80,392598,676.89,261224,450.39,7078,12.20,174,0.30
46,58,1218,21.00,58,1.00,28072,484.00,28848,497.38,696,12.00,0,0.00
47,1740,26970,15.50,10730,6.17,1703054,978.77,356504,204.89,4525,2.60,0,0.00
48,174,3190,18.33,232,1.33,95524,548.99,37053,212.95,4294,24.68,116,0.67
49,290,6264,21.60,1972,6.80,178580,615.79,250271,863.00,3134,10.81,58,0.20
50,174,7134,41.00,5858,33.67,31436,180.67,58696,337.33,0,0.00,0,0.00
51,232,5626,24.25,2030,8.75,418642,1804.49,175323,755.70,524,2.26,0,0.00
52,348,6032,17.33,2320,6.67,246034,706.99,225447,647.84,466,1.34,232,0.67
53,174,4988,28.67,2320,13.33,191806,1102.33,193488,1112.00,0,0.00,0,0.00
54,406,986,2.43,406,1.00,982114,2419.00,1357316,3343.14,13050,32.14,0,0.00
55,290,4582,15.80,1798,6.20,382452,1318.80,35554,122.60,0,0.00,0,0.00
56,116,6496,56.00,6496,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,812,22736,28.00,16704,20.57,619846,763.36,145696,179.43,2088,2.57,116,0.14
58,116,464,4.00,232,2.00,56492,487.00,3596,31.00,0,0.00,116,1.00
59,58,638,11.00,116,2.00,71862,1239.00,12644,218.00,1740,30.00,0,0.00
60,638,1914,3.00,638,1.00,587504,920.85,116116,182.00,34,0.05,0,0.00
61,116,7076,61.00,7076,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,58,348,6.00,116,2.00,39266,677.00,3364,58.00,0,0.00,58,1.00
63,812,14384,17.71,5800,7.14,947024,1166.29,355772,438.14,0,0.00,116,0.14
65,232,1856,8.00,928,4.00,146624,632.00,5220,22.50,3596,15.50,116,0.50
66,58,464,8.00,174,3.00,116638,2011.00,9860,170.00,0,0.00,0,0.00
67,174,3828,22.00,1044,6.00,228520,1313.33,168200,966.67,0,0.00,0,0.00
68,58,174,3.00,58,1.00,71572,1234.00,12702,219.00,0,0.00,0,0.00
69,232,6148,26.50,5568,24.00,136648,589.00,8468,36.50,0,0.00,116,0.50
70,58,1450,25.00,870,15.00,80620,1390.00,5220,90.00,0,0.00,0,0.00
72,174,1044,6.00,116,0.67,291334,1674.33,39730,228.33,3712,21.33,0,0.00
73,1392,31320,22.50,11716,8.42,2078372,1493.08,893432,641.83,0,0.00,116,0.08
75,348,12760,36.67,812,2.33,797500,2291.67,626052,1799.00,4408,12.67,0,0.00
76,58,812,14.00,58,1.00,200448,3456.00,20880,360.00,0,0.00,0,0.00
77,290,18038,62.20,9222,31.80,521536,1798.40,1112034,3834.60,7134,24.60,58,0.20
81,58,1450,25.00,58,1.00,36540,630.00,76560,1320.00,4350,75.00,0,0.00
83,638,15370,24.09,5858,9.18,1061864,1664.36,523044,819.82,3190,5.00,58,0.09
84,406,2436,6.00,406,1.00,380016,936.00,55216,136.00,1856,4.57,696,1.71
