tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,26664,44194,1.66,47586,1.78,86299,3.24,0,0.00,0,0.00,38,0.00
2,350,736,2.10,710,2.03,1920,5.49,140,0.40,2,0.01,0,0.00
3,26053,37309,1.43,32873,1.26,314540,12.07,7350,0.28,13,0.00,68,0.00
4,444,1276,2.87,782,1.76,8816,19.86,46,0.10,0,0.00,12,0.03
5,2370,5038,2.13,4562,1.92,75916,32.03,7866,3.32,171,0.07,0,0.00
6,146,514,3.52,440,3.01,4104,28.11,410,2.81,4,0.03,0,0.00
7,823,4960,6.03,1761,2.14,44553,54.13,13660,16.60,72,0.09,0,0.00
8,120,512,4.27,474,3.95,5815,48.46,262,2.18,1,0.01,8,0.07
9,614,2502,4.07,1256,2.05,36676,59.73,14720,23.97,50,0.08,0,0.00
10,88,434,4.93,330,3.75,5698,64.75,730,8.30,14,0.16,20,0.23
11,469,1275,2.72,1719,3.67,57479,122.56,13981,29.81,120,0.26,0,0.00
12,84,712,8.48,570,6.79,5052,60.14,1398,16.64,0,0.00,0,0.00
13,103,658,6.39,377,3.66,13156,127.73,3180,30.87,50,0.49,0,0.00
14,46,470,10.22,472,10.26,3824,83.13,44,0.96,26,0.57,2,0.04
15,116,1032,8.90,622,5.36,9506,81.95,5562,47.95,40,0.34,0,0.00
16,78,732,9.38,706,9.05,10464,134.15,384,4.92,0,0.00,2,0.03
17,196,876,4.47,466,2.38,17850,91.07,6154,31.40,1644,8.39,114,0.58
18,16,88,5.50,60,3.75,4180,261.25,320,20.00,34,2.12,2,0.12
19,139,990,7.12,497,3.58,34133,245.56,10106,72.71,62,0.45,10,0.07
20,19,125,6.58,91,4.79,2817,148.26,344,18.11,24,1.26,8,0.42
21,38,416,10.95,184,4.84,6626,174.37,4364,114.84,13,0.34,0,0.00
22,24,78,3.25,78,3.25,4432,184.67,364,15.17,6,0.25,2,0.08
23,154,2510,16.30,1818,11.81,36566,237.44,14396,93.48,0,0.00,0,0.00
24,68,368,5.41,158,2.32,29286,430.68,4386,64.50,0,0.00,0,0.00
25,46,644,14.00,309,6.72,15568,338.43,9029,196.28,64,1.39,4,0.09
26,24,184,7.67,50,2.08,21560,898.33,2044,85.17,0,0.00,0,0.00
27,118,1140,9.66,478,4.05,54260,459.83,17698,149.98,50,0.42,0,0.00
28,6,62,10.33,26,4.33,2488,414.67,1272,212.00,50,8.33,0,0.00
29,86,1378,16.02,264,3.07,110342,1283.05,28128,327.07,66,0.77,0,0.00
30,10,58,5.80,24,2.40,7736,773.60,852,85.20,16,1.60,12,1.20
31,46,594,12.91,80,1.74,18300,397.83,13702,297.87,64,1.39,0,0.00
32,22,612,27.82,20,0.91,300238,13647.18,54846,2493.00,420,19.09,14,0.64
33,36,490,13.61,196,5.44,19506,541.83,7956,221.00,140,3.89,0,0.00
34,8,86,10.75,24,3.00,3712,464.00,1011,126.38,64,8.00,2,0.25
35,19,315,16.58,127,6.68,7865,413.95,9186,483.47,184,9.68,6,0.32
36,10,204,20.40,160,16.00,3334,333.40,1248,124.80,82,8.20,0,0.00
37,22,416,18.91,180,8.18,14984,681.09,9148,415.82,46,2.09,0,0.00
38,6,186,31.00,154,25.67,808,134.67,1088,181.33,0,0.00,0,0.00
39,15,191,12.73,95,6.33,9919,661.27,3532,235.47,70,4.67,2,0.13
40,16,140,8.75,16,1.00,11364,710.25,2158,134.88,32,2.00,0,0.00
41,10,194,19.40,78,7.80,8676,867.60,4812,481.20,0,0.00,0,0.00
42,151,263,1.74,301,1.99,28019,185.56,3481,23.05,26,0.17,19,0.13
43,88,1248,14.18,528,6.00,75492,857.86,20035,227.67,24,0.27,0,0.00
44,8,220,27.50,180,22.50,3428,428.50,1656,207.00,0,0.00,0,0.00
45,36,656,18.22,318,8.83,31760,882.22,13694,380.39,368,10.22,6,0.17
46,6,72,12.00,16,2.67,2764,460.67,1562,260.33,24,4.00,6,1.00
47,54,856,15.85,340,6.30,51312,950.22,11974,221.74,198,3.67,0,0.00
48,8,122,15.25,16,2.00,5096,637.00,1492,186.50,148,18.50,4,0.50
49,14,232,16.57,70,5.00,11128,794.86,8936,638.29,108,7.71,6,0.43
50,10,306,30.60,206,20.60,5566,556.60,3566,356.60,0,0.00,0,0.00
51,6,176,29.33,64,10.67,12554,2092.33,5344,890.67,18,3.00,0,0.00
52,13,221,17.00,81,6.23,9462,727.85,7960,612.31,16,1.23,10,0.77
53,6,172,28.67,80,13.33,6614,1102.33,6672,1112.00,0,0.00,0,0.00
54,14,34,2.43,14,1.00,26518,1894.14,43410,3100.71,450,32.14,0,0.00
55,14,238,17.00,66,4.71,19766,1411.86,2812,200.86,100,7.14,0,0.00
56,8,448,56.00,448,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,25,575,23.00,355,14.20,22062,882.48,5112,204.48,202,8.08,4,0.16
58,4,16,4.00,8,2.00,1948,487.00,124,31.00,0,0.00,4,1.00
59,5,38,7.60,7,1.40,4516,903.20,720,144.00,162,32.40,1,0.20
60,28,78,2.79,28,1.00,24068,859.57,4732,169.00,0,0.00,2,0.07
61,5,244,48.80,245,49.00,4,0.80,0,0.00,58,11.60,1,0.20
62,2,12,6.00,4,2.00,1354,677.00,116,58.00,0,0.00,2,1.00
63,28,496,17.71,200,7.14,32656,1166.29,12268,438.14,0,0.00,4,0.14
65,12,104,8.67,48,4.00,9000,750.00,930,77.50,258,21.50,4,0.33
66,2,16,8.00,6,3.00,4022,2011.00,340,170.00,0,0.00,0,0.00
67,2,44,22.00,4,2.00,2468,1234.00,3508,1754.00,0,0.00,0,0.00
68,4,36,9.00,6,1.50,4022,1005.50,738,184.50,0,0.00,0,0.00
69,8,212,26.50,192,24.00,4712,589.00,292,36.50,0,0.00,4,0.50
