tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,382510,653497,1.71,694537,1.82,1198273,3.13,0,0.00,0,0.00,551,0.00
2,4930,10279,2.08,9915,2.01,29311,5.95,2036,0.41,23,0.00,0,0.00
3,363102,522278,1.44,458925,1.26,4387680,12.08,104338,0.29,300,0.00,982,0.00
4,6337,18211,2.87,11531,1.82,125231,19.76,650,0.10,26,0.00,168,0.03
5,35812,76852,2.15,68198,1.90,1142694,31.91,326494,9.12,2456,0.07,10,0.00
6,1991,6544,3.29,5716,2.87,58129,29.20,5809,2.92,83,0.04,0,0.00
7,11669,69615,5.97,25612,2.19,643996,55.19,193420,16.58,1013,0.09,0,0.00
8,1645,6770,4.12,6232,3.79,82648,50.24,3704,2.25,13,0.01,110,0.07
9,8760,35974,4.11,18279,2.09,518472,59.19,208530,23.80,1010,0.12,11,0.00
10,1294,6642,5.13,5189,4.01,79236,61.23,10208,7.89,198,0.15,274,0.21
11,6480,17012,2.63,23464,3.62,804996,124.23,154655,23.87,1305,0.20,2,0.00
12,1066,8471,7.95,6355,5.96,73836,69.26,19660,18.44,52,0.05,32,0.03
13,1728,11762,6.81,7161,4.14,197163,114.10,52466,30.36,714,0.41,0,0.00
14,592,5844,9.87,5854,9.89,53604,90.55,714,1.21,526,0.89,28,0.05
15,1576,13730,8.71,7923,5.03,134360,85.25,80228,50.91,25,0.02,8,0.01
16,1090,10250,9.40,9850,9.04,144348,132.43,5268,4.83,756,0.69,28,0.03
17,2688,11858,4.41,6462,2.40,242762,90.31,84618,31.48,22406,8.34,1616,0.60
18,212,1196,5.64,816,3.85,53796,253.75,4456,21.02,486,2.29,28,0.13
19,1990,14209,7.14,6921,3.48,482042,242.23,152494,76.63,311,0.16,140,0.07
20,242,1674,6.92,1226,5.07,36672,151.54,4904,20.26,32,0.13,116,0.48
21,665,7589,11.41,3293,4.95,133082,200.12,92489,139.08,154,0.23,0,0.00
22,336,1092,3.25,1092,3.25,62042,184.65,5086,15.14,92,0.27,28,0.08
23,1907,31942,16.75,24424,12.81,441915,231.73,146486,76.81,672,0.35,0,0.00
24,978,5282,5.40,2238,2.29,420248,429.70,61898,63.29,0,0.00,0,0.00
25,647,9086,14.04,4219,6.52,216390,334.45,128533,198.66,1564,2.42,60,0.09
26,336,2576,7.67,700,2.08,301308,896.75,27846,82.88,532,1.58,0,0.00
27,1682,17526,10.42,8234,4.90,737186,438.28,233779,138.99,726,0.43,0,0.00
28,86,870,10.12,366,4.26,36421,423.50,14248,165.67,292,3.40,0,0.00
29,1151,19320,16.79,4425,3.84,1576355,1369.55,394091,342.39,783,0.68,0,0.00
30,141,816,5.79,337,2.39,142931,1013.70,10895,77.27,952,6.75,170,1.21
31,565,7292,12.91,993,1.76,228404,404.25,170062,300.99,402,0.71,8,0.01
32,310,8412,27.14,285,0.92,4065730,13115.26,697287,2249.31,4200,13.55,206,0.66
33,560,7756,13.85,2800,5.00,285390,509.62,143766,256.73,1211,2.16,0,0.00
34,87,1168,13.43,311,3.57,39735,456.72,18738,215.38,350,4.02,6,0.07
35,252,4340,17.22,1708,6.78,106988,424.56,123284,489.22,2212,8.78,84,0.33
36,142,2868,20.20,2242,15.79,47720,336.06,13242,93.25,952,6.70,4,0.03
37,364,7896,21.69,4592,12.62,210308,577.77,140574,386.19,252,0.69,0,0.00
38,32,522,16.31,48,1.50,13736,429.25,15472,483.50,0,0.00,3,0.09
39,196,2240,11.43,980,5.00,133140,679.29,50932,259.86,784,4.00,28,0.14
40,242,2166,8.95,402,1.66,166329,687.31,38250,158.06,507,2.10,4,0.02
41,197,3619,18.37,1488,7.55,182547,926.63,69550,353.05,266,1.35,5,0.03
42,2110,3440,1.63,4208,1.99,381204,180.67,48563,23.02,259,0.12,76,0.04
43,1288,18256,14.17,7728,6.00,1104360,857.42,301526,234.10,311,0.24,0,0.00
44,120,3178,26.48,2594,21.62,52686,439.05,24588,204.90,266,2.22,4,0.03
45,450,8298,18.44,4066,9.04,387586,861.30,206071,457.94,2343,5.21,84,0.19
46,88,1064,12.09,276,3.14,40930,465.11,32044,364.14,122,1.39,84,0.95
47,647,10235,15.82,3992,6.17,596958,922.66,151954,234.86,2828,4.37,4,0.01
48,112,1904,17.00,224,2.00,77070,688.12,20307,181.31,1722,15.38,56,0.50
49,311,5061,16.27,1776,5.71,283556,911.76,114888,369.41,2840,9.13,115,0.37
50,142,4308,30.34,2886,20.32,77772,547.69,41671,293.46,1052,7.41,4,0.03
51,85,2475,29.12,900,10.59,176655,2078.29,86214,1014.28,112,1.32,12,0.14
52,170,2938,17.28,1122,6.60,120872,711.01,114286,672.27,84,0.49,116,0.68
53,85,2419,28.46,1124,13.22,92890,1092.82,87499,1029.40,280,3.29,8,0.09
54,196,476,2.43,196,1.00,278750,1422.19,547153,2791.60,6300,32.14,0,0.00
55,196,3332,17.00,924,4.71,281148,1434.43,39368,200.86,0,0.00,0,0.00
56,115,6319,54.95,6275,54.57,3476,30.23,695,6.04,0,0.00,6,0.05
57,226,3566,15.78,1302,5.76,239048,1057.73,51668,228.62,0,0.00,56,0.25
58,115,3524,30.64,3363,29.24,31065,270.13,2511,21.83,0,0.00,62,0.54
59,56,532,9.50,84,1.50,62759,1120.70,10080,180.00,1893,33.80,0,0.00
60,393,1109,2.82,393,1.00,337424,858.59,66526,169.28,806,2.05,30,0.08
61,58,3438,59.28,3420,58.97,1321,22.78,204,3.52,52,0.90,10,0.17
62,29,178,6.14,61,2.10,19974,688.76,1726,59.52,0,0.00,38,1.31
63,393,6956,17.70,2806,7.14,458091,1165.63,171945,437.52,0,0.00,65,0.17
65,169,1463,8.66,675,3.99,129086,763.82,13210,78.17,2968,17.56,60,0.36
66,28,224,8.00,84,3.00,52526,1875.93,4464,159.43,187,6.68,0,0.00
67,152,3287,21.62,1104,7.26,196196,1290.76,121033,796.27,0,0.00,21,0.14
68,58,534,9.21,88,1.52,57862,997.62,10632,183.31,0,0.00,0,0.00
69,114,3006,26.37,2722,23.88,67518,592.26,5742,50.37,0,0.00,56,0.49
70,29,714,24.62,427,14.72,39910,1376.21,2844,98.07,0,0.00,13,0.45
72,84,504,6.00,56,0.67,140644,1674.33,19180,228.33,1792,21.33,0,0.00
73,788,18504,23.48,6288,7.98,1115188,1415.21,565236,717.30,864,1.10,56,0.07
75,170,8262,48.60,2476,14.56,454542,2673.78,380690,2239.35,3700,21.76,0,0.00
76,28,392,14.00,28,1.00,96768,3456.00,10080,360.00,0,0.00,0,0.00
77,142,5258,37.03,2510,17.68,254672,1793.46,275454,1939.82,5120,36.06,28,0.20
79,1,17,17.00,6,6.00,1489,1489.00,960,960.00,0,0.00,0,0.00
81,28,700,25.00,28,1.00,18224,650.86,33256,1187.71,1516,54.14,0,0.00
82,1,15,15.00,6,6.00,1107,1107.00,227,227.00,0,0.00,12,12.00
83,281,7290,25.94,2809,10.00,477767,1700.24,249663,888.48,0,0.00,4,0.01
84,140,140,1.00,140,1.00,88340,631.00,7000,50.00,0,0.00,280,2.00
85,28,0,0.00,28,1.00,112,4.00,0,0.00,2296,82.00,28,1.00
86,28,1120,40.00,28,1.00,78474,2802.64,19516,697.00,1030,36.79,0,0.00
87,60,560,9.33,208,3.47,112046,1867.43,21756,362.60,434,7.23,28,0.47
88,56,0,0.00,0,0.00,4928,88.00,0,0.00,0,0.00,56,1.00
89,56,2464,44.00,56,1.00,31920,570.00,209496,3741.00,0,0.00,0,0.00
90,28,840,30.00,56,2.00,44800,1600.00,82152,2934.00,2044,73.00,0,0.00
91,56,5040,90.00,2576,46.00,116312,2077.00,471968,8428.00,0,0.00,0,0.00
93,196,5432,27.71,2016,10.29,428652,2187.00,207704,1059.71,0,0.00,0,0.00
96,1400,10080,7.20,5152,3.68,2346400,1676.00,696864,497.76,12544,8.96,0,0.00
97,113,3503,31.00,1243,11.00,225096,1992.00,138312,1224.00,0,0.00,0,0.00
98,56,616,11.00,56,1.00,176792,3157.00,16912,302.00,3920,70.00,0,0.00
99,31,80,2.58,76,2.45,39168,1263.48,7248,233.81,0,0.00,65,2.10
100,28,504,18.00,28,1.00,138796,4957.00,17892,639.00,0,0.00,0,0.00
101,56,2800,50.00,56,1.00,34560,617.14,158440,2829.29,1728,30.86,0,0.00
103,280,12880,46.00,5600,20.00,607048,2168.03,670792,2395.69,1784,6.37,0,0.00
107,142,3876,27.30,1396,9.83,251384,1770.31,170097,1197.87,3002,21.14,28,0.20
109,28,504,18.00,56,2.00,62832,2244.00,18732,669.00,1764,63.00,0,0.00
113,1512,51408,34.00,13160,8.70,5788872,3828.62,1937584,1281.47,5464,3.61,0,0.00
114,31,276,8.90,73,2.35,12170,392.58,4220,136.13,0,0.00,196,6.32
115,112,12768,114.00,6496,58.00,295792,2641.00,1540000,13750.00,0,0.00,0,0.00
116,13,260,20.00,104,8.00,72953,5611.77,7070,543.85,0,0.00,0,0.00
117,250,10400,41.60,2266,9.06,618844,2475.38,610174,2440.70,2128,8.51,0,0.00
119,56,6608,118.00,3360,60.00,151028,2696.93,641592,11457.00,2129,38.02,0,0.00
121,2,76,38.00,2,1.00,7490,3745.00,1860,930.00,176,88.00,0,0.00
123,245,9980,40.73,2486,10.15,506786,2068.51,760480,3104.00,154,0.63,30,0.12
124,28,616,22.00,28,1.00,178388,6371.00,26999,964.25,504,18.00,0,0.00
125,84,6944,82.67,3556,42.33,164584,1959.33,915600,10900.00,0,0.00,28,0.33
127,143,4654,32.55,1274,8.91,422552,2954.91,187762,1313.02,7364,51.50,168,1.17
129,28,0,0.00,28,1.00,728,26.00,0,0.00,2912,104.00,28,1.00
130,56,644,11.50,224,4.00,220951,3945.55,26135,466.70,257,4.59,0,0.00
131,2,2,1.00,6,3.00,4916,2458.00,542,271.00,0,0.00,0,0.00
132,1,58,58.00,15,15.00,4066,4066.00,4529,4529.00,0,0.00,0,0.00
133,69,2608,37.80,970,14.06,237896,3447.77,138381,2005.52,0,0.00,0,0.00
135,2,72,36.00,64,32.00,3174,1587.00,5846,2923.00,0,0.00,0,0.00
136,28,1820,65.00,28,1.00,84855,3030.54,19835,708.39,2265,80.89,28,1.00
137,198,8514,43.00,2970,15.00,563112,2844.00,489060,2470.00,0,0.00,0,0.00
141,26,1612,62.00,416,16.00,113100,4350.00,134940,5190.00,0,0.00,0,0.00
143,56,2464,44.00,896,16.00,166936,2981.00,150864,2694.00,0,0.00,0,0.00
144,28,196,7.00,56,2.00,101976,3642.00,7448,266.00,2408,86.00,56,2.00
145,28,0,0.00,28,1.00,672,24.00,0,0.00,3416,122.00,28,1.00
147,322,13316,41.35,4641,14.41,894270,2777.24,864802,2685.72,0,0.00,28,0.09
153,112,3528,31.50,1008,9.00,592312,5288.50,258608,2309.00,0,0.00,0,0.00
155,28,476,17.00,28,1.00,238308,8511.00,23772,849.00,3556,127.00,84,3.00
157,226,11074,49.00,3842,17.00,739020,3270.00,735630,3255.00,0,0.00,0,0.00
160,2,82,41.00,72,36.00,3704,1852.00,8038,4019.00,0,0.00,0,0.00
161,1,1,1.00,13,13.00,8246,8246.00,1160,1160.00,0,0.00,2,2.00
162,2,84,42.00,74,37.00,3786,1893.00,8028,4014.00,0,0.00,0,0.00
163,56,2800,50.00,1008,18.00,190792,3407.00,196616,3511.00,0,0.00,0,0.00
164,3,129,43.00,114,38.00,5802,1934.00,12497,4165.67,0,0.00,0,0.00
165,56,0,0.00,56,1.00,5000,89.29,0,0.00,4296,76.71,56,1.00
167,26,156,6.00,26,1.00,136656,5256.00,10868,418.00,2678,103.00,52,2.00
168,4,180,45.00,160,40.00,8064,2016.00,17376,4344.00,0,0.00,0,0.00
169,1,0,0.00,1,1.00,4,4.00,0,0.00,166,166.00,1,1.00
171,36,742,20.61,54,1.50,114143,3170.64,113730,3159.17,3050,84.72,34,0.94
172,28,840,30.00,28,1.00,264880,9460.00,57624,2058.00,0,0.00,0,0.00
173,33,140,4.24,89,2.70,217148,6580.24,8052,244.00,4514,136.79,61,1.85
175,34,840,24.71,174,5.12,144617,4253.44,29564,869.53,3682,108.29,6,0.18
177,10,0,0.00,10,1.00,40,4.00,0,0.00,1740,174.00,10,1.00
181,1,1,1.00,15,15.00,9886,9886.00,1535,1535.00,0,0.00,2,2.00
182,26,312,12.00,156,6.00,101660,3910.00,32812,1262.00,3198,123.00,52,2.00
184,28,840,30.00,252,9.00,258384,9228.00,46564,1663.00,0,0.00,0,0.00
186,28,1120,40.00,252,9.00,216715,7739.82,66771,2384.68,1905,68.04,0,0.00
191,29,43,1.48,416,14.34,283156,9764.00,45427,1566.45,0,0.00,67,2.31
192,28,252,9.00,196,7.00,120624,4308.00,27132,969.00,1092,39.00,56,2.00
193,2,2,1.00,14,7.00,12444,6222.00,1930,965.00,0,0.00,0,0.00
195,2,68,34.00,24,12.00,19284,9642.00,2834,1417.00,0,0.00,0,0.00
196,56,980,17.50,196,3.50,348840,6229.29,81656,1458.14,5040,90.00,28,0.50
198,12,48,4.00,48,4.00,35504,2958.67,2853,237.75,425,35.42,48,4.00
199,28,588,21.00,84,3.00,231644,8273.00,21980,785.00,3276,117.00,84,3.00
201,56,3220,57.50,980,17.50,280680,5012.14,263093,4698.09,3256,58.14,0,0.00
203,30,182,6.07,84,2.80,155723,5190.77,17898,596.60,4390,146.33,66,2.20
207,28,0,0.00,28,1.00,5824,208.00,0,0.00,0,0.00,28,1.00
209,28,0,0.00,28,1.00,672,24.00,0,0.00,5208,186.00,28,1.00
210,1,5,5.00,4,4.00,4652,4652.00,411,411.00,0,0.00,4,4.00
