tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1962622,4162873,2.12,2831127,1.44,1458329,0.74,0,0.00,0,0.00,2218,0.00
2,19754,105452,5.34,62209,3.15,28913,1.46,3164,0.16,21,0.00,0,0.00
3,1103871,1825507,1.65,1435564,1.30,13939668,12.63,409011,0.37,795,0.00,988,0.00
4,55198,87952,1.59,94903,1.72,1095085,19.84,16519,0.30,35,0.00,228,0.00
5,468369,705800,1.51,555007,1.18,13840713,29.55,1285060,2.74,79076,0.17,7884,0.02
6,71365,206366,2.89,149220,2.09,4704115,65.92,1913805,26.82,66440,0.93,203,0.00
7,34862,106092,3.04,45414,1.30,1487182,42.66,1659924,47.61,72343,2.08,672,0.02
8,5060,28150,5.56,17734,3.50,398015,78.66,12064,2.38,193,0.04,635,0.13
9,25446,132054,5.19,51363,2.02,2302559,90.49,330849,13.00,2809,0.11,497,0.02
10,2231,34560,15.49,15516,6.95,147192,65.98,14443,6.47,167,0.07,410,0.18
11,14735,82537,5.60,55511,3.77,2200749,149.36,318653,21.63,1621,0.11,203,0.01
12,1113,16083,14.45,8911,8.01,65440,58.80,12047,10.82,60,0.05,384,0.35
13,4017,35518,8.84,14682,3.65,617283,153.67,144443,35.96,1441,0.36,0,0.00
14,515,75659,146.91,19261,37.40,360065,699.16,20929,40.64,414,0.80,185,0.36
15,11994,43581,3.63,26585,2.22,3649719,304.30,102101,8.51,182,0.02,24,0.00
16,11894,46129,3.88,21719,1.83,4057249,341.12,98222,8.26,542,0.05,17,0.00
17,16593,51746,3.12,19451,1.17,5559680,335.06,11645110,701.81,33638,2.03,2721,0.16
18,219,2464,11.25,1214,5.54,55455,253.22,7559,34.52,473,2.16,273,1.25
19,1430,10715,7.49,5208,3.64,358990,251.04,101386,70.90,767,0.54,85,0.06
20,11160,37257,3.34,12690,1.14,3971033,355.83,197104,17.66,3382,0.30,466,0.04
21,5029,62378,12.40,28868,5.74,1650283,328.15,485830,96.61,2172,0.43,686,0.14
