tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,3677407,5072091,1.38,5823050,1.58,4902150,1.33,0,0.00,0,0.00,135886,0.04
2,107765,109841,1.02,92000,0.85,610236,5.66,32204,0.30,114,0.00,0,0.00
3,2526460,4404771,1.74,3790364,1.50,33585053,13.29,1518982,0.60,2144,0.00,12647,0.01
4,109086,131065,1.20,194334,1.78,1747416,16.02,19223,0.18,134,0.00,384,0.00
5,891267,2154425,2.42,1757489,1.97,29021282,32.56,3967069,4.45,32959,0.04,20880,0.02
6,66619,171835,2.58,160966,2.42,1692779,25.41,179004,2.69,1091,0.02,0,0.00
7,245169,868885,3.54,509329,2.08,10825926,44.16,3669798,14.97,2887,0.01,0,0.00
8,48330,117930,2.44,120116,2.49,3337592,69.06,315897,6.54,1311,0.03,256,0.01
9,175788,737739,4.20,352760,2.01,10110372,57.51,5166701,29.39,2924,0.02,0,0.00
10,12200,44060,3.61,47963,3.93,1501672,123.09,135514,11.11,715,0.06,641,0.05
11,54451,201444,3.70,120598,2.21,5747903,105.56,618285,11.35,3720,0.07,11884,0.22
12,22514,72109,3.20,68338,3.04,3019339,134.11,328069,14.57,521,0.02,0,0.00
13,40470,158189,3.91,63012,1.56,5239235,129.46,856226,21.16,2947,0.07,0,0.00
14,5489,26394,4.81,28427,5.18,909677,165.73,108652,19.79,1226,0.22,4300,0.78
15,46847,245748,5.25,172000,3.67,10645258,227.23,713356,15.23,5203,0.11,119991,2.56
16,14183,211935,14.94,34730,2.45,7152072,504.27,362985,25.59,3034,0.21,21472,1.51
17,79804,267006,3.35,303495,3.80,19279754,241.59,2390256,29.95,51838,0.65,4643,0.06
18,1810,9714,5.37,7632,4.22,417982,230.93,56808,31.39,1184,0.65,64,0.04
19,11036,68968,6.25,35556,3.22,2966198,268.77,682179,61.81,1504,0.14,320,0.03
20,31767,192501,6.06,175025,5.51,11719107,368.91,106359,3.35,971,0.03,30107,0.95
21,4280,42812,10.00,19895,4.65,1002492,234.23,473271,110.58,1388,0.32,0,0.00
22,2627,12616,4.80,7179,2.73,542937,206.68,76349,29.06,442,0.17,10046,3.82
23,8637,97717,11.31,65805,7.62,2067140,239.34,593319,68.70,2222,0.26,7032,0.81
24,3182,19386,6.09,10605,3.33,1221554,383.90,179655,56.46,57,0.02,0,0.00
25,7897,54878,6.95,21951,2.78,2062804,261.21,766140,97.02,3924,0.50,26175,3.31
26,2471,21577,8.73,6344,2.57,1761356,712.81,165747,67.08,1250,0.51,9414,3.81
27,7120,61347,8.62,29745,4.18,2557755,359.24,802778,112.75,5912,0.83,24342,3.42
28,3669,37325,10.17,17987,4.90,1801166,490.91,364617,99.38,150,0.04,0,0.00
29,6067,56363,9.29,14965,2.47,4256062,701.51,981555,161.79,2672,0.44,15840,2.61
30,2142,13831,6.46,8065,3.77,1378420,643.52,176497,82.40,2086,0.97,7107,3.32
31,2587,36212,14.00,10390,4.02,1433876,554.26,643749,248.84,1128,0.44,0,0.00
32,6899,88182,12.78,20972,3.04,14632597,2120.97,2070450,300.11,11523,1.67,5936,0.86
33,2375,37276,15.70,16697,7.03,1168092,491.83,620179,261.13,1957,0.82,1411,0.59
34,2555,23181,9.07,8334,3.26,2216383,867.47,342762,134.15,1558,0.61,10544,4.13
35,4286,44525,10.39,18049,4.21,1828865,426.71,573372,133.78,6661,1.55,16308,3.80
36,5860,33342,5.69,18401,3.14,2271737,387.67,274489,46.84,3674,0.63,17506,2.99
37,1731,43527,25.15,13411,7.75,1030930,595.57,655768,378.84,382,0.22,261,0.15
38,1246,14419,11.57,8214,6.59,798801,641.09,98581,79.12,229,0.18,8154,6.54
39,4805,22551,4.69,10106,2.10,937627,195.14,360998,75.13,2647,0.55,40024,8.33
40,1317,19404,14.73,2487,1.89,1934810,1469.10,343258,260.64,959,0.73,10,0.01
41,2978,41255,13.85,14781,4.96,2252249,756.30,786249,264.02,5379,1.81,5251,1.76
42,6977,18691,2.68,14384,2.06,2206367,316.23,237817,34.09,2480,0.36,13330,1.91
