tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,501563,846782,1.69,913550,1.82,1598549,3.19,0,0.00,0,0.00,558,0.00
2,6044,13380,2.21,12673,2.10,35929,5.94,2413,0.40,38,0.01,0,0.00
3,488437,699011,1.43,615628,1.26,5890552,12.06,136989,0.28,354,0.00,1285,0.00
4,7690,23255,3.02,13854,1.80,154037,20.03,456,0.06,9,0.00,162,0.02
5,44485,95775,2.15,85727,1.93,1424336,32.02,280577,6.31,2892,0.07,0,0.00
6,2406,8624,3.58,7648,3.18,62932,26.16,6587,2.74,83,0.03,0,0.00
7,14874,90983,6.12,32365,2.18,828857,55.73,254469,17.11,1184,0.08,0,0.00
8,1899,8119,4.28,7580,3.99,85577,45.06,2942,1.55,7,0.00,152,0.08
9,10685,45041,4.22,23090,2.16,624438,58.44,259454,24.28,848,0.08,0,0.00
10,1521,8605,5.66,6295,4.14,90168,59.28,12791,8.41,117,0.08,292,0.19
11,8627,23674,2.74,31936,3.70,1049137,121.61,274572,31.83,1824,0.21,0,0.00
12,1235,10701,8.66,8261,6.69,76656,62.07,21993,17.81,5,0.00,0,0.00
13,2187,15137,6.92,9497,4.34,258315,118.11,65123,29.78,950,0.43,0,0.00
14,690,7685,11.14,7770,11.26,53790,77.96,616,0.89,298,0.43,16,0.02
15,2064,20037,9.71,12435,6.02,171913,83.29,106104,51.41,8,0.00,0,0.00
16,1180,12210,10.35,11986,10.16,127242,107.83,5103,4.32,420,0.36,16,0.01
17,3648,16462,4.51,8903,2.44,332580,91.17,114106,31.28,30476,8.35,2166,0.59
18,218,2108,9.67,1284,5.89,51778,237.51,5740,26.33,293,1.34,20,0.09
19,2699,20142,7.46,9740,3.61,654549,242.52,205208,76.03,646,0.24,190,0.07
20,276,2037,7.38,1433,5.19,40981,148.48,5968,21.62,296,1.07,226,0.82
21,748,9268,12.39,4254,5.69,141578,189.28,109913,146.94,46,0.06,0,0.00
22,302,1240,4.11,1240,4.11,51048,169.03,3792,12.56,45,0.15,16,0.05
23,2532,43560,17.20,33026,13.04,580336,229.20,209660,82.80,840,0.33,0,0.00
24,1290,7117,5.52,3032,2.35,559496,433.72,82702,64.11,0,0.00,0,0.00
25,786,11504,14.64,5216,6.64,199304,253.57,171647,218.38,1860,2.37,76,0.10
26,435,3628,8.34,958,2.20,402148,924.48,38214,87.85,760,1.75,0,0.00
27,2126,19603,9.22,7671,3.61,943550,443.81,309101,145.39,986,0.46,0,0.00
28,106,1502,14.17,616,5.81,40905,385.90,22920,216.23,626,5.91,0,0.00
29,1541,26060,16.91,5921,3.84,2131143,1382.96,537543,348.83,933,0.61,10,0.01
30,173,1010,5.84,443,2.56,198612,1148.05,15266,88.24,1113,6.43,231,1.34
31,760,9864,12.98,1374,1.81,305870,402.46,225624,296.87,1710,2.25,0,0.00
32,376,10446,27.78,228,0.61,5420260,14415.59,923368,2455.77,5700,15.16,268,0.71
33,789,10658,13.51,3897,4.94,408925,518.28,196717,249.32,1758,2.23,50,0.06
34,125,1660,13.28,470,3.76,58779,470.23,26011,208.09,552,4.42,0,0.00
35,374,6138,16.41,2490,6.66,174773,467.31,177900,475.67,2336,6.25,229,0.61
36,197,3998,20.29,3096,15.72,67522,342.75,20414,103.62,1356,6.88,7,0.04
37,520,10955,21.07,6366,12.24,305930,588.33,196138,377.19,380,0.73,0,0.00
38,38,646,17.00,38,1.00,15352,404.00,20672,544.00,0,0.00,0,0.00
39,244,3018,12.37,1308,5.36,175020,717.30,67124,275.10,1102,4.52,16,0.07
40,283,2519,8.90,283,1.00,198321,700.78,42237,149.25,545,1.93,1,0.00
41,268,4922,18.37,2020,7.54,249964,932.70,95104,354.87,0,0.00,0,0.00
42,2855,4592,1.61,5629,1.97,511717,179.24,63669,22.30,456,0.16,81,0.03
43,1672,23712,14.18,10032,6.00,1434462,857.93,391058,233.89,76,0.05,0,0.00
44,155,4225,27.26,3423,22.08,66527,429.21,31914,205.90,0,0.00,3,0.02
45,524,10024,19.13,5008,9.56,422328,805.97,249549,476.24,3323,6.34,162,0.31
46,70,1038,14.83,150,2.14,33098,472.83,33666,480.94,118,1.69,48,0.69
47,875,13834,15.81,5397,6.17,807590,922.96,203348,232.40,4047,4.63,12,0.01
48,130,2136,16.43,216,1.66,76032,584.86,22304,171.57,2470,19.00,76,0.58
49,376,6694,17.80,2385,6.34,325472,865.62,158541,421.65,4416,11.74,76,0.20
50,146,5154,35.30,3870,26.51,54466,373.05,41343,283.17,1473,10.09,0,0.00
51,165,3962,24.01,1437,8.71,298123,1806.81,129686,785.98,195,1.18,0,0.00
52,233,4077,17.50,1557,6.68,165516,710.37,155566,667.67,202,0.87,184,0.79
53,190,4560,24.00,2052,10.80,206530,1087.00,153672,808.80,0,0.00,0,0.00
