tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,286271,477042,1.67,506968,1.77,893253,3.12,0,0.00,0,0.00,479,0.00
2,3657,7552,2.07,7261,1.99,21050,5.76,1585,0.43,21,0.01,54,0.01
3,272522,393989,1.45,343901,1.26,3301319,12.11,76901,0.28,226,0.00,730,0.00
4,4550,13191,2.90,8805,1.94,92183,20.26,256,0.06,2,0.00,87,0.02
5,25307,53290,2.11,48796,1.93,798245,31.54,76682,3.03,1671,0.07,0,0.00
6,1950,5648,2.90,4912,2.52,55904,28.67,4526,2.32,42,0.02,0,0.00
7,8388,51630,6.16,18673,2.23,469665,55.99,144711,17.25,696,0.08,0,0.00
8,1103,4530,4.11,4273,3.87,51410,46.61,1770,1.60,49,0.04,78,0.07
9,6081,25140,4.13,12616,2.07,361032,59.37,147228,24.21,505,0.08,0,0.00
10,921,4910,5.33,3831,4.16,53920,58.55,7071,7.68,64,0.07,242,0.26
11,4772,13037,2.73,17727,3.71,580100,121.56,167237,35.05,1055,0.22,6,0.00
12,780,6671,8.55,5379,6.90,46767,59.96,11982,15.36,24,0.03,6,0.01
13,1186,7676,6.47,4510,3.80,149247,125.84,36260,30.57,527,0.44,0,0.00
14,392,4277,10.91,4319,11.02,31085,79.30,345,0.88,222,0.57,8,0.02
15,1150,10102,8.78,5900,5.13,98416,85.58,58584,50.94,74,0.06,76,0.07
16,671,6831,10.18,6752,10.06,75327,112.26,3577,5.33,250,0.37,8,0.01
17,2041,9350,4.58,4935,2.42,191001,93.58,63767,31.24,17273,8.46,1203,0.59
18,105,791,7.53,530,5.05,26877,255.97,3151,30.01,138,1.31,8,0.08
19,1436,10231,7.12,5155,3.59,355344,247.45,106817,74.39,576,0.40,105,0.07
20,145,1177,8.12,831,5.73,25901,178.63,3394,23.41,197,1.36,97,0.67
21,431,4759,11.04,1980,4.59,72471,168.15,52770,122.44,249,0.58,0,0.00
22,173,706,4.08,694,4.01,29902,172.84,2210,12.77,24,0.14,8,0.05
23,1471,25291,17.19,18786,12.77,347453,236.20,136419,92.74,200,0.14,0,0.00
24,710,3929,5.53,1680,2.37,308668,434.74,45708,64.38,42,0.06,0,0.00
25,454,6625,14.59,2950,6.50,110480,243.35,100477,221.31,694,1.53,54,0.12
26,273,2240,8.21,695,2.55,243326,891.30,22669,83.04,125,0.46,0,0.00
27,1172,11368,9.70,4773,4.07,536022,457.36,180160,153.72,704,0.60,0,0.00
28,57,652,11.44,270,4.74,22330,391.75,12703,222.86,534,9.37,0,0.00
29,812,13257,16.33,2636,3.25,1150792,1417.23,266060,327.66,681,0.84,0,0.00
30,94,539,5.73,246,2.62,106483,1132.80,8786,93.47,200,2.13,128,1.36
31,437,5603,12.82,808,1.85,179615,411.02,128715,294.54,706,1.62,0,0.00
32,206,6008,29.17,121,0.59,3024873,14683.85,517193,2510.65,3150,15.29,147,0.71
33,434,5894,13.58,2142,4.94,227522,524.24,101336,233.49,1626,3.75,0,0.00
34,74,951,12.85,272,3.68,35039,473.50,12145,164.12,576,7.78,1,0.01
35,204,3340,16.37,1324,6.49,94332,462.41,91803,450.01,1930,9.46,37,0.18
36,109,2145,19.68,1695,15.55,34301,314.69,13159,120.72,729,6.69,18,0.17
37,250,4440,17.76,1939,7.76,174201,696.80,105823,423.29,603,2.41,0,0.00
38,78,2526,32.38,2022,25.92,52353,671.19,13467,172.65,0,0.00,0,0.00
39,146,1751,11.99,734,5.03,105462,722.34,36322,248.78,701,4.80,8,0.05
40,181,1683,9.30,421,2.33,120498,665.73,30353,167.70,332,1.83,2,0.01
41,107,2107,19.69,823,7.69,92950,868.69,51190,478.41,0,0.00,0,0.00
42,1593,2697,1.69,3258,2.05,292605,183.68,39666,24.90,252,0.16,42,0.03
43,938,13156,14.03,5572,5.94,796883,849.56,212665,226.72,186,0.20,30,0.03
44,133,3052,22.95,2401,18.05,68835,517.56,35516,267.04,222,1.67,0,0.00
45,332,6974,21.01,3490,10.51,274253,826.06,131376,395.71,2069,6.23,63,0.19
46,69,1743,25.26,693,10.04,47542,689.01,23463,340.04,450,6.52,36,0.52
47,583,9584,16.44,3748,6.43,553397,949.22,126993,217.83,1821,3.12,0,0.00
48,83,2966,35.73,806,9.71,53441,643.87,17049,205.41,1242,14.96,30,0.36
49,121,2332,19.27,722,5.97,84021,694.39,89524,739.87,1447,11.96,37,0.31
50,82,2849,34.74,2140,26.10,32661,398.30,26294,320.66,258,3.15,2,0.02
51,93,2084,22.41,728,7.83,166650,1791.94,63140,678.92,221,2.38,0,0.00
52,128,2206,17.23,852,6.66,90824,709.56,82945,648.01,152,1.19,84,0.66
53,107,2534,23.68,1136,10.62,117206,1095.38,85096,795.29,32,0.30,0,0.00
54,149,357,2.40,148,0.99,314350,2109.73,481740,3233.15,4777,32.06,2,0.01
55,122,2008,16.46,668,5.48,164696,1349.97,19647,161.04,1350,11.07,0,0.00
56,85,4705,55.35,4704,55.34,3970,46.71,278,3.27,44,0.52,0,0.00
57,266,5857,22.02,3674,13.81,222625,836.94,55703,209.41,1509,5.67,55,0.21
58,50,221,4.42,98,1.96,24911,498.22,2182,43.64,373,7.46,44,0.88
59,35,361,10.31,86,2.46,41081,1173.74,7288,208.23,1058,30.23,0,0.00
60,267,861,3.22,261,0.98,252373,945.22,48205,180.54,729,2.73,8,0.03
61,45,2567,57.04,2566,57.02,539,11.98,27,0.60,116,2.58,3,0.07
62,21,126,6.00,42,2.00,14217,677.00,1218,58.00,0,0.00,21,1.00
63,295,5222,17.70,2102,7.13,344010,1166.14,128885,436.90,0,0.00,43,0.15
65,102,834,8.18,400,3.92,66977,656.64,4896,48.00,2841,27.85,42,0.41
66,21,170,8.10,63,3.00,42315,2015.00,3580,170.48,1,0.05,0,0.00
67,87,1622,18.64,571,6.56,96007,1103.53,70730,812.99,350,4.02,0,0.00
68,35,273,7.80,49,1.40,36792,1051.20,6699,191.40,0,0.00,0,0.00
69,92,2370,25.76,2122,23.07,55684,605.26,8328,90.52,0,0.00,42,0.46
70,21,525,25.00,315,15.00,29190,1390.00,1890,90.00,0,0.00,0,0.00
72,63,378,6.00,42,0.67,105483,1674.33,14385,228.33,1344,21.33,0,0.00
73,590,13820,23.42,4662,7.90,834060,1413.66,446715,757.14,1476,2.50,42,0.07
75,86,4622,53.74,1806,21.00,321263,3735.62,267606,3111.70,1348,15.67,0,0.00
76,21,294,14.00,21,1.00,72576,3456.00,7560,360.00,0,0.00,0,0.00
77,81,1971,24.33,171,2.11,93779,1157.77,127741,1577.05,1323,16.33,22,0.27
79,50,3426,68.52,1726,34.52,88969,1779.38,269210,5384.20,21,0.42,2,0.04
81,30,690,23.00,63,2.10,29218,973.93,29774,992.47,1758,58.60,3,0.10
83,210,5460,26.00,2100,10.00,356083,1695.63,177196,843.79,1147,5.46,0,0.00
84,145,600,4.14,145,1.00,119205,822.10,15076,103.97,419,2.89,264,1.82
85,27,240,8.89,57,2.11,23892,884.89,9450,350.00,1722,63.78,21,0.78
86,2,80,40.00,2,1.00,5600,2800.00,1394,697.00,74,37.00,0,0.00
87,56,572,10.21,201,3.59,128577,2296.02,22638,404.25,0,0.00,21,0.38
88,42,0,0.00,0,0.00,3696,88.00,0,0.00,0,0.00,42,1.00
89,42,1848,44.00,42,1.00,23940,570.00,157122,3741.00,0,0.00,0,0.00
90,21,630,30.00,42,2.00,33096,1576.00,74901,3566.71,1701,81.00,0,0.00
91,68,4365,64.19,1984,29.18,140118,2060.56,360678,5304.09,877,12.90,39,0.57
93,134,3814,28.46,1434,10.70,271920,2029.25,147016,1097.13,0,0.00,0,0.00
96,1051,7602,7.23,3875,3.69,1760154,1674.74,524983,499.51,10430,9.92,0,0.00
97,84,2604,31.00,924,11.00,167328,1992.00,102816,1224.00,0,0.00,0,0.00
98,42,462,11.00,42,1.00,132594,3157.00,12684,302.00,2940,70.00,0,0.00
99,8,68,8.50,41,5.12,12703,1587.88,4392,549.00,77,9.62,18,2.25
100,21,378,18.00,21,1.00,104097,4957.00,13419,639.00,0,0.00,0,0.00
101,42,2100,50.00,42,1.00,27216,648.00,203742,4851.00,0,0.00,0,0.00
102,6,162,27.00,144,24.00,6948,1158.00,10662,1777.00,0,0.00,0,0.00
103,170,8320,48.94,3698,21.75,368620,2168.35,629938,3705.52,324,1.91,2,0.01
105,6,48,8.00,6,1.00,33180,5530.00,2340,390.00,618,103.00,18,3.00
107,121,3025,25.00,1056,8.73,242692,2005.72,130247,1076.42,3370,27.85,40,0.33
108,2,24,12.00,14,7.00,4872,2436.00,528,264.00,102,51.00,0,0.00
109,21,378,18.00,42,2.00,47124,2244.00,14049,669.00,1323,63.00,0,0.00
111,1,0,0.00,1,1.00,1,1.00,0,0.00,110,110.00,1,1.00
113,1177,40026,34.01,10417,8.85,4443109,3774.94,1459404,1239.94,4288,3.64,1,0.00
114,17,73,4.29,34,2.00,16132,948.94,1473,86.65,0,0.00,56,3.29
115,128,11970,93.52,4916,38.41,251504,1964.88,1279896,9999.19,1563,12.21,2,0.02
116,16,331,20.69,123,7.69,87113,5444.56,10718,669.88,31,1.94,0,0.00
117,194,10411,53.66,4403,22.70,483500,2492.27,863016,4448.54,547,2.82,52,0.27
120,1,51,51.00,19,19.00,1708,1708.00,629,629.00,100,100.00,65,65.00
121,6,228,38.00,6,1.00,40560,6760.00,6270,1045.00,0,0.00,0,0.00
122,1,2,2.00,1,1.00,1415,1415.00,160,160.00,0,0.00,0,0.00
123,180,7397,41.09,1836,10.20,372509,2069.49,486368,2702.04,964,5.36,22,0.12
124,21,462,22.00,21,1.00,135618,6458.00,21315,1015.00,0,0.00,0,0.00
125,75,5444,72.59,2679,35.72,162474,2166.32,525335,7004.47,2424,32.32,57,0.76
126,6,84,14.00,24,4.00,25221,4203.50,1590,265.00,419,69.83,0,0.00
127,79,2384,30.18,637,8.06,247231,3129.51,104128,1318.08,4282,54.20,108,1.37
129,29,236,8.14,205,7.07,22132,763.17,17776,612.97,2184,75.31,21,0.72
130,40,441,11.03,154,3.85,153014,3825.35,18919,472.98,31,0.78,0,0.00
132,1,66,66.00,66,66.00,1700,1700.00,16768,16768.00,0,0.00,0,0.00
133,67,2266,33.82,805,12.01,231268,3451.76,142402,2125.40,232,3.46,13,0.19
134,13,377,29.00,65,5.00,64621,4970.85,25445,1957.31,97,7.46,0,0.00
135,4,144,36.00,128,32.00,6348,1587.00,11692,2923.00,0,0.00,0,0.00
136,1,65,65.00,1,1.00,3034,3034.00,699,699.00,84,84.00,1,1.00
137,150,6450,43.00,2250,15.00,426294,2841.96,364926,2432.84,264,1.76,0,0.00
141,23,490,21.30,194,8.43,174998,7608.61,47377,2059.87,1945,84.57,21,0.91
143,44,1928,43.82,744,16.91,128644,2923.73,119334,2712.14,0,0.00,0,0.00
144,8,56,7.00,16,2.00,29136,3642.00,2128,266.00,688,86.00,16,2.00
145,35,320,9.14,64,1.83,118458,3384.51,13491,385.46,3628,103.66,60,1.71
147,231,9660,41.82,3381,14.64,645078,2792.55,598290,2590.00,0,0.00,21,0.09
151,1,71,71.00,1,1.00,3310,3310.00,702,702.00,95,95.00,1,1.00
153,84,2646,31.50,756,9.00,444234,5288.50,193956,2309.00,0,0.00,0,0.00
157,169,8281,49.00,2873,17.00,552630,3270.00,550095,3255.00,0,0.00,0,0.00
160,1,15,15.00,7,7.00,3279,3279.00,493,493.00,99,99.00,2,2.00
161,3,78,26.00,24,8.00,24318,8106.00,3825,1275.00,0,0.00,0,0.00
