tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,189269,311480,1.65,340061,1.80,631158,3.33,0,0.00,0,0.00,180,0.00
2,2161,4877,2.26,4622,2.14,11430,5.29,885,0.41,15,0.01,0,0.00
3,190433,270999,1.42,239970,1.26,2292870,12.04,51835,0.27,98,0.00,510,0.00
4,2799,8754,3.13,5109,1.83,56748,20.27,60,0.02,0,0.00,45,0.02
5,16147,34460,2.13,31293,1.94,519038,32.14,49368,3.06,1038,0.06,0,0.00
6,825,3270,3.96,2910,3.53,18225,22.09,2280,2.76,30,0.04,0,0.00
7,5582,34534,6.19,11792,2.11,310158,55.56,98200,17.59,421,0.08,0,0.00
8,660,2850,4.32,2730,4.14,26573,40.26,566,0.86,2,0.00,60,0.09
9,3870,16410,4.24,8445,2.18,224400,57.98,95670,24.72,210,0.05,0,0.00
10,571,3372,5.91,2617,4.58,28900,50.61,4572,8.01,0,0.00,90,0.16
11,3198,8303,2.60,11958,3.74,394866,123.47,113798,35.58,750,0.23,0,0.00
12,482,4474,9.28,3679,7.63,24847,51.55,7379,15.31,0,0.00,0,0.00
13,850,5637,6.63,3146,3.70,103979,122.33,27888,32.81,604,0.71,0,0.00
14,270,3345,12.39,3420,12.67,15960,59.11,180,0.67,0,0.00,0,0.00
15,735,7095,9.65,4530,6.16,59370,80.78,36390,49.51,0,0.00,0,0.00
16,330,3975,12.05,3990,12.09,28170,85.36,1245,3.77,15,0.05,0,0.00
17,1393,6189,4.44,3386,2.43,118861,85.33,44171,31.71,12150,8.72,855,0.61
18,58,534,9.21,356,6.14,15843,273.16,2171,37.43,4,0.07,0,0.00
19,1057,7585,7.18,3741,3.54,260671,246.61,80193,75.87,283,0.27,75,0.07
20,77,758,9.84,529,6.87,11051,143.52,2009,26.09,180,2.34,60,0.78
21,272,3278,12.05,1339,4.92,36925,135.75,36572,134.46,101,0.37,0,0.00
22,75,420,5.60,420,5.60,10620,141.60,600,8.00,0,0.00,0,0.00
23,984,17553,17.84,13348,13.57,235822,239.66,90084,91.55,0,0.00,0,0.00
24,504,2850,5.65,1212,2.40,221382,439.25,32868,65.21,0,0.00,0,0.00
25,300,4500,15.00,1935,6.45,53910,179.70,68625,228.75,540,1.80,30,0.10
26,165,1365,8.27,345,2.09,157110,952.18,15165,91.91,0,0.00,0,0.00
27,885,8700,9.83,3525,3.98,398040,449.76,135930,153.59,555,0.63,0,0.00
28,32,466,14.56,188,5.88,10536,329.25,9742,304.44,375,11.72,0,0.00
29,570,9405,16.50,1860,3.26,818295,1435.61,190140,333.58,345,0.61,0,0.00
30,60,345,5.75,165,2.75,51450,857.50,6030,100.50,0,0.00,90,1.50
31,300,3900,13.00,555,1.85,120467,401.56,89638,298.79,628,2.09,0,0.00
32,135,4290,31.78,45,0.33,2269425,16810.56,408705,3027.44,3150,23.33,105,0.78
33,320,4215,13.17,1560,4.88,176697,552.18,73968,231.15,1048,3.27,0,0.00
34,65,775,11.92,245,3.77,32700,503.08,9575,147.31,478,7.35,0,0.00
35,135,2385,17.67,945,7.00,64215,475.67,69840,517.33,1200,8.89,15,0.11
36,75,1530,20.40,1200,16.00,24853,331.37,9344,124.59,671,8.95,0,0.00
37,180,3195,17.75,1410,7.83,124185,689.92,71160,395.33,645,3.58,0,0.00
38,45,1395,31.00,1155,25.67,6060,134.67,8160,181.33,0,0.00,0,0.00
39,90,1185,13.17,510,5.67,67374,748.60,24705,274.50,525,5.83,0,0.00
40,105,945,9.00,105,1.00,73170,696.86,15045,143.29,240,2.29,0,0.00
41,75,1455,19.40,585,7.80,65070,867.60,36090,481.20,0,0.00,0,0.00
42,1125,1785,1.59,2220,1.97,201135,178.79,24870,22.11,180,0.16,30,0.03
43,660,9360,14.18,3960,6.00,564688,855.59,150348,227.80,553,0.84,0,0.00
