tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,249246,421150,1.69,450096,1.81,758150,3.04,0,0.00,0,0.00,946,0.00
2,3619,6817,1.88,6533,1.81,20077,5.55,1531,0.42,18,0.00,0,0.00
3,237431,344605,1.45,302602,1.27,2881471,12.14,70671,0.30,194,0.00,629,0.00
4,4050,11685,2.89,7226,1.78,79486,19.63,414,0.10,12,0.00,108,0.03
5,25315,55632,2.20,48741,1.93,813584,32.14,151977,6.00,1788,0.07,0,0.00
6,1639,5461,3.33,4655,2.84,45994,28.06,5311,3.24,41,0.03,0,0.00
7,8253,46680,5.66,17609,2.13,438805,53.17,136381,16.53,666,0.08,0,0.00
8,1307,5211,3.99,4556,3.49,69221,52.96,5169,3.95,5,0.00,72,0.06
9,5901,24228,4.11,12276,2.08,348847,59.12,142074,24.08,654,0.11,0,0.00
10,849,4328,5.10,3377,3.98,53382,62.88,6721,7.92,129,0.15,184,0.22
11,4147,10921,2.63,15074,3.63,515546,124.32,137952,33.27,798,0.19,0,0.00
12,706,5839,8.27,4498,6.37,46049,65.23,12684,17.97,0,0.00,0,0.00
13,1144,7492,6.55,4178,3.65,132155,115.52,37712,32.97,465,0.41,0,0.00
14,622,4943,7.95,4470,7.19,101844,163.74,4755,7.64,357,0.57,18,0.03
15,976,8848,9.07,5530,5.67,79912,81.88,46158,47.29,7,0.01,0,0.00
16,639,5622,8.80,5272,8.25,95639,149.67,3996,6.25,513,0.80,18,0.03
17,1714,8280,4.83,4991,2.91,147092,85.82,52199,30.45,14614,8.53,1026,0.60
18,141,819,5.81,550,3.90,35923,254.77,3145,22.30,312,2.21,19,0.13
19,1294,9206,7.11,4494,3.47,313272,242.10,97247,75.15,574,0.44,90,0.07
20,152,1057,6.95,771,5.07,22247,146.36,3038,19.99,26,0.17,72,0.47
21,424,4890,11.53,2114,4.99,84235,198.67,59868,141.20,37,0.09,0,0.00
22,216,702,3.25,702,3.25,39888,184.67,3276,15.17,54,0.25,18,0.08
23,1225,20528,16.76,15700,12.82,283655,231.56,94182,76.88,630,0.51,0,0.00
24,629,3397,5.40,1439,2.29,270272,429.69,39797,63.27,0,0.00,0,0.00
25,458,6276,13.70,2751,6.01,145391,317.45,89673,195.79,1228,2.68,91,0.20
26,221,1703,7.71,476,2.15,195866,886.27,18903,85.53,360,1.63,0,0.00
27,1100,10640,9.67,4454,4.05,507097,461.00,158020,143.65,710,0.65,0,0.00
28,54,558,10.33,234,4.33,22609,418.69,8404,155.63,227,4.20,0,0.00
29,703,11394,16.21,2304,3.28,988373,1405.94,229305,326.18,500,0.71,0,0.00
30,349,532,1.52,218,0.62,100774,288.75,7361,21.09,657,1.88,112,0.32
31,361,4677,12.96,631,1.75,146278,405.20,108945,301.79,262,0.73,0,0.00
32,202,5226,25.87,214,1.06,2544654,12597.30,441600,2186.14,2700,13.37,136,0.67
33,362,5562,15.36,2378,6.57,201758,557.34,108434,299.54,829,2.29,20,0.06
34,71,952,13.41,295,4.15,44209,622.66,17405,245.14,254,3.58,2,0.03
35,126,1566,12.43,450,3.57,41364,328.29,42012,333.43,1440,11.43,54,0.43
36,91,1843,20.25,1441,15.84,30731,337.70,8765,96.32,630,6.92,0,0.00
37,201,3783,18.82,1635,8.13,137322,683.19,90531,450.40,180,0.90,0,0.00
38,54,1674,31.00,1386,25.67,7272,134.67,9792,181.33,0,0.00,0,0.00
39,126,1440,11.43,630,5.00,85572,679.14,32004,254.00,522,4.14,18,0.14
40,145,1267,8.74,145,1.00,102402,706.22,20785,143.34,330,2.28,2,0.01
41,128,2382,18.61,984,7.69,118960,929.38,46216,361.06,0,0.00,0,0.00
42,1351,2149,1.59,2665,1.97,242234,179.30,29915,22.14,216,0.16,36,0.03
43,796,11201,14.07,4732,5.94,674133,846.90,192617,241.98,36,0.05,0,0.00
44,77,1989,25.83,1621,21.05,32058,416.34,15010,194.94,0,0.00,2,0.03
45,292,5356,18.34,2614,8.95,252848,865.92,131134,449.09,1516,5.19,54,0.18
46,56,668,11.93,146,2.61,26562,474.32,19223,343.27,36,0.64,58,1.04
47,489,7736,15.82,3074,6.29,461227,943.20,100564,205.65,3188,6.52,13,0.03
48,77,1313,17.05,149,1.94,55516,720.99,13079,169.86,1156,15.01,42,0.55
49,167,2714,16.25,887,5.31,146729,878.62,75362,451.27,1648,9.87,54,0.32
50,56,978,17.46,56,1.00,51216,914.57,27974,499.54,684,12.21,4,0.07
51,90,3420,38.00,2412,26.80,113058,1256.20,53640,596.00,90,1.00,0,0.00
52,109,1887,17.31,721,6.61,77498,710.99,72660,666.61,72,0.66,74,0.68
53,90,2124,23.60,972,10.80,101178,1124.20,61668,685.20,0,0.00,0,0.00
54,127,320,2.52,127,1.00,327735,2580.59,426152,3355.53,4050,31.89,2,0.02
55,90,1566,17.40,342,3.80,132804,1475.60,23634,262.60,1422,15.80,0,0.00
56,42,2094,49.86,2028,48.29,10340,246.19,1118,26.62,0,0.00,8,0.19
57,217,6391,29.45,4939,22.76,153348,706.67,33098,152.53,0,0.00,36,0.17
58,36,144,4.00,72,2.00,17532,487.00,1116,31.00,0,0.00,36,1.00
59,36,342,9.50,54,1.50,40320,1120.00,6480,180.00,1242,34.50,0,0.00
60,252,702,2.79,252,1.00,216126,857.64,42588,169.00,486,1.93,18,0.07
61,36,2196,61.00,2196,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,18,108,6.00,36,2.00,12186,677.00,1044,58.00,0,0.00,18,1.00
63,324,5904,18.22,2376,7.33,385848,1190.89,146844,453.22,0,0.00,36,0.11
65,108,936,8.67,432,4.00,82782,766.50,8424,78.00,1908,17.67,36,0.33
66,18,145,8.06,54,3.00,35023,1945.72,2939,163.28,41,2.28,0,0.00
67,91,2002,22.00,620,6.81,120981,1329.46,73401,806.60,0,0.00,0,0.00
68,36,324,9.00,54,1.50,36198,1005.50,6642,184.50,0,0.00,0,0.00
69,72,1908,26.50,1728,24.00,42408,589.00,2628,36.50,0,0.00,36,0.50
70,18,450,25.00,270,15.00,24972,1387.33,1620,90.00,6,0.33,0,0.00
72,54,324,6.00,36,0.67,90414,1674.33,12330,228.33,1152,21.33,0,0.00
73,432,10188,23.58,3348,7.75,608040,1407.50,334998,775.46,108,0.25,36,0.08
75,73,3975,54.45,1554,21.29,276887,3792.97,230541,3158.10,126,1.73,0,0.00
76,18,252,14.00,18,1.00,62208,3456.00,6480,360.00,0,0.00,0,0.00
77,94,2080,22.13,270,2.87,123282,1311.51,124138,1320.62,2808,29.87,18,0.19
79,36,2808,78.00,1440,40.00,63252,1757.00,224442,6234.50,1350,37.50,0,0.00
80,16,16,1.00,16,1.00,7776,486.00,1136,71.00,0,0.00,32,2.00
81,18,450,25.00,18,1.00,11625,645.83,22504,1250.22,1065,59.17,0,0.00
83,180,4680,26.00,1800,10.00,306540,1703.00,160380,891.00,0,0.00,0,0.00
84,90,90,1.00,90,1.00,56541,628.23,4490,49.89,62,0.69,180,2.00
85,258,3600,13.95,1698,6.58,953053,3694.00,67860,263.02,1892,7.33,18,0.07
86,18,720,40.00,18,1.00,50400,2800.00,12546,697.00,666,37.00,0,0.00
87,36,288,8.00,108,3.00,67734,1881.50,11466,318.50,0,0.00,18,0.50
88,36,0,0.00,0,0.00,3168,88.00,0,0.00,0,0.00,36,1.00
89,36,1584,44.00,36,1.00,20520,570.00,134676,3741.00,0,0.00,0,0.00
90,18,540,30.00,36,2.00,28638,1591.00,56808,3156.00,1368,76.00,0,0.00
91,36,3240,90.00,1656,46.00,74772,2077.00,303408,8428.00,0,0.00,0,0.00
93,126,3492,27.71,1296,10.29,275562,2187.00,133524,1059.71,0,0.00,0,0.00
96,900,6480,7.20,3312,3.68,1503540,1670.60,447984,497.76,10836,12.04,0,0.00
97,72,2232,31.00,792,11.00,143424,1992.00,88128,1224.00,0,0.00,0,0.00
98,276,636,2.30,516,1.87,315090,1141.63,59106,214.15,2706,9.80,480,1.74
99,19,38,2.00,43,2.26,23397,1231.42,3928,206.74,77,4.05,36,1.89
100,18,324,18.00,18,1.00,89226,4957.00,11502,639.00,0,0.00,0,0.00
103,180,6444,35.80,1764,9.80,330372,1835.40,381096,2117.20,0,0.00,0,0.00
105,36,3744,104.00,1908,53.00,86616,2406.00,409500,11375.00,0,0.00,0,0.00
107,92,2516,27.35,906,9.85,163242,1774.37,110630,1202.50,1872,20.35,18,0.20
109,18,324,18.00,36,2.00,40392,2244.00,12042,669.00,1134,63.00,0,0.00
111,3,57,19.00,21,7.00,9213,3071.00,4560,1520.00,0,0.00,0,0.00
113,936,31032,33.15,8424,9.00,3696824,3949.60,972302,1038.78,4615,4.93,0,0.00
114,34,448,13.18,164,4.82,85188,2505.53,9754,286.88,0,0.00,126,3.71
