tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,862248,1431690,1.66,1555948,1.80,2863242,3.32,0,0.00,0,0.00,831,0.00
2,9715,22043,2.27,20759,2.14,52731,5.43,4035,0.42,68,0.01,0,0.00
3,862522,1228983,1.42,1086946,1.26,10390408,12.05,236296,0.27,729,0.00,2246,0.00
4,12920,40974,3.17,24578,1.90,257768,19.95,310,0.02,0,0.00,210,0.02
5,74528,159066,2.13,143924,1.93,2391794,32.09,220968,2.96,4678,0.06,0,0.00
6,3779,14901,3.94,13258,3.51,84323,22.31,10448,2.76,136,0.04,0,0.00
7,25646,158261,6.17,54710,2.13,1412408,55.07,447976,17.47,1920,0.07,0,0.00
8,3020,13020,4.31,12454,4.12,122822,40.67,2768,0.92,2,0.00,272,0.09
9,17780,75278,4.23,38650,2.17,1031396,58.01,439802,24.74,842,0.05,0,0.00
10,2399,13643,5.69,10306,4.30,125422,52.28,19474,8.12,14,0.01,416,0.17
11,14452,37704,2.61,54206,3.75,1791956,123.99,473502,32.76,2994,0.21,0,0.00
12,2260,20540,9.09,16896,7.48,116226,51.43,33804,14.96,0,0.00,0,0.00
13,4045,27429,6.78,16209,4.01,475384,117.52,130034,32.15,1700,0.42,0,0.00
14,1098,13416,12.22,13616,12.40,74020,67.41,836,0.76,38,0.03,2,0.00
15,3343,31124,9.31,18657,5.58,282173,84.41,175818,52.59,1,0.00,0,0.00
16,1662,20206,12.16,20374,12.26,134434,80.89,5862,3.53,46,0.03,2,0.00
17,6162,27054,4.39,14906,2.42,494196,80.20,194721,31.60,54560,8.85,3876,0.63
18,248,2368,9.55,1580,6.37,64830,261.41,9826,39.62,34,0.14,2,0.01
19,4697,34089,7.26,16665,3.55,1140191,242.75,365746,77.87,700,0.15,340,0.07
20,378,3538,9.36,2450,6.48,62644,165.72,9455,25.01,160,0.42,272,0.72
21,1262,16332,12.94,7486,5.93,224178,177.64,194216,153.90,0,0.00,0,0.00
22,354,1926,5.44,1926,5.44,51160,144.52,3004,8.49,6,0.02,2,0.01
23,4296,76420,17.79,58770,13.68,989585,230.35,353575,82.30,1382,0.32,0,0.00
24,2246,12512,5.57,5372,2.39,976882,434.94,144766,64.46,211,0.09,0,0.00
25,1368,20470,14.96,8816,6.44,252594,184.64,320232,234.09,2944,2.15,136,0.10
26,750,6190,8.25,1568,2.09,711484,948.65,68090,90.79,1360,1.81,0,0.00
27,4016,39472,9.83,15992,3.98,1807490,450.07,639149,159.15,1638,0.41,0,0.00
28,138,2042,14.80,818,5.93,45460,329.42,37626,272.65,1448,10.49,0,0.00
29,2587,42662,16.49,8441,3.26,3710984,1434.47,869087,335.94,1699,0.66,0,0.00
30,274,1576,5.75,750,2.74,239968,875.80,26499,96.71,1659,6.05,408,1.49
31,1360,17678,13.00,2512,1.85,547150,402.32,413022,303.69,1840,1.35,0,0.00
32,616,17856,28.99,218,0.35,10237404,16619.16,1845324,2995.66,14280,23.18,476,0.77
33,1360,18836,13.85,6800,5.00,692716,509.35,339242,249.44,3315,2.44,0,0.00
34,204,2788,13.67,748,3.67,93068,456.22,40205,197.08,1180,5.78,0,0.00
35,612,10804,17.65,4280,6.99,292166,477.40,307848,503.02,3328,5.44,72,0.12
36,204,2040,10.00,544,2.67,113042,554.13,32768,160.63,2646,12.97,0,0.00
37,1222,26306,21.53,17128,14.02,660998,540.91,373952,306.02,704,0.58,0,0.00
38,69,1162,16.84,69,1.00,27925,404.71,37050,536.96,0,0.00,2,0.03
39,410,5374,13.11,2314,5.64,306376,747.26,118432,288.86,1984,4.84,2,0.00
40,478,4298,8.99,478,1.00,333696,698.11,72940,152.59,704,1.47,0,0.00
41,340,6596,19.40,2652,7.80,294984,867.60,163608,481.20,0,0.00,0,0.00
42,5100,8092,1.59,10064,1.97,911812,178.79,112744,22.11,816,0.16,136,0.03
43,3128,44608,14.26,18904,6.04,2715692,868.19,680652,217.60,976,0.31,0,0.00
44,272,7480,27.50,6120,22.50,116552,428.50,56304,207.00,0,0.00,0,0.00
45,688,14256,20.72,7390,10.74,471290,685.01,354771,515.66,6754,9.82,204,0.30
46,72,1458,20.25,82,1.14,35364,491.17,51616,716.89,160,2.22,6,0.08
47,1972,31280,15.86,12512,6.34,1901360,964.18,384433,194.95,7419,3.76,0,0.00
48,206,4236,20.56,280,1.36,127888,620.82,39328,190.91,4486,21.78,136,0.66
49,344,7360,21.40,2314,6.73,211614,615.16,268968,781.88,6208,18.05,72,0.21
50,208,8424,40.50,6872,33.04,38658,185.86,54618,262.59,2680,12.88,0,0.00
51,336,7040,20.95,2440,7.26,581326,1730.14,222080,660.95,400,1.19,0,0.00
52,408,7072,17.33,2720,6.67,288632,707.43,269832,661.35,368,0.90,272,0.67
53,204,5848,28.67,2720,13.33,224876,1102.33,226848,1112.00,0,0.00,0,0.00
54,476,1156,2.43,476,1.00,950212,1996.24,1552735,3262.05,15300,32.14,0,0.00
55,344,5452,15.85,2112,6.14,455286,1323.51,43270,125.78,0,0.00,0,0.00
56,136,7616,56.00,7616,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,816,24072,29.50,18632,22.83,575008,704.67,123488,151.33,0,0.00,136,0.17
58,136,544,4.00,272,2.00,66232,487.00,4216,31.00,0,0.00,136,1.00
59,70,764,10.91,138,1.97,86085,1229.79,14937,213.39,2116,30.23,0,0.00
60,755,2275,3.01,755,1.00,694064,919.29,137150,181.66,20,0.03,4,0.01
61,136,8296,61.00,8296,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,68,408,6.00,136,2.00,46036,677.00,3944,58.00,0,0.00,68,1.00
63,1224,22304,18.22,8976,7.33,1457648,1190.89,554744,453.22,0,0.00,136,0.11
65,276,2216,8.03,1104,4.00,176046,637.85,6876,24.91,4304,15.59,136,0.49
66,68,544,8.00,204,3.00,136748,2011.00,11560,170.00,0,0.00,0,0.00
67,272,5644,20.75,1632,6.00,375156,1379.25,249220,916.25,0,0.00,0,0.00
68,70,234,3.34,72,1.03,85466,1220.94,15192,217.03,0,0.00,0,0.00
69,272,7208,26.50,6528,24.00,160208,589.00,9928,36.50,0,0.00,136,0.50
70,68,1700,25.00,1020,15.00,94496,1389.65,6120,90.00,3,0.04,0,0.00
72,204,1224,6.00,136,0.67,341564,1674.33,46580,228.33,4352,21.33,0,0.00
73,1632,36720,22.50,13736,8.42,2436712,1493.08,1047472,641.83,0,0.00,136,0.08
