tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,54381,89682,1.65,96435,1.77,171964,3.16,0,0.00,0,0.00,77,0.00
2,685,1449,2.12,1389,2.03,3787,5.53,281,0.41,4,0.01,0,0.00
3,57496,82090,1.43,76831,1.34,723696,12.59,14688,0.26,38,0.00,139,0.00
4,3205,4885,1.52,3905,1.22,56880,17.75,92,0.03,1,0.00,24,0.01
5,6309,11695,1.85,10726,1.70,194349,30.81,15564,2.47,379,0.06,0,0.00
6,1067,1793,1.68,1676,1.57,35949,33.69,826,0.77,8,0.01,0,0.00
7,2179,58549,26.87,34284,15.73,434529,199.42,89145,40.91,144,0.07,0,0.00
8,236,968,4.10,892,3.78,11747,49.78,522,2.21,3,0.01,16,0.07
9,1231,5016,4.07,2518,2.05,73501,59.71,29530,23.99,116,0.09,0,0.00
10,184,948,5.15,740,4.02,11396,61.93,1460,7.93,28,0.15,40,0.22
11,921,2414,2.62,3356,3.64,114496,124.32,28948,31.43,179,0.19,0,0.00
12,161,1347,8.37,1056,6.56,10104,62.76,2796,17.37,0,0.00,0,0.00
13,248,1656,6.68,972,3.92,28916,116.60,7744,31.23,100,0.40,0,0.00
14,84,828,9.86,832,9.90,7592,90.38,88,1.05,76,0.90,4,0.05
15,218,1924,8.83,1146,5.26,18396,84.39,10812,49.60,0,0.00,0,0.00
16,157,1487,9.47,1428,9.10,20688,131.77,768,4.89,112,0.71,4,0.03
17,374,1626,4.35,896,2.40,31992,85.54,11660,31.18,3240,8.66,228,0.61
18,544,702,1.29,640,1.18,71292,131.05,3832,7.04,68,0.12,4,0.01
19,532,3236,6.08,2004,3.77,199586,375.16,27964,52.56,139,0.26,20,0.04
20,31,219,7.06,153,4.94,5072,163.61,651,21.00,48,1.55,16,0.52
21,342,2200,6.43,1404,4.11,172434,504.19,17695,51.74,105,0.31,0,0.00
22,48,156,3.25,156,3.25,8864,184.67,728,15.17,12,0.25,4,0.08
23,285,4791,16.81,3589,12.59,67428,236.59,25072,87.97,121,0.42,0,0.00
24,139,751,5.40,319,2.29,59754,429.88,8829,63.52,0,0.00,0,0.00
25,96,1340,13.96,604,6.29,31660,329.79,19576,203.92,128,1.33,8,0.08
26,48,368,7.67,100,2.08,43120,898.33,4088,85.17,0,0.00,0,0.00
27,244,2384,9.77,964,3.95,109825,450.10,37791,154.88,108,0.44,0,0.00
28,12,124,10.33,52,4.33,4976,414.67,2544,212.00,100,8.33,0,0.00
29,158,2560,16.20,514,3.25,219612,1389.95,51470,325.76,168,1.06,0,0.00
30,20,116,5.80,48,2.40,14011,700.55,1650,82.50,43,2.15,24,1.20
31,81,1051,12.98,141,1.74,32589,402.33,23878,294.79,128,1.58,0,0.00
32,45,1179,26.20,41,0.91,604096,13424.36,108799,2417.76,840,18.67,30,0.67
33,80,1108,13.85,400,5.00,40660,508.25,19632,245.40,280,3.50,0,0.00
34,12,164,13.67,44,3.67,5416,451.33,1960,163.33,128,10.67,0,0.00
35,36,620,17.22,244,6.78,15208,422.44,17984,499.56,400,11.11,12,0.33
36,20,408,20.40,320,16.00,6668,333.40,2496,124.80,164,8.20,0,0.00
37,53,943,17.79,406,7.66,36814,694.60,18874,356.11,124,2.34,0,0.00
38,14,386,27.57,310,22.14,2614,186.71,2300,164.29,0,0.00,4,0.29
39,28,320,11.43,140,5.00,18992,678.29,6668,238.14,140,5.00,4,0.14
40,33,287,8.70,33,1.00,23205,703.18,4383,132.82,79,2.39,2,0.06
41,20,388,19.40,156,7.80,17352,867.60,9624,481.20,0,0.00,0,0.00
42,300,476,1.59,592,1.97,53636,178.79,6632,22.11,48,0.16,8,0.03
43,176,2496,14.18,1056,6.00,150988,857.89,40104,227.86,48,0.27,0,0.00
44,16,440,27.50,360,22.50,6856,428.50,3312,207.00,0,0.00,0,0.00
45,72,1312,18.22,636,8.83,64056,889.67,27388,380.39,416,5.78,12,0.17
46,12,144,12.00,32,2.67,5528,460.67,3160,263.33,48,4.00,12,1.00
47,108,1712,15.85,680,6.30,102684,950.78,23960,221.85,480,4.44,0,0.00
48,16,248,15.50,32,2.00,10288,643.00,3004,187.75,296,18.50,8,0.50
49,29,481,16.59,141,4.86,23016,793.66,18047,622.31,262,9.03,12,0.41
50,20,612,30.60,412,20.60,11132,556.60,7132,356.60,0,0.00,0,0.00
51,12,352,29.33,128,10.67,22264,1855.33,10680,890.00,192,16.00,0,0.00
52,24,416,17.33,160,6.67,16968,707.00,15552,648.00,32,1.33,16,0.67
53,12,344,28.67,160,13.33,13228,1102.33,13344,1112.00,0,0.00,0,0.00
54,28,68,2.43,28,1.00,56564,2020.14,87647,3130.25,900,32.14,0,0.00
55,32,532,16.62,152,4.75,44280,1383.75,7720,241.25,400,12.50,0,0.00
56,16,896,56.00,896,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,40,960,24.00,640,16.00,33044,826.10,7252,181.30,156,3.90,8,0.20
58,8,32,4.00,16,2.00,3896,487.00,248,31.00,0,0.00,8,1.00
59,8,76,9.50,12,1.50,8960,1120.00,1440,180.00,276,34.50,0,0.00
60,56,156,2.79,56,1.00,48063,858.27,9464,169.00,73,1.30,4,0.07
61,8,488,61.00,488,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,4,24,6.00,8,2.00,2708,677.00,232,58.00,0,0.00,4,1.00
63,72,1312,18.22,528,7.33,85744,1190.89,32632,453.22,0,0.00,8,0.11
65,24,208,8.67,96,4.00,17808,742.00,1860,77.50,548,22.83,8,0.33
66,4,33,8.25,12,3.00,8088,2022.00,685,171.25,0,0.00,0,0.00
67,12,264,22.00,72,6.00,15760,1313.33,11600,966.67,0,0.00,0,0.00
68,8,72,9.00,12,1.50,8044,1005.50,1476,184.50,0,0.00,0,0.00
69,16,424,26.50,384,24.00,9424,589.00,584,36.50,0,0.00,8,0.50
70,4,100,25.00,60,15.00,5560,1390.00,360,90.00,0,0.00,0,0.00
72,12,72,6.00,8,0.67,20092,1674.33,2740,228.33,256,21.33,0,0.00
73,104,2448,23.54,816,7.85,147064,1414.08,81496,783.62,0,0.00,8,0.08
75,16,880,55.00,344,21.50,61248,3828.00,54520,3407.50,0,0.00,0,0.00
76,4,56,14.00,4,1.00,13824,3456.00,1440,360.00,0,0.00,0,0.00
77,20,440,22.00,52,2.60,26384,1319.20,27056,1352.80,316,15.80,4,0.20
79,8,624,78.00,320,40.00,14360,1795.00,50024,6253.00,0,0.00,0,0.00
81,4,100,25.00,4,1.00,2520,630.00,5280,1320.00,300,75.00,0,0.00
83,40,1040,26.00,400,10.00,68120,1703.00,35640,891.00,0,0.00,0,0.00
84,24,24,1.00,24,1.00,15144,631.00,1200,50.00,0,0.00,48,2.00
85,4,0,0.00,4,1.00,16,4.00,0,0.00,328,82.00,4,1.00
86,5,160,32.00,5,1.00,11204,2240.80,2788,557.60,231,46.20,1,0.20
87,8,64,8.00,24,3.00,15052,1881.50,2548,318.50,0,0.00,4,0.50
88,10,0,0.00,2,0.20,712,71.20,0,0.00,170,17.00,10,1.00
89,8,352,44.00,8,1.00,4560,570.00,29928,3741.00,0,0.00,0,0.00
90,5,120,24.00,9,1.80,6284,1256.80,14924,2984.80,419,83.80,1,0.20
91,8,720,90.00,368,46.00,16616,2077.00,67424,8428.00,0,0.00,0,0.00
93,28,776,27.71,288,10.29,61236,2187.00,29672,1059.71,0,0.00,0,0.00
96,200,1440,7.20,736,3.68,334528,1672.64,99552,497.76,1960,9.80,0,0.00
97,16,496,31.00,176,11.00,31872,1992.00,19584,1224.00,0,0.00,0,0.00
98,8,88,11.00,8,1.00,25256,3157.00,2416,302.00,560,70.00,0,0.00
100,4,72,18.00,4,1.00,19828,4957.00,2556,639.00,0,0.00,0,0.00
101,8,400,50.00,8,1.00,5184,648.00,38808,4851.00,0,0.00,0,0.00
103,32,1584,49.50,704,22.00,69968,2186.50,120632,3769.75,0,0.00,0,0.00
107,20,544,27.20,196,9.80,35296,1764.80,23920,1196.00,416,20.80,4,0.20
109,4,72,18.00,8,2.00,8976,2244.00,2676,669.00,252,63.00,0,0.00
