tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,465416,820204,1.76,833335,1.79,1356917,2.92,0,0.00,0,0.00,1212,0.00
2,6601,18614,2.82,13895,2.10,32429,4.91,2191,0.33,32,0.00,30,0.00
3,422050,615224,1.46,536730,1.27,5119689,12.13,120815,0.29,244,0.00,1092,0.00
4,7429,21799,2.93,13517,1.82,146449,19.71,510,0.07,4,0.00,651,0.09
5,40808,91230,2.24,80853,1.98,1336030,32.74,247718,6.07,2591,0.06,0,0.00
6,2601,10054,3.87,7999,3.08,68870,26.48,6433,2.47,69,0.03,0,0.00
7,14311,84202,5.88,31317,2.19,798300,55.78,225745,15.77,1096,0.08,0,0.00
8,2668,9922,3.72,7867,2.95,141666,53.10,3706,1.39,14,0.01,128,0.05
9,10055,40590,4.04,20320,2.02,571155,56.80,231932,23.07,990,0.10,0,0.00
10,1627,8268,5.08,6252,3.84,106042,65.18,13218,8.12,143,0.09,480,0.30
11,7382,20282,2.75,27315,3.70,902661,122.28,216580,29.34,1417,0.19,0,0.00
12,1751,13279,7.58,9555,5.46,169971,97.07,35586,20.32,11,0.01,0,0.00
13,2021,13339,6.60,7588,3.75,237726,117.63,64195,31.76,892,0.44,0,0.00
14,649,6735,10.38,6725,10.36,59592,91.82,1220,1.88,367,0.57,20,0.03
15,1639,14660,8.94,8908,5.44,140678,85.83,80306,49.00,17,0.01,52,0.03
16,1090,10208,9.37,9561,8.77,156911,143.96,8435,7.74,500,0.46,20,0.02
17,3110,13510,4.34,7394,2.38,287176,92.34,95343,30.66,25600,8.23,2118,0.68
18,210,1352,6.44,939,4.47,54479,259.42,5106,24.31,344,1.64,20,0.10
19,2272,17673,7.78,9762,4.30,548842,241.57,166030,73.08,835,0.37,160,0.07
20,266,1890,7.11,1370,5.15,41313,155.31,4942,18.58,75,0.28,242,0.91
21,661,7430,11.24,3015,4.56,120167,181.80,85669,129.61,412,0.62,0,0.00
22,328,1382,4.21,1200,3.66,75721,230.86,7881,24.03,76,0.23,20,0.06
23,2236,38291,17.12,28641,12.81,528116,236.19,200972,89.88,1059,0.47,0,0.00
24,1105,6031,5.46,2607,2.36,476717,431.42,69976,63.33,0,0.00,0,0.00
25,753,10700,14.21,4609,6.12,206066,273.66,161979,215.11,1654,2.20,64,0.08
26,372,2932,7.88,776,2.09,340648,915.72,32252,86.70,640,1.72,0,0.00
27,1868,18083,9.68,7586,4.06,858347,459.50,283666,151.86,879,0.47,0,0.00
28,86,996,11.58,412,4.79,33795,392.97,15089,175.45,465,5.41,0,0.00
29,1236,20184,16.33,4048,3.28,1757698,1422.09,408954,330.87,779,0.63,0,0.00
30,151,878,5.81,377,2.50,163276,1081.30,12671,83.91,973,6.44,200,1.32
31,577,7355,12.75,1081,1.87,246713,427.58,168707,292.39,596,1.03,0,0.00
32,329,9299,28.26,237,0.72,4619876,14042.18,790547,2402.88,4800,14.59,226,0.69
33,687,8864,12.90,3328,4.84,327727,477.04,163940,238.63,1473,2.14,668,0.97
34,104,1380,13.27,360,3.46,47415,455.91,21402,205.79,450,4.33,5,0.05
35,288,5008,17.39,1976,6.86,126512,439.28,135634,470.95,3680,12.78,72,0.25
