tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,797148,1314800,1.65,1432491,1.80,2656533,3.33,0,0.00,0,0.00,761,0.00
2,9226,20767,2.25,19700,2.14,48916,5.30,3727,0.40,63,0.01,0,0.00
3,802810,1141232,1.42,1010470,1.26,9667271,12.04,217955,0.27,476,0.00,2080,0.00
4,11639,35914,3.09,21357,1.83,233367,20.05,271,0.02,0,0.00,192,0.02
5,68046,145068,2.13,131790,1.94,2185340,32.12,204511,3.01,4311,0.06,0,0.00
6,3359,12892,3.84,11502,3.42,77417,23.05,9643,2.87,186,0.06,0,0.00
7,23606,148642,6.30,50371,2.13,1308624,55.44,413682,17.52,1817,0.08,0,0.00
8,2788,12028,4.31,11513,4.13,113004,40.53,2542,0.91,1,0.00,252,0.09
9,16376,69393,4.24,35710,2.18,949935,58.01,405578,24.77,801,0.05,0,0.00
10,2226,12667,5.69,9567,4.30,116614,52.39,18251,8.20,7,0.00,382,0.17
11,13635,36909,2.71,51708,3.79,1665933,122.18,481359,35.30,3185,0.23,0,0.00
12,2151,20198,9.39,16965,7.89,104057,48.38,31148,14.48,0,0.00,0,0.00
13,3501,22932,6.55,13522,3.86,449441,128.38,108764,31.07,1577,0.45,0,0.00
14,1013,12421,12.26,12608,12.45,67866,67.00,766,0.76,19,0.02,1,0.00
15,3092,28808,9.32,17267,5.58,261007,84.41,162787,52.65,6,0.00,0,0.00
16,1652,20518,12.42,20813,12.60,121732,73.69,5338,3.23,28,0.02,1,0.00
17,5835,25935,4.44,14190,2.43,492772,84.45,185638,31.81,51042,8.75,3627,0.62
18,226,2189,9.69,1460,6.46,59020,261.15,9160,40.53,19,0.08,4,0.02
19,4428,31941,7.21,15614,3.53,1083696,244.74,339289,76.62,1646,0.37,324,0.07
20,349,3279,9.40,2270,6.50,57502,164.76,8731,25.02,768,2.20,252,0.72
21,1168,15128,12.95,6934,5.94,206826,177.08,171233,146.60,419,0.36,0,0.00
22,326,1783,5.47,1783,5.47,46844,143.69,2702,8.29,3,0.01,1,0.00
23,4362,74605,17.10,55223,12.66,1009213,231.36,388849,89.14,23,0.01,0,0.00
24,2085,11642,5.58,4992,2.39,908501,435.73,134602,64.56,0,0.00,0,0.00
25,1264,18935,14.98,8149,6.45,231723,183.33,296904,234.89,1408,1.11,126,0.10
26,694,5734,8.26,1451,2.09,660168,951.25,63704,91.79,0,0.00,0,0.00
27,3468,33668,9.71,14185,4.09,1591621,458.94,544111,156.89,21,0.01,0,0.00
28,131,1923,14.68,773,5.90,43040,328.55,40208,306.93,1587,12.11,0,0.00
29,2399,39531,16.48,7832,3.26,3441104,1434.39,805858,335.91,0,0.00,0,0.00
30,316,1463,4.63,757,2.40,228127,721.92,25429,80.47,1681,5.32,441,1.40
31,1388,18279,13.17,2461,1.77,529671,381.61,421060,303.36,4284,3.09,0,0.00
32,570,17786,31.20,197,0.35,9532423,16723.55,1718039,3014.10,13259,23.26,442,0.78
33,1271,17492,13.76,6336,4.99,653321,514.02,309909,243.83,4384,3.45,6,0.00
34,199,2663,13.38,733,3.68,91486,459.73,31845,160.03,2026,10.18,0,0.00
35,573,10055,17.55,3979,6.94,274552,479.15,306033,534.09,3248,5.67,65,0.11
36,189,1890,10.00,504,2.67,104612,553.50,39340,208.15,2620,13.86,0,0.00
37,1007,22738,22.58,15242,15.14,522660,519.03,321756,319.52,1020,1.01,0,0.00
38,67,1071,15.99,72,1.07,25859,385.96,34272,511.52,0,0.00,40,0.60
39,379,4978,13.13,2143,5.65,283008,746.72,103775,273.81,2217,5.85,1,0.00
40,442,3976,9.00,442,1.00,308055,696.96,63397,143.43,1035,2.34,0,0.00
41,315,6111,19.40,2457,7.80,273294,867.60,151578,481.20,0,0.00,0,0.00
42,4725,7497,1.59,9324,1.97,844767,178.79,104454,22.11,756,0.16,126,0.03
43,2898,41328,14.26,17514,6.04,2515379,867.97,613744,211.78,1636,0.56,0,0.00
44,252,6930,27.50,5670,22.50,107982,428.50,52164,207.00,0,0.00,0,0.00
45,634,13160,20.76,6827,10.77,431356,680.37,293468,462.88,7501,11.83,189,0.30
46,65,1338,20.58,70,1.08,31392,482.95,31451,483.86,754,11.60,3,0.05
47,1827,28980,15.86,11592,6.34,1763559,965.28,382908,209.58,4920,2.69,0,0.00
48,190,3475,18.29,256,1.35,104758,551.36,40279,211.99,4674,24.60,126,0.66
49,317,6812,21.49,2143,6.76,196450,619.72,271718,857.15,3414,10.77,65,0.21
50,191,7779,40.73,6365,33.32,36387,190.51,64527,337.84,0,0.00,0,0.00
51,314,6540,20.83,2266,7.22,540872,1722.52,193958,617.70,579,1.84,5,0.02
52,378,6552,17.33,2520,6.67,267234,706.97,244602,647.10,516,1.37,252,0.67
53,189,5418,28.67,2520,13.33,208341,1102.33,210168,1112.00,0,0.00,0,0.00
54,441,1071,2.43,441,1.00,1004451,2277.67,1462359,3316.01,14175,32.14,0,0.00
55,317,5017,15.83,1955,6.17,418869,1321.35,39412,124.33,0,0.00,0,0.00
56,126,7056,56.00,7056,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,882,24696,28.00,18144,20.57,673785,763.93,157878,179.00,2142,2.43,126,0.14
58,126,504,4.00,252,2.00,61362,487.00,3906,31.00,0,0.00,126,1.00
59,64,701,10.95,127,1.98,79058,1235.28,13876,216.81,1929,30.14,0,0.00
60,696,2085,3.00,696,1.00,639566,918.92,126490,181.74,230,0.33,1,0.00
61,126,7686,61.00,7686,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,63,378,6.00,126,2.00,42651,677.00,3654,58.00,0,0.00,63,1.00
63,882,15624,17.71,6300,7.14,1028664,1166.29,386442,438.14,0,0.00,126,0.14
65,254,2036,8.02,1016,4.00,161335,635.18,6048,23.81,3950,15.55,126,0.50
66,63,504,8.00,189,3.00,126689,2010.94,10710,170.00,1,0.02,0,0.00
67,189,4158,22.00,1134,6.00,248220,1313.33,182700,966.67,0,0.00,0,0.00
68,64,204,3.19,65,1.02,78519,1226.86,13947,217.92,0,0.00,0,0.00
69,252,6678,26.50,6048,24.00,148428,589.00,9198,36.50,0,0.00,126,0.50
70,63,1575,25.00,945,15.00,87570,1390.00,5670,90.00,0,0.00,0,0.00
72,189,1134,6.00,126,0.67,316449,1674.33,43155,228.33,4032,21.33,0,0.00
73,1512,34020,22.50,12726,8.42,2257542,1493.08,970452,641.83,0,0.00,126,0.08
