tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,134276,224645,1.67,240993,1.79,424349,3.16,0,0.00,0,0.00,191,0.00
2,1768,3678,2.08,3585,2.03,10597,5.99,701,0.40,10,0.01,108,0.06
3,129612,186062,1.44,164122,1.27,1568323,12.10,36826,0.28,108,0.00,398,0.00
4,2246,6418,2.86,3972,1.77,44417,19.78,230,0.10,7,0.00,132,0.06
5,12115,25922,2.14,23339,1.93,387248,31.96,77982,6.44,918,0.08,0,0.00
6,735,2451,3.33,2216,3.01,20801,28.30,2052,2.79,24,0.03,108,0.15
7,4128,26715,6.47,10158,2.46,246624,59.74,71706,17.37,360,0.09,0,0.00
8,621,2727,4.39,2538,4.09,29042,46.77,1304,2.10,8,0.01,40,0.06
9,3105,12978,4.18,6737,2.17,183515,59.10,73696,23.73,343,0.11,0,0.00
10,442,2180,4.93,1676,3.79,28261,63.94,3643,8.24,72,0.16,100,0.23
11,2373,6503,2.74,8623,3.63,289357,121.94,75324,31.74,520,0.22,0,0.00
12,414,3368,8.14,2624,6.34,26851,64.86,7186,17.36,5,0.01,0,0.00
13,555,3615,6.51,2115,3.81,68174,122.84,17010,30.65,263,0.47,0,0.00
14,210,2070,9.86,2080,9.90,18980,90.38,220,1.05,190,0.90,10,0.05
15,565,4911,8.69,3095,5.48,45461,80.46,25572,45.26,2,0.00,72,0.13
16,396,3506,8.85,3296,8.32,54656,138.02,2718,6.86,280,0.71,10,0.03
17,998,4535,4.54,2344,2.35,90329,90.51,34025,34.09,8000,8.02,570,0.57
18,78,438,5.62,294,3.77,19940,255.64,1582,20.28,176,2.26,10,0.13
19,715,5095,7.13,2479,3.47,173535,242.71,54264,75.89,198,0.28,50,0.07
20,84,568,6.76,390,4.64,15256,181.62,1766,21.02,20,0.24,40,0.48
21,216,2504,11.59,1152,5.33,44914,207.94,29467,136.42,36,0.17,0,0.00
22,120,390,3.25,390,3.25,22160,184.67,1820,15.17,30,0.25,10,0.08
23,710,11730,16.52,8750,12.32,161680,227.72,58740,82.73,250,0.35,0,0.00
24,346,1874,5.42,796,2.30,150112,433.85,22066,63.77,0,0.00,0,0.00
25,244,3374,13.83,1514,6.20,81942,335.83,48942,200.58,530,2.17,20,0.08
26,122,959,7.86,254,2.08,108482,889.20,11408,93.51,200,1.64,0,0.00
27,573,5530,9.65,2322,4.05,262748,458.55,87754,153.15,278,0.49,0,0.00
28,30,310,10.33,130,4.33,12530,417.67,4732,157.73,155,5.17,0,0.00
29,410,6610,16.12,1300,3.17,554840,1353.27,134724,328.60,508,1.24,0,0.00
30,50,290,5.80,120,2.40,51122,1022.44,4248,84.96,418,8.36,60,1.20
31,182,2320,12.75,332,1.82,77636,426.57,52912,290.73,170,0.93,0,0.00
32,110,2980,27.09,100,0.91,1449130,13173.91,248330,2257.55,1500,13.64,70,0.64
33,200,2770,13.85,1000,5.00,101890,509.45,51022,255.11,462,2.31,0,0.00
34,30,410,13.67,110,3.67,13716,457.20,6438,214.60,144,4.80,0,0.00
35,90,1550,17.22,610,6.78,38200,424.44,44340,492.67,800,8.89,30,0.33
36,30,300,10.00,80,2.67,16730,557.67,4830,161.00,350,11.67,0,0.00
37,156,3572,22.90,2392,15.33,76722,491.81,50178,321.65,100,0.64,24,0.15
38,10,170,17.00,10,1.00,4040,404.00,5440,544.00,0,0.00,0,0.00
39,82,1748,21.32,1010,12.32,105894,1291.39,21296,259.71,302,3.68,10,0.12
40,82,714,8.71,82,1.00,57834,705.29,11674,142.37,130,1.59,4,0.05
41,52,974,18.73,394,7.58,44074,847.58,24122,463.88,0,0.00,8,0.15
42,764,2461,3.22,2336,3.06,205486,268.96,23995,31.41,120,0.16,20,0.03
43,464,6572,14.16,2788,6.01,402178,866.76,101258,218.23,100,0.22,40,0.09
44,41,1109,27.05,901,21.98,17818,434.59,8386,204.54,0,0.00,2,0.05
45,140,2640,18.86,1310,9.36,115701,826.44,65816,470.11,959,6.85,30,0.21
46,33,390,11.82,83,2.52,16137,489.00,10922,330.97,62,1.88,36,1.09
47,296,4652,15.72,1860,6.28,286192,966.86,56878,192.16,1066,3.60,64,0.22
48,40,660,16.50,80,2.00,26928,673.20,6676,166.90,652,16.30,20,0.50
49,70,1160,16.57,350,5.00,55119,787.41,40740,582.00,936,13.37,30,0.43
50,52,1554,29.88,1032,19.85,28714,552.19,15623,300.44,409,7.87,4,0.08
51,30,880,29.33,320,10.67,62810,2093.67,29800,993.33,50,1.67,0,0.00
52,60,1040,17.33,400,6.67,42460,707.67,40260,671.00,40,0.67,40,0.67
53,50,1200,24.00,540,10.80,54350,1087.00,40440,808.80,0,0.00,0,0.00
54,70,170,2.43,70,1.00,147730,2110.43,229582,3279.74,2250,32.14,0,0.00
55,72,1214,16.86,340,4.72,102760,1427.22,14688,204.00,0,0.00,0,0.00
56,21,1135,54.05,1121,53.38,1128,53.71,229,10.90,0,0.00,2,0.10
57,140,3920,28.00,2880,20.57,106770,762.64,25790,184.21,460,3.29,20,0.14
58,20,80,4.00,40,2.00,9740,487.00,620,31.00,0,0.00,20,1.00
59,20,190,9.50,30,1.50,22354,1117.70,3596,179.80,690,34.50,0,0.00
60,141,407,2.89,141,1.00,121343,860.59,23938,169.77,275,1.95,12,0.09
61,20,1220,61.00,1220,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,10,60,6.00,20,2.00,6770,677.00,580,58.00,0,0.00,10,1.00
63,140,2480,17.71,1000,7.14,163280,1166.29,61340,438.14,0,0.00,20,0.14
65,60,520,8.67,240,4.00,45990,766.50,4680,78.00,1060,17.67,20,0.33
66,10,80,8.00,30,3.00,17296,1729.60,1490,149.00,142,14.20,0,0.00
67,30,660,22.00,180,6.00,39400,1313.33,29000,966.67,0,0.00,0,0.00
68,20,180,9.00,30,1.50,20110,1005.50,3690,184.50,0,0.00,0,0.00
69,40,1060,26.50,960,24.00,23560,589.00,1460,36.50,0,0.00,20,0.50
70,10,250,25.00,150,15.00,13900,1390.00,900,90.00,0,0.00,0,0.00
72,30,180,6.00,20,0.67,50230,1674.33,6850,228.33,640,21.33,0,0.00
73,220,4940,22.45,1840,8.36,328540,1493.36,140340,637.91,0,0.00,20,0.09
75,60,2200,36.67,140,2.33,137654,2294.23,121443,2024.05,600,10.00,0,0.00
76,10,140,14.00,10,1.00,34560,3456.00,3600,360.00,0,0.00,0,0.00
77,71,3405,47.96,1679,23.65,126724,1784.85,233163,3283.99,1438,20.25,10,0.14
81,10,250,25.00,10,1.00,6430,643.00,12416,1241.60,620,62.00,0,0.00
83,140,3640,26.00,1400,10.00,238420,1703.00,124740,891.00,0,0.00,0,0.00
84,60,60,1.00,60,1.00,37860,631.00,3000,50.00,0,0.00,120,2.00
85,10,0,0.00,10,1.00,40,4.00,0,0.00,820,82.00,10,1.00
86,10,400,40.00,10,1.00,28037,2803.70,6970,697.00,367,36.70,0,0.00
87,20,160,8.00,60,3.00,37630,1881.50,6370,318.50,0,0.00,10,0.50
88,20,0,0.00,0,0.00,1760,88.00,0,0.00,0,0.00,20,1.00
89,20,880,44.00,20,1.00,10980,549.00,55710,2785.50,420,21.00,0,0.00
90,10,300,30.00,20,2.00,15910,1591.00,31560,3156.00,760,76.00,0,0.00
91,20,1800,90.00,920,46.00,41080,2054.00,126770,6338.50,430,21.50,0,0.00
93,70,1940,27.71,720,10.29,153090,2187.00,74180,1059.71,0,0.00,0,0.00
96,500,3600,7.20,1840,3.68,835570,1671.14,248880,497.76,5930,11.86,0,0.00
97,41,1271,31.00,451,11.00,81672,1992.00,50184,1224.00,0,0.00,0,0.00
98,20,220,11.00,20,1.00,63140,3157.00,6040,302.00,1400,70.00,0,0.00
100,10,180,18.00,10,1.00,49570,4957.00,6390,639.00,0,0.00,0,0.00
101,20,1000,50.00,20,1.00,12960,648.00,97020,4851.00,0,0.00,0,0.00
103,80,3960,49.50,1760,22.00,174920,2186.50,301580,3769.75,0,0.00,0,0.00
107,50,1360,27.20,490,9.80,88240,1764.80,59800,1196.00,1040,20.80,10,0.20
109,12,192,16.00,24,2.00,24166,2013.83,7514,626.17,630,52.50,24,2.00
113,542,17952,33.12,4944,9.12,2103412,3880.83,598794,1104.79,2200,4.06,24,0.04
114,10,80,8.00,20,2.00,1940,194.00,210,21.00,0,0.00,70,7.00
115,60,4560,76.00,1200,20.00,80508,1341.80,458738,7645.63,1840,30.67,0,0.00
116,9,180,20.00,72,8.00,50463,5607.00,4860,540.00,0,0.00,0,0.00
117,120,7590,63.25,3280,27.33,339433,2828.61,577343,4811.19,877,7.31,0,0.00
123,85,3510,41.29,870,10.24,175440,2064.00,251360,2957.18,1080,12.71,10,0.12
124,10,220,22.00,10,1.00,64580,6458.00,10150,1015.00,0,0.00,0,0.00
125,30,2480,82.67,1270,42.33,57660,1922.00,297300,9910.00,1090,36.33,10,0.33
127,50,1538,30.76,410,8.20,153626,3072.52,71904,1438.08,2430,48.60,60,1.20
129,10,0,0.00,10,1.00,260,26.00,0,0.00,1040,104.00,10,1.00
130,20,230,11.50,80,4.00,78665,3933.25,8539,426.95,279,13.95,0,0.00
133,21,844,40.19,310,14.76,61736,2939.81,47145,2245.00,0,0.00,0,0.00
136,10,650,65.00,10,1.00,30317,3031.70,7054,705.40,793,79.30,10,1.00
137,70,3010,43.00,1050,15.00,199080,2844.00,172900,2470.00,0,0.00,0,0.00
141,10,620,62.00,160,16.00,43500,4350.00,51900,5190.00,0,0.00,0,0.00
142,2,0,0.00,2,1.00,8,4.00,0,0.00,278,139.00,2,1.00
