tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,434590,770655,1.77,784948,1.81,1206346,2.78,0,0.00,0,0.00,648,0.00
2,10387,17723,1.71,15359,1.48,57217,5.51,4105,0.40,28,0.00,1376,0.13
3,377661,539358,1.43,485500,1.29,4587754,12.15,106887,0.28,684,0.00,973,0.00
4,6388,18068,2.83,11354,1.78,126368,19.78,650,0.10,19,0.00,168,0.03
5,48197,101981,2.12,93198,1.93,1623946,33.69,330743,6.86,4223,0.09,0,0.00
6,2172,7184,3.31,6265,2.88,62247,28.66,6345,2.92,75,0.03,0,0.00
7,12882,72293,5.61,26758,2.08,705656,54.78,198117,15.38,3164,0.25,0,0.00
8,1665,6831,4.10,6294,3.78,83634,50.23,3786,2.27,22,0.01,110,0.07
9,10802,43190,4.00,23369,2.16,653064,60.46,225201,20.85,1719,0.16,0,0.00
10,1247,6081,4.88,4638,3.72,79197,63.51,10268,8.23,249,0.20,284,0.23
11,7477,19009,2.54,25543,3.42,939141,125.60,183362,24.52,1283,0.17,2,0.00
12,1161,9759,8.41,7680,6.61,71994,62.01,19569,16.86,24,0.02,2,0.00
13,1688,11100,6.58,6468,3.83,198005,117.30,52090,30.86,917,0.54,0,0.00
14,2599,19970,7.68,8983,3.46,337548,129.88,167021,64.26,2250,0.87,28,0.01
15,2651,15653,5.90,9803,3.70,196757,74.22,78784,29.72,266,0.10,8,0.00
16,1027,9107,8.87,8690,8.46,144806,141.00,5362,5.22,766,0.75,28,0.03
17,2700,11856,4.39,6478,2.40,244400,90.52,84357,31.24,22472,8.32,1608,0.60
18,236,1406,5.96,904,3.83,57908,245.37,5920,25.08,480,2.03,28,0.12
19,1990,14211,7.14,6919,3.48,482064,242.24,152254,76.51,328,0.16,140,0.07
20,1249,12697,10.17,8239,6.60,620360,496.69,76884,61.56,199,0.16,122,0.10
21,614,7072,11.52,3237,5.27,123958,201.89,83461,135.93,748,1.22,0,0.00
22,336,1092,3.25,1092,3.25,62064,184.71,5096,15.17,81,0.24,28,0.08
23,1925,32063,16.66,24447,12.70,445051,231.20,144168,74.89,1312,0.68,0,0.00
24,971,5253,5.41,2245,2.31,416878,429.33,61727,63.57,0,0.00,0,0.00
25,747,10356,13.86,4329,5.80,225534,301.92,152851,204.62,2044,2.74,60,0.08
26,336,2576,7.67,700,2.08,301284,896.68,28266,84.12,556,1.65,0,0.00
27,1625,17681,10.88,8737,5.38,731436,450.11,244568,150.50,821,0.51,0,0.00
28,86,870,10.12,366,4.26,36376,422.98,13176,153.21,346,4.02,0,0.00
29,1105,17822,16.13,3585,3.24,1553832,1406.18,358738,324.65,671,0.61,0,0.00
30,145,824,5.68,341,2.35,145100,1000.69,11492,79.26,955,6.59,178,1.23
31,617,8107,13.14,1037,1.68,237643,385.16,187194,303.39,806,1.31,0,0.00
32,309,8291,26.83,281,0.91,4063952,13151.95,696967,2255.56,4200,13.59,198,0.64
33,570,8762,15.37,3706,6.50,315486,553.48,159830,280.40,1533,2.69,0,0.00
34,85,1152,13.55,309,3.64,38725,455.59,18410,216.59,386,4.54,2,0.02
35,196,2436,12.43,700,3.57,64348,328.31,65228,332.80,2236,11.41,84,0.43
36,140,2856,20.40,2240,16.00,46848,334.63,13470,96.21,976,6.97,0,0.00
37,368,7939,21.57,4601,12.50,212165,576.54,140912,382.91,276,0.75,0,0.00
38,35,550,15.71,51,1.46,14847,424.20,15726,449.31,0,0.00,7,0.20
39,196,2240,11.43,980,5.00,133116,679.16,49948,254.84,808,4.12,28,0.14
40,238,2128,8.94,318,1.34,164582,691.52,35654,149.81,471,1.98,7,0.03
41,196,3612,18.43,1484,7.57,182186,929.52,69850,356.38,38,0.19,0,0.00
42,2110,3454,1.64,4220,2.00,380400,180.28,49080,23.26,325,0.15,62,0.03
43,1232,17472,14.18,7392,6.00,1053892,855.43,288191,233.92,779,0.63,0,0.00
44,123,3225,26.22,2641,21.47,53787,437.29,26654,216.70,38,0.31,1,0.01
45,792,11792,14.89,5668,7.16,650218,820.98,289279,365.25,2451,3.09,84,0.11
46,88,1064,12.09,276,3.14,40778,463.39,31501,357.97,201,2.28,84,0.95
47,813,12896,15.86,5102,6.28,771783,949.30,171274,210.67,2952,3.63,0,0.00
48,113,1719,15.21,225,1.99,72342,640.19,18976,167.93,1790,15.84,58,0.51
49,252,4144,16.44,1372,5.44,216261,858.18,115837,459.67,3023,12.00,84,0.33
50,85,1492,17.55,85,1.00,74316,874.31,42593,501.09,1268,14.92,2,0.02
51,140,5320,38.00,3752,26.80,175872,1256.23,83820,598.71,136,0.97,0,0.00
52,169,2925,17.31,1121,6.63,119870,709.29,113082,669.12,108,0.64,114,0.67
53,140,3304,23.60,1512,10.80,152560,1089.71,95084,679.17,1020,7.29,0,0.00
54,196,476,2.43,196,1.00,411296,2098.45,300498,1533.15,6300,32.14,0,0.00
55,85,1496,17.60,145,1.71,146635,1725.12,34418,404.92,0,0.00,0,0.00
56,57,3151,55.28,3137,55.04,1128,19.79,229,4.02,0,0.00,2,0.04
57,393,10883,27.69,8071,20.54,308804,785.76,54002,137.41,0,0.00,56,0.14
58,61,276,4.52,131,2.15,32393,531.03,2315,37.95,8,0.13,58,0.95
59,56,532,9.50,84,1.50,62744,1120.43,10080,180.00,1908,34.07,0,0.00
60,392,1092,2.79,392,1.00,336182,857.61,66248,169.00,770,1.96,28,0.07
62,84,3640,43.33,3528,42.00,18956,225.67,1624,19.33,0,0.00,28,0.33
63,448,8064,18.00,3248,7.25,528696,1180.12,200088,446.62,0,0.00,56,0.12
65,168,1456,8.67,672,4.00,128772,766.50,13104,78.00,2968,17.67,56,0.33
66,1028,24233,23.57,9084,8.84,2071366,2014.95,318286,309.62,1096,1.07,0,0.00
67,91,1986,21.82,592,6.51,117315,1289.18,86107,946.23,0,0.00,0,0.00
68,58,534,9.21,88,1.52,57862,997.62,10632,183.31,0,0.00,0,0.00
69,114,3006,26.37,2722,23.88,67518,592.26,5742,50.37,0,0.00,56,0.49
70,28,700,25.00,420,15.00,38920,1390.00,2520,90.00,0,0.00,0,0.00
71,1,20,20.00,18,18.00,816,816.00,877,877.00,0,0.00,0,0.00
72,84,504,6.00,56,0.67,140644,1674.33,19180,228.33,1792,21.33,0,0.00
73,784,18424,23.50,6216,7.93,1112888,1419.50,608832,776.57,0,0.00,56,0.07
75,169,8247,48.80,2470,14.62,457011,2704.21,529615,3133.82,0,0.00,0,0.00
76,28,392,14.00,28,1.00,96768,3456.00,10080,360.00,0,0.00,0,0.00
77,147,5383,36.62,2555,17.38,265296,1804.73,370736,2522.01,2307,15.69,28,0.19
78,2,100,50.00,18,9.00,4916,2458.00,3128,1564.00,0,0.00,0,0.00
79,4,68,17.00,24,6.00,5956,1489.00,3840,960.00,0,0.00,0,0.00
81,28,700,25.00,28,1.00,18095,646.25,34704,1239.43,1645,58.75,0,0.00
83,280,7280,26.00,2800,10.00,476840,1703.00,249480,891.00,0,0.00,0,0.00
84,1157,1157,1.00,1157,1.00,731735,632.44,57709,49.88,812,0.70,2314,2.00
85,2028,2000,0.99,2028,1.00,284112,140.09,14000,6.90,2296,1.13,32028,15.79
86,28,1120,40.00,28,1.00,78622,2807.93,19516,697.00,1018,36.36,0,0.00
87,58,504,8.69,188,3.24,108860,1876.90,19796,341.31,62,1.07,28,0.48
88,56,0,0.00,0,0.00,4928,88.00,0,0.00,0,0.00,56,1.00
89,56,2464,44.00,56,1.00,31920,570.00,209496,3741.00,0,0.00,0,0.00
90,28,840,30.00,56,2.00,44584,1592.29,87480,3124.29,2116,75.57,0,0.00
91,56,5040,90.00,2576,46.00,116312,2077.00,471968,8428.00,0,0.00,0,0.00
93,196,5432,27.71,2016,10.29,428652,2187.00,207704,1059.71,0,0.00,0,0.00
96,1400,10080,7.20,5152,3.68,2349088,1677.92,696864,497.76,12376,8.84,0,0.00
97,113,3503,31.00,1243,11.00,225096,1992.00,138312,1224.00,0,0.00,0,0.00
98,56,616,11.00,56,1.00,176792,3157.00,16912,302.00,3920,70.00,0,0.00
99,165,317,1.92,368,2.23,204827,1241.38,32935,199.61,438,2.65,310,1.88
100,68,6504,95.65,6028,88.65,138796,2041.12,17892,263.12,0,0.00,0,0.00
103,227,8298,36.56,2093,9.22,399257,1758.84,463366,2041.26,784,3.45,0,0.00
105,56,5824,104.00,2968,53.00,133896,2391.00,508452,9079.50,784,14.00,0,0.00
107,145,3978,27.43,1432,9.88,258097,1779.98,174915,1206.31,2912,20.08,28,0.19
109,28,504,18.00,56,2.00,62832,2244.00,18732,669.00,1764,63.00,0,0.00
111,1,8,8.00,8,8.00,3050,3050.00,660,660.00,0,0.00,2,2.00
113,1456,48272,33.15,13104,9.00,5732138,3936.91,1565668,1075.32,12854,8.83,0,0.00
114,32,375,11.72,97,3.03,17546,548.31,10759,336.22,0,0.00,196,6.12
115,168,12768,76.00,3360,20.00,227312,1353.05,1426088,8488.62,3302,19.65,0,0.00
116,291,766,2.63,998,3.43,607948,2089.17,75458,259.31,972,3.34,532,1.83
117,297,19821,66.74,8821,29.70,814866,2743.66,1902701,6406.40,902,3.04,0,0.00
121,12,456,38.00,12,1.00,63030,5252.50,11850,987.50,528,44.00,0,0.00
123,241,8806,36.54,3230,13.40,608278,2523.98,465464,1931.39,77,0.32,24,0.10
124,28,616,22.00,28,1.00,180476,6445.57,28217,1007.75,72,2.57,0,0.00
125,84,3472,41.33,84,1.00,48552,578.00,420168,5002.00,0,0.00,28,0.33
126,2,28,14.00,8,4.00,9910,4955.00,598,299.00,0,0.00,0,0.00
127,197,11546,58.61,4830,24.52,559470,2839.95,1131985,5746.12,7111,36.10,168,0.85
129,84,120,1.43,302,3.60,135530,1613.45,22570,268.69,3554,42.31,136,1.62
130,47,455,9.68,161,3.43,162759,3462.96,19472,414.30,266,5.66,0,0.00
131,1,1,1.00,3,3.00,2458,2458.00,271,271.00,0,0.00,0,0.00
132,2,116,58.00,30,15.00,8132,4066.00,9058,4529.00,0,0.00,0,0.00
133,57,2320,40.70,850,14.91,161384,2831.30,130881,2296.16,0,0.00,0,0.00
136,28,1820,65.00,28,1.00,85139,3040.68,20000,714.29,2141,76.46,28,1.00
137,197,8471,43.00,2955,15.00,560268,2844.00,486590,2470.00,0,0.00,0,0.00
141,18,1116,62.00,288,16.00,78300,4350.00,93420,5190.00,0,0.00,0,0.00
143,56,2464,44.00,896,16.00,166936,2981.00,150864,2694.00,0,0.00,0,0.00
144,28,196,7.00,56,2.00,101976,3642.00,7448,266.00,2408,86.00,56,2.00
145,28,0,0.00,28,1.00,672,24.00,0,0.00,3416,122.00,28,1.00
146,340,340,1.00,1700,5.00,1057106,3109.14,162929,479.20,1993,5.86,680,2.00
147,309,12926,41.83,4524,14.64,863161,2793.40,800569,2590.84,0,0.00,28,0.09
153,112,3528,31.50,1008,9.00,592312,5288.50,258608,2309.00,0,0.00,0,0.00
155,28,476,17.00,28,1.00,238308,8511.00,23772,849.00,3556,127.00,84,3.00
157,225,11025,49.00,3825,17.00,735750,3270.00,732375,3255.00,0,0.00,0,0.00
161,12,237,19.75,111,9.25,97626,8135.50,14570,1214.17,31,2.58,6,0.50
162,2,84,42.00,74,37.00,3786,1893.00,8028,4014.00,0,0.00,0,0.00
163,56,2800,50.00,1008,18.00,190792,3407.00,196616,3511.00,0,0.00,0,0.00
165,56,0,0.00,56,1.00,4880,87.14,0,0.00,4416,78.86,56,1.00
167,16,96,6.00,16,1.00,83006,5187.88,6630,414.38,1611,100.69,32,2.00
168,4,180,45.00,160,40.00,8064,2016.00,17376,4344.00,0,0.00,0,0.00
169,9,0,0.00,9,1.00,36,4.00,0,0.00,1494,166.00,9,1.00
171,37,677,18.30,102,2.76,155842,4211.95,108712,2938.16,2572,69.51,42,1.14
172,28,840,30.00,28,1.00,264880,9460.00,57624,2058.00,0,0.00,0,0.00
173,33,140,4.24,89,2.70,217148,6580.24,8052,244.00,4514,136.79,61,1.85
175,35,840,24.00,175,5.00,143765,4107.57,29137,832.49,3996,114.17,7,0.20
177,3,0,0.00,3,1.00,12,4.00,0,0.00,522,174.00,3,1.00
178,1,30,30.00,10,10.00,8745,8745.00,731,731.00,62,62.00,0,0.00
181,2,2,1.00,30,15.00,19772,9886.00,3070,1535.00,0,0.00,4,2.00
182,26,312,12.00,156,6.00,101660,3910.00,32812,1262.00,3198,123.00,52,2.00
184,28,840,30.00,252,9.00,258384,9228.00,46564,1663.00,0,0.00,0,0.00
186,28,1120,40.00,252,9.00,220376,7870.57,66732,2383.29,1660,59.29,0,0.00
191,27,35,1.30,344,12.74,236259,8750.33,38942,1442.30,0,0.00,60,2.22
192,28,252,9.00,196,7.00,120457,4302.04,26681,952.89,1160,41.43,56,2.00
193,2,2,1.00,14,7.00,12444,6222.00,1930,965.00,0,0.00,0,0.00
195,1,34,34.00,12,12.00,9547,9547.00,1192,1192.00,87,87.00,0,0.00
196,56,980,17.50,196,3.50,349020,6232.50,81612,1457.36,5040,90.00,28,0.50
197,6,18,3.00,18,3.00,12438,2073.00,948,158.00,0,0.00,24,4.00
198,5,20,4.00,20,4.00,14989,2997.80,1238,247.60,53,10.60,20,4.00
