tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,115388,192281,1.67,202849,1.76,343616,2.98,0,0.00,0,0.00,159,0.00
2,1444,2978,2.06,2884,2.00,7794,5.40,584,0.40,8,0.01,0,0.00
3,105901,152307,1.44,133496,1.26,1279007,12.08,30731,0.29,72,0.00,280,0.00
4,1849,5195,2.81,3233,1.75,36508,19.74,192,0.10,1,0.00,60,0.03
5,9879,21092,2.14,18989,1.92,316583,32.05,31906,3.23,710,0.07,0,0.00
6,609,1935,3.18,1697,2.79,18571,30.49,1694,2.78,16,0.03,0,0.00
7,3367,20318,6.03,7443,2.21,183979,54.64,55680,16.54,288,0.09,0,0.00
8,539,2232,4.14,2027,3.76,27558,51.13,1206,2.24,1,0.00,32,0.06
9,2600,10587,4.07,5394,2.07,155183,59.69,61438,23.63,312,0.12,0,0.00
10,390,1810,4.64,1371,3.52,26134,67.01,2921,7.49,63,0.16,95,0.24
11,1878,4969,2.65,6783,3.61,232785,123.95,62398,33.23,468,0.25,0,0.00
12,355,2775,7.82,2175,6.13,23302,65.64,5600,15.77,0,0.00,0,0.00
13,669,3159,4.72,1737,2.60,209334,312.91,251216,375.51,2999,4.48,0,0.00
14,199,1897,9.53,1903,9.56,17261,86.74,206,1.04,156,0.78,36,0.18
15,512,4584,8.95,2806,5.48,43165,84.31,23749,46.38,18,0.04,0,0.00
16,299,2646,8.85,2510,8.39,42595,142.46,1540,5.15,199,0.67,40,0.13
17,795,3554,4.47,1896,2.38,73771,92.79,25373,31.92,6468,8.14,457,0.57
18,69,384,5.57,260,3.77,17908,259.54,1589,23.03,136,1.97,23,0.33
19,580,4124,7.11,1997,3.44,141338,243.69,42830,73.84,223,0.38,40,0.07
20,66,447,6.77,313,4.74,10419,157.86,1421,21.53,20,0.30,36,0.55
21,171,2007,11.74,915,5.35,33732,197.26,23936,139.98,28,0.16,0,0.00
22,128,374,2.92,356,2.78,24613,192.29,1947,15.21,24,0.19,8,0.06
23,569,9301,16.35,7012,12.32,131454,231.03,44077,77.46,275,0.48,1,0.00
24,283,1513,5.35,645,2.28,121963,430.96,18124,64.04,9,0.03,0,0.00
25,197,4485,22.77,1711,8.69,76429,387.96,51417,261.00,524,2.66,16,0.08
26,106,747,7.05,219,2.07,89350,842.92,8195,77.31,173,1.63,14,0.13
27,472,4560,9.66,1912,4.05,216927,459.59,69072,146.34,304,0.64,0,0.00
28,24,248,10.33,104,4.33,9986,416.08,4292,178.83,161,6.71,0,0.00
29,347,5521,15.91,1056,3.04,448784,1293.33,113986,328.49,199,0.57,2,0.01
30,47,246,5.23,103,2.19,30199,642.53,3603,76.66,318,6.77,72,1.53
31,181,2342,12.94,307,1.70,70730,390.77,54907,303.35,390,2.15,14,0.08
32,92,2504,27.22,100,1.09,1227640,13343.91,222024,2413.30,1680,18.26,56,0.61
33,160,2472,15.45,1056,6.60,89624,560.15,47385,296.16,386,2.41,0,0.00
34,25,332,13.28,89,3.56,11259,450.36,4857,194.28,132,5.28,2,0.08
35,60,728,12.13,211,3.52,21117,351.95,18790,313.17,669,11.15,81,1.35
36,43,837,19.47,642,14.93,14632,340.28,4053,94.26,297,6.91,2,0.05
37,92,1672,18.17,726,7.89,64422,700.24,40493,440.14,84,0.91,13,0.14
38,29,752,25.93,1646,56.76,163778,5647.52,29348,1012.00,25,0.86,9,0.31
39,68,691,10.16,316,4.65,59133,869.60,15823,232.69,262,3.85,35,0.51
40,65,574,8.83,67,1.03,46843,720.66,9414,144.83,174,2.68,0,0.00
41,57,1040,18.25,426,7.47,51766,908.18,20050,351.75,201,3.53,0,0.00
42,606,997,1.65,1195,1.97,420548,693.97,57403,94.72,117,0.19,28,0.05
43,339,4752,14.02,2002,5.91,287014,846.65,79926,235.77,308,0.91,1,0.00
44,38,957,25.18,743,19.55,17647,464.39,8831,232.39,19,0.50,14,0.37
45,131,2381,18.18,1163,8.88,111872,853.98,54138,413.27,1025,7.82,25,0.19
46,27,288,10.67,73,2.70,11468,424.74,8296,307.26,20,0.74,48,1.78
47,221,3424,15.49,1377,6.23,219129,991.53,45249,204.75,1473,6.67,70,0.32
