tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1002498,1969386,1.96,1584873,1.58,791203,0.79,0,0.00,0,0.00,26024,0.03
2,14439,29113,2.02,19142,1.33,88150,6.10,5004,0.35,18,0.00,0,0.00
3,655412,1068130,1.63,845802,1.29,8262511,12.61,324334,0.49,228,0.00,618,0.00
4,31822,53498,1.68,110273,3.47,628659,19.76,3831,0.12,3,0.00,8100,0.25
5,191369,364062,1.90,284118,1.48,5466822,28.57,489207,2.56,1764,0.01,0,0.00
6,5400,17410,3.22,12348,2.29,154263,28.57,25779,4.77,40,0.01,0,0.00
7,134062,400641,2.99,171257,1.28,7315456,54.57,594796,4.44,1280,0.01,0,0.00
8,1059,4503,4.25,4038,3.81,54669,51.62,2549,2.41,16,0.02,69,0.07
9,39475,129904,3.29,65004,1.65,2235731,56.64,790026,20.01,715,0.02,0,0.00
10,831,4341,5.22,3643,4.38,51644,62.15,6663,8.02,136,0.16,171,0.21
11,4414,12062,2.73,15826,3.59,538519,122.00,118399,26.82,851,0.19,3,0.00
12,3314,12082,3.65,12369,3.73,537841,162.29,12580,3.80,33,0.01,3,0.00
13,7228,25646,3.55,10262,1.42,673835,93.23,151245,20.92,935,0.13,0,0.00
14,12501,47283,3.78,24543,1.96,2694297,215.53,65991,5.28,404,0.03,34458,2.76
15,1810,11363,6.28,6119,3.38,349683,193.20,48336,26.70,8,0.00,12,0.01
16,738,6765,9.17,6203,8.41,107811,146.09,10447,14.16,494,0.67,18,0.02
17,21011,68433,3.26,73699,3.51,4653210,221.47,632696,30.11,15341,0.73,1029,0.05
18,157,947,6.03,630,4.01,37960,241.78,2922,18.61,310,1.97,18,0.11
19,7252,47784,6.59,18478,2.55,2576706,355.31,282527,38.96,3428,0.47,90,0.01
20,171,1128,6.60,816,4.77,28689,167.77,3402,19.89,24,0.14,78,0.46
21,1860,12082,6.50,3732,2.01,298050,160.24,145601,78.28,1375,0.74,0,0.00
22,576,2862,4.97,2142,3.72,175511,304.71,25849,44.88,100,0.17,18,0.03
23,1267,20957,16.54,15750,12.43,290917,229.61,102000,80.51,438,0.35,0,0.00
24,620,3392,5.47,1456,2.35,267710,431.79,40116,64.70,0,0.00,0,0.00
25,5763,11199,1.94,12941,2.25,459272,79.69,169035,29.33,9145,1.59,36122,6.27
26,1102,6972,6.33,4472,4.06,779730,707.56,74760,67.84,376,0.34,0,0.00
27,1794,14762,8.23,5850,3.26,878197,489.52,192144,107.10,557,0.31,0,0.00
28,57,561,9.84,237,4.16,24365,427.46,8912,156.35,253,4.44,0,0.00
29,1636,18761,11.47,6355,3.88,1426045,871.67,350594,214.30,1217,0.74,0,0.00
30,818,4368,5.34,1736,2.12,616235,753.34,104316,127.53,566,0.69,108,0.13
31,22249,26061,1.17,44443,2.00,4019409,180.66,116425,5.23,486,0.02,43848,1.97
32,667,5373,8.06,649,0.97,2624163,3934.28,447057,670.25,2700,4.05,4807,7.21
33,1350,10898,8.07,4348,3.22,635057,470.41,200377,148.43,1409,1.04,0,0.00
34,65,824,12.68,239,3.68,31292,481.42,13051,200.78,238,3.66,2,0.03
35,4050,33822,8.35,12618,3.12,1785154,440.78,271536,67.05,28331,7.00,54,0.01
36,586,7104,12.12,5376,9.17,363671,620.60,116140,198.19,1083,1.85,0,0.00
37,348,6838,19.65,4602,13.22,196732,565.32,96148,276.29,744,2.14,0,0.00
38,27,393,14.56,51,1.89,12798,474.00,10296,381.33,0,0.00,12,0.44
39,3005,16668,5.55,3536,1.18,704379,234.40,71415,23.77,611,0.20,5766,1.92
40,366,3504,9.57,1566,4.28,342520,935.85,70652,193.04,288,0.79,4,0.01
41,2211,19416,8.78,6063,2.74,1609840,728.10,339502,153.55,979,0.44,0,0.00
42,1362,2250,1.65,2742,2.01,246090,180.68,32210,23.65,204,0.15,48,0.04
43,1314,17136,13.04,8190,6.23,1124683,855.92,326544,248.51,1343,1.02,0,0.00
44,89,2253,25.31,1862,20.92,38679,434.60,17636,198.16,114,1.28,4,0.04
45,1080,11646,10.78,3186,2.95,621800,575.74,173746,160.88,2022,1.87,3834,3.55
46,60,732,12.20,222,3.70,27798,463.30,21942,365.70,324,5.40,54,0.90
47,560,8736,15.60,3571,6.38,552442,986.50,114207,203.94,2604,4.65,2,0.00
48,3362,26700,7.94,6632,1.97,2075191,617.25,203828,60.63,13819,4.11,8556,2.54
49,126,2088,16.57,630,5.00,97190,771.35,71424,566.86,2244,17.81,54,0.43
50,91,2764,30.37,1855,20.38,45405,498.96,26572,292.00,928,10.20,2,0.02
51,54,1584,29.33,576,10.67,113070,2093.89,54780,1014.44,78,1.44,0,0.00
52,109,1889,17.33,721,6.61,77602,711.94,73178,671.36,60,0.55,74,0.68
53,90,2160,24.00,972,10.80,97698,1085.53,70632,784.80,123,1.37,0,0.00
54,3198,27378,8.56,9486,2.97,4509006,1409.95,2027749,634.07,5509,1.72,864,0.27
55,1134,14238,12.56,4626,4.08,1404413,1238.46,284277,250.69,567,0.50,0,0.00
56,36,2016,56.00,2016,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,4804,44838,9.33,31890,6.64,1618732,336.96,154952,32.25,93692,19.50,35248,7.34
58,37,160,4.32,73,1.97,18735,506.35,1369,37.00,0,0.00,38,1.03
59,324,2358,7.28,1206,3.72,268992,830.22,35840,110.62,1786,5.51,0,0.00
60,363,1335,3.68,687,1.89,298063,821.11,56550,155.79,491,1.35,24,0.07
