tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,89149,147144,1.65,160078,1.80,295609,3.32,0,0.00,0,0.00,92,0.00
2,1052,2329,2.21,2228,2.12,5526,5.25,425,0.40,7,0.01,0,0.00
3,89451,127289,1.42,112618,1.26,1077574,12.05,24420,0.27,53,0.00,232,0.00
4,1337,4135,3.09,2430,1.82,27030,20.22,47,0.04,0,0.00,24,0.02
5,7637,16276,2.13,14796,1.94,245273,32.12,23112,3.03,503,0.07,0,0.00
6,377,1398,3.71,1224,3.25,9371,24.86,1123,2.98,14,0.04,0,0.00
7,2658,16640,6.26,5759,2.17,146262,55.03,46337,17.43,213,0.08,0,0.00
8,322,1380,4.29,1313,4.08,13540,42.05,358,1.11,1,0.00,28,0.09
9,1866,7864,4.21,4041,2.17,108623,58.21,45829,24.56,111,0.06,7,0.00
10,268,1557,5.81,1211,4.52,13733,51.24,2069,7.72,7,0.03,46,0.17
11,1502,3921,2.61,5611,3.74,186218,123.98,51550,34.32,356,0.24,0,0.00
12,232,2122,9.15,1731,7.46,12336,53.17,3645,15.71,0,0.00,0,0.00
13,377,2485,6.59,1464,3.88,47083,124.89,11706,31.05,193,0.51,0,0.00
14,131,1571,11.99,1604,12.24,8282,63.22,94,0.72,19,0.15,1,0.01
15,377,3538,9.38,2162,5.73,30660,81.33,19287,51.16,1,0.00,0,0.00
16,183,2138,11.68,2141,11.70,16453,89.91,690,3.77,27,0.15,1,0.01
17,665,2989,4.49,1623,2.44,59533,89.52,20587,30.96,5726,8.61,399,0.60
18,29,251,8.66,168,5.79,7568,260.97,1024,35.31,17,0.59,1,0.03
19,492,3548,7.21,1731,3.52,120140,244.19,37714,76.65,172,0.35,35,0.07
20,41,367,8.95,254,6.20,6750,164.63,991,24.17,84,2.05,28,0.68
21,132,1548,11.73,634,4.80,19538,148.02,17323,131.23,39,0.30,0,0.00
22,45,214,4.76,212,4.71,7142,158.71,471,10.47,3,0.07,1,0.02
23,461,8197,17.78,6225,13.50,109786,238.15,42093,91.31,13,0.03,0,0.00
24,232,1288,5.55,553,2.38,100827,434.60,14955,64.46,0,0.00,0,0.00
25,144,2135,14.83,925,6.42,29561,205.28,32877,228.31,178,1.24,14,0.10
26,79,639,8.09,165,2.09,73930,935.82,7099,89.86,0,0.00,0,0.00
27,401,3936,9.82,1595,3.98,179732,448.21,63576,158.54,178,0.44,0,0.00
28,15,211,14.07,85,5.67,5132,342.13,4452,296.80,175,11.67,0,0.00
29,268,4409,16.45,873,3.26,382650,1427.80,89147,332.64,161,0.60,0,0.00
30,29,167,5.76,78,2.69,24176,833.66,2836,97.79,5,0.17,42,1.45
31,154,2029,13.18,271,1.76,58977,382.97,47317,307.25,284,1.84,0,0.00
32,72,2022,28.08,35,0.49,1060557,14729.96,191073,2653.79,1673,23.24,56,0.78
33,140,1939,13.85,700,5.00,71165,508.32,34151,243.94,485,3.46,0,0.00
34,21,287,13.67,77,3.67,9478,451.33,3340,159.05,224,10.67,0,0.00
35,63,1109,17.60,439,6.97,29464,467.68,32380,513.97,590,9.37,9,0.14
36,35,714,20.40,560,16.00,11612,331.77,4362,124.63,308,8.80,0,0.00
37,83,1486,17.90,654,7.88,57148,688.53,32948,396.96,299,3.60,0,0.00
38,22,659,29.95,540,24.55,3373,153.32,3874,176.09,0,0.00,2,0.09
39,43,554,12.88,239,5.56,31700,737.21,11549,268.58,245,5.70,1,0.02
40,50,448,8.96,50,1.00,34950,699.00,7097,141.94,112,2.24,0,0.00
41,35,679,19.40,273,7.80,30366,867.60,16842,481.20,0,0.00,0,0.00
42,525,833,1.59,1036,1.97,93863,178.79,11606,22.11,84,0.16,14,0.03
43,308,4368,14.18,1848,6.00,263555,855.70,69719,226.36,296,0.96,0,0.00
44,28,770,27.50,630,22.50,11998,428.50,5796,207.00,0,0.00,0,0.00
45,102,1960,19.22,975,9.56,83432,817.96,40663,398.66,723,7.09,21,0.21
46,9,162,18.00,14,1.56,4286,476.22,3688,409.78,84,9.33,3,0.33
47,189,2996,15.85,1190,6.30,180201,953.44,41930,221.85,546,2.89,0,0.00
48,22,409,18.59,32,1.45,12956,588.91,4622,210.09,520,23.64,14,0.64
49,37,764,20.65,239,6.46,24038,649.68,30364,820.65,378,10.22,9,0.24
50,23,891,38.74,709,30.83,6035,262.39,7855,341.52,0,0.00,0,0.00
51,33,712,21.58,248,7.52,57961,1756.39,21248,643.88,63,1.91,0,0.00
52,42,728,17.33,280,6.67,29694,707.00,27216,648.00,56,1.33,28,0.67
53,21,602,28.67,280,13.33,23149,1102.33,23352,1112.00,0,0.00,0,0.00
54,49,119,2.43,49,1.00,100359,2048.14,155282,3169.02,1575,32.14,0,0.00
55,37,593,16.03,219,5.92,48499,1310.78,5084,137.41,350,9.46,0,0.00
56,28,1568,56.00,1568,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,70,1680,24.00,1120,16.00,57827,826.10,12691,181.30,273,3.90,14,0.20
58,14,56,4.00,28,2.00,6818,487.00,434,31.00,0,0.00,14,1.00
59,8,85,10.62,15,1.88,9679,1209.88,1668,208.50,244,30.50,0,0.00
60,80,237,2.96,80,1.00,72810,910.12,14378,179.72,10,0.12,1,0.01
61,14,854,61.00,854,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,7,42,6.00,14,2.00,4739,677.00,406,58.00,0,0.00,7,1.00
63,98,1736,17.71,700,7.14,114296,1166.29,42938,438.14,0,0.00,14,0.14
65,30,244,8.13,120,4.00,18246,608.20,987,32.90,777,25.90,14,0.47
66,7,56,8.00,21,3.00,14077,2011.00,1190,170.00,0,0.00,0,0.00
67,21,462,22.00,126,6.00,27580,1313.33,20300,966.67,0,0.00,0,0.00
68,8,36,4.50,9,1.12,9415,1176.88,1683,210.38,0,0.00,0,0.00
69,28,742,26.50,672,24.00,16492,589.00,1022,36.50,0,0.00,14,0.50
70,7,175,25.00,105,15.00,9706,1386.57,630,90.00,3,0.43,0,0.00
72,21,126,6.00,14,0.67,35161,1674.33,4795,228.33,448,21.33,0,0.00
73,196,4606,23.50,1554,7.93,277924,1417.98,143375,731.51,284,1.45,14,0.07
75,28,1540,55.00,602,21.50,106884,3817.29,75780,2706.43,285,10.18,0,0.00
76,7,98,14.00,7,1.00,24192,3456.00,2520,360.00,0,0.00,0,0.00
77,23,608,26.43,43,1.87,25004,1087.13,41174,1790.17,349,15.17,7,0.30
79,14,1092,78.00,560,40.00,25130,1795.00,87542,6253.00,0,0.00,0,0.00
81,7,175,25.00,7,1.00,4410,630.00,9240,1320.00,525,75.00,0,0.00
83,70,1820,26.00,700,10.00,118853,1697.90,59955,856.50,308,4.40,0,0.00
84,48,258,5.38,48,1.00,42888,893.50,6003,125.06,241,5.02,84,1.75
85,7,0,0.00,7,1.00,28,4.00,0,0.00,574,82.00,7,1.00
86,1,40,40.00,1,1.00,2800,2800.00,697,697.00,37,37.00,0,0.00
87,20,208,10.40,72,3.60,48391,2419.55,8281,414.05,0,0.00,7,0.35
88,14,0,0.00,0,0.00,1232,88.00,0,0.00,0,0.00,14,1.00
89,14,616,44.00,14,1.00,7980,570.00,52374,3741.00,0,0.00,0,0.00
90,7,210,30.00,14,2.00,10990,1570.00,26117,3731.00,581,83.00,0,0.00
91,26,1530,58.85,668,25.69,53528,2058.77,121088,4657.23,390,15.00,18,0.69
93,57,1644,28.84,622,10.91,111109,1949.28,63618,1116.11,0,0.00,0,0.00
95,7,49,7.00,7,1.00,17297,2471.00,1008,144.00,469,67.00,9,1.29
96,350,2520,7.20,1288,3.68,585704,1673.44,174216,497.76,3486,9.96,0,0.00
97,29,880,30.34,310,10.69,62327,2149.21,34591,1192.79,53,1.83,1,0.03
98,14,154,11.00,14,1.00,44198,3157.00,4228,302.00,980,70.00,0,0.00
100,7,126,18.00,7,1.00,34699,4957.00,4473,639.00,0,0.00,0,0.00
101,20,772,38.60,20,1.00,49626,2481.30,70098,3504.90,318,15.90,6,0.30
103,56,2772,49.50,1232,22.00,122444,2186.50,211106,3769.75,0,0.00,0,0.00
107,35,952,27.20,343,9.80,61768,1764.80,41860,1196.00,728,20.80,7,0.20
109,7,126,18.00,14,2.00,15708,2244.00,4683,669.00,441,63.00,0,0.00
113,378,12852,34.00,3290,8.70,1447900,3830.42,463201,1225.40,1516,4.01,0,0.00
114,1,8,8.00,2,2.00,194,194.00,21,21.00,0,0.00,7,7.00
115,42,3990,95.00,1638,39.00,83832,1996.00,427161,10170.50,462,11.00,0,0.00
117,64,3473,54.27,1464,22.88,162756,2543.06,288422,4506.59,0,0.00,0,0.00
123,59,2456,41.63,608,10.31,122566,2077.39,164061,2780.69,246,4.17,6,0.10
124,7,154,22.00,7,1.00,45206,6458.00,7105,1015.00,0,0.00,0,0.00
125,21,1736,82.67,889,42.33,40884,1946.86,181128,8625.14,247,11.76,7,0.33
127,28,892,31.86,210,7.50,91098,3253.50,32339,1154.96,1671,59.68,42,1.50
129,7,0,0.00,7,1.00,182,26.00,0,0.00,728,104.00,7,1.00
130,14,161,11.50,56,4.00,55342,3953.00,6958,497.00,0,0.00,0,0.00
