tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,599506,1091872,1.82,1042952,1.74,1554449,2.59,0,0.00,0,0.00,1288,0.00
2,7335,19484,2.66,15945,2.17,34795,4.74,2682,0.37,15,0.00,0,0.00
3,540264,781119,1.45,676417,1.25,6517550,12.06,166585,0.31,382,0.00,1278,0.00
4,13901,68197,4.91,21909,1.58,392428,28.23,954,0.07,63,0.00,216,0.02
5,73184,152144,2.08,126836,1.73,2210542,30.21,474801,6.49,3632,0.05,0,0.00
6,2935,10097,3.44,8391,2.86,85440,29.11,8479,2.89,85,0.03,0,0.00
7,18862,103102,5.47,41282,2.19,990319,52.50,284768,15.10,1369,0.07,0,0.00
8,2514,15631,6.22,9845,3.92,128710,51.20,7215,2.87,51,0.02,1197,0.48
9,13360,55228,4.13,28213,2.11,782634,58.58,327433,24.51,1359,0.10,162,0.01
10,4444,13538,3.05,9630,2.17,355801,80.06,17323,3.90,312,0.07,360,0.08
11,9992,28262,2.83,34064,3.41,1260727,126.17,314768,31.50,2687,0.27,9,0.00
12,1751,13369,7.64,10121,5.78,124965,71.37,27811,15.88,343,0.20,0,0.00
13,2486,17086,6.87,10185,4.10,306966,123.48,73334,29.50,984,0.40,324,0.13
14,1688,12554,7.44,9621,5.70,293620,173.95,28361,16.80,666,0.39,108,0.06
15,2436,21700,8.91,11010,4.52,261291,107.26,114549,47.02,1571,0.64,4,0.00
16,1697,15931,9.39,14780,8.71,250677,147.72,14455,8.52,533,0.31,36,0.02
17,4045,18222,4.50,10351,2.56,442247,109.33,123723,30.59,29482,7.29,2072,0.51
18,347,2590,7.46,1708,4.92,86339,248.82,13218,38.09,646,1.86,177,0.51
19,2937,20615,7.02,10072,3.43,741663,252.52,213398,72.66,273,0.09,238,0.08
20,342,2581,7.55,1943,5.68,63554,185.83,11094,32.44,11,0.03,144,0.42
