tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,5591955,15202596,2.72,10398153,1.86,553053,0.10,0,0.00,0,0.00,412,0.00
2,8761,37861,4.32,17558,2.00,14002,1.60,980,0.11,14,0.00,0,0.00
3,3325365,5552147,1.67,4529168,1.36,43505382,13.08,1613052,0.49,151,0.00,446,0.00
4,204586,425800,2.08,402121,1.97,2677937,13.09,8005,0.04,3,0.00,78,0.00
5,984938,1975644,2.01,1579668,1.60,26469670,26.87,3780766,3.84,2201,0.00,0,0.00
6,357483,1254285,3.51,359513,1.01,13044234,36.49,183985,0.51,35,0.00,0,0.00
7,215759,663431,3.07,424713,1.97,9146046,42.39,3132787,14.52,602,0.00,0,0.00
8,855,4050,4.74,3464,4.05,51689,60.45,2731,3.19,14,0.02,52,0.06
9,198229,795562,4.01,397002,2.00,11111169,56.05,5906186,29.79,545,0.00,0,0.00
10,2095,11625,5.55,8050,3.84,214270,102.28,43742,20.88,132,0.06,130,0.06
11,3032,8073,2.66,10906,3.60,374289,123.45,92995,30.67,634,0.21,15,0.00
12,558,5043,9.04,4041,7.24,35141,62.98,9117,16.34,0,0.00,0,0.00
13,1493,10744,7.20,6484,4.34,205341,137.54,64264,43.04,372,0.25,0,0.00
14,276,2721,9.86,2713,9.83,25366,91.91,484,1.75,257,0.93,13,0.05
15,983,7415,7.54,4221,4.29,78908,80.27,41071,41.78,2,0.00,4,0.00
16,625,5863,9.38,5227,8.36,89725,143.56,13151,21.04,351,0.56,13,0.02
17,1250,5509,4.41,3004,2.40,113689,90.95,39048,31.24,10400,8.32,741,0.59
18,101,565,5.59,384,3.80,26018,257.60,2078,20.57,223,2.21,13,0.13
19,964,6968,7.23,3401,3.53,232901,241.60,73976,76.74,317,0.33,65,0.07
20,105,731,6.96,513,4.89,17895,170.43,2277,21.69,29,0.28,53,0.50
21,192426,579658,3.01,577939,3.00,49235947,255.87,6379144,33.15,89,0.00,238,0.00
22,172,723,4.20,621,3.61,33622,195.48,5458,31.73,39,0.23,13,0.08
23,1855,19684,10.61,13279,7.16,518220,279.36,117855,63.53,329,0.18,0,0.00
24,448,2422,5.41,1037,2.31,192949,430.69,28613,63.87,24,0.05,0,0.00
25,354,4862,13.73,2022,5.71,110683,312.66,73549,207.77,721,2.04,26,0.07
26,159,1250,7.86,328,2.06,140751,885.23,13424,84.43,260,1.64,0,0.00
27,746,7195,9.64,3024,4.05,341611,457.92,113788,152.53,387,0.52,0,0.00
28,40,421,10.53,179,4.47,16678,416.95,6374,159.35,191,4.78,0,0.00
29,507,8229,16.23,1664,3.28,716992,1414.19,166453,328.31,314,0.62,0,0.00
30,67,617,9.21,336,5.01,70824,1057.07,5301,79.12,439,6.55,78,1.16
31,262,3609,13.77,641,2.45,104977,400.68,76515,292.04,597,2.28,0,0.00
32,145,3915,27.00,133,0.92,1901067,13110.81,325992,2248.22,1950,13.45,93,0.64
33,318,3608,11.35,1539,4.84,135281,425.41,66610,209.47,599,1.88,399,1.25
34,40,539,13.47,144,3.60,18229,455.73,8498,212.45,184,4.60,2,0.05
35,191119,957021,5.01,573803,3.00,122281963,639.82,18775470,98.24,3425,0.02,39,0.00
36,39,390,10.00,104,2.67,21749,557.67,6279,161.00,455,11.67,0,0.00
37,198,4667,23.57,3102,15.67,99077,500.39,65845,332.55,151,0.76,0,0.00
38,13,221,17.00,13,1.00,5252,404.00,7072,544.00,0,0.00,0,0.00
39,1060,7823,7.38,2393,2.26,816502,770.28,150053,141.56,406,0.38,13,0.01
40,105,917,8.73,105,1.00,74391,708.49,15036,143.20,235,2.24,0,0.00
41,68,1271,18.69,523,7.69,59047,868.34,31592,464.59,0,0.00,7,0.10
42,977,1575,1.61,1926,1.97,175187,179.31,21820,22.33,156,0.16,28,0.03
