tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,202925,334787,1.65,364540,1.80,673881,3.32,0,0.00,0,0.00,197,0.00
2,2363,5302,2.24,5034,2.13,12538,5.31,954,0.40,16,0.01,0,0.00
3,204117,290296,1.42,256939,1.26,2458413,12.04,55555,0.27,101,0.00,529,0.00
4,2983,9167,3.07,5464,1.83,59733,20.02,85,0.03,0,0.00,51,0.02
5,17357,37000,2.13,33613,1.94,557354,32.11,51901,2.99,1106,0.06,0,0.00
6,866,3298,3.81,2942,3.40,20248,23.38,2479,2.86,32,0.04,0,0.00
7,6023,37850,6.28,12855,2.13,333875,55.43,105287,17.48,456,0.08,0,0.00
8,718,3090,4.30,2951,4.11,29508,41.10,702,0.98,0,0.00,64,0.09
9,4198,17755,4.23,9128,2.17,243825,58.08,103756,24.72,222,0.05,0,0.00
10,569,3217,5.65,2430,4.27,30059,52.83,4625,8.13,7,0.01,100,0.18
11,3476,9436,2.71,13183,3.79,424800,122.21,122815,35.33,783,0.23,0,0.00
12,522,4780,9.16,3942,7.55,27432,52.55,8076,15.47,0,0.00,0,0.00
13,925,6254,6.76,3858,4.17,114718,124.02,27141,29.34,430,0.46,0,0.00
14,261,3162,12.11,3208,12.29,17858,68.42,202,0.77,19,0.07,1,0.00
15,789,7329,9.29,4389,5.56,66635,84.46,41433,52.51,1,0.00,0,0.00
16,430,5243,12.19,5303,12.33,33372,77.61,1437,3.34,28,0.07,1,0.00
17,1484,6596,4.44,3607,2.43,125920,84.85,46724,31.49,12994,8.76,912,0.61
18,62,568,9.16,377,6.08,16120,260.00,2385,38.47,18,0.29,1,0.02
19,1123,8105,7.22,3955,3.52,274063,244.05,85935,76.52,533,0.47,80,0.07
20,90,833,9.26,577,6.41,14675,163.06,2232,24.80,194,2.16,64,0.71
21,298,3846,12.91,1763,5.92,52927,177.61,43517,146.03,111,0.37,0,0.00
22,87,459,5.28,459,5.28,12836,147.54,782,8.99,3,0.03,1,0.01
23,1111,18966,17.07,14027,12.63,256758,231.11,98905,89.02,23,0.02,0,0.00
24,529,2944,5.57,1264,2.39,230103,434.98,34098,64.46,0,0.00,0,0.00
25,292,4451,15.24,2054,7.03,56877,194.78,65252,223.47,572,1.96,32,0.11
26,177,1457,8.23,370,2.09,167890,948.53,16187,91.45,0,0.00,0,0.00
27,882,8144,9.23,3190,3.62,391372,443.73,122889,139.33,341,0.39,0,0.00
28,33,481,14.58,193,5.85,10962,332.18,10132,307.03,402,12.18,0,0.00
29,641,10934,17.06,2468,3.85,893575,1394.03,221536,345.61,128,0.20,0,0.00
30,80,374,4.67,192,2.40,58014,725.17,6483,81.04,412,5.15,111,1.39
31,352,4639,13.18,622,1.77,134738,382.78,108490,308.21,664,1.89,0,0.00
32,147,4532,30.83,56,0.38,2422028,16476.38,436584,2969.96,3389,23.05,113,0.77
33,321,4432,13.81,1601,4.99,162702,506.86,78605,244.88,1092,3.40,10,0.03
34,49,666,13.59,177,3.61,21977,448.51,7909,161.41,514,10.49,1,0.02
35,144,2540,17.64,1006,6.99,68453,475.37,77535,538.44,865,6.01,18,0.12
36,81,1638,20.22,1282,15.83,28001,345.69,10048,124.05,689,8.51,0,0.00
37,223,4587,20.57,2684,12.04,132137,592.54,81570,365.78,258,1.16,0,0.00
38,16,272,17.00,16,1.00,6464,404.00,8704,544.00,0,0.00,0,0.00
39,97,1265,13.04,545,5.62,72060,742.89,26371,271.87,562,5.79,1,0.01
40,113,1015,8.98,113,1.00,78799,697.34,16141,142.84,273,2.42,0,0.00
41,112,2064,18.43,848,7.57,102940,919.11,39888,356.14,302,2.70,0,0.00
42,1200,1904,1.59,2368,1.97,214544,178.79,26528,22.11,192,0.16,32,0.03
43,705,9991,14.17,4225,5.99,604755,857.81,160475,227.62,192,0.27,0,0.00
44,64,1760,27.50,1440,22.50,27424,428.50,13248,207.00,0,0.00,0,0.00
45,164,3384,20.63,1751,10.68,113401,691.47,88649,540.54,1666,10.16,48,0.29
