tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,187829,380868,2.03,250207,1.33,547294,2.91,524589,2.79,28035,0.15,45,0.00
2,5450,19063,3.50,13299,2.44,30361,5.57,2492,0.46,0,0.00,5,0.00
3,78189,141785,1.81,105556,1.35,946043,12.10,46134,0.59,0,0.00,169,0.00
4,10488,18109,1.73,13514,1.29,204869,19.53,6324,0.60,576,0.05,6457,0.62
5,14693,38667,2.63,24405,1.66,427118,29.07,29912,2.04,0,0.00,395,0.03
6,4813,16343,3.40,12033,2.50,286021,59.43,6232,1.29,0,0.00,3728,0.77
7,2826,65844,23.30,41980,14.85,635803,224.98,103500,36.62,1152,0.41,12,0.00
8,7363,21745,2.95,15729,2.14,561836,76.31,4751,0.65,0,0.00,19,0.00
9,7893,69861,8.85,68837,8.72,3240128,410.51,825869,104.63,45882,5.81,2264,0.29
10,6977,106667,15.29,114487,16.41,6745110,966.76,1749827,250.80,101960,14.61,87,0.01
11,2615,22618,8.65,10820,4.14,333355,127.48,43863,16.77,0,0.00,30,0.01
12,4225,70472,16.68,72274,17.11,9789921,2317.14,6054822,1433.09,191100,45.23,87,0.02
13,1524,26701,17.52,19318,12.68,247568,162.45,52789,34.64,1440,0.94,18,0.01
14,3572,73593,20.60,79768,22.33,4757394,1331.86,1227500,343.65,71372,19.98,431,0.12
15,1270,8688,6.84,7597,5.98,107766,84.86,10631,8.37,0,0.00,32,0.03
16,616,7250,11.77,4996,8.11,96024,155.88,9010,14.63,0,0.00,33,0.05
17,613,12630,20.60,10699,17.45,158066,257.86,13392,21.85,576,0.94,185,0.30
18,531,6925,13.04,4889,9.21,94095,177.20,11086,20.88,0,0.00,43,0.08
19,998,17052,17.09,15597,15.63,4952707,4962.63,4197426,4205.84,109134,109.35,41,0.04
20,521,8909,17.10,7871,15.11,205349,394.14,16292,31.27,1440,2.76,38,0.07
21,1291,28597,22.15,21192,16.42,248505,192.49,28771,22.29,0,0.00,559,0.43
22,925,32234,34.85,28031,30.30,82196,88.86,8919,9.64,0,0.00,45,0.05
23,880,19569,22.24,18491,21.01,140125,159.23,76824,87.30,0,0.00,87,0.10
24,815,18159,22.28,17160,21.06,388420,476.59,28080,34.45,2592,3.18,71,0.09
25,367,6134,16.71,4791,13.05,67362,183.55,10895,29.69,0,0.00,79,0.22
26,396,7314,18.47,6381,16.11,61943,156.42,6495,16.40,0,0.00,64,0.16
27,2327,27748,11.92,23680,10.18,343582,147.65,22462,9.65,0,0.00,45,0.02
28,438,10384,23.71,12150,27.74,735752,1679.80,30070,68.65,2304,5.26,1017,2.32
29,304,6971,22.93,6063,19.94,154194,507.22,16448,54.11,0,0.00,51,0.17
30,4352,62220,14.30,50030,11.50,727054,167.06,34127,7.84,0,0.00,94,0.02
31,260,6168,23.72,3866,14.87,74009,284.65,25433,97.82,0,0.00,75,0.29
32,610,8362,13.71,4773,7.82,330097,541.14,65739,107.77,0,0.00,33,0.05
33,586,9296,15.86,8131,13.88,287248,490.18,33876,57.81,0,0.00,45,0.08
34,415,7337,17.68,6308,15.20,286508,690.38,68081,164.05,1475,3.55,51,0.12
35,221,4756,21.52,4074,18.43,97454,440.97,9873,44.67,0,0.00,59,0.27
36,1429,29051,20.33,24916,17.44,217874,152.47,10552,7.38,0,0.00,35,0.02
37,2485,51310,20.65,34774,13.99,5715191,2299.88,4612655,1856.20,108270,43.57,83,0.03
38,173,3098,17.91,2295,13.27,73322,423.83,7211,41.68,0,0.00,35,0.20
39,1079,21802,20.21,19157,17.75,334736,310.23,24181,22.41,0,0.00,29,0.03
40,716,33481,46.76,24568,34.31,2206654,3081.92,85027,118.75,0,0.00,61,0.09
41,268,16923,63.15,4099,15.29,114718,428.05,84968,317.04,0,0.00,43,0.16
42,2382,48540,20.38,43764,18.37,495337,207.95,12638,5.31,0,0.00,539,0.23
