tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,5500,9228,1.68,9673,1.76,839490,152.63,537402,97.71,16190,2.94,14,0.00
2,5510,17759,3.22,18951,3.44,1638684,297.40,1073183,194.77,31804,5.77,12,0.00
3,11910,42640,3.58,45502,3.82,5191823,435.92,2077138,174.40,58500,4.91,28,0.00
4,229,619,2.70,630,2.75,2802,12.24,102,0.45,0,0.00,3,0.01
5,656,2176,3.32,2209,3.37,17378,26.49,905,1.38,0,0.00,0,0.00
6,3349,10366,3.10,8397,2.51,77211,23.05,2551,0.76,0,0.00,2,0.00
7,1189,4837,4.07,4675,3.93,91353,76.83,5369,4.52,576,0.48,2,0.00
8,168,1119,6.66,651,3.88,8733,51.98,251,1.49,0,0.00,6,0.04
9,8772,37653,4.29,33162,3.78,323377,36.86,9954,1.13,0,0.00,99,0.01
10,288,1161,4.03,1081,3.75,18773,65.18,1364,4.74,0,0.00,8,0.03
11,95,443,4.66,318,3.35,8048,84.72,862,9.07,0,0.00,2,0.02
12,196,1895,9.67,1150,5.87,13336,68.04,1080,5.51,0,0.00,9,0.05
13,51,304,5.96,210,4.12,5294,103.80,838,16.43,0,0.00,0,0.00
14,160,2284,14.28,863,5.39,18254,114.09,2323,14.52,0,0.00,1,0.01
15,841,5800,6.90,4958,5.90,80238,95.41,8690,10.33,0,0.00,0,0.00
16,74,601,8.12,571,7.72,11309,152.82,522,7.05,0,0.00,1,0.01
17,32,223,6.97,107,3.34,5910,184.69,1366,42.69,0,0.00,0,0.00
18,119,1002,8.42,582,4.89,15557,130.73,3077,25.86,0,0.00,3,0.03
19,46,265,5.76,155,3.37,12476,271.22,2183,47.46,0,0.00,0,0.00
20,28,222,7.93,167,5.96,3929,140.32,375,13.39,0,0.00,24,0.86
21,277,4428,15.99,1768,6.38,42365,152.94,11806,42.62,0,0.00,0,0.00
22,41,280,6.83,232,5.66,7562,184.44,783,19.10,0,0.00,2,0.05
23,40,379,9.47,229,5.72,9774,244.35,2698,67.45,0,0.00,1,0.03
24,61,786,12.89,655,10.74,12204,200.07,1633,26.77,0,0.00,12,0.20
25,15,191,12.73,83,5.53,8808,587.20,2447,163.13,0,0.00,0,0.00
26,26,327,12.58,199,7.65,8251,317.35,1779,68.42,0,0.00,0,0.00
27,220,2778,12.63,1409,6.40,41561,188.91,19773,89.88,0,0.00,0,0.00
28,16,250,15.62,254,15.88,7043,440.19,263,16.44,0,0.00,2,0.12
29,20,342,17.10,74,3.70,26546,1327.30,6852,342.60,0,0.00,0,0.00
30,43,775,18.02,515,11.98,6741,156.77,3118,72.51,0,0.00,4,0.09
31,7,116,16.57,27,3.86,1911,273.00,2712,387.43,0,0.00,0,0.00
32,20,293,14.65,265,13.25,6120,306.00,473,23.65,0,0.00,2,0.10
33,207,1650,7.97,2370,11.45,91118,440.18,6781,32.76,0,0.00,0,0.00
34,27,421,15.59,187,6.93,10459,387.37,3961,146.70,0,0.00,2,0.07
35,8,47,5.88,22,2.75,4930,616.25,932,116.50,0,0.00,2,0.25
36,19,447,23.53,407,21.42,4430,233.16,276,14.53,0,0.00,0,0.00
37,9,181,20.11,98,10.89,5450,605.56,2113,234.78,0,0.00,0,0.00
38,31,416,13.42,208,6.71,15784,509.16,4450,143.55,0,0.00,0,0.00
39,31,637,20.55,396,12.77,11435,368.87,4006,129.23,0,0.00,1,0.03
40,4,22,5.50,6,1.50,2610,652.50,208,52.00,0,0.00,0,0.00
41,4,72,18.00,30,7.50,2906,726.50,270,67.50,0,0.00,8,2.00
42,56,559,9.98,452,8.07,12042,215.04,2767,49.41,0,0.00,0,0.00
43,11,161,14.64,61,5.55,8781,798.27,3110,282.73,0,0.00,0,0.00
44,6,108,18.00,82,13.67,2040,340.00,245,40.83,0,0.00,0,0.00
45,32,862,26.94,539,16.84,11986,374.56,5261,164.41,0,0.00,0,0.00
46,14,425,30.36,241,17.21,5238,374.14,4588,327.71,0,0.00,3,0.21
47,21,368,17.52,206,9.81,16954,807.33,4601,219.10,0,0.00,0,0.00
48,14,518,37.00,488,34.86,6306,450.43,1115,79.64,0,0.00,0,0.00
49,1,24,24.00,11,11.00,1121,1121.00,45,45.00,0,0.00,0,0.00
50,8,242,30.25,88,11.00,2900,362.50,3986,498.25,0,0.00,0,0.00
51,82,904,11.02,506,6.17,24563,299.55,6155,75.06,0,0.00,171,2.09
52,12,172,14.33,58,4.83,15110,1259.17,3354,279.50,0,0.00,4,0.33
53,2,30,15.00,15,7.50,1889,944.50,394,197.00,0,0.00,0,0.00
54,12,362,30.17,139,11.58,5939,494.92,6261,521.75,0,0.00,2,0.17
55,1,9,9.00,2,2.00,761,761.00,43,43.00,0,0.00,1,1.00
56,1,56,56.00,56,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,41,953,23.24,551,13.44,29510,719.76,9014,219.85,0,0.00,16,0.39
58,19,600,31.58,108,5.68,52161,2745.32,12101,636.89,0,0.00,1,0.05
59,5,94,18.80,33,6.60,5669,1133.80,790,158.00,0,0.00,0,0.00
60,10,149,14.90,102,10.20,6740,674.00,1422,142.20,0,0.00,9,0.90
61,10,276,27.60,124,12.40,8319,831.90,1854,185.40,0,0.00,1,0.10
62,6,180,30.00,12,2.00,2316,386.00,4872,812.00,0,0.00,0,0.00
63,20,580,29.00,249,12.45,14945,747.25,8489,424.45,0,0.00,0,0.00
64,2,6,3.00,2,1.00,1842,921.00,364,182.00,0,0.00,0,0.00
65,1,4,4.00,1,1.00,637,637.00,104,104.00,0,0.00,0,0.00
66,8,156,19.50,91,11.38,4959,619.88,2150,268.75,0,0.00,0,0.00
67,4,58,14.50,29,7.25,3543,885.75,908,227.00,0,0.00,2,0.50
68,1,19,19.00,4,4.00,773,773.00,150,150.00,0,0.00,0,0.00
69,48,2552,53.17,2036,42.42,34847,725.98,10998,229.12,0,0.00,0,0.00
70,9,255,28.33,113,12.56,11089,1232.11,4775,530.56,0,0.00,0,0.00
71,1,17,17.00,2,2.00,1521,1521.00,167,167.00,0,0.00,1,1.00
72,30,537,17.90,264,8.80,36054,1201.80,5727,190.90,0,0.00,0,0.00
73,12,289,24.08,100,8.33,16856,1404.67,10020,835.00,0,0.00,0,0.00
74,2,146,73.00,112,56.00,1616,808.00,2384,1192.00,0,0.00,0,0.00
75,17,712,41.88,344,20.24,14350,844.12,12158,715.18,0,0.00,7,0.41
77,1,78,78.00,42,42.00,1701,1701.00,5600,5600.00,0,0.00,0,0.00
78,6,156,26.00,51,8.50,16008,2668.00,1875,312.50,0,0.00,0,0.00
79,3,95,31.67,50,16.67,3615,1205.00,6006,2002.00,0,0.00,4,1.33
80,3,42,14.00,6,2.00,4824,1608.00,456,152.00,0,0.00,0,0.00
81,48,1214,25.29,550,11.46,68617,1429.52,17850,371.88,0,0.00,2,0.04
82,1,32,32.00,14,14.00,2170,2170.00,90,90.00,0,0.00,0,0.00
83,8,197,24.62,74,9.25,12991,1623.88,6383,797.88,0,0.00,4,0.50
84,43,166,3.86,182,4.23,16378,380.88,2582,60.05,0,0.00,12,0.28
86,3,106,35.33,30,10.00,4938,1646.00,1820,606.67,0,0.00,0,0.00
