tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,3589,5728,1.60,6345,1.77,892796,248.76,495761,138.13,14061,3.92,3,0.00
2,137,361,2.64,381,2.78,83,0.61,25,0.18,0,0.00,0,0.00
3,5966,23887,4.00,25323,4.24,1320124,221.27,238158,39.92,9720,1.63,6,0.00
4,220,1289,5.86,1477,6.71,921,4.19,16,0.07,0,0.00,0,0.00
5,3419,26407,7.72,29484,8.62,7413,2.17,370,0.11,0,0.00,0,0.00
6,280,1944,6.94,2044,7.30,2849,10.18,165,0.59,0,0.00,0,0.00
7,86,415,4.83,326,3.79,2293,26.66,469,5.45,0,0.00,0,0.00
8,851,6516,7.66,6661,7.83,7962,9.36,15,0.02,0,0.00,0,0.00
9,2807,12454,4.44,9922,3.53,95748,34.11,3298,1.17,0,0.00,0,0.00
10,1137,7136,6.28,7051,6.20,43221,38.01,440,0.39,0,0.00,6,0.01
11,247,3929,15.91,3831,15.51,6091,24.66,375,1.52,0,0.00,0,0.00
12,856,5330,6.23,4023,4.70,40427,47.23,840,0.98,0,0.00,3,0.00
13,66,702,10.64,657,9.95,3830,58.03,1435,21.74,0,0.00,0,0.00
14,72,1421,19.74,1384,19.22,2383,33.10,174,2.42,0,0.00,0,0.00
15,3610,24783,6.87,24831,6.88,202554,56.11,2613,0.72,0,0.00,5,0.00
16,257,3266,12.71,3492,13.59,20496,79.75,82,0.32,0,0.00,0,0.00
17,39,546,14.00,524,13.44,2357,60.44,1108,28.41,0,0.00,0,0.00
18,809,8847,10.94,5746,7.10,1433794,1772.30,1253259,1549.15,32463,40.13,4,0.00
19,80,865,10.81,907,11.34,11478,143.47,1939,24.24,0,0.00,0,0.00
20,90,1219,13.54,1298,14.42,7549,83.88,252,2.80,0,0.00,0,0.00
21,112,2954,26.38,1043,9.31,17658,157.66,3494,31.20,0,0.00,0,0.00
22,22,501,22.77,439,19.95,2183,99.23,246,11.18,0,0.00,0,0.00
23,27,335,12.41,333,12.33,2872,106.37,1420,52.59,0,0.00,0,0.00
24,50,746,14.92,696,13.92,6806,136.12,1168,23.36,0,0.00,0,0.00
25,184,2506,13.62,2241,12.18,29201,158.70,3618,19.66,0,0.00,4,0.02
26,13,169,13.00,170,13.08,1810,139.23,300,23.08,0,0.00,0,0.00
27,71,1221,17.20,917,12.92,10076,141.92,3495,49.23,0,0.00,0,0.00
28,30,611,20.37,516,17.20,5331,177.70,430,14.33,0,0.00,0,0.00
29,30,410,13.67,237,7.90,27643,921.43,4418,147.27,0,0.00,0,0.00
30,3939,173658,44.09,191618,48.65,26795368,6802.58,14871654,3775.49,421830,107.09,90,0.02
31,416,32651,78.49,31417,75.52,3950,9.50,1942,4.67,0,0.00,4,0.01
32,18,345,19.17,339,18.83,4806,267.00,928,51.56,0,0.00,0,0.00
33,169,8557,50.63,9274,54.88,6031,35.69,779,4.61,0,0.00,0,0.00
34,20,758,37.90,777,38.85,3031,151.55,281,14.05,0,0.00,0,0.00
35,481,30456,63.32,30159,62.70,10993,22.85,2018,4.20,0,0.00,0,0.00
36,57,1408,24.70,1137,19.95,13132,230.39,2195,38.51,0,0.00,0,0.00
