tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,731719,1174544,1.61,752859,1.03,32876,0.04,3049,0.00,0,0.00,18,0.00
2,94021,302818,3.22,193453,2.06,13183,0.14,1050,0.01,0,0.00,9,0.00
3,511596,809591,1.58,540340,1.06,5915948,11.56,275219,0.54,0,0.00,5,0.00
4,131623,426385,3.24,287421,2.18,1508546,11.46,70350,0.53,181,0.00,15,0.00
5,23578,102591,4.35,83162,3.53,2514576,106.65,429529,18.22,16360,0.69,21,0.00
6,53262,178938,3.36,135050,2.54,6668035,125.19,2973531,55.83,84594,1.59,34,0.00
7,14339,60324,4.21,40430,2.82,442102,30.83,62612,4.37,0,0.00,4,0.00
8,4215,23282,5.52,16321,3.87,199099,47.24,27962,6.63,0,0.00,7,0.00
9,8522,40779,4.79,25668,3.01,395144,46.37,111719,13.11,0,0.00,10,0.00
10,6511,78656,12.08,73885,11.35,4347747,667.75,809789,124.37,32720,5.03,87,0.01
11,2121,16837,7.94,12175,5.74,188711,88.97,20528,9.68,57,0.03,53,0.02
12,4396,30143,6.86,22269,5.07,276168,62.82,36615,8.33,0,0.00,23,0.01
13,2100,19088,9.09,14051,6.69,297074,141.46,29510,14.05,106,0.05,29,0.01
14,1450,17895,12.34,12186,8.40,293723,202.57,28455,19.62,1440,0.99,39,0.03
15,3087,30749,9.96,21954,7.11,188335,61.01,15901,5.15,0,0.00,28,0.01
16,4364,99380,22.77,101120,23.17,6870267,1574.30,1256546,287.93,52640,12.06,86,0.02
17,1215,18915,15.57,10807,8.89,2579986,2123.45,2080183,1712.08,54711,45.03,25,0.02
18,5586,118067,21.14,118542,21.22,7774886,1391.85,1410600,252.52,58896,10.54,92,0.02
19,1064,21298,20.02,12231,11.50,128559,120.83,32287,30.34,0,0.00,20,0.02
20,1197,31008,25.90,20451,17.09,302043,252.33,43705,36.51,1440,1.20,26,0.02
21,1927,36970,19.19,26839,13.93,234968,121.93,51874,26.92,0,0.00,20,0.01
22,1875,45507,24.27,35532,18.95,188841,100.72,52156,27.82,288,0.15,45,0.02
23,3967,33790,8.52,16514,4.16,1950890,491.78,260520,65.67,2016,0.51,2942,0.74
24,1939,49669,25.62,36642,18.90,492038,253.76,89923,46.38,0,0.00,888,0.46
25,1042,24967,23.96,12727,12.21,257040,246.68,96199,92.32,0,0.00,125,0.12
26,1206,27931,23.16,25040,20.76,391887,324.95,84291,69.89,0,0.00,622,0.52
27,902,29051,32.21,17393,19.28,137305,152.22,37839,41.95,0,0.00,186,0.21
28,1180,40726,34.51,28226,23.92,4933797,4181.18,4169871,3533.79,108270,91.75,94,0.08
29,2109,32067,15.20,16070,7.62,863224,409.30,193910,91.94,0,0.00,79,0.04
30,3582,63171,17.64,45405,12.68,566345,158.11,91047,25.42,0,0.00,71,0.02
31,789,30683,38.89,18467,23.41,7745099,9816.35,6611334,8379.38,173232,219.56,40,0.05
32,830,28704,34.58,14318,17.25,229768,276.83,89302,107.59,0,0.00,84,0.10
33,1231,33063,26.86,18491,15.02,266025,216.10,119514,97.09,0,0.00,64,0.05
34,634,21270,33.55,14159,22.33,205845,324.68,125718,198.29,0,0.00,34,0.05
35,1177,23733,20.16,20126,17.10,255209,216.83,68838,58.49,0,0.00,53,0.05
36,403,12300,30.52,9610,23.85,152182,377.62,88605,219.86,288,0.71,59,0.15
37,600,12117,20.20,7048,11.75,256602,427.67,208018,346.70,0,0.00,51,0.09
38,365,8163,22.36,6542,17.92,245709,673.18,131782,361.05,1322,3.62,43,0.12
39,215,5076,23.61,3446,16.03,167903,780.94,61538,286.22,864,4.02,44,0.20
40,549,18445,33.60,15852,28.87,184878,336.75,158097,287.97,0,0.00,17,0.03
41,429,9367,21.83,6301,14.69,568573,1325.34,218826,510.08,3712,8.65,44,0.10
42,275,6179,22.47,4479,16.29,119672,435.17,111271,404.62,0,0.00,32,0.12
43,245,5675,23.16,3335,13.61,120571,492.13,154850,632.04,0,0.00,18,0.07
44,245,5590,22.82,3983,16.26,116479,475.42,137679,561.96,0,0.00,19,0.08
45,982,20712,21.09,14186,14.45,330440,336.50,235287,239.60,0,0.00,61,0.06
46,344,7890,22.94,5087,14.79,225697,656.10,217062,630.99,288,0.84,43,0.12
47,290,5762,19.87,2955,10.19,168388,580.65,150946,520.50,0,0.00,62,0.21
48,1564,33602,21.48,28425,18.17,9403852,6012.69,7532103,4815.92,199494,127.55,56,0.04
49,434,11632,26.80,6385,14.71,263300,606.68,367458,846.68,0,0.00,12,0.03
50,332,8338,25.11,6495,19.56,180021,542.23,194331,585.33,0,0.00,28,0.08
51,341,15163,44.47,13206,38.73,112955,331.25,119668,350.93,0,0.00,25,0.07
52,272,7842,28.83,5422,19.93,174459,641.39,305399,1122.79,0,0.00,48,0.18
53,363,12666,34.89,9148,25.20,217557,599.33,323571,891.38,0,0.00,51,0.14
54,2168,62113,28.65,44668,20.60,537391,247.87,239179,110.32,0,0.00,19,0.01
55,254,7181,28.27,3882,15.28,148990,586.57,248274,977.46,0,0.00,49,0.19
56,195,5675,29.10,4065,20.85,139157,713.63,245883,1260.94,0,0.00,49,0.25
57,303,8355,27.57,4140,13.66,218818,722.17,347283,1146.15,0,0.00,17,0.06
58,1060,33471,31.58,31033,29.28,335698,316.70,351837,331.92,0,0.00,25,0.02
59,8124,862968,106.22,897639,110.49,107853163,13275.87,38220148,4704.60,1042758,128.36,540,0.07
60,1099,24263,22.08,21432,19.50,398965,363.03,278252,253.19,0,0.00,58,0.05
61,380,11792,31.03,5881,15.48,321070,844.92,581896,1531.31,0,0.00,53,0.14
62,170,5595,32.91,3627,21.34,138511,814.77,301461,1773.30,0,0.00,14,0.08
63,111,3319,29.90,2292,20.65,63852,575.24,71890,647.66,0,0.00,26,0.23
64,310,14427,46.54,11347,36.60,228727,737.83,472154,1523.08,0,0.00,23,0.07
65,275,9118,33.16,5548,20.17,263476,958.09,413747,1504.53,0,0.00,57,0.21
66,190,6151,32.37,4491,23.64,169419,891.68,263351,1386.06,56,0.29,59,0.31
67,169,6068,35.91,3491,20.66,149976,887.43,287977,1704.01,0,0.00,68,0.40
68,128,4468,34.91,2831,22.12,103893,811.66,129065,1008.32,56,0.44,27,0.21
69,250,8742,34.97,5096,20.38,265457,1061.83,407323,1629.29,130,0.52,22,0.09
70,1060,43506,41.04,40948,38.63,376940,355.60,293385,276.78,0,0.00,47,0.04
71,71,2307,32.49,1532,21.58,69162,974.11,79160,1114.93,62,0.87,61,0.86
72,937,28112,30.00,23482,25.06,314457,335.60,68176,72.76,0,0.00,152,0.16
73,418,14406,34.46,7475,17.88,493249,1180.02,716135,1713.24,132,0.32,26,0.06
74,290,18447,63.61,17068,58.86,163604,564.15,127494,439.63,60,0.21,2,0.01
75,49,1891,38.59,1444,29.47,41320,843.27,28916,590.12,0,0.00,109,2.22
76,358,23422,65.42,20183,56.38,238388,665.89,362506,1012.59,63,0.18,59,0.16
77,257,10081,39.23,5959,23.19,281186,1094.11,498888,1941.20,60,0.23,18,0.07
78,716,25755,35.97,18218,25.44,272206,380.18,105777,147.73,60,0.08,73,0.10
79,102,4574,44.84,2486,24.37,116697,1144.09,270106,2648.10,194,1.90,51,0.50
80,223,7080,31.75,6457,28.96,163826,734.65,145531,652.61,0,0.00,44,0.20
81,224,8453,37.74,4891,21.83,275541,1230.09,481418,2149.19,0,0.00,30,0.13
82,202,8439,41.78,4540,22.48,235423,1165.46,461637,2285.33,371,1.84,16,0.08
83,44,1802,40.95,1033,23.48,47698,1084.05,78618,1786.77,148,3.36,59,1.34
84,135,4944,36.62,3545,26.26,102345,758.11,101099,748.88,0,0.00,174,1.29
85,301,13138,43.65,7086,23.54,383409,1273.78,883954,2936.72,479,1.59,50,0.17
86,176,7059,40.11,4148,23.57,251550,1429.26,255397,1451.12,0,0.00,27,0.15
87,66,1934,29.30,902,13.67,73588,1114.97,40285,610.38,60,0.91,23,0.35
88,146,6969,47.73,3738,25.60,170107,1165.12,412848,2827.73,1212,8.30,27,0.18
89,198,8687,43.87,4680,23.64,275206,1389.93,619062,3126.58,461,2.33,22,0.11
90,221,8587,38.86,6735,30.48,195772,885.85,196506,889.17,364,1.65,27,0.12
91,130,5612,43.17,2827,21.75,170998,1315.37,326680,2512.92,474,3.65,38,0.29
92,110,5061,46.01,2833,25.75,138459,1258.72,263086,2391.69,198,1.80,69,0.63
93,192,8448,44.00,4514,23.51,281557,1466.44,612870,3192.03,643,3.35,40,0.21
94,170,8951,52.65,5006,29.45,3799024,22347.20,2524082,14847.54,56800,334.12,22,0.13
95,83,3876,46.70,2535,30.54,77773,937.02,143064,1723.66,132,1.59,38,0.46
96,88,3766,42.80,2427,27.58,112020,1272.95,168214,1911.52,128,1.45,28,0.32
97,269,13535,50.32,7058,26.24,393603,1463.21,1072082,3985.43,456,1.70,27,0.10
98,105,5391,51.34,3038,28.93,141512,1347.73,313069,2981.61,644,6.13,38,0.36
99,112,3274,29.23,1281,11.44,201367,1797.92,114774,1024.77,120,1.07,58,0.52
100,187,8553,45.74,4199,22.45,258286,1381.21,498223,2664.29,775,4.14,31,0.17
101,219,11028,50.36,5779,26.39,350409,1600.04,859901,3926.49,634,2.89,35,0.16
102,735,36874,50.17,24798,33.74,369563,502.81,246124,334.86,174,0.24,77,0.10
103,43,1665,38.72,920,21.40,59615,1386.40,92845,2159.19,0,0.00,35,0.81
104,64,3055,47.73,2008,31.38,82706,1292.28,174483,2726.30,169,2.64,33,0.52
105,228,10945,48.00,6147,26.96,348611,1529.00,860503,3774.14,62,0.27,25,0.11
106,67,3181,47.48,1866,27.85,106205,1585.15,210318,3139.07,0,0.00,36,0.54
107,28,1155,41.25,586,20.93,33190,1185.36,56986,2035.21,93,3.32,25,0.89
108,85,4096,48.19,2087,24.55,97261,1144.25,150545,1771.12,62,0.73,22,0.26
109,248,12198,49.19,6256,25.23,429012,1729.89,1048723,4228.72,128,0.52,14,0.06
110,75,2835,37.80,1569,20.92,143384,1911.79,196021,2613.61,75,1.00,11,0.15
111,43,2018,46.93,1608,37.40,61982,1441.44,13781,320.49,0,0.00,40,0.93
112,141,5753,40.80,2647,18.77,267394,1896.41,289345,2052.09,306,2.17,21,0.15
113,242,13295,54.94,7393,30.55,422865,1747.38,1064756,4399.82,879,3.63,11,0.05
114,81,4407,54.41,2621,32.36,128653,1588.31,253177,3125.64,367,4.53,35,0.43
115,24,792,33.00,383,15.96,41784,1741.00,21103,879.29,0,0.00,30,1.25
116,58,3194,55.07,1392,24.00,164517,2836.50,158346,2730.10,62,1.07,15,0.26
117,194,10868,56.02,5573,28.73,363998,1876.28,1050937,5417.20,217,1.12,19,0.10
118,187,16615,88.85,13701,73.27,190804,1020.34,366236,1958.48,132,0.71,2,0.01
119,31,1248,40.26,607,19.58,58561,1889.06,48602,1567.81,0,0.00,26,0.84
120,98,5688,58.04,4107,41.91,143679,1466.11,198964,2030.24,0,0.00,27,0.28
121,205,11909,58.09,6398,31.21,404522,1973.28,1180115,5756.66,357,1.74,9,0.04
122,72,4417,61.35,2736,38.00,138119,1918.32,277457,3853.57,89,1.24,6,0.08
123,22,899,40.86,488,22.18,40006,1818.45,31875,1448.86,0,0.00,12,0.55
124,76,4596,60.47,3016,39.68,119728,1575.37,206693,2719.64,266,3.50,40,0.53
125,278,15425,55.49,7562,27.20,612904,2204.69,1381241,4968.49,1160,4.17,56,0.20
126,140,17508,125.06,3989,28.49,238938,1706.70,344132,2458.09,365,2.61,27,0.19
127,84,3990,47.50,1384,16.48,158428,1886.05,155119,1846.65,0,0.00,2,0.02
128,60,3030,50.50,1468,24.47,122257,2037.62,218142,3635.70,0,0.00,7,0.12
129,198,12424,62.75,6488,32.77,422182,2132.23,1313112,6631.88,944,4.77,4,0.02
130,87,5689,65.39,3124,35.91,196873,2262.91,365803,4204.63,619,7.11,43,0.49
131,31,2385,76.94,2036,65.68,42827,1381.52,35918,1158.65,0,0.00,4,0.13
132,40,2671,66.78,1580,39.50,80383,2009.58,205392,5134.80,100,2.50,8,0.20
133,45,2835,63.00,1610,35.78,99400,2208.89,287352,6385.60,0,0.00,6,0.13
134,26,2184,84.00,1751,67.35,43744,1682.46,71850,2763.46,96,3.69,3,0.12
135,21,1143,54.43,739,35.19,39212,1867.24,7844,373.52,67,3.19,8,0.38
136,63,2944,46.73,1211,19.22,152430,2419.52,194044,3080.06,280,4.44,2,0.03
137,34,2126,62.53,1041,30.62,60633,1783.32,64147,1886.68,0,0.00,23,0.68
138,96,4279,44.57,1402,14.60,259572,2703.88,164543,1713.99,428,4.46,15,0.16
139,30,1357,45.23,534,17.80,76844,2561.47,51737,1724.57,160,5.33,26,0.87
140,37,1284,34.70,1122,30.32,55091,1488.95,17357,469.11,70,1.89,17,0.46
141,18,727,40.39,317,17.61,50018,2778.78,27923,1551.28,154,8.56,16,0.89
142,18,1060,58.89,771,42.83,38418,2134.33,14030,779.44,0,0.00,2,0.11
143,15,778,51.87,397,26.47,41819,2787.93,26771,1784.73,0,0.00,4,0.27
144,30,1900,63.33,1426,47.53,38869,1295.63,10648,354.93,0,0.00,19,0.63
145,62,3562,57.45,1301,20.98,242802,3916.16,151261,2439.69,0,0.00,37,0.60
146,26,1393,53.58,700,26.92,59882,2303.15,48531,1866.58,0,0.00,31,1.19
147,18,995,55.28,575,31.94,34026,1890.33,22160,1231.11,66,3.67,55,3.06
148,31,1985,64.03,1035,33.39,58903,1900.10,45979,1483.19,0,0.00,0,0.00
149,15,1177,78.47,1044,69.60,30164,2010.93,14756,983.73,127,8.47,9,0.60
150,23,2084,90.61,1460,63.48,37070,1611.74,26333,1144.91,0,0.00,4,0.17
151,70,3099,44.27,924,13.20,247120,3530.29,148357,2119.39,1059,15.13,0,0.00
152,35,1541,44.03,579,16.54,126075,3602.14,66267,1893.34,139,3.97,32,0.91
153,7,391,55.86,196,28.00,23975,3425.00,13013,1859.00,0,0.00,0,0.00
154,98,6864,70.04,4625,47.19,216460,2208.78,191521,1954.30,416,4.24,15,0.15
155,18,1010,56.11,414,23.00,48449,2691.61,56031,3112.83,77,4.28,2,0.11
156,20,1270,63.50,747,37.35,35704,1785.20,18893,944.65,0,0.00,4,0.20
157,19,1029,54.16,315,16.58,53284,2804.42,41238,2170.42,55,2.89,46,2.42
158,12,432,36.00,240,20.00,38866,3238.83,17711,1475.92,0,0.00,10,0.83
159,26,1543,59.35,563,21.65,48686,1872.54,20633,793.58,175,6.73,38,1.46
160,17,1053,61.94,392,23.06,38260,2250.59,10729,631.12,0,0.00,2,0.12
161,6,210,35.00,111,18.50,26194,4365.67,5520,920.00,0,0.00,0,0.00
162,31,2481,80.03,1235,39.84,56519,1823.19,24525,791.13,0,0.00,2,0.06
163,47,2460,52.34,906,19.28,126874,2699.45,167109,3555.51,105,2.23,4,0.09
164,95,5442,57.28,2365,24.89,290247,3055.23,242828,2556.08,497,5.23,1,0.01
165,26,1595,61.35,831,31.96,79134,3043.62,54382,2091.62,54,2.08,58,2.23
166,29,2187,75.41,1503,51.83,73498,2534.41,60209,2076.17,140,4.83,60,2.07
167,26,1762,67.77,981,37.73,66086,2541.77,41414,1592.85,103,3.96,88,3.38
168,58,2058,35.48,1203,20.74,46085,794.57,11292,194.69,0,0.00,42,0.72
169,10,818,81.80,663,66.30,20906,2090.60,9288,928.80,0,0.00,62,6.20
170,11,768,69.82,459,41.73,27092,2462.91,22285,2025.91,69,6.27,69,6.27
171,11,569,51.73,284,25.82,31603,2873.00,15249,1386.27,0,0.00,60,5.45
172,60,3263,54.38,1333,22.22,164999,2749.98,190128,3168.80,0,0.00,84,1.40
173,20,1265,63.25,574,28.70,52564,2628.20,67526,3376.30,0,0.00,20,1.00
174,29,2296,79.17,620,21.38,196201,6765.55,50331,1735.55,0,0.00,22,0.76
175,14,576,41.14,239,17.07,42363,3025.93,33875,2419.64,147,10.50,64,4.57
176,18,1033,57.39,761,42.28,53554,2975.22,15793,877.39,74,4.11,0,0.00
177,8084,688961,85.23,608566,75.28,6053135,748.78,391773,48.46,480,0.06,1896,0.23
178,28,1617,57.75,612,21.86,90106,3218.07,68757,2455.61,351,12.54,47,1.68
179,13,566,43.54,360,27.69,28687,2206.69,8858,681.38,0,0.00,80,6.15
180,22,1492,67.82,628,28.55,52540,2388.18,30310,1377.73,134,6.09,42,1.91
181,37,2183,59.00,777,21.00,108188,2924.00,176712,4776.00,0,0.00,0,0.00
182,32,3022,94.44,1929,60.28,72829,2275.91,83193,2599.78,0,0.00,4,0.12
183,8,492,61.50,304,38.00,23245,2905.62,9000,1125.00,73,9.12,38,4.75
184,13,823,63.31,376,28.92,49759,3827.62,40583,3121.77,0,0.00,0,0.00
185,12,1646,137.17,1433,119.42,16133,1344.42,15889,1324.08,0,0.00,22,1.83
186,11,1158,105.27,464,42.18,30041,2731.00,25514,2319.45,0,0.00,20,1.82
187,6,318,53.00,116,19.33,16694,2782.33,17078,2846.33,123,20.50,22,3.67
188,13,944,72.62,280,21.54,35058,2696.77,19624,1509.54,0,0.00,0,0.00
189,13,670,51.54,342,26.31,40328,3102.15,12778,982.92,112,8.62,76,5.85
190,121,7347,60.72,2245,18.55,451234,3729.21,478007,3950.47,707,5.84,22,0.18
191,37,2399,64.84,964,26.05,123142,3328.16,130195,3518.78,0,0.00,2,0.05
