tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2780,4365,1.57,4864,1.75,0,0.00,0,0.00,0,0.00,0,0.00
2,199,528,2.65,540,2.71,168,0.84,4,0.02,0,0.00,0,0.00
3,2691,3628,1.35,3409,1.27,29873,11.10,451,0.17,0,0.00,2,0.00
4,276,860,3.12,882,3.20,2982,10.80,81,0.29,0,0.00,1,0.00
5,319,1034,3.24,1031,3.23,11109,34.82,588,1.84,0,0.00,6,0.02
6,240,994,4.14,917,3.82,5674,23.64,388,1.62,0,0.00,0,0.00
7,229,1303,5.69,1170,5.11,7842,34.24,1051,4.59,0,0.00,5,0.02
8,2182,26393,12.10,30182,13.83,6834,3.13,449,0.21,0,0.00,6,0.00
9,203,1861,9.17,1624,8.00,8795,43.33,1247,6.14,0,0.00,1,0.00
10,143,1248,8.73,1113,7.78,163522,1143.51,12268,85.79,1910,13.36,9,0.06
11,2794,40574,14.52,42253,15.12,12775,4.57,675,0.24,0,0.00,22,0.01
12,111,1218,10.97,992,8.94,10546,95.01,805,7.25,0,0.00,12,0.11
13,107,1154,10.79,920,8.60,402532,3761.98,29746,278.00,4966,46.41,15,0.14
14,120,1541,12.84,1427,11.89,5428964,45241.37,965948,8049.57,35992,299.93,17,0.14
15,100,1480,14.80,1158,11.58,13173,131.73,2010,20.10,0,0.00,5,0.05
16,136,2001,14.71,2004,14.74,14704,108.12,1134,8.34,0,0.00,14,0.10
17,94,1629,17.33,1304,13.87,9408,100.09,1386,14.74,0,0.00,2,0.02
18,85,1699,19.99,1438,16.92,6828,80.33,323,3.80,0,0.00,16,0.19
19,2173,59938,27.58,62884,28.94,9725993,4475.84,1693393,779.29,66564,30.63,72,0.03
20,100,1894,18.94,2004,20.04,23625,236.25,2496,24.96,0,0.00,15,0.15
21,102,1849,18.13,1605,15.74,17672,173.25,2907,28.50,0,0.00,12,0.12
22,159,4158,26.15,3975,25.00,13836,87.02,1192,7.50,0,0.00,22,0.14
23,100,2199,21.99,1837,18.37,11424,114.24,2943,29.43,0,0.00,3,0.03
24,3203,87305,27.26,90143,28.14,11919866,3721.47,2106808,657.76,78528,24.52,94,0.03
25,672,7574,11.27,7220,10.74,79600,118.45,3688,5.49,0,0.00,5,0.01
26,74,2435,32.91,1727,23.34,22761,307.58,2547,34.42,0,0.00,13,0.18
27,884,19968,22.59,18861,21.34,67804,76.70,2507,2.84,0,0.00,2,0.00
28,87,2040,23.45,1798,20.67,25591,294.15,2807,32.26,0,0.00,40,0.46
29,98,2587,26.40,1974,20.14,39341,401.44,6535,66.68,0,0.00,2,0.02
30,160,4659,29.12,4428,27.68,27750,173.44,2414,15.09,0,0.00,10,0.06
31,106,2774,26.17,2406,22.70,19655,185.42,3068,28.94,0,0.00,21,0.20
32,116,3582,30.88,3092,26.66,33718,290.67,1888,16.28,0,0.00,12,0.10
33,1940,34048,17.55,24571,12.67,562589,289.99,46020,23.72,0,0.00,37,0.02
34,94,2617,27.84,2289,24.35,38041,404.69,3509,37.33,0,0.00,8,0.09
35,109,3476,31.89,2737,25.11,24749,227.06,2602,23.87,0,0.00,11,0.10
36,119,3128,26.29,2472,20.77,21178,177.97,1388,11.66,0,0.00,10,0.08
37,2021,113781,56.30,132425,65.52,57298,28.35,6102,3.02,0,0.00,11,0.01
38,188,7871,41.87,7859,41.80,25632,136.34,1881,10.01,0,0.00,16,0.09
39,2112,120288,56.95,127972,60.59,19221488,9101.08,3421586,1620.07,127608,60.42,122,0.06
40,506,26054,51.49,25995,51.37,80757,159.60,7130,14.09,0,0.00,41,0.08
41,176,4678,26.58,4566,25.94,36488,207.32,2327,13.22,0,0.00,8,0.05
42,104,3064,29.46,2709,26.05,22083,212.34,2654,25.52,0,0.00,44,0.42
43,2089,135585,64.90,156758,75.04,26909,12.88,2438,1.17,0,0.00,49,0.02
44,155,6329,40.83,5614,36.22,32900,212.26,1772,11.43,0,0.00,0,0.00
45,121,5249,43.38,4998,41.31,570264,4712.93,41371,341.91,6876,56.83,23,0.19
46,96,3377,35.18,3392,35.33,34618,360.60,2997,31.22,0,0.00,9,0.09
47,358,28253,78.92,27609,77.12,23868,66.67,2505,7.00,0,0.00,1,0.00
48,205,9881,48.20,9456,46.13,51145,249.49,4364,21.29,0,0.00,17,0.08
49,2071,145490,70.25,167142,80.71,24480221,11820.48,4323449,2087.61,164530,79.44,173,0.08
50,579,49967,86.30,49466,85.43,39284,67.85,3274,5.65,0,0.00,43,0.07
51,205,11140,54.34,11122,54.25,37400,182.44,4477,21.84,0,0.00,11,0.05
52,216,20309,94.02,20168,93.37,36664,169.74,3561,16.49,0,0.00,14,0.06
53,82,2699,32.91,2660,32.44,25510,311.10,3782,46.12,0,0.00,1,0.01
54,571,51090,89.47,50700,88.79,46031,80.61,5643,9.88,0,0.00,16,0.03
55,180,4891,27.17,5029,27.94,1181758,6565.32,81957,455.32,12358,68.66,44,0.24
56,345,30952,89.72,30383,88.07,41768,121.07,8055,23.35,0,0.00,9,0.03
