tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1987,2923,1.47,3071,1.55,6227,3.13,572,0.29,0,0.00,5,0.00
2,6396,21355,3.34,22391,3.50,3558368,556.34,1964762,307.19,56719,8.87,18,0.00
3,1817,2908,1.60,2685,1.48,22162,12.20,658,0.36,0,0.00,7,0.00
4,608,2674,4.40,2500,4.11,7538,12.40,388,0.64,0,0.00,12,0.02
5,630,1642,2.61,1665,2.64,14957,23.74,1163,1.85,0,0.00,0,0.00
6,4319,12580,2.91,11356,2.63,99704,23.08,2129,0.49,0,0.00,4,0.00
7,298,1408,4.72,1187,3.98,11254,37.77,1477,4.96,0,0.00,3,0.01
8,858,5571,6.49,5157,6.01,29323,34.18,618,0.72,0,0.00,0,0.00
9,366,2139,5.84,1849,5.05,37197,101.63,4743,12.96,0,0.00,1,0.00
10,448,2127,4.75,2118,4.73,26062,58.17,1580,3.53,0,0.00,24,0.05
11,191,1291,6.76,1333,6.98,10628,55.64,954,4.99,0,0.00,0,0.00
12,377,2628,6.97,2064,5.47,20941,55.55,2964,7.86,0,0.00,2,0.01
13,98,707,7.21,614,6.27,8323,84.93,1130,11.53,0,0.00,1,0.01
14,248,3268,13.18,2079,8.38,20155,81.27,2875,11.59,0,0.00,8,0.03
15,129,1121,8.69,1004,7.78,8533,66.15,877,6.80,0,0.00,4,0.03
16,155,1371,8.85,1126,7.26,19637,126.69,1022,6.59,0,0.00,3,0.02
17,76,726,9.55,631,8.30,9298,122.34,1185,15.59,0,0.00,4,0.05
18,155,1485,9.58,1077,6.95,17946,115.78,3158,20.37,0,0.00,0,0.00
19,65,689,10.60,628,9.66,8344,128.37,654,10.06,0,0.00,0,0.00
20,69,889,12.88,774,11.22,8008,116.06,782,11.33,0,0.00,1,0.01
21,94,1386,14.74,1341,14.27,8668,92.21,619,6.59,0,0.00,0,0.00
22,86,883,10.27,889,10.34,11984,139.35,1399,16.27,0,0.00,0,0.00
23,2875,113475,39.47,122741,42.69,10842972,3771.47,9613131,3343.70,249067,86.63,46,0.02
24,58,786,13.55,735,12.67,6296,108.55,608,10.48,0,0.00,0,0.00
25,452,17739,39.25,17601,38.94,9623661,21291.29,1776459,3930.22,75256,166.50,25,0.06
26,56,689,12.30,599,10.70,9298,166.04,2286,40.82,0,0.00,1,0.02
27,110,1446,13.15,1293,11.75,15203,138.21,1159,10.54,0,0.00,0,0.00
28,75,1426,19.01,1152,15.36,21059,280.79,2058,27.44,0,0.00,2,0.03
29,276,8398,30.43,8659,31.37,10697,38.76,1066,3.86,0,0.00,0,0.00
30,79,1460,18.48,1063,13.46,13912,176.10,5111,64.70,0,0.00,12,0.15
31,57,1581,27.74,2070,36.32,5434,95.33,418,7.33,0,0.00,2,0.04
32,3840,200906,52.32,214113,55.76,13381582,3484.79,2471151,643.53,104704,27.27,64,0.02
33,78,1195,15.32,1408,18.05,17196,220.46,502,6.44,0,0.00,0,0.00
34,314,18244,58.10,20876,66.48,9911,31.56,1875,5.97,0,0.00,0,0.00
35,30,453,15.10,377,12.57,7420,247.33,613,20.43,0,0.00,4,0.13
36,26,567,21.81,530,20.38,8097,311.42,1717,66.04,0,0.00,6,0.23
37,21,585,27.86,437,20.81,7514,357.81,1175,55.95,0,0.00,0,0.00
38,259,13981,53.98,14347,55.39,27786,107.28,6376,24.62,0,0.00,1,0.00
39,22,461,20.95,393,17.86,6800,309.09,776,35.27,0,0.00,0,0.00
40,151,5197,34.42,5047,33.42,23400,154.97,5501,36.43,0,0.00,8,0.05
41,22,567,25.77,424,19.27,6184,281.09,1083,49.23,0,0.00,0,0.00
42,84,1946,23.17,1686,20.07,17140,204.05,4419,52.61,0,0.00,8,0.10
43,24,667,27.79,599,24.96,5744,239.33,472,19.67,0,0.00,0,0.00
