tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,45233,99212,2.19,67584,1.49,1845725,40.80,978308,21.63,28916,0.64,17,0.00
2,1208,4937,4.09,3278,2.71,1923,1.59,200,0.17,0,0.00,1,0.00
3,32409,61849,1.91,55309,1.71,1701922,52.51,1227466,37.87,32481,1.00,9,0.00
4,12082,21487,1.78,21242,1.76,1429780,118.34,231911,19.19,9816,0.81,7,0.00
5,8689,62572,7.20,67675,7.79,9176700,1056.13,3127329,359.92,88485,10.18,45,0.01
6,1333,5478,4.11,4262,3.20,28754,21.57,1198,0.90,0,0.00,1,0.00
7,1340,7298,5.45,4061,3.03,73921,55.16,13363,9.97,0,0.00,3,0.00
8,358,2362,6.60,1515,4.23,24219,67.65,3980,11.12,0,0.00,0,0.00
9,4764,19923,4.18,15041,3.16,203360,42.69,27521,5.78,0,0.00,3,0.00
10,678,4808,7.09,3818,5.63,27090,39.96,1966,2.90,0,0.00,16,0.02
11,1158,9817,8.48,6027,5.20,202054,174.49,44918,38.79,0,0.00,4,0.00
12,749,4557,6.08,3293,4.40,41927,55.98,3663,4.89,0,0.00,0,0.00
13,684,3940,5.76,3409,4.98,87857,128.45,12054,17.62,0,0.00,1,0.00
14,106,739,6.97,617,5.82,10883,102.67,1154,10.89,0,0.00,2,0.02
15,8306,59458,7.16,53034,6.39,522001,62.85,17908,2.16,0,0.00,160,0.02
16,101,652,6.46,584,5.78,13453,133.20,566,5.60,0,0.00,2,0.02
17,299,2728,9.12,716,2.39,74879,250.43,14149,47.32,0,0.00,0,0.00
18,217,2519,11.61,820,3.78,66979,308.66,11437,52.71,0,0.00,2,0.01
19,73,455,6.23,322,4.41,14529,199.03,3370,46.16,0,0.00,0,0.00
20,275,3611,13.13,2171,7.89,67452,245.28,7265,26.42,0,0.00,19,0.07
21,119,2832,23.80,680,5.71,22803,191.62,5368,45.11,0,0.00,4,0.03
22,154,1343,8.72,268,1.74,73920,480.00,7350,47.73,0,0.00,1,0.01
23,50,641,12.82,405,8.10,15026,300.52,5116,102.32,0,0.00,1,0.02
24,49,640,13.06,521,10.63,12559,256.31,1257,25.65,0,0.00,0,0.00
25,863,9648,11.18,8169,9.47,143146,165.87,16714,19.37,0,0.00,0,0.00
26,16,206,12.88,123,7.69,10212,638.25,1616,101.00,0,0.00,0,0.00
27,70,931,13.30,427,6.10,21407,305.81,8701,124.30,0,0.00,0,0.00
28,22,278,12.64,142,6.45,5212,236.91,2372,107.82,0,0.00,0,0.00
29,45,685,15.22,207,4.60,46635,1036.33,10046,223.24,0,0.00,0,0.00
30,50,877,17.54,717,14.34,10153,203.06,2786,55.72,0,0.00,26,0.52
31,14,215,15.36,53,3.79,3246,231.86,4752,339.43,0,0.00,0,0.00
32,40,381,9.53,149,3.73,39938,998.45,3120,78.00,0,0.00,0,0.00
33,60,777,12.95,443,7.38,31324,522.07,7157,119.28,0,0.00,0,0.00
34,169,1749,10.35,705,4.17,214095,1266.83,11088,65.61,0,0.00,2,0.01
35,267,6983,26.15,2827,10.59,68975,258.33,18716,70.10,0,0.00,4,0.01
36,16,516,32.25,363,22.69,3362,210.12,2474,154.62,0,0.00,0,0.00
37,85,1189,13.99,531,6.25,57976,682.07,14071,165.54,0,0.00,0,0.00
38,10,209,20.90,75,7.50,18656,1865.60,3542,354.20,0,0.00,0,0.00
39,26,567,21.81,365,14.04,7847,301.81,2392,92.00,0,0.00,0,0.00
40,33,603,18.27,520,15.76,11253,341.00,1381,41.85,0,0.00,20,0.61
41,15,140,9.33,61,4.07,9983,665.53,1635,109.00,0,0.00,0,0.00
42,78,373,4.78,447,5.73,11586,148.54,489,6.27,0,0.00,3,0.04
43,188,2689,14.30,1162,6.18,158720,844.26,43453,231.13,0,0.00,0,0.00
44,16,359,22.44,192,12.00,14677,917.31,3151,196.94,0,0.00,0,0.00
45,226,4872,21.56,2606,11.53,81566,360.91,34263,151.61,0,0.00,0,0.00
46,17,625,36.76,482,28.35,6026,354.47,3910,230.00,0,0.00,6,0.35
47,20,295,14.75,114,5.70,17248,862.40,3605,180.25,0,0.00,0,0.00
48,15,475,31.67,446,29.73,9409,627.27,918,61.20,0,0.00,1,0.07
49,5,91,18.20,40,8.00,5476,1095.20,279,55.80,0,0.00,0,0.00
50,19,526,27.68,349,18.37,8432,443.79,2154,113.37,0,0.00,0,0.00
51,22,609,27.68,323,14.68,19825,901.14,5016,228.00,0,0.00,0,0.00
52,10,163,16.30,72,7.20,6222,622.20,3883,388.30,0,0.00,4,0.40
53,3,48,16.00,11,3.67,2750,916.67,970,323.33,0,0.00,0,0.00
54,30,582,19.40,147,4.90,45725,1524.17,7510,250.33,0,0.00,0,0.00
55,191,2635,13.80,3671,19.22,127243,666.19,8165,42.75,0,0.00,8,0.04
56,54,1082,20.04,275,5.09,99114,1835.44,15311,283.54,0,0.00,1,0.02
57,46,1041,22.63,600,13.04,36463,792.67,9293,202.02,0,0.00,2,0.04
58,3,76,25.33,19,6.33,3957,1319.00,889,296.33,0,0.00,0,0.00
59,4,81,20.25,21,5.25,7128,1782.00,958,239.50,0,0.00,0,0.00
60,30,815,27.17,715,23.83,14932,497.73,2203,73.43,0,0.00,13,0.43
61,21,417,19.86,211,10.05,44161,2102.90,3662,174.38,0,0.00,3,0.14
62,6,203,33.83,108,18.00,21499,3583.17,1988,331.33,0,0.00,0,0.00
63,19,479,25.21,124,6.53,20444,1076.00,9660,508.42,0,0.00,0,0.00
64,8,150,18.75,71,8.88,9448,1181.00,2649,331.12,0,0.00,0,0.00
65,34,1140,33.53,671,19.74,29526,868.41,8962,263.59,0,0.00,0,0.00
66,4,48,12.00,20,5.00,5808,1452.00,567,141.75,0,0.00,0,0.00
67,9,165,18.33,59,6.56,10046,1116.22,2893,321.44,0,0.00,2,0.22
68,16,353,22.06,81,5.06,56339,3521.19,9654,603.38,0,0.00,0,0.00
69,30,1703,56.77,1312,43.73,33465,1115.50,9157,305.23,0,0.00,0,0.00
70,40,1240,31.00,663,16.57,103759,2593.97,18593,464.82,61,1.52,0,0.00
71,1,17,17.00,2,2.00,1521,1521.00,167,167.00,0,0.00,1,1.00
72,64,1508,23.56,325,5.08,237263,3707.23,41369,646.39,116,1.81,0,0.00
73,17,443,26.06,139,8.18,29934,1760.82,16157,950.41,0,0.00,0,0.00
74,152,3661,24.09,667,4.39,606167,3987.94,124237,817.35,170,1.12,1,0.01
75,38,1760,46.32,880,23.16,31590,831.32,26163,688.50,0,0.00,0,0.00
76,6,218,36.33,77,12.83,5510,918.33,8014,1335.67,0,0.00,1,0.17
77,17,531,31.24,171,10.06,36816,2165.65,19766,1162.71,0,0.00,0,0.00
78,6,218,36.33,87,14.50,16034,2672.33,7783,1297.17,0,0.00,0,0.00
79,30,758,25.27,101,3.37,106419,3547.30,22828,760.93,74,2.47,0,0.00
80,11,819,74.45,768,69.82,5655,514.09,1578,143.45,0,0.00,0,0.00
81,71,2232,31.44,672,9.46,328218,4622.79,63036,887.83,294,4.14,0,0.00
82,9,227,25.22,32,3.56,37385,4153.89,8587,954.11,144,16.00,0,0.00
83,5,130,26.00,46,9.20,9848,1969.60,4615,923.00,0,0.00,0,0.00
84,16,156,9.75,80,5.00,16865,1054.06,5236,327.25,0,0.00,22,1.38
85,79,1392,17.62,804,10.18,35695,451.84,11589,146.70,0,0.00,285,3.61
86,23,639,27.78,72,3.13,113465,4933.26,23227,1009.87,215,9.35,0,0.00
87,19,892,46.95,160,8.42,78151,4113.21,18155,955.53,0,0.00,2,0.11
89,3,92,30.67,3,1.00,2056,685.33,7652,2550.67,0,0.00,0,0.00
90,57,1731,30.37,295,5.18,287791,5048.96,62574,1097.79,686,12.04,0,0.00
91,15,440,29.33,88,5.87,107261,7150.73,22522,1501.47,0,0.00,0,0.00
92,2,184,92.00,140,70.00,2468,1234.00,8428,4214.00,0,0.00,0,0.00
93,14,492,35.14,79,5.64,32401,2314.36,14486,1034.71,0,0.00,0,0.00
94,10,272,27.20,75,7.50,41762,4176.20,8588,858.80,0,0.00,0,0.00
95,68,2495,36.69,940,13.82,230280,3386.47,44785,658.60,174,2.56,25,0.37
96,1,33,33.00,6,6.00,3715,3715.00,890,890.00,0,0.00,0,0.00
97,34,1096,32.24,207,6.09,153801,4523.56,31530,927.35,303,8.91,0,0.00
98,16,679,42.44,238,14.88,106379,6648.69,20093,1255.81,351,21.94,0,0.00
99,41,1230,30.00,202,4.93,256479,6255.59,45596,1112.10,147,3.59,0,0.00
100,5,249,49.80,181,36.20,6532,1306.40,970,194.00,0,0.00,12,2.40
101,1,25,25.00,4,4.00,3101,3101.00,1122,1122.00,0,0.00,0,0.00
102,7,218,31.14,66,9.43,40528,5789.71,5479,782.71,0,0.00,0,0.00
103,5,198,39.60,38,7.60,7709,1541.80,14252,2850.40,0,0.00,0,0.00
104,8,276,34.50,73,9.12,38685,4835.62,8425,1053.12,0,0.00,0,0.00
105,15,976,65.07,427,28.47,20212,1347.47,23260,1550.67,0,0.00,0,0.00
106,2,110,55.00,59,29.50,2718,1359.00,11380,5690.00,0,0.00,5,2.50
107,12,381,31.75,82,6.83,76823,6401.92,17743,1478.58,75,6.25,0,0.00
108,3,272,90.67,177,59.00,4219,1406.33,4077,1359.00,0,0.00,0,0.00
109,1,36,36.00,6,6.00,7362,7362.00,1059,1059.00,0,0.00,0,0.00
