tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,185576,374079,2.02,218286,1.18,935773,5.04,846619,4.56,22084,0.12,964,0.01
2,11660,40395,3.46,29902,2.56,855832,73.40,154843,13.28,6790,0.58,73,0.01
3,138574,240210,1.73,174632,1.26,4586609,33.10,1649007,11.90,45624,0.33,1942,0.01
4,13864,56805,4.10,43864,3.16,1869031,134.81,317642,22.91,13703,0.99,202,0.01
5,7791,40387,5.18,30841,3.96,149748,19.22,21711,2.79,474,0.06,80,0.01
6,10952,72202,6.59,52670,4.81,300416,27.43,18154,1.66,1242,0.11,139,0.01
7,8525,89970,10.55,56619,6.64,230585,27.05,31609,3.71,573,0.07,74,0.01
8,3498,34198,9.78,27875,7.97,3056217,873.70,901542,257.73,30623,8.75,58,0.02
9,8091,48983,6.05,40502,5.01,1700998,210.23,1330000,164.38,32993,4.08,68,0.01
10,5269,59533,11.30,55177,10.47,77892333,14783.13,81690969,15504.07,63297,12.01,81,0.02
11,2659,29283,11.01,27462,10.33,3999642,1504.19,1417892,533.24,45393,17.07,107,0.04
12,4321,34905,8.08,32551,7.53,230578,53.36,14092,3.26,855,0.20,57,0.01
13,10208,213367,20.90,216943,21.25,19729577,1932.76,7413997,726.29,201602,19.75,134,0.01
14,2179,24590,11.28,22389,10.27,80315637,36858.94,80740397,37053.88,54645,25.08,66,0.03
15,2486,27195,10.94,24151,9.71,2005267,806.62,1361199,547.55,36900,14.84,85,0.03
16,2936,34668,11.81,29724,10.12,336272,114.53,93131,31.72,1042,0.35,69,0.02
17,1565,19788,12.64,17868,11.42,978080,624.97,173098,110.61,6778,4.33,58,0.04
18,3035,30058,9.90,27730,9.14,435409,143.46,27538,9.07,2525,0.83,66,0.02
19,7645,61200,8.01,43303,5.66,4365626,571.04,2941723,384.79,65543,8.57,77,0.01
20,3016,23776,7.88,18151,6.02,760763,252.24,64383,21.35,441,0.15,95,0.03
21,2682,30715,11.45,25472,9.50,709243,264.45,97446,36.33,3509,1.31,298,0.11
22,3805,51800,13.61,35584,9.35,877238,230.55,505487,132.85,274,0.07,68,0.02
23,1208,17058,14.12,14284,11.82,600171,496.83,117967,97.65,3505,2.90,107,0.09
24,1494,21639,14.48,18517,12.39,210910,141.17,17456,11.68,260,0.17,93,0.06
25,1239,18312,14.78,14908,12.03,255317,206.07,81930,66.13,466,0.38,100,0.08
26,783,12417,15.86,11269,14.39,178678,228.20,20231,25.84,713,0.91,82,0.10
27,1206,19874,16.48,15462,12.82,213589,177.11,19647,16.29,382,0.32,56,0.05
28,858,12896,15.03,11047,12.88,187639,218.69,28992,33.79,337,0.39,51,0.06
29,591,11048,18.69,8755,14.81,159668,270.17,27170,45.97,233,0.39,47,0.08
