tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,355971,425649,1.20,1253385,3.52,916636,2.58,522647,1.47,14379,0.04,15,0.00
2,707356,1418919,2.01,723326,1.02,5145098,7.27,879161,1.24,21711,0.03,8,0.00
3,206049,376753,1.83,352071,1.71,8076478,39.20,3503012,17.00,91330,0.44,1578,0.01
4,6512,21298,3.27,18599,2.86,500706,76.89,77765,11.94,3272,0.50,329,0.05
5,71149,138110,1.94,140648,1.98,1927874,27.10,312832,4.40,0,0.00,44589,0.63
6,29659,293703,9.90,123792,4.17,4876996,164.44,1773093,59.78,43321,1.46,1247,0.04
7,3124,13602,4.35,8942,2.86,583862,186.90,457730,146.52,10827,3.47,590,0.19
8,25143,52906,2.10,27832,1.11,693080,27.57,5764,0.23,57,0.00,42,0.00
9,38148,153512,4.02,88837,2.33,2003099,52.51,926125,24.28,0,0.00,693,0.02
10,2655,11235,4.23,8925,3.36,161813,60.95,14940,5.63,0,0.00,93,0.04
11,2274,11271,4.96,8948,3.93,187921,82.64,17170,7.55,0,0.00,39,0.02
12,27006,45002,1.67,41554,1.54,2500945,92.61,9241,0.34,0,0.00,5,0.00
13,8125,161113,19.83,175076,21.55,23777730,2926.49,8668831,1066.93,230061,28.32,129,0.02
14,6259,40412,6.46,14123,2.26,529968,84.67,148658,23.75,0,0.00,1261,0.20
15,1592,11703,7.35,9063,5.69,123652,77.67,8989,5.65,0,0.00,28,0.02
16,531,3606,6.79,2480,4.67,95365,179.60,6376,12.01,0,0.00,541,1.02
17,22407,2450,0.11,24023,1.07,4079755,182.08,12585,0.56,0,0.00,219810,9.81
18,1221,9574,7.84,6571,5.38,117804,96.48,19641,16.09,0,0.00,1101,0.90
19,563,2908,5.17,1729,3.07,145403,258.26,13218,23.48,0,0.00,1226,2.18
20,333,2229,6.69,1850,5.56,48149,144.59,4054,12.17,0,0.00,327,0.98
21,322,5268,16.36,2748,8.53,39479,122.61,7045,21.88,0,0.00,32,0.10
22,526,2523,4.80,1502,2.86,98357,186.99,13044,24.80,0,0.00,148,0.28
23,567,4013,7.08,1894,3.34,134856,237.84,30343,53.51,0,0.00,86,0.15
24,620,5617,9.06,4217,6.80,115569,186.40,11705,18.88,0,0.00,10,0.02
25,546,5637,10.32,3218,5.89,133988,245.40,15033,27.53,0,0.00,49,0.09
26,274,3325,12.14,2965,10.82,36481,133.14,6961,25.41,0,0.00,560,2.04
27,167,2373,14.21,1522,9.11,34269,205.20,10391,62.22,0,0.00,6,0.04
28,48,816,17.00,516,10.75,12265,255.52,2407,50.15,0,0.00,2,0.04
29,344,4882,14.19,3582,10.41,72825,211.70,12083,35.12,0,0.00,20,0.06
30,133,2237,16.82,1543,11.60,32927,247.57,9109,68.49,0,0.00,35,0.26
31,42,610,14.52,330,7.86,18359,437.12,6255,148.93,0,0.00,22,0.52
32,326,3511,10.77,1296,3.98,232729,713.89,53936,165.45,0,0.00,0,0.00
33,282,2729,9.68,2108,7.48,171535,608.28,23404,82.99,0,0.00,0,0.00
34,44,560,12.73,265,6.02,17778,404.05,5836,132.64,0,0.00,63,1.43
35,158,643,4.07,350,2.22,55895,353.77,6407,40.55,0,0.00,1092,6.91
36,52,944,18.15,780,15.00,13565,260.87,2443,46.98,0,0.00,3,0.06
37,136,1035,7.61,623,4.58,100809,741.24,11675,85.85,0,0.00,6,0.04
38,132,710,5.38,340,2.58,113571,860.39,6341,48.04,0,0.00,1,0.01
39,8120,150278,18.51,134383,16.55,1364677,168.06,43884,5.40,0,0.00,437,0.05
40,30,314,10.47,184,6.13,20800,693.33,2889,96.30,0,0.00,23,0.77
41,16,247,15.44,185,11.56,11755,734.69,1823,113.94,0,0.00,2,0.12
42,105,1495,14.24,1193,11.36,22412,213.45,5289,50.37,0,0.00,0,0.00
43,26,384,14.77,226,8.69,14850,571.15,3834,147.46,0,0.00,2,0.08
44,8,199,24.88,140,17.50,6910,863.75,912,114.00,0,0.00,0,0.00
45,65,1511,23.25,1057,16.26,19604,301.60,6388,98.28,0,0.00,0,0.00
46,45,927,20.60,611,13.58,25539,567.53,8248,183.29,0,0.00,15,0.33
47,26,350,13.46,182,7.00,18145,697.88,3592,138.15,0,0.00,0,0.00
48,53,1700,32.08,1124,21.21,17955,338.77,7616,143.70,0,0.00,1,0.02
49,118,701,5.94,341,2.89,112886,956.66,6098,51.68,0,0.00,1,0.01
50,21,404,19.24,139,6.62,19945,949.76,8104,385.90,0,0.00,4,0.19
51,42,1293,30.79,827,19.69,19149,455.93,7778,185.19,0,0.00,0,0.00
52,259,7562,29.20,3665,14.15,115734,446.85,12968,50.07,0,0.00,43,0.17
53,17,492,28.94,288,16.94,15498,911.65,2710,159.41,0,0.00,0,0.00
