tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1470,2127,1.45,2228,1.52,30048,20.44,2288,1.56,432,0.29,8,0.01
2,12559,41689,3.32,44984,3.58,5087835,405.11,2342078,186.49,70944,5.65,26,0.00
3,836,1364,1.63,1163,1.39,10806,12.93,434,0.52,0,0.00,3,0.00
4,268,946,3.53,877,3.27,2936,10.96,164,0.61,0,0.00,6,0.02
5,241,515,2.14,474,1.97,7986,33.14,600,2.49,0,0.00,0,0.00
6,12638,36041,2.85,31812,2.52,305715,24.19,7090,0.56,0,0.00,66,0.01
7,105,389,3.70,232,2.21,5644,53.75,770,7.33,0,0.00,0,0.00
8,280,1948,6.96,1054,3.76,13364,47.73,228,0.81,0,0.00,6,0.02
9,117,431,3.68,227,1.94,8050,68.80,1633,13.96,0,0.00,0,0.00
10,1039,4506,4.34,4083,3.93,66968,64.45,5655,5.44,0,0.00,20,0.02
11,45,146,3.24,92,2.04,4634,102.98,413,9.18,0,0.00,0,0.00
12,69,521,7.55,386,5.59,4732,68.58,1361,19.72,0,0.00,0,0.00
13,16,78,4.88,41,2.56,2645,165.31,318,19.88,0,0.00,0,0.00
14,361,4587,12.71,1608,4.45,37780,104.65,8324,23.06,0,0.00,1,0.00
15,14,59,4.21,44,3.14,1226,87.57,221,15.79,0,0.00,0,0.00
16,82,510,6.22,479,5.84,12464,152.00,291,3.55,0,0.00,10,0.12
17,5,15,3.00,10,2.00,1610,322.00,10,2.00,0,0.00,0,0.00
18,258,2189,8.48,1152,4.47,31468,121.97,13074,50.67,0,0.00,1,0.00
19,4,11,2.75,6,1.50,635,158.75,61,15.25,0,0.00,1,0.25
20,37,335,9.05,227,6.14,5144,139.03,636,17.19,0,0.00,0,0.00
21,5,20,4.00,11,2.20,1431,286.20,85,17.00,0,0.00,0,0.00
22,216,1164,5.39,1668,7.72,55221,255.65,3904,18.07,0,0.00,2,0.01
23,13,70,5.38,16,1.23,2762,212.46,911,70.08,0,0.00,0,0.00
24,30,459,15.30,412,13.73,3465,115.50,370,12.33,0,0.00,0,0.00
25,4,35,8.75,31,7.75,4866,1216.50,156,39.00,0,0.00,0,0.00
26,47,631,13.43,382,8.13,12230,260.21,3083,65.60,0,0.00,0,0.00
27,5,50,10.00,20,4.00,2505,501.00,415,83.00,0,0.00,0,0.00
28,22,484,22.00,488,22.18,3852,175.09,30,1.36,0,0.00,0,0.00
29,3,35,11.67,4,1.33,388,129.33,707,235.67,0,0.00,0,0.00
30,62,1170,18.87,746,12.03,10128,163.35,6114,98.61,0,0.00,8,0.13
32,18,511,28.39,464,25.78,3225,179.17,965,53.61,0,0.00,0,0.00
34,96,880,9.17,464,4.83,18470,192.40,6478,67.48,0,0.00,114,1.19
35,4,4,1.00,6,1.50,1814,453.50,72,18.00,0,0.00,4,1.00
36,2,50,25.00,38,19.00,348,174.00,168,84.00,0,0.00,0,0.00
37,2,26,13.00,10,5.00,1428,714.00,330,165.00,0,0.00,0,0.00
38,70,1002,14.31,491,7.01,33956,485.09,10954,156.49,0,0.00,11,0.16
40,9,128,14.22,74,8.22,4590,510.00,630,70.00,0,0.00,8,0.89
42,20,504,25.20,229,11.45,7954,397.70,6166,308.30,0,0.00,0,0.00
43,2,16,8.00,5,2.50,1633,816.50,152,76.00,0,0.00,0,0.00
44,6,58,9.67,58,9.67,1758,293.00,100,16.67,0,0.00,0,0.00
45,4,26,6.50,16,4.00,4674,1168.50,936,234.00,0,0.00,0,0.00
46,65,2253,34.66,1739,26.75,30386,467.48,10567,162.57,0,0.00,3,0.05
47,1,3,3.00,1,1.00,460,460.00,75,75.00,0,0.00,0,0.00
48,34,373,10.97,160,4.71,29188,858.47,4329,127.32,0,0.00,0,0.00
49,1,2,2.00,3,3.00,208,208.00,1,1.00,0,0.00,3,3.00
50,19,558,29.37,256,13.47,10094,531.26,8860,466.32,0,0.00,4,0.21
52,13,206,15.85,66,5.08,21470,1651.54,2240,172.31,0,0.00,2,0.15
54,58,1074,18.52,412,7.10,51026,879.76,17052,294.00,0,0.00,0,0.00
56,2,60,30.00,24,12.00,1348,674.00,1288,644.00,0,0.00,0,0.00
58,44,1486,33.77,322,7.32,113862,2587.77,31148,707.91,0,0.00,0,0.00
59,1,8,8.00,1,1.00,1040,1040.00,142,142.00,0,0.00,0,0.00
60,8,47,5.88,10,1.25,5470,683.75,1494,186.75,0,0.00,2,0.25
62,25,654,26.16,84,3.36,19136,765.44,16062,642.48,0,0.00,0,0.00
64,4,60,15.00,10,2.50,5112,1278.00,1220,305.00,0,0.00,2,0.50
65,2,8,4.00,2,1.00,1274,637.00,208,104.00,0,0.00,0,0.00
66,20,570,28.50,266,13.30,24934,1246.70,11710,585.50,56,2.80,0,0.00
68,3,82,27.33,22,7.33,2772,924.00,1716,572.00,0,0.00,0,0.00
70,5,195,39.00,57,11.40,4226,845.20,5358,1071.60,0,0.00,0,0.00
72,5,204,40.80,160,32.00,3468,693.60,1288,257.60,0,0.00,0,0.00
73,1,26,26.00,17,17.00,1404,1404.00,90,90.00,0,0.00,0,0.00
74,12,538,44.83,318,26.50,13612,1134.33,10164,847.00,0,0.00,0,0.00
76,1,34,34.00,2,2.00,808,808.00,1088,1088.00,0,0.00,0,0.00
77,1,17,17.00,6,6.00,1366,1366.00,953,953.00,0,0.00,0,0.00
78,8,194,24.25,79,9.88,12012,1501.50,6156,769.50,0,0.00,2,0.25
80,5,98,19.60,10,2.00,6572,1314.40,2342,468.40,0,0.00,0,0.00
81,1,1,1.00,5,5.00,2486,2486.00,180,180.00,0,0.00,2,2.00
82,7,258,36.86,106,15.14,13016,1859.43,4992,713.14,0,0.00,0,0.00
84,84,247,2.94,305,3.63,32617,388.30,3798,45.21,0,0.00,22,0.26
86,44,1248,28.36,536,12.18,75502,1715.95,20736,471.27,0,0.00,0,0.00
87,1,2,2.00,2,2.00,642,642.00,50,50.00,0,0.00,2,2.00
88,4,220,55.00,180,45.00,3428,857.00,1656,414.00,0,0.00,0,0.00
90,10,438,43.80,218,21.80,16572,1657.20,14620,1462.00,0,0.00,6,0.60
92,2,52,26.00,6,3.00,1618,809.00,1730,865.00,0,0.00,0,0.00
93,1,16,16.00,6,6.00,4303,4303.00,441,441.00,0,0.00,0,0.00
94,28,926,33.07,374,13.36,57295,2046.25,13955,498.39,0,0.00,0,0.00
96,3,112,37.33,12,4.00,4682,1560.67,2204,734.67,0,0.00,4,1.33
98,8,286,35.75,98,12.25,12918,1614.75,9484,1185.50,0,0.00,2,0.25
100,3,246,82.00,202,67.33,1084,361.33,2024,674.67,0,0.00,0,0.00
102,3,176,58.67,64,21.33,12578,4192.67,6720,2240.00,0,0.00,0,0.00
104,6,208,34.67,80,13.33,8500,1416.67,8392,1398.67,0,0.00,8,1.33
106,5,236,47.20,108,21.60,11242,2248.40,6852,1370.40,0,0.00,0,0.00
108,2,34,17.00,16,8.00,2868,1434.00,882,441.00,0,0.00,2,1.00
110,7,210,30.00,46,6.57,18434,2633.43,2804,400.57,0,0.00,4,0.57
112,2,16,8.00,8,4.00,1924,962.00,124,62.00,0,0.00,4,2.00
114,14,900,64.29,768,54.86,14072,1005.14,3460,247.14,0,0.00,4,0.29
117,2,74,37.00,26,13.00,4836,2418.00,3586,1793.00,0,0.00,0,0.00
118,1,22,22.00,4,4.00,2640,2640.00,442,442.00,0,0.00,0,0.00
120,12,78,6.50,26,2.17,21604,1800.33,4120,343.33,0,0.00,2,0.17
121,1,1,1.00,9,9.00,5206,5206.00,566,566.00,0,0.00,2,2.00
122,7,302,43.14,268,38.29,13622,1946.00,1648,235.43,0,0.00,6,0.86
