tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2325376,5228616,2.25,3659491,1.57,731533,0.31,14907,0.01,848,0.00,3795,0.00
2,24193,83901,3.47,74830,3.09,4819621,199.22,2127088,87.92,63226,2.61,171,0.01
3,2359950,3582168,1.52,3014649,1.28,29163465,12.36,1202107,0.51,0,0.00,9,0.00
4,20798,76158,3.66,57555,2.77,289740,13.93,12161,0.58,288,0.01,176,0.01
5,1851061,2506542,1.35,2478812,1.34,51479827,27.81,230696,0.12,0,0.00,6,0.00
6,38174,176329,4.62,162457,4.26,12190868,319.35,3992130,104.58,106470,2.79,183,0.00
7,326749,1301106,3.98,657210,2.01,18628583,57.01,3055844,9.35,0,0.00,8,0.00
8,20016,78589,3.93,61794,3.09,1746425,87.25,842893,42.11,21654,1.08,15,0.00
9,13967,62837,4.50,31608,2.26,801034,57.35,369018,26.42,288,0.02,10,0.00
10,9697,46047,4.75,31978,3.30,607451,62.64,46524,4.80,0,0.00,2817,0.29
11,7014,27631,3.94,29854,4.26,898175,128.05,58078,8.28,0,0.00,134,0.02
12,4091,32965,8.06,18449,4.51,266776,65.21,31642,7.73,0,0.00,6,0.00
13,1098,16945,15.43,7513,6.84,91108,82.98,20735,18.88,0,0.00,135,0.12
14,872,16926,19.41,6824,7.83,62582,71.77,10647,12.21,0,0.00,17,0.02
15,11338,88409,7.80,15477,1.37,2305700,203.36,481258,42.45,0,0.00,72,0.01
16,10960,28279,2.58,18032,1.65,773538,70.58,37423,3.41,0,0.00,3,0.00
17,434,14233,32.79,5162,11.89,27104,62.45,3479,8.02,0,0.00,46,0.11
18,8584,87450,10.19,68558,7.99,636479,74.15,23844,2.78,0,0.00,206,0.02
19,1105,22406,20.28,9677,8.76,246117,222.73,68710,62.18,0,0.00,3,0.00
20,480,17850,37.19,6656,13.87,39295,81.86,5807,12.10,0,0.00,6,0.01
21,312,16985,54.44,5852,18.76,8142,26.10,826,2.65,0,0.00,1,0.00
22,814,24233,29.77,9996,12.28,164145,201.65,82996,101.96,0,0.00,3,0.00
23,486,19696,40.53,6709,13.80,89872,184.92,16012,32.95,0,0.00,4,0.01
24,672,23523,35.00,9321,13.87,167016,248.54,17553,26.12,0,0.00,18,0.03
25,658,24714,37.56,9680,14.71,150384,228.55,99907,151.83,0,0.00,0,0.00
26,313,19461,62.18,6930,22.14,18121,57.89,4356,13.92,0,0.00,0,0.00
27,398,22619,56.83,7991,20.08,68633,172.44,7843,19.71,0,0.00,1,0.00
28,658,28983,44.05,11690,17.77,146274,222.30,123220,187.26,0,0.00,3,0.00
29,5797,307800,53.10,13375,2.31,11535348,1989.88,3245,0.56,0,0.00,0,0.00
30,1137,34146,30.03,17449,15.35,230022,202.31,20356,17.90,0,0.00,32,0.03
31,912,26848,29.44,10532,11.55,414468,454.46,217490,238.48,0,0.00,0,0.00
32,391,24435,62.49,8124,20.78,125641,321.33,7152,18.29,0,0.00,0,0.00
33,580,20307,35.01,7883,13.59,262724,452.97,27867,48.05,0,0.00,2034,3.51
34,613,31843,51.95,11892,19.40,233260,380.52,174711,285.01,0,0.00,108,0.18
35,186,16566,89.06,5688,30.58,18418,99.02,4054,21.80,0,0.00,22,0.12
36,346,23950,69.22,8674,25.07,114957,332.25,16208,46.84,0,0.00,132,0.38
37,460,23291,50.63,9396,20.43,166082,361.05,213581,464.31,0,0.00,1,0.00
38,247,19463,78.80,6806,27.55,44197,178.94,12386,50.15,0,0.00,68,0.28
39,6023,47853,7.95,29841,4.95,5298464,879.71,431089,71.57,0,0.00,7,0.00
40,588,30301,51.53,12088,20.56,251317,427.41,262320,446.12,0,0.00,20,0.03
41,219,20707,94.55,7162,32.70,32079,146.48,19718,90.04,0,0.00,6,0.03
42,5494,109759,19.98,55719,10.14,7944538,1446.04,1304932,237.52,0,0.00,16,0.00
43,511,30273,59.24,11889,23.27,241571,472.74,288223,564.04,0,0.00,0,0.00
44,242,26234,108.40,8984,37.12,37499,154.95,4344,17.95,0,0.00,0,0.00
45,248,23167,93.42,7906,31.88,58651,236.50,9940,40.08,0,0.00,367,1.48
46,3591,72635,20.23,30253,8.42,2403156,669.22,1203123,335.04,0,0.00,18,0.01
47,264,29057,110.06,9934,37.63,52009,197.00,20048,75.94,0,0.00,13,0.05
48,301,27618,91.75,10182,33.83,56801,188.71,9298,30.89,0,0.00,52,0.17
49,1139,41470,36.41,15666,13.75,1001768,879.52,470452,413.04,0,0.00,24,0.02
50,625,33748,54.00,11078,17.72,547550,876.08,61232,97.97,0,0.00,1665,2.66
51,244,31232,128.00,10488,42.98,49793,204.07,9032,37.02,0,0.00,105,0.43
52,486,34689,71.38,13451,27.68,268750,552.98,395078,812.92,0,0.00,0,0.00
53,191,25206,131.97,8541,44.72,37552,196.61,13864,72.59,0,0.00,115,0.60
54,388,27095,69.83,9968,25.69,122226,315.02,49189,126.78,0,0.00,22,0.06
55,556,38145,68.61,15079,27.12,351809,632.75,520553,936.25,0,0.00,76,0.14
56,229,35776,156.23,12205,53.30,15419,67.33,10065,43.95,0,0.00,4,0.02
57,298,30029,100.77,10293,34.54,108266,363.31,52708,176.87,0,0.00,654,2.19
58,482,38222,79.30,14813,30.73,385618,800.04,540483,1121.33,0,0.00,5,0.01
59,198,34122,172.33,11407,57.61,7025,35.48,2504,12.65,0,0.00,0,0.00
60,327,33470,102.35,11560,35.35,120120,367.34,31841,97.37,0,0.00,34,0.10
61,495,44461,89.82,16958,34.26,250708,506.48,546369,1103.78,0,0.00,443,0.89
62,171,28047,164.02,9522,55.68,10392,60.77,16972,99.25,0,0.00,3,0.02
63,182,33561,184.40,11339,62.30,5540,30.44,6169,33.90,0,0.00,1,0.01
64,590,47904,81.19,18460,31.29,419541,711.09,630749,1069.07,0,0.00,0,0.00
65,124,13830,111.53,4940,39.84,55082,444.21,46658,376.27,0,0.00,0,0.00
66,273,15703,57.52,8753,32.06,179790,658.57,20405,74.74,0,0.00,0,0.00
67,385,23264,60.43,9971,25.90,375204,974.56,708929,1841.37,128,0.33,0,0.00
68,82,12027,146.67,4143,50.52,25778,314.37,17594,214.56,0,0.00,1,0.01
69,109,13484,123.71,4577,41.99,50315,461.61,8727,80.06,2217,20.34,588,5.39
70,332,25560,76.99,10801,32.53,269736,812.46,692197,2084.93,251,0.76,14,0.04
71,50,9759,195.18,3446,68.92,3071,61.42,8298,165.96,127,2.54,0,0.00
72,77,11993,155.75,4922,63.92,11323,147.05,9105,118.25,57,0.74,21,0.27
73,482,28347,58.81,12214,25.34,439148,911.10,840261,1743.28,861,1.79,810,1.68
74,75,12692,169.23,4390,58.53,30167,402.23,17831,237.75,57,0.76,29,0.39
75,77,16040,208.31,5554,72.13,7292,94.70,13487,175.16,127,1.65,8,0.10
76,323,26410,81.76,11257,34.85,301521,933.50,797811,2470.00,846,2.62,14,0.04
77,73,15389,210.81,5212,71.40,11719,160.53,10853,148.67,124,1.70,1,0.01
78,159,15593,98.07,5762,36.24,257273,1618.07,67681,425.67,228,1.43,48,0.30
79,384,31481,81.98,12981,33.80,420127,1094.08,908002,2364.59,1229,3.20,1,0.00
80,132,15897,120.43,5670,42.95,24611,186.45,7765,58.83,0,0.00,0,0.00
81,186,18796,101.05,7080,38.06,152312,818.88,83636,449.66,3276,17.61,834,4.48
82,343,33677,98.18,13925,40.60,317557,925.82,993464,2896.40,822,2.40,0,0.00
83,74,17384,234.92,5875,79.39,7430,100.41,13760,185.95,124,1.68,0,0.00
84,28145,44626,1.59,34303,1.22,17635951,626.61,1398552,49.69,12610,0.45,55932,1.99
85,694,32791,47.25,14101,20.32,756515,1090.08,1087077,1566.39,5831,8.40,979,1.41
86,103,19314,187.51,6446,62.58,48714,472.95,36228,351.73,44,0.43,22,0.21
87,279,16701,59.86,6239,22.36,144399,517.56,31310,112.22,198,0.71,422,1.51
88,348,31464,90.41,13660,39.25,364533,1047.51,1107720,3183.10,2245,6.45,64,0.18
89,268,16426,61.29,6192,23.10,175599,655.22,99784,372.33,478,1.78,316,1.18
90,125,23258,186.06,8251,66.01,45970,367.76,19694,157.55,164,1.31,55,0.44
91,362,30430,84.06,12925,35.70,445473,1230.59,1113613,3076.28,2045,5.65,50,0.14
92,152,20246,133.20,7825,51.48,284328,1870.58,106626,701.49,734,4.83,18,0.12
93,134,18685,139.44,7048,52.60,119559,892.23,23980,178.96,4245,31.68,1284,9.58
