tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2532746,439756,0.17,2568601,1.01,2167395,0.86,1052917,0.42,31710,0.01,26,0.00
2,714372,1391788,1.95,753791,1.06,5076209,7.11,832104,1.16,22311,0.03,11,0.00
3,173554,349718,2.02,261500,1.51,5523512,31.83,1751605,10.09,48841,0.28,230,0.00
4,13783,34868,2.53,32105,2.33,679408,49.29,419409,30.43,11564,0.84,625,0.05
5,61664,149091,2.42,147145,2.39,3733814,60.55,637482,10.34,16360,0.27,35,0.00
6,29592,138470,4.68,70719,2.39,1415996,47.85,288790,9.76,3272,0.11,6,0.00
7,4922,20569,4.18,14598,2.97,633004,128.61,439159,89.22,10884,2.21,1068,0.22
8,25717,61523,2.39,35822,1.39,771200,29.99,12146,0.47,208,0.01,51,0.00
9,31647,125068,3.95,69839,2.21,1760483,55.63,785146,24.81,400,0.01,39,0.00
10,3757,14255,3.79,11000,2.93,250035,66.55,20847,5.55,0,0.00,70,0.02
11,3277,18443,5.63,13321,4.06,285918,87.25,46673,14.24,0,0.00,23,0.01
12,24719,33246,1.34,29899,1.21,2360939,95.51,11084,0.45,0,0.00,7,0.00
13,1478,5815,3.93,4830,3.27,155658,105.32,12024,8.14,0,0.00,7,0.00
14,8519,173971,20.42,188231,22.10,27670209,3248.06,11013709,1292.84,301893,35.44,1141,0.13
15,3277,21008,6.41,17122,5.22,243038,74.16,10899,3.33,0,0.00,47,0.01
16,1245,9238,7.42,7248,5.82,143733,115.45,3513,2.82,0,0.00,1033,0.83
17,710,4897,6.90,3588,5.05,89874,126.58,7995,11.26,0,0.00,21,0.03
18,1196,10309,8.62,8784,7.34,93866,78.48,7384,6.17,0,0.00,3,0.00
19,25928,25791,0.99,15659,0.60,5925725,228.55,172782,6.66,0,0.00,127654,4.92
20,1039,4143,3.99,3094,2.98,208036,200.23,13224,12.73,0,0.00,2872,2.76
21,794,8008,10.09,5125,6.45,106955,134.70,9419,11.86,0,0.00,697,0.88
22,1196,3397,2.84,2225,1.86,199925,167.16,18696,15.63,0,0.00,185,0.15
23,1046,6435,6.15,2520,2.41,268669,256.85,59053,56.46,0,0.00,37,0.04
24,879,4756,5.41,2404,2.73,244980,278.70,25053,28.50,0,0.00,1115,1.27
25,2986,12587,4.22,7025,2.35,473526,158.58,71195,23.84,0,0.00,24,0.01
26,312,1636,5.24,1126,3.61,61931,198.50,9929,31.82,0,0.00,122,0.39
27,141,1704,12.09,950,6.74,44118,312.89,10048,71.26,57,0.40,34,0.24
28,1433,13218,9.22,7719,5.39,530015,369.86,131551,91.80,0,0.00,38,0.03
29,379,2761,7.28,1177,3.11,165771,437.39,35888,94.69,0,0.00,12,0.03
30,93,1258,13.53,787,8.46,34034,365.96,10610,114.09,0,0.00,42,0.45
31,67,1031,15.39,652,9.73,14053,209.75,9255,138.13,0,0.00,19,0.28
32,245,2659,10.85,1370,5.59,164076,669.70,41510,169.43,0,0.00,2,0.01
33,64,916,14.31,521,8.14,23214,362.72,7403,115.67,0,0.00,2,0.03
34,84,1152,13.71,634,7.55,27591,328.46,7430,88.45,0,0.00,24,0.29
35,195,4509,23.12,921,4.72,94831,486.31,20559,105.43,0,0.00,8,0.04
36,55,1294,23.53,1002,18.22,13281,241.47,5661,102.93,0,0.00,2,0.04
37,61,1098,18.00,622,10.20,24653,404.15,7079,116.05,0,0.00,24,0.39
38,253,1218,4.81,711,2.81,215370,851.26,10935,43.22,0,0.00,70,0.28
39,56,857,15.30,572,10.21,25186,449.75,4528,80.86,0,0.00,5,0.09
40,55,490,8.91,292,5.31,33074,601.35,3285,59.73,0,0.00,16,0.29
41,31,510,16.45,408,13.16,14129,455.77,2465,79.52,0,0.00,0,0.00
42,8079,160897,19.92,144035,17.83,1386992,171.68,38638,4.78,0,0.00,466,0.06
43,59,719,12.19,403,6.83,31703,537.34,8043,136.32,0,0.00,2,0.03
44,42,849,20.21,601,14.31,19203,457.21,5931,141.21,0,0.00,6,0.14
