tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,14700,26610,1.81,20268,1.38,490587,33.37,85617,5.82,3272,0.22,25,0.00
2,4662,15725,3.37,16270,3.49,1812143,388.71,1011542,216.98,28766,6.17,20,0.00
3,32117,81271,2.53,70465,2.19,4126248,128.48,1753425,54.59,52101,1.62,23,0.00
4,1781,8822,4.95,5607,3.15,35070,19.69,1328,0.75,0,0.00,9,0.01
5,1675,5914,3.53,5293,3.16,106871,63.80,7042,4.20,576,0.34,5,0.00
6,5394,18705,3.47,17421,3.23,145098,26.90,4289,0.80,288,0.05,9,0.00
7,828,4809,5.81,3647,4.40,597147,721.19,438779,529.93,11975,14.46,9,0.01
8,584,3667,6.28,3064,5.25,25775,44.14,2301,3.94,0,0.00,21,0.04
9,13012,136350,10.48,141629,10.88,16486385,1267.01,5899080,453.36,159237,12.24,83,0.01
10,1542,8547,5.54,7987,5.18,77231,50.08,3681,2.39,0,0.00,44,0.03
11,1168,7289,6.24,6935,5.94,85090,72.85,5813,4.98,0,0.00,18,0.02
12,1906,14291,7.50,10482,5.50,1440010,755.51,1285433,674.41,32469,17.04,12,0.01
13,204,1682,8.25,1108,5.43,24165,118.46,3574,17.52,0,0.00,10,0.05
14,240,1894,7.89,1558,6.49,18878,78.66,1814,7.56,0,0.00,11,0.05
15,1040,7358,7.08,5616,5.40,99435,95.61,7720,7.42,0,0.00,6,0.01
16,193,2059,10.67,1374,7.12,27067,140.24,2202,11.41,0,0.00,3,0.02
17,152,2089,13.74,1322,8.70,20144,132.53,1310,8.62,0,0.00,5,0.03
18,263,3785,14.39,2807,10.67,25972,98.75,3973,15.11,0,0.00,10,0.04
19,117,886,7.57,755,6.45,21391,182.83,1909,16.32,0,0.00,2,0.02
20,79,1120,14.18,710,8.99,11165,141.33,1412,17.87,0,0.00,1,0.01
21,178,3724,20.92,1302,7.31,29944,168.22,5291,29.72,0,0.00,0,0.00
22,78,763,9.78,581,7.45,17275,221.47,2187,28.04,0,0.00,5,0.06
23,109,1426,13.08,1066,9.78,21666,198.77,3820,35.05,0,0.00,8,0.07
24,99,1669,16.86,1066,10.77,16858,170.28,2648,26.75,0,0.00,0,0.00
25,28,252,9.00,164,5.86,16097,574.89,1341,47.89,0,0.00,0,0.00
26,67,902,13.46,655,9.78,19438,290.12,3849,57.45,0,0.00,0,0.00
27,8064,104842,13.00,93142,11.55,896568,111.18,27741,3.44,0,0.00,288,0.04
28,37,1147,31.00,563,15.22,12959,350.24,1587,42.89,0,0.00,2,0.05
29,68,1296,19.06,658,9.68,75627,1112.16,9263,136.22,0,0.00,0,0.00
30,109,1485,13.62,1028,9.43,20938,192.09,5696,52.26,0,0.00,8,0.07
31,34,691,20.32,277,8.15,13152,386.82,6509,191.44,0,0.00,0,0.00
32,35,1321,37.74,763,21.80,12420,354.86,3021,86.31,0,0.00,10,0.29
33,138,1713,12.41,982,7.12,56026,405.99,16508,119.62,0,0.00,8,0.06
34,35,1042,29.77,427,12.20,12331,352.31,3472,99.20,0,0.00,4,0.11
35,63,1632,25.90,717,11.38,19174,304.35,16104,255.62,0,0.00,13,0.21
36,190,5180,27.26,2970,15.63,41739,219.68,4113,21.65,0,0.00,27,0.14
37,46,979,21.28,436,9.48,22787,495.37,24786,538.83,0,0.00,4,0.09
38,31,748,24.13,439,14.16,13056,421.16,4581,147.77,0,0.00,6,0.19
39,63,1265,20.08,751,11.92,32779,520.30,20808,330.29,0,0.00,4,0.06
40,29,1033,35.62,427,14.72,16246,560.21,2808,96.83,0,0.00,8,0.28
41,27,660,24.44,357,13.22,14900,551.85,8049,298.11,0,0.00,9,0.33
42,65,787,12.11,587,9.03,12473,191.89,3104,47.75,0,0.00,1,0.02
43,25,503,20.12,203,8.12,15931,637.24,15908,636.32,0,0.00,4,0.16
44,22,453,20.59,397,18.05,9563,434.68,1012,46.00,0,0.00,0,0.00
45,860,17877,20.79,15108,17.57,259453,301.69,41100,47.79,0,0.00,2,0.00
46,44,864,19.64,539,12.25,27382,622.32,9590,217.95,0,0.00,14,0.32
47,118,4605,39.03,1837,15.57,77945,660.55,10275,87.08,0,0.00,3,0.03
48,35,924,26.40,447,12.77,19805,565.86,5373,153.51,0,0.00,1,0.03
49,18,327,18.17,101,5.61,10323,573.50,10119,562.17,0,0.00,3,0.17
50,21,605,28.81,453,21.57,9923,472.52,4567,217.48,0,0.00,2,0.10
51,39,1305,33.46,721,18.49,29454,755.23,26482,679.03,0,0.00,2,0.05
52,19,375,19.74,192,10.11,15817,832.47,9260,487.37,0,0.00,7,0.37
53,11,203,18.45,83,7.55,9433,857.55,2082,189.27,0,0.00,2,0.18
54,53,1379,26.02,875,16.51,20444,385.74,8565,161.60,0,0.00,1,0.02
55,19,440,23.16,111,5.84,14903,784.37,11349,597.32,0,0.00,1,0.05
56,6,119,19.83,81,13.50,3155,525.83,251,41.83,0,0.00,0,0.00
57,57,1504,26.39,759,13.32,39667,695.91,36932,647.93,0,0.00,0,0.00
58,33,1006,30.48,272,8.24,64638,1958.73,18741,567.91,0,0.00,23,0.70
59,24,663,27.62,318,13.25,23189,966.21,28038,1168.25,0,0.00,3,0.12
60,45,966,21.47,459,10.20,32242,716.49,14267,317.04,0,0.00,1,0.02
61,17,551,32.41,324,19.06,19862,1168.35,12324,724.94,0,0.00,14,0.82
62,9,263,29.22,66,7.33,4638,515.33,8523,947.00,0,0.00,13,1.44
63,267,12694,47.54,5137,19.24,118767,444.82,33943,127.13,0,0.00,1,0.00
64,9,218,24.22,129,14.33,6964,773.78,3323,369.22,0,0.00,7,0.78
65,25,1855,74.20,546,21.84,13494,539.76,14834,593.36,0,0.00,10,0.40
66,36,1721,47.81,615,17.08,29920,831.11,7600,211.11,0,0.00,11,0.31
67,15,587,39.13,224,14.93,14080,938.67,37188,2479.20,0,0.00,2,0.13
68,9,260,28.89,72,8.00,9373,1041.44,1932,214.67,0,0.00,5,0.56
69,39,3561,91.31,1293,33.15,19232,493.13,43348,1111.49,0,0.00,1,0.03
70,29,2964,102.21,1094,37.72,23239,801.34,7986,275.38,0,0.00,1,0.03
71,28,1207,43.11,550,19.64,30136,1076.29,46327,1654.54,0,0.00,5,0.18
72,44,1948,44.27,1450,32.95,26859,610.43,5071,115.25,0,0.00,36,0.82
73,9,864,96.00,372,41.33,10931,1214.56,31911,3545.67,0,0.00,0,0.00
74,5,288,57.60,151,30.20,5416,1083.20,915,183.00,0,0.00,0,0.00
75,12,448,37.33,106,8.83,15789,1315.75,8459,704.92,0,0.00,2,0.17
76,7,234,33.43,153,21.86,9624,1374.86,4445,635.00,0,0.00,6,0.86
77,2,277,138.50,112,56.00,1630,815.00,2384,1192.00,0,0.00,0,0.00
78,19,565,29.74,180,9.47,33484,1762.32,12501,657.95,145,7.63,12,0.63
79,4,69,17.25,21,5.25,3694,923.50,2622,655.50,75,18.75,5,1.25
80,1,82,82.00,45,45.00,1748,1748.00,5922,5922.00,0,0.00,0,0.00
81,216,8268,38.28,4038,18.69,111132,514.50,78414,363.03,0,0.00,0,0.00
82,4,193,48.25,100,25.00,4596,1149.00,4940,1235.00,0,0.00,0,0.00
83,9,555,61.67,293,32.56,17381,1931.22,42086,4676.22,0,0.00,3,0.33
84,66,390,5.91,252,3.82,31369,475.29,12696,192.36,0,0.00,47,0.71
85,11,359,32.64,105,9.55,14797,1345.18,5630,511.82,0,0.00,6,0.55
86,20,546,27.30,276,13.80,29475,1473.75,10488,524.40,0,0.00,6,0.30
87,37,1511,40.84,328,8.86,158678,4288.59,29007,783.97,0,0.00,14,0.38
88,17,711,41.82,339,19.94,23167,1362.76,7216,424.47,0,0.00,8,0.47
89,4,30,7.50,12,3.00,5353,1338.25,732,183.00,0,0.00,4,1.00
90,23,1184,51.48,747,32.48,10757,467.70,5802,252.26,0,0.00,2,0.09
91,1,2,2.00,1,1.00,272,272.00,8,8.00,80,80.00,5,5.00
92,7,814,116.29,779,111.29,3777,539.57,163,23.29,88,12.57,5,0.71
93,22,982,44.64,105,4.77,17435,792.50,61202,2781.91,88,4.00,5,0.23
94,9,278,30.89,122,13.56,15215,1690.56,11439,1271.00,0,0.00,4,0.44
95,20,972,48.60,112,5.60,19480,974.00,56371,2818.55,78,3.90,0,0.00
96,13,554,42.62,139,10.69,13545,1041.92,14874,1144.15,0,0.00,0,0.00
97,26,2422,93.15,1223,47.04,56480,2172.31,238250,9163.46,78,3.00,0,0.00
98,1,48,48.00,2,2.00,620,620.00,4278,4278.00,0,0.00,0,0.00
99,203,4841,23.85,6946,34.22,246124,1212.43,28813,141.94,0,0.00,0,0.00
100,5,245,49.00,125,25.00,10645,2129.00,4157,831.40,0,0.00,0,0.00
101,2,51,25.50,35,17.50,2643,1321.50,481,240.50,0,0.00,2,1.00
