tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,10730,17840,1.66,18915,1.76,1408970,131.31,928946,86.57,25240,2.35,11,0.00
2,7433,24189,3.25,26643,3.58,3586045,482.45,1272455,171.19,35454,4.77,19,0.00
3,8906,12671,1.42,10930,1.23,105217,11.81,2111,0.24,0,0.00,3,0.00
4,714,2482,3.48,2009,2.81,441085,617.77,79001,110.65,3306,4.63,4,0.01
5,535,1116,2.09,1108,2.07,16986,31.75,952,1.78,0,0.00,0,0.00
6,8227,23739,2.89,21236,2.58,201299,24.47,5137,0.62,0,0.00,64,0.01
7,255,1941,7.61,594,2.33,14410,56.51,2257,8.85,0,0.00,0,0.00
8,227,1306,5.75,863,3.80,10355,45.62,260,1.15,0,0.00,6,0.03
9,152,628,4.13,313,2.06,9792,64.42,2408,15.84,0,0.00,0,0.00
10,857,3962,4.62,3349,3.91,55183,64.39,5365,6.26,0,0.00,14,0.02
11,74,343,4.64,255,3.45,6460,87.30,884,11.95,0,0.00,0,0.00
12,68,572,8.41,451,6.63,4059,59.69,1258,18.50,0,0.00,0,0.00
13,47,303,6.45,172,3.66,5825,123.94,1556,33.11,0,0.00,0,0.00
14,274,2963,10.81,1349,4.92,25823,94.24,6485,23.67,0,0.00,1,0.00
15,55,481,8.75,289,5.25,4029,73.25,2700,49.09,0,0.00,0,0.00
16,67,540,8.06,528,7.88,8554,127.67,144,2.15,0,0.00,9,0.13
17,41,351,8.56,160,3.90,6865,167.44,2893,70.56,0,0.00,0,0.00
18,212,1733,8.17,904,4.26,25778,121.59,11247,53.05,0,0.00,1,0.00
19,48,346,7.21,166,3.46,11994,249.88,3891,81.06,0,0.00,0,0.00
20,37,306,8.27,202,5.46,7036,190.16,1142,30.86,0,0.00,8,0.22
21,14,181,12.93,78,5.57,2497,178.36,2037,145.50,0,0.00,0,0.00
22,192,965,5.03,1483,7.72,50474,262.89,3472,18.08,0,0.00,1,0.01
23,55,1145,20.82,825,15.00,10317,187.58,4284,77.89,0,0.00,2,0.04
24,26,325,12.50,252,9.69,6629,254.96,1121,43.12,0,0.00,0,0.00
25,10,143,14.30,43,4.30,3743,374.30,2773,277.30,0,0.00,0,0.00
26,35,472,13.49,241,6.89,14282,408.06,2705,77.29,0,0.00,1,0.03
27,29,355,12.24,97,3.34,10800,372.41,5989,206.52,0,0.00,0,0.00
28,17,289,17.00,257,15.12,4405,259.12,464,27.29,0,0.00,2,0.12
29,41,661,16.12,143,3.49,48341,1179.05,13689,333.88,0,0.00,0,0.00
30,35,647,18.49,408,11.66,7822,223.49,3778,107.94,0,0.00,8,0.23
31,13,187,14.38,13,1.00,2874,221.08,4903,377.15,0,0.00,0,0.00
32,12,327,27.25,260,21.67,8502,708.50,1578,131.50,0,0.00,0,0.00
33,14,196,14.00,94,6.71,9084,648.86,3406,243.29,0,0.00,0,0.00
34,80,560,7.00,334,4.17,13922,174.03,3614,45.17,0,0.00,114,1.43
35,4,38,9.50,6,1.50,1652,413.00,1128,282.00,0,0.00,0,0.00
36,5,122,24.40,112,22.40,648,129.60,168,33.60,0,0.00,2,0.40
37,9,211,23.44,137,15.22,5186,576.22,3209,356.56,0,0.00,0,0.00
38,38,562,14.79,288,7.58,19106,502.79,5907,155.45,0,0.00,10,0.26
40,12,138,11.50,65,5.42,6810,567.50,862,71.83,0,0.00,3,0.25
41,6,74,12.33,34,5.67,6356,1059.33,324,54.00,0,0.00,0,0.00
42,72,372,5.17,273,3.79,14262,198.08,3793,52.68,0,0.00,0,0.00
43,27,347,12.85,145,5.37,19509,722.56,6101,225.96,0,0.00,0,0.00
44,7,144,20.57,144,20.57,1416,202.29,80,11.43,0,0.00,0,0.00
45,12,130,10.83,71,5.92,7860,655.00,3128,260.67,0,0.00,0,0.00
46,43,1265,29.42,923,21.47,21472,499.35,7216,167.81,0,0.00,3,0.07
47,15,214,14.27,84,5.60,13755,917.00,2796,186.40,0,0.00,0,0.00
48,34,404,11.88,171,5.03,28658,842.88,6371,187.38,0,0.00,0,0.00
49,5,68,13.60,30,6.00,5539,1107.80,208,41.60,0,0.00,0,0.00
50,12,379,31.58,217,18.08,5395,449.58,5108,425.67,0,0.00,4,0.33
51,4,140,35.00,108,27.00,5152,1288.00,922,230.50,0,0.00,0,0.00
52,12,193,16.08,75,6.25,13033,1086.08,4257,354.75,0,0.00,6,0.50
53,6,100,16.67,42,7.00,6570,1095.00,1506,251.00,0,0.00,0,0.00
54,41,668,16.29,314,7.66,39094,953.51,9856,240.39,0,0.00,0,0.00
55,4,64,16.00,12,3.00,5252,1313.00,565,141.25,0,0.00,2,0.50
56,6,180,30.00,140,23.33,2310,385.00,1350,225.00,0,0.00,2,0.33
57,12,339,28.25,270,22.50,6995,582.92,2095,174.58,0,0.00,2,0.17
58,26,838,32.23,196,7.54,61798,2376.85,17353,667.42,0,0.00,0,0.00
59,2,25,12.50,4,2.00,2408,1204.00,397,198.50,0,0.00,0,0.00
60,8,59,7.38,16,2.00,6483,810.38,1580,197.50,0,0.00,1,0.12
61,4,130,32.50,126,31.50,992,248.00,62,15.50,0,0.00,2,0.50
62,15,384,25.60,60,4.00,13602,906.80,9162,610.80,0,0.00,0,0.00
63,13,244,18.77,99,7.62,16259,1250.69,6254,481.08,0,0.00,0,0.00
64,4,40,10.00,8,2.00,3714,928.50,876,219.00,0,0.00,4,1.00
65,2,20,10.00,8,4.00,1866,933.00,149,74.50,0,0.00,0,0.00
66,14,389,27.79,174,12.43,17413,1243.79,8494,606.71,0,0.00,0,0.00
67,2,14,7.00,4,2.00,1562,781.00,146,73.00,0,0.00,2,1.00
68,5,84,16.80,14,2.80,5141,1028.20,2164,432.80,0,0.00,0,0.00
69,2,92,46.00,92,46.00,782,391.00,0,0.00,0,0.00,0,0.00
70,5,186,37.20,70,14.00,5178,1035.60,4392,878.40,0,0.00,0,0.00
71,2,34,17.00,4,2.00,3042,1521.00,334,167.00,0,0.00,2,1.00
72,5,140,28.00,89,17.80,4516,903.20,1511,302.20,0,0.00,0,0.00
73,21,509,24.24,173,8.24,29242,1392.48,17985,856.43,0,0.00,0,0.00
74,10,394,39.40,211,21.10,12120,1212.00,8490,849.00,0,0.00,0,0.00
75,5,220,44.00,50,10.00,14569,2913.80,13286,2657.20,0,0.00,0,0.00
76,3,134,44.67,52,17.33,4016,1338.67,7373,2457.67,0,0.00,0,0.00
77,2,152,76.00,78,39.00,3496,1748.00,11844,5922.00,0,0.00,0,0.00
78,7,183,26.14,78,11.14,10652,1521.71,5296,756.57,0,0.00,0,0.00
80,5,110,22.00,18,3.60,6491,1298.20,2885,577.00,0,0.00,0,0.00
82,5,211,42.20,82,16.40,8200,1640.00,5374,1074.80,0,0.00,0,0.00
83,12,312,26.00,120,10.00,20436,1703.00,10692,891.00,0,0.00,0,0.00
84,52,207,3.98,177,3.40,24862,478.12,4269,82.10,0,0.00,26,0.50
85,1,2,2.00,2,2.00,631,631.00,50,50.00,0,0.00,2,2.00
86,32,894,27.94,400,12.50,55746,1742.06,14426,450.81,0,0.00,0,0.00
87,1,16,16.00,5,5.00,3675,3675.00,637,637.00,0,0.00,0,0.00
88,3,132,44.00,92,30.67,3428,1142.67,1656,552.00,0,0.00,0,0.00
