tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13579,22292,1.64,23989,1.77,2577396,189.81,1143075,84.18,35768,2.63,20,0.00
2,179,376,2.10,367,2.05,648,3.62,76,0.42,0,0.00,0,0.00
3,13102,18808,1.44,16553,1.26,158297,12.08,3752,0.29,0,0.00,35,0.00
4,289,999,3.46,560,1.94,6226,21.54,25,0.09,0,0.00,9,0.03
5,1178,2570,2.18,2330,1.98,37734,32.03,3232,2.74,0,0.00,0,0.00
6,67,213,3.18,195,2.91,2176,32.48,141,2.10,0,0.00,0,0.00
7,417,2526,6.06,928,2.23,21507,51.58,4699,11.27,0,0.00,0,0.00
8,66,276,4.18,251,3.80,3507,53.14,149,2.26,0,0.00,4,0.06
9,318,1300,4.09,666,2.09,18941,59.56,7515,23.63,0,0.00,0,0.00
10,46,189,4.11,132,2.87,3318,72.13,298,6.48,0,0.00,10,0.22
11,231,659,2.85,878,3.80,29129,126.10,2125,9.20,0,0.00,0,0.00
12,42,319,7.60,242,5.76,2926,69.67,701,16.69,0,0.00,0,0.00
13,55,371,6.75,231,4.20,6491,118.02,1632,29.67,0,0.00,0,0.00
14,28,252,9.00,254,9.07,2535,90.54,22,0.79,0,0.00,6,0.21
15,66,582,8.82,347,5.26,5400,81.82,3186,48.27,0,0.00,0,0.00
16,38,337,8.87,322,8.47,5481,144.24,193,5.08,0,0.00,6,0.16
17,98,438,4.47,233,2.38,9749,99.48,3212,32.78,0,0.00,57,0.58
18,8,44,5.50,30,3.75,2090,261.25,160,20.00,0,0.00,1,0.12
19,71,497,7.00,248,3.49,17647,248.55,5263,74.13,0,0.00,5,0.07
20,9,56,6.22,39,4.33,1458,162.00,213,23.67,0,0.00,4,0.44
21,20,247,12.35,114,5.70,3640,182.00,2911,145.55,0,0.00,0,0.00
22,13,40,3.08,40,3.08,2403,184.85,192,14.77,0,0.00,1,0.08
23,74,1181,15.96,881,11.91,17210,232.57,5781,78.12,0,0.00,0,0.00
24,35,184,5.26,79,2.26,14922,426.34,2259,64.54,0,0.00,0,0.00
25,19,282,14.84,147,7.74,6626,348.74,3856,202.95,0,0.00,2,0.11
26,11,87,7.91,33,3.00,10246,931.45,1003,91.18,0,0.00,0,0.00
27,61,570,9.34,215,3.52,26682,437.41,8992,147.41,0,0.00,0,0.00
28,3,31,10.33,13,4.33,1270,423.33,644,214.67,0,0.00,0,0.00
29,45,757,16.82,162,3.60,57111,1269.13,15925,353.89,0,0.00,0,0.00
30,3,29,9.67,12,4.00,1051,350.33,453,151.00,0,0.00,4,1.33
31,24,319,13.29,39,1.62,8903,370.96,7860,327.50,0,0.00,0,0.00
32,7,50,7.14,16,2.29,4053,579.00,954,136.29,0,0.00,2,0.29
33,18,277,15.39,130,7.22,10851,602.83,5705,316.94,0,0.00,0,0.00
34,3,41,13.67,11,3.67,1386,462.00,858,286.00,0,0.00,0,0.00
35,6,87,14.50,24,4.00,2325,387.50,2670,445.00,0,0.00,2,0.33
36,6,111,18.50,81,13.50,2296,382.67,704,117.33,0,0.00,2,0.33
37,15,308,20.53,174,11.60,8948,596.53,5577,371.80,0,0.00,0,0.00
38,2,19,9.50,2,1.00,1383,691.50,560,280.00,0,0.00,0,0.00
39,7,80,11.43,35,5.00,4825,689.29,2324,332.00,0,0.00,1,0.14
40,8,70,8.75,8,1.00,5698,712.25,1399,174.88,0,0.00,0,0.00
