tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13401,22189,1.66,23868,1.78,2537169,189.33,1165691,86.99,35764,2.67,28,0.00
2,173,367,2.12,355,2.05,616,3.56,78,0.45,0,0.00,0,0.00
3,13130,18863,1.44,16635,1.27,158819,12.10,3768,0.29,0,0.00,34,0.00
4,271,977,3.61,536,1.98,5908,21.80,23,0.08,0,0.00,6,0.02
5,1229,2693,2.19,2436,1.98,39589,32.21,3365,2.74,0,0.00,0,0.00
6,60,201,3.35,183,3.05,1821,30.35,139,2.32,0,0.00,0,0.00
7,421,2525,6.00,918,2.18,21922,52.07,4890,11.62,0,0.00,0,0.00
8,67,298,4.45,276,4.12,3164,47.22,155,2.31,0,0.00,4,0.06
9,308,1277,4.15,650,2.11,18356,59.60,7372,23.94,0,0.00,0,0.00
10,41,181,4.41,127,3.10,2892,70.54,297,7.24,0,0.00,18,0.44
11,225,636,2.83,863,3.84,28449,126.44,2044,9.08,0,0.00,0,0.00
12,38,310,8.16,237,6.24,2526,66.47,699,18.39,0,0.00,0,0.00
13,52,360,6.92,225,4.33,5998,115.35,1587,30.52,0,0.00,0,0.00
14,24,237,9.88,237,9.88,2084,86.83,22,0.92,0,0.00,1,0.04
15,62,574,9.26,371,5.98,4777,77.05,2859,46.11,0,0.00,0,0.00
16,37,306,8.27,291,7.86,5362,144.92,192,5.19,0,0.00,1,0.03
17,100,456,4.56,231,2.31,9581,95.81,3576,35.76,0,0.00,57,0.57
18,12,48,4.00,34,2.83,2570,214.17,160,13.33,0,0.00,1,0.08
19,70,494,7.06,247,3.53,17350,247.86,5262,75.17,0,0.00,5,0.07
20,8,55,6.88,38,4.75,1323,165.38,202,25.25,0,0.00,4,0.50
21,20,247,12.35,114,5.70,3640,182.00,2911,145.55,0,0.00,0,0.00
22,12,39,3.25,39,3.25,2232,186.00,182,15.17,0,0.00,1,0.08
23,70,1158,16.54,874,12.49,16189,231.27,5555,79.36,0,0.00,0,0.00
24,36,194,5.39,81,2.25,15431,428.64,2231,61.97,0,0.00,0,0.00
25,20,285,14.25,148,7.40,6821,341.05,3862,193.10,0,0.00,2,0.10
26,11,87,7.91,33,3.00,10246,931.45,1003,91.18,0,0.00,0,0.00
27,60,557,9.28,214,3.57,26515,441.92,8692,144.87,0,0.00,0,0.00
28,4,34,8.50,15,3.75,1541,385.25,660,165.00,0,0.00,0,0.00
