tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,25749,41923,1.63,40777,1.58,109392,4.25,11599,0.45,130,0.01,361,0.01
2,4073,12355,3.03,11927,2.93,65146,15.99,7208,1.77,0,0.00,134,0.03
3,18241,30157,1.65,27602,1.51,329963,18.09,16640,0.91,864,0.05,35,0.00
4,9359,39820,4.25,40145,4.29,2025994,216.48,352009,37.61,13314,1.42,107,0.01
5,7020,20083,2.86,16865,2.40,201019,28.64,15256,2.17,0,0.00,31,0.00
6,4057,15884,3.92,14173,3.49,146944,36.22,8758,2.16,0,0.00,35,0.01
7,9373,80666,8.61,85492,9.12,10360515,1105.36,4059000,433.05,121885,13.00,75,0.01
8,5966,57433,9.63,59748,10.01,3957439,663.33,702935,117.82,26176,4.39,35,0.01
9,2366,15224,6.43,12098,5.11,256181,108.28,31896,13.48,864,0.37,28,0.01
10,5268,68134,12.93,70286,13.34,4958890,941.32,878786,166.82,33008,6.27,812,0.15
11,2233,22869,10.24,19493,8.73,136512,61.13,12878,5.77,0,0.00,295,0.13
12,3345,21285,6.36,18089,5.41,259675,77.63,20145,6.02,576,0.17,65,0.02
13,1165,9537,8.19,7931,6.81,5114978,4390.54,4055733,3481.32,108270,92.94,202,0.17
14,1260,21895,17.38,19522,15.49,76388,60.63,8648,6.86,0,0.00,85,0.07
15,898,9751,10.86,8524,9.49,84119,93.67,9641,10.74,0,0.00,82,0.09
16,679,5970,8.79,4755,7.00,85741,126.28,11098,16.34,0,0.00,47,0.07
17,616,7503,12.18,6631,10.76,61409,99.69,8552,13.88,0,0.00,35,0.06
18,625,9739,15.58,9131,14.61,178438,285.50,14419,23.07,1152,1.84,45,0.07
19,1151,10093,8.77,8368,7.27,3770449,3275.80,2863888,2488.17,75789,65.85,43,0.04
20,690,7169,10.39,6166,8.94,195666,283.57,20908,30.30,576,0.83,63,0.09
21,3480,38596,11.09,29760,8.55,326300,93.76,17856,5.13,0,0.00,39,0.01
22,1817,23686,13.04,22619,12.45,240035,132.11,15322,8.43,670,0.37,50,0.03
23,634,5131,8.09,4366,6.89,265028,418.03,23355,36.84,958,1.51,1366,2.15
24,2465,25387,10.30,20546,8.34,563211,228.48,33213,13.47,864,0.35,383,0.16
25,493,9336,18.94,8229,16.69,2294953,4655.08,1639406,3325.37,45130,91.54,80,0.16
26,286,3268,11.43,2777,9.71,97157,339.71,8566,29.95,288,1.01,152,0.53
27,1304,12744,9.77,10657,8.17,286996,220.09,15650,12.00,0,0.00,1023,0.78
28,1253,19994,15.96,17553,14.01,260218,207.68,13916,11.11,670,0.53,415,0.33
29,1290,25110,19.47,24167,18.73,215827,167.31,16492,12.78,0,0.00,149,0.12
30,2584,42357,16.39,39061,15.12,399402,154.57,16358,6.33,576,0.22,314,0.12
31,295,8799,29.83,8345,28.29,92364,313.10,10717,36.33,288,0.98,109,0.37
32,439,9484,21.60,9070,20.66,104572,238.21,7996,18.21,0,0.00,141,0.32
33,351,3494,9.95,2825,8.05,245268,698.77,10933,31.15,0,0.00,68,0.19
34,289,5196,17.98,4587,15.87,166155,574.93,14033,48.56,0,0.00,87,0.30
35,569,12100,21.27,12013,21.11,133150,234.01,8729,15.34,0,0.00,68,0.12
36,814,13019,15.99,9934,12.20,1154470,1418.27,499610,613.77,14099,17.32,73,0.09
37,8669,530030,61.14,557303,64.29,68637937,7917.63,24141389,2784.80,654579,75.51,379,0.04
38,193,3346,17.34,3063,15.87,4028730,20874.25,3232100,16746.63,86616,448.79,59,0.31
39,363,3770,10.39,3546,9.77,240320,662.04,19527,53.79,0,0.00,42,0.12
40,308,4291,13.93,3889,12.63,143061,464.48,13036,42.32,0,0.00,53,0.17
41,289,9581,33.15,9227,31.93,79116,273.76,4698,16.26,0,0.00,18,0.06
42,1551,27601,17.80,21462,13.84,293862,189.47,12881,8.30,0,0.00,39,0.03
43,110,1730,15.73,1279,11.63,70057,636.88,8860,80.55,0,0.00,38,0.35
44,107,1771,16.55,1318,12.32,82683,772.74,8623,80.59,288,2.69,27,0.25
45,771,17652,22.89,12156,15.77,162992,211.40,9661,12.53,0,0.00,49,0.06
46,109,1547,14.19,1096,10.06,64448,591.27,9462,86.81,0,0.00,67,0.61
47,111,2039,18.37,1486,13.39,54634,492.20,10071,90.73,0,0.00,23,0.21
48,81,1381,17.05,983,12.14,46221,570.63,6833,84.36,0,0.00,37,0.46
49,210,8582,40.87,3384,16.11,112126,533.93,13901,66.20,0,0.00,42,0.20
50,147,3313,22.54,3030,20.61,66419,451.83,9142,62.19,0,0.00,4,0.03
51,672,16219,24.14,11667,17.36,157540,234.43,11423,17.00,0,0.00,14,0.02
52,77,1830,23.77,1462,18.99,56994,740.18,11145,144.74,0,0.00,24,0.31
53,86,1782,20.72,1134,13.19,52213,607.13,7697,89.50,0,0.00,18,0.21
54,61,1148,18.82,848,13.90,37826,620.10,6151,100.84,0,0.00,38,0.62
55,130,2436,18.74,2306,17.74,61151,470.39,6951,53.47,0,0.00,14,0.11
56,110,2937,26.70,2659,24.17,65244,593.13,7587,68.97,0,0.00,47,0.43
57,72,1942,26.97,1279,17.76,38635,536.60,8814,122.42,0,0.00,13,0.18
58,50,1081,21.62,817,16.34,32250,645.00,4320,86.40,0,0.00,17,0.34
59,80,2381,29.76,1919,23.99,38671,483.39,5647,70.59,0,0.00,16,0.20
60,91,3182,34.97,2329,25.59,60276,662.37,8309,91.31,0,0.00,12,0.13
61,62,1595,25.73,1255,20.24,42203,680.69,5592,90.19,0,0.00,17,0.27
62,48,1194,24.88,990,20.62,46912,977.33,6253,130.27,0,0.00,22,0.46
63,99,3359,33.93,2351,23.75,56044,566.10,14931,150.82,0,0.00,7,0.07
64,30,574,19.13,370,12.33,22205,740.17,4745,158.17,0,0.00,6,0.20
65,39,1048,26.87,944,24.21,26658,683.54,4913,125.97,0,0.00,14,0.36
66,112,2091,18.67,1477,13.19,167425,1494.87,14926,133.27,112,1.00,4,0.04
67,70,2046,29.23,1499,21.41,76667,1095.24,8044,114.91,0,0.00,10,0.14
68,32,770,24.06,494,15.44,28169,880.28,6499,203.09,0,0.00,17,0.53
69,36,645,17.92,451,12.53,52348,1454.11,5978,166.06,0,0.00,7,0.19
70,96,3317,34.55,2427,25.28,51328,534.67,8009,83.43,0,0.00,19,0.20
71,50,1807,36.14,1401,28.02,43156,863.12,5942,118.84,0,0.00,14,0.28
72,45,1084,24.09,734,16.31,41799,928.87,8329,185.09,0,0.00,13,0.29
73,98,2118,21.61,1112,11.35,154795,1579.54,25762,262.88,57,0.58,5,0.05
74,117,7777,66.47,6920,59.15,58416,499.28,7352,62.84,0,0.00,18,0.15
75,42,1450,34.52,837,19.93,40199,957.12,11297,268.98,0,0.00,11,0.26
76,28,724,25.86,451,16.11,39522,1411.50,7406,264.50,63,2.25,13,0.46
77,62,2045,32.98,1434,23.13,64002,1032.29,8941,144.21,119,1.92,3,0.05
78,62,2053,33.11,1811,29.21,77804,1254.90,6330,102.10,0,0.00,22,0.35
79,36,1277,35.47,960,26.67,48680,1352.22,8228,228.56,0,0.00,7,0.19
80,41,2159,52.66,1811,44.17,25004,609.85,4522,110.29,0,0.00,6,0.15
81,24,655,27.29,312,13.00,26338,1097.42,6446,268.58,0,0.00,4,0.17
82,20,724,36.20,507,25.35,21730,1086.50,8111,405.55,0,0.00,4,0.20
83,43,1358,31.58,934,21.72,53570,1245.81,10576,245.95,0,0.00,12,0.28
84,64,2357,36.83,1640,25.62,46207,721.98,15633,244.27,0,0.00,38,0.59
85,28,831,29.68,555,19.82,30505,1089.46,5252,187.57,0,0.00,25,0.89
86,28,1105,39.46,720,25.71,26695,953.39,3796,135.57,72,2.57,12,0.43
87,34,1374,40.41,1180,34.71,21941,645.32,4208,123.76,0,0.00,19,0.56
88,24,432,18.00,313,13.04,21743,905.96,2559,106.62,0,0.00,14,0.58
89,23,575,25.00,245,10.65,13803,600.13,8822,383.57,0,0.00,16,0.70
90,55,1524,27.71,1462,26.58,40616,738.47,5411,98.38,0,0.00,23,0.42
91,47,1727,36.74,956,20.34,30454,647.96,7941,168.96,0,0.00,23,0.49
92,17,469,27.59,281,16.53,21091,1240.65,3207,188.65,0,0.00,6,0.35
93,34,1172,34.47,556,16.35,34777,1022.85,9835,289.26,0,0.00,7,0.21
94,24,1121,46.71,949,39.54,15703,654.29,3169,132.04,0,0.00,11,0.46
95,27,874,32.37,796,29.48,38854,1439.04,3332,123.41,0,0.00,20,0.74
96,17,304,17.88,215,12.65,36825,2166.18,2341,137.71,0,0.00,18,1.06
97,21,481,22.90,256,12.19,26594,1266.38,7615,362.62,0,0.00,39,1.86
98,22,1674,76.09,1273,57.86,21242,965.55,11715,532.50,0,0.00,4,0.18
99,13,129,9.92,108,8.31,14863,1143.31,1646,126.62,0,0.00,14,1.08
100,36,1600,44.44,1257,34.92,38611,1072.53,5960,165.56,0,0.00,31,0.86
101,11,442,40.18,341,31.00,8805,800.45,3771,342.82,78,7.09,7,0.64
102,39,1594,40.87,1185,30.38,39868,1022.26,6131,157.21,0,0.00,29,0.74
103,25,1261,50.44,860,34.40,22894,915.76,9956,398.24,0,0.00,4,0.16
104,19,386,20.32,228,12.00,34234,1801.79,5464,287.58,0,0.00,13,0.68
105,40,2289,57.23,1171,29.27,39651,991.27,16776,419.40,0,0.00,22,0.55
106,33,547,16.58,351,10.64,42670,1293.03,3308,100.24,0,0.00,55,1.67
107,35,876,25.03,482,13.77,94253,2692.94,16265,464.71,0,0.00,19,0.54
108,26,1426,54.85,1163,44.73,49471,1902.73,8364,321.69,0,0.00,8,0.31
109,9,273,30.33,247,27.44,18451,2050.11,7851,872.33,0,0.00,8,0.89
110,23,1133,49.26,1027,44.65,39993,1738.83,12251,532.65,79,3.43,12,0.52
111,7999,428270,53.54,380956,47.63,3621866,452.79,96316,12.04,0,0.00,1186,0.15
112,17,980,57.65,792,46.59,22009,1294.65,5084,299.06,0,0.00,4,0.24
113,44,1822,41.41,741,16.84,125918,2861.77,36673,833.48,0,0.00,8,0.18
114,9,230,25.56,177,19.67,12365,1373.89,1004,111.56,0,0.00,25,2.78
115,18,1272,70.67,1118,62.11,11644,646.89,14651,813.94,0,0.00,8,0.44
116,16,1073,67.06,360,22.50,105341,6583.81,25250,1578.12,0,0.00,2,0.12
117,24,1088,45.33,468,19.50,34501,1437.54,14734,613.92,0,0.00,9,0.38
118,51,558,10.94,674,13.22,112082,2197.69,9145,179.31,291,5.71,88,1.73
119,41,2227,54.32,1345,32.80,53986,1316.73,13064,318.63,0,0.00,25,0.61
120,114,1249,10.96,1473,12.92,228674,2005.91,15543,136.34,165,1.45,206,1.81
121,53,652,12.30,532,10.04,103930,1960.94,17103,322.70,150,2.83,86,1.62
122,19,1040,54.74,829,43.63,44253,2329.11,21350,1123.68,0,0.00,13,0.68
123,26,266,10.23,181,6.96,60629,2331.88,14668,564.15,261,10.04,42,1.62
124,41,1142,27.85,614,14.98,182553,4452.51,49052,1196.39,107,2.61,18,0.44
125,18,363,20.17,192,10.67,78796,4377.56,8978,498.78,0,0.00,10,0.56
126,20,531,26.55,363,18.15,55774,2788.70,8471,423.55,76,3.80,18,0.90
127,26,1596,61.38,1212,46.62,69512,2673.54,17214,662.08,0,0.00,6,0.23
128,10,422,42.20,226,22.60,21307,2130.70,3919,391.90,0,0.00,10,1.00
129,14,428,30.57,178,12.71,37806,2700.43,9744,696.00,0,0.00,8,0.57
130,12,594,49.50,540,45.00,41157,3429.75,8023,668.58,108,9.00,13,1.08
131,17,746,43.88,325,19.12,34938,2055.18,8617,506.88,0,0.00,4,0.24
132,16,528,33.00,249,15.56,37208,2325.50,24301,1518.81,216,13.50,10,0.62
133,55,2538,46.15,1075,19.55,108010,1963.82,34121,620.38,52,0.95,8,0.15
134,19,1052,55.37,476,25.05,33750,1776.32,12220,643.16,0,0.00,6,0.32
135,12,804,67.00,676,56.33,28936,2411.33,9592,799.33,119,9.92,4,0.33
136,25,933,37.32,525,21.00,136578,5463.12,18286,731.44,335,13.40,4,0.16
137,57,2750,48.25,1740,30.53,138667,2432.75,35002,614.07,0,0.00,14,0.25
138,10,488,48.80,182,18.20,27810,2781.00,2672,267.20,0,0.00,6,0.60
139,13,437,33.62,201,15.46,48071,3697.77,9558,735.23,0,0.00,2,0.15
140,18,1524,84.67,1402,77.89,48097,2672.06,7073,392.94,86,4.78,2,0.11
141,10,519,51.90,453,45.30,34826,3482.60,6443,644.30,0,0.00,42,4.20
142,8,262,32.75,182,22.75,25743,3217.88,6357,794.62,48,6.00,6,0.75
143,17,911,53.59,414,24.35,49800,2929.41,35691,2099.47,0,0.00,4,0.24
144,8,177,22.12,117,14.62,20874,2609.25,4218,527.25,0,0.00,15,1.88
145,14,798,57.00,251,17.93,24280,1734.29,15461,1104.36,0,0.00,2,0.14
146,5,223,44.60,120,24.00,18716,3743.20,12512,2502.40,0,0.00,0,0.00
147,22,1359,61.77,551,25.05,43908,1995.82,33207,1509.41,0,0.00,2,0.09
148,142,17867,125.82,9857,69.42,128839,907.32,5841,41.13,0,0.00,117,0.82
149,4,202,50.50,176,44.00,12361,3090.25,2409,602.25,0,0.00,2,0.50
150,26,2443,93.96,1772,68.15,42192,1622.77,16186,622.54,0,0.00,0,0.00
151,9,477,53.00,279,31.00,41327,4591.89,15716,1746.22,0,0.00,0,0.00
152,27,1274,47.19,811,30.04,55826,2067.63,10344,383.11,0,0.00,4,0.15
153,39,1648,42.26,430,11.03,179705,4607.82,42895,1099.87,275,7.05,4,0.10
154,15,622,41.47,303,20.20,81143,5409.53,15712,1047.47,0,0.00,9,0.60
155,9,372,41.33,177,19.67,35787,3976.33,11837,1315.22,56,6.22,0,0.00
156,14,730,52.14,420,30.00,56677,4048.36,19964,1426.00,0,0.00,2,0.14
157,11,405,36.82,214,19.45,41065,3733.18,18881,1716.45,0,0.00,6,0.55
158,4,250,62.50,190,47.50,12250,3062.50,3710,927.50,0,0.00,0,0.00
159,15,1191,79.40,480,32.00,31058,2070.53,21916,1461.07,153,10.20,4,0.27
160,10,957,95.70,882,88.20,24117,2411.70,10330,1033.00,0,0.00,0,0.00
161,11,884,80.36,217,19.73,13561,1232.82,13876,1261.45,0,0.00,0,0.00
162,12,664,55.33,452,37.67,35640,2970.00,4386,365.50,0,0.00,12,1.00
163,5,312,62.40,101,20.20,16891,3378.20,12133,2426.60,0,0.00,2,0.40
164,6,455,75.83,150,25.00,13668,2278.00,10003,1667.17,0,0.00,2,0.33
165,7,282,40.29,118,16.86,48286,6898.00,16402,2343.14,0,0.00,0,0.00
166,11,766,69.64,287,26.09,22925,2084.09,28949,2631.73,0,0.00,11,1.00
167,3,508,169.33,497,165.67,13028,4342.67,1103,367.67,103,34.33,4,1.33
168,44,569,12.93,493,11.20,66582,1513.23,6411,145.70,106,2.41,22,0.50
169,5,182,36.40,92,18.40,32723,6544.60,5866,1173.20,0,0.00,2,0.40
170,15,1223,81.53,1019,67.93,48856,3257.07,14497,966.47,0,0.00,4,0.27
171,5,371,74.20,176,35.20,13779,2755.80,4972,994.40,0,0.00,4,0.80
172,13,1100,84.62,556,42.77,41110,3162.31,13068,1005.23,0,0.00,32,2.46
173,18,1330,73.89,259,14.39,31183,1732.39,23559,1308.83,0,0.00,2,0.11
174,6,571,95.17,372,62.00,26571,4428.50,8228,1371.33,0,0.00,2,0.33
175,16,1347,84.19,441,27.56,34475,2154.69,25619,1601.19,0,0.00,13,0.81
176,4,129,32.25,72,18.00,9580,2395.00,5347,1336.75,103,25.75,10,2.50
177,5,360,72.00,216,43.20,17259,3451.80,15965,3193.00,0,0.00,0,0.00
178,10,1226,122.60,291,29.10,25372,2537.20,12537,1253.70,0,0.00,0,0.00
179,7,481,68.71,369,52.71,16755,2393.57,17503,2500.43,0,0.00,8,1.14
180,6,329,54.83,166,27.67,24553,4092.17,9124,1520.67,103,17.17,2,0.33
182,60,2534,42.23,1168,19.47,440959,7349.32,70689,1178.15,409,6.82,4,0.07
183,18,591,32.83,271,15.06,137353,7630.72,25637,1424.28,378,21.00,10,0.56
184,6,1048,174.67,1012,168.67,18163,3027.17,2677,446.17,0,0.00,0,0.00
185,852,71291,83.67,60550,71.07,1026274,1204.55,98322,115.40,0,0.00,0,0.00
186,5,151,30.20,78,15.60,35869,7173.80,4784,956.80,75,15.00,4,0.80
187,12,852,71.00,248,20.67,34400,2866.67,13027,1085.58,0,0.00,0,0.00
188,16,1199,74.94,717,44.81,83709,5231.81,18102,1131.38,0,0.00,0,0.00
189,10,1041,104.10,303,30.30,35103,3510.30,22093,2209.30,0,0.00,0,0.00
190,70,586,8.37,781,11.16,234871,3355.30,20639,294.84,1237,17.67,255,3.64
191,46,603,13.11,541,11.76,156439,3400.85,18900,410.87,363,7.89,160,3.48
192,39,610,15.64,536,13.74,147870,3791.54,16470,422.31,369,9.46,130,3.33
193,24,592,24.67,237,9.88,70475,2936.46,13673,569.71,209,8.71,69,2.88
194,14,705,50.36,464,33.14,64888,4634.86,13411,957.93,0,0.00,34,2.43
195,9,89,9.89,110,12.22,26922,2991.33,2161,240.11,0,0.00,32,3.56
196,18,936,52.00,416,23.11,67369,3742.72,16041,891.17,103,5.72,26,1.44
197,11,107,9.73,119,10.82,38609,3509.91,6373,579.36,378,34.36,29,2.64
198,38,2157,56.76,1266,33.32,96277,2533.61,22135,582.50,402,10.58,32,0.84
199,10,450,45.00,242,24.20,70221,7022.10,13147,1314.70,0,0.00,12,1.20
200,4,97,24.25,58,14.50,15515,3878.75,2215,553.75,228,57.00,10,2.50
201,6,402,67.00,59,9.83,10257,1709.50,9018,1503.00,0,0.00,4,0.67
202,4,47,11.75,47,11.75,13138,3284.50,1005,251.25,180,45.00,9,2.25
203,39,3916,100.41,928,23.79,374814,9610.62,70735,1813.72,114,2.92,21,0.54
204,11,815,74.09,463,42.09,42336,3848.73,8385,762.27,114,10.36,43,3.91
205,3,38,12.67,46,15.33,8551,2850.33,640,213.33,147,49.00,12,4.00
206,10,451,45.10,270,27.00,64826,6482.60,11947,1194.70,308,30.80,13,1.30
207,4,291,72.75,206,51.50,15740,3935.00,5147,1286.75,106,26.50,46,11.50
208,9,409,45.44,234,26.00,54657,6073.00,12082,1342.44,106,11.78,15,1.67
209,2,16,8.00,34,17.00,5369,2684.50,446,223.00,114,57.00,5,2.50
