tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,57,88,1.54,79,1.39,0,0.00,0,0.00,0,0.00,0,0.00
2,1,2,2.00,2,2.00,6,6.00,0,0.00,0,0.00,0,0.00
3,57,88,1.54,79,1.39,720,12.63,29,0.51,0,0.00,0,0.00
4,6,10,1.67,14,2.33,78,13.00,0,0.00,0,0.00,0,0.00
5,12,25,2.08,24,2.00,369,30.75,47,3.92,0,0.00,0,0.00
6,2,6,3.00,4,2.00,84,42.00,16,8.00,0,0.00,0,0.00
7,4,13,3.25,7,1.75,198,49.50,26,6.50,0,0.00,0,0.00
9,3,15,5.00,3,1.00,219,73.00,33,11.00,0,0.00,0,0.00
10,130,2142,16.48,1971,15.16,46,0.35,2,0.02,0,0.00,0,0.00
11,16,257,16.06,208,13.00,144,9.00,49,3.06,0,0.00,0,0.00
12,1,13,13.00,3,3.00,138,138.00,104,104.00,0,0.00,0,0.00
13,2,43,21.50,22,11.00,23,11.50,1,0.50,0,0.00,0,0.00
15,61,1468,24.07,1441,23.62,105,1.72,0,0.00,0,0.00,0,0.00
16,14,233,16.64,235,16.79,591,42.21,16,1.14,0,0.00,0,0.00
17,2,50,25.00,57,28.50,45,22.50,5,2.50,0,0.00,0,0.00
18,2,25,12.50,44,22.00,130,65.00,1,0.50,0,0.00,0,0.00
19,2,40,20.00,40,20.00,119,59.50,9,4.50,0,0.00,0,0.00
20,137,3540,25.84,4300,31.39,180,1.31,0,0.00,0,0.00,0,0.00
21,2,37,18.50,44,22.00,192,96.00,10,5.00,0,0.00,0,0.00
22,66,2266,34.33,2156,32.67,0,0.00,0,0.00,0,0.00,0,0.00
23,6,121,20.17,176,29.33,36,6.00,2,0.33,0,0.00,0,0.00
24,2,46,23.00,49,24.50,2,1.00,0,0.00,0,0.00,0,0.00
25,19,818,43.05,745,39.21,41,2.16,2,0.11,0,0.00,0,0.00
26,3,159,53.00,168,56.00,0,0.00,0,0.00,0,0.00,0,0.00
30,104,1655,15.91,1455,13.99,13220,127.12,590,5.67,0,0.00,0,0.00
31,4,106,26.50,88,22.00,460,115.00,30,7.50,0,0.00,0,0.00
32,12,666,55.50,532,44.33,0,0.00,0,0.00,0,0.00,0,0.00
33,7,120,17.14,192,27.43,714,102.00,13,1.86,0,0.00,0,0.00
34,1,53,53.00,52,52.00,84,84.00,9,9.00,0,0.00,0,0.00
35,7,176,25.14,246,35.14,654,93.43,11,1.57,0,0.00,0,0.00
36,2,45,22.50,43,21.50,374,187.00,33,16.50,0,0.00,0,0.00
37,9,367,40.78,379,42.11,1045,116.11,187,20.78,0,0.00,0,0.00
38,125,5904,47.23,7684,61.47,278,2.22,91,0.73,0,0.00,0,0.00
40,24,583,24.29,603,25.12,2851,118.79,80,3.33,0,0.00,0,0.00
42,1,98,98.00,162,162.00,0,0.00,0,0.00,0,0.00,0,0.00
43,2,33,16.50,28,14.00,593,296.50,73,36.50,0,0.00,0,0.00
44,1,0,0.00,66,66.00,44,44.00,0,0.00,0,0.00,0,0.00
45,54,1265,23.43,1180,21.85,10065,186.39,430,7.96,0,0.00,0,0.00
46,8,247,30.88,202,25.25,1528,191.00,15,1.88,0,0.00,0,0.00
47,1,3,3.00,1,1.00,460,460.00,75,75.00,0,0.00,0,0.00
48,3,64,21.33,63,21.00,469,156.33,16,5.33,0,0.00,0,0.00
50,26,532,20.46,582,22.38,8150,313.46,590,22.69,0,0.00,0,0.00
52,8,340,42.50,376,47.00,970,121.25,30,3.75,0,0.00,0,0.00
53,1,19,19.00,32,32.00,247,247.00,0,0.00,0,0.00,0,0.00
55,7,190,27.14,225,32.14,1410,201.43,30,4.29,0,0.00,0,0.00
56,2,67,33.50,47,23.50,551,275.50,0,0.00,0,0.00,0,0.00
57,5,115,23.00,110,22.00,1610,322.00,325,65.00,0,0.00,0,0.00
58,12314,1176008,95.50,1283134,104.20,164414571,13351.84,67871561,5511.74,1844400,149.78,696,0.06
60,134,3465,25.86,3200,23.88,32985,246.16,930,6.94,0,0.00,0,0.00
61,2,22,11.00,38,19.00,415,207.50,0,0.00,0,0.00,0,0.00
62,2,158,79.00,126,63.00,230,115.00,10,5.00,0,0.00,0,0.00
63,1,31,31.00,21,21.00,431,431.00,80,80.00,0,0.00,0,0.00
65,3,77,25.67,82,27.33,1477,492.33,46,15.33,0,0.00,0,0.00
66,60,2162,36.03,1843,30.72,16894,281.57,792,13.20,0,0.00,0,0.00
67,7,419,59.86,331,47.29,1791,255.86,213,30.43,0,0.00,0,0.00
69,3,80,26.67,90,30.00,1077,359.00,90,30.00,0,0.00,0,0.00
70,22,741,33.68,490,22.27,9427,428.50,2291,104.14,0,0.00,0,0.00
71,3,109,36.33,94,31.33,1375,458.33,60,20.00,0,0.00,0,0.00
72,2,86,43.00,106,53.00,700,350.00,0,0.00,0,0.00,0,0.00
75,21,725,34.52,700,33.33,9160,436.19,870,41.43,0,0.00,0,0.00
76,5,155,31.00,170,34.00,1939,387.80,22,4.40,0,0.00,0,0.00
77,1,32,32.00,11,11.00,424,424.00,101,101.00,0,0.00,0,0.00
80,11,612,55.64,302,27.45,5358,487.09,340,30.91,0,0.00,0,0.00
81,5,207,41.40,218,43.60,1723,344.60,29,5.80,0,0.00,0,0.00
82,1,52,52.00,52,52.00,840,840.00,10,10.00,0,0.00,0,0.00
84,1,26,26.00,27,27.00,392,392.00,3,3.00,0,0.00,0,0.00
85,3,155,51.67,100,33.33,1365,455.00,230,76.67,0,0.00,0,0.00
86,2,106,53.00,138,69.00,682,341.00,0,0.00,0,0.00,0,0.00
87,2,57,28.50,107,53.50,700,350.00,0,0.00,0,0.00,0,0.00
88,5,154,30.80,198,39.60,1628,325.60,0,0.00,0,0.00,0,0.00
89,1,35,35.00,44,44.00,379,379.00,2,2.00,0,0.00,0,0.00
90,15,655,43.67,245,16.33,11000,733.33,1525,101.67,0,0.00,0,0.00
91,2,87,43.50,67,33.50,972,486.00,110,55.00,0,0.00,0,0.00
92,1,62,62.00,32,32.00,390,390.00,50,50.00,0,0.00,0,0.00
94,1,88,88.00,58,58.00,253,253.00,0,0.00,0,0.00,0,0.00
95,2,115,57.50,85,42.50,980,490.00,145,72.50,0,0.00,0,0.00
96,1,42,42.00,32,32.00,362,362.00,10,10.00,0,0.00,0,0.00
98,6,272,45.33,408,68.00,1440,240.00,0,0.00,0,0.00,0,0.00
99,1,46,46.00,66,66.00,462,462.00,0,0.00,0,0.00,0,0.00
100,26,1145,44.04,1025,39.42,18641,716.96,522,20.08,0,0.00,0,0.00
101,2,111,55.50,99,49.50,1890,945.00,135,67.50,0,0.00,0,0.00
103,1,81,81.00,103,103.00,0,0.00,0,0.00,0,0.00,0,0.00
105,13,515,39.62,360,27.69,8125,625.00,1740,133.85,0,0.00,0,0.00
106,1,47,47.00,31,31.00,645,645.00,120,120.00,0,0.00,0,0.00
108,1,41,41.00,41,41.00,721,721.00,0,0.00,0,0.00,0,0.00
110,16,628,39.25,700,43.75,12132,758.25,1260,78.75,0,0.00,0,0.00
111,7,402,57.43,318,45.43,4471,638.71,770,110.00,0,0.00,0,0.00
112,4,377,94.25,308,77.00,2980,745.00,250,62.50,0,0.00,0,0.00
113,1,47,47.00,46,46.00,632,632.00,112,112.00,0,0.00,0,0.00
114,116,5586,48.16,5434,46.84,52858,455.67,1064,9.17,0,0.00,0,0.00
115,3,130,43.33,120,40.00,1890,630.00,330,110.00,0,0.00,0,0.00
