tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,334742,641374,1.92,439242,1.31,9834797,29.38,4372930,13.06,52852,0.16,700,0.00
2,24360,49654,2.04,53340,2.19,15682864,643.80,6667834,273.72,9691,0.40,48,0.00
3,416568,740830,1.78,547761,1.31,5564336,13.36,237465,0.57,264,0.00,86,0.00
4,31075,107718,3.47,91508,2.94,2176027,70.03,1715040,55.19,43308,1.39,81,0.00
5,24378,54659,2.24,44305,1.82,2350694,96.43,362779,14.88,13088,0.54,5,0.00
6,17766,98295,5.53,96328,5.42,3155527,177.62,2520658,141.88,65382,3.68,6145,0.35
7,10370,444869,42.90,277183,26.73,8533381,822.89,1494077,144.08,21168,2.04,227,0.02
8,7867,36173,4.60,31989,4.07,578643,73.55,21420,2.72,0,0.00,46,0.01
9,5625,26843,4.77,16011,2.85,346827,61.66,128710,22.88,0,0.00,143,0.03
10,1168,12995,11.13,9772,8.37,112635,96.43,17179,14.71,0,0.00,47,0.04
11,3084,15515,5.03,9492,3.08,850161,275.67,444933,144.27,10827,3.51,21,0.01
12,4746,26195,5.52,22089,4.65,342022,72.07,15152,3.19,0,0.00,9,0.00
13,2043,13673,6.69,8545,4.18,1174622,574.95,188576,92.30,3528,1.73,64,0.03
14,7157,19422,2.71,14613,2.04,862500,120.51,68764,9.61,57,0.01,17,0.00
15,2971,19882,6.69,13455,4.53,605101,203.67,39410,13.26,0,0.00,55,0.02
16,1117,8130,7.28,5170,4.63,111831,100.12,7453,6.67,0,0.00,11,0.01
17,2129,24808,11.65,13556,6.37,557166,261.70,198507,93.24,0,0.00,201,0.09
18,9378,77120,8.22,66661,7.11,843829,89.98,34098,3.64,74,0.01,259,0.03
19,1166,13122,11.25,4869,4.18,152611,130.88,61426,52.68,70,0.06,10,0.01
20,332,5272,15.88,2937,8.85,50803,153.02,7302,21.99,0,0.00,54,0.16
21,587,8829,15.04,3965,6.75,114347,194.80,39990,68.13,0,0.00,168,0.29
22,722,7411,10.26,2944,4.08,148223,205.30,16577,22.96,0,0.00,13,0.02
23,314,7450,23.73,4061,12.93,56835,181.00,18849,60.03,0,0.00,83,0.26
24,532,11522,21.66,4558,8.57,136064,255.76,41831,78.63,0,0.00,86,0.16
25,454,10553,23.24,4320,9.52,184834,407.12,66884,147.32,0,0.00,33,0.07
26,259,6511,25.14,2123,8.20,86116,332.49,12689,48.99,0,0.00,14,0.05
27,1145,18898,16.50,6379,5.57,658750,575.33,89100,77.82,0,0.00,0,0.00
28,234,9059,38.71,2865,12.24,75746,323.70,15761,67.35,0,0.00,11,0.05
29,567,18736,33.04,10222,18.03,1044782,1842.65,78806,138.99,0,0.00,4,0.01
30,1614,32502,20.14,16190,10.03,676278,419.01,56823,35.21,0,0.00,22,0.01
31,389,19109,49.12,7168,18.43,81548,209.63,47138,121.18,0,0.00,42,0.11
32,1059,60948,57.55,39286,37.10,3685884,3480.53,156696,147.97,0,0.00,9,0.01
33,261,7746,29.68,3527,13.51,194633,745.72,63631,243.80,0,0.00,221,0.85
34,221,18909,85.56,6491,29.37,25014,113.19,8330,37.69,0,0.00,13,0.06
35,1499,113722,75.87,73276,48.88,6233099,4158.17,402526,268.53,0,0.00,63,0.04
36,565,42407,75.06,15607,27.62,275463,487.55,33307,58.95,0,0.00,54,0.10
37,204,5883,28.84,2567,12.58,100132,490.84,64813,317.71,0,0.00,13,0.06
38,1370,143757,104.93,90162,65.81,6899013,5035.78,488559,356.61,0,0.00,12,0.01
39,184,12684,68.93,6220,33.80,274608,1492.43,102987,559.71,0,0.00,18,0.10
40,116,4847,41.78,1683,14.51,58867,507.47,8471,73.03,0,0.00,0,0.00
41,484,49362,101.99,31128,64.31,2321512,4796.51,344805,712.41,0,0.00,30,0.06
42,683,13866,20.30,6085,8.91,178373,261.16,35616,52.15,0,0.00,224,0.33
43,195,6855,35.15,2883,14.78,155399,796.92,97470,499.85,0,0.00,62,0.32
44,250,22963,91.85,14246,56.98,975613,3902.45,123435,493.74,0,0.00,68,0.27
45,233,11968,51.36,5048,21.67,222779,956.13,134331,576.53,0,0.00,290,1.24
46,234,2877,12.29,1501,6.41,267307,1142.34,24971,106.71,0,0.00,209,0.89
47,258,19244,74.59,10419,40.38,668319,2590.38,221157,857.20,0,0.00,10,0.04
48,50,2380,47.60,1477,29.54,45354,907.08,15202,304.04,0,0.00,48,0.96
49,170,4467,26.28,2548,14.99,131443,773.19,131584,774.02,0,0.00,137,0.81
50,149,2777,18.64,1543,10.36,70739,474.76,17113,114.85,0,0.00,5,0.03
51,142,8996,63.35,3817,26.88,122617,863.50,176704,1244.39,0,0.00,126,0.89
52,76,4407,57.99,1770,23.29,41728,549.05,14924,196.37,0,0.00,31,0.41
53,165,6350,38.48,3011,18.25,170140,1031.15,223926,1357.13,0,0.00,6,0.04
54,214,5843,27.30,2834,13.24,85396,399.05,44148,206.30,0,0.00,45,0.21
55,89,3060,34.38,1516,17.03,108752,1221.93,140139,1574.60,0,0.00,97,1.09
56,104,2581,24.82,1280,12.31,104397,1003.82,23912,229.92,0,0.00,14,0.13
57,190,9946,52.35,5016,26.40,228628,1203.31,472756,2488.19,0,0.00,60,0.32
58,8,446,55.75,188,23.50,6915,864.38,13580,1697.50,0,0.00,1,0.12
59,116,5735,49.44,2316,19.97,117799,1015.51,197526,1702.81,0,0.00,44,0.38
60,329,3527,10.72,1815,5.52,403661,1226.93,81616,248.07,0,0.00,2071,6.29
61,142,4675,32.92,2393,16.85,144731,1019.23,180411,1270.50,0,0.00,165,1.16
62,85,1199,14.11,415,4.88,34897,410.55,5959,70.11,0,0.00,193,2.27
63,241,11586,48.07,5997,24.88,313464,1300.68,677091,2809.51,0,0.00,116,0.48
64,48,1644,34.25,544,11.33,59527,1240.15,39189,816.44,0,0.00,14,0.29
65,184,10815,58.78,5613,30.51,256884,1396.11,678230,3686.03,60,0.33,56,0.30
66,167,2615,15.66,3791,22.70,142115,850.99,21992,131.69,0,0.00,0,0.00
67,77,3716,48.26,1974,25.64,115596,1501.25,204494,2655.77,380,4.94,74,0.96
68,18,682,37.89,328,18.22,12731,707.28,8008,444.89,0,0.00,5,0.28
69,59,3007,50.97,1556,26.37,81708,1384.88,180942,3066.81,66,1.12,1,0.02
70,71,900,12.68,854,12.03,52288,736.45,17088,240.68,1997,28.13,308,4.34
71,203,12869,63.39,6548,32.26,309004,1522.19,890226,4385.35,622,3.06,38,0.19
72,28,1021,36.46,835,29.82,16605,593.04,12629,451.04,65,2.32,13,0.46
73,94,5066,53.89,2446,26.02,144419,1536.37,340469,3622.01,337,3.59,10,0.11
74,17,551,32.41,276,16.24,23165,1362.65,16267,956.88,0,0.00,4,0.24
75,353,25512,72.27,13068,37.02,612245,1734.41,1914954,5424.80,784,2.22,25,0.07
76,45,1554,34.53,782,17.38,70200,1560.00,58175,1292.78,137,3.04,205,4.56
77,55,2882,52.40,1456,26.47,85402,1552.76,137253,2495.51,0,0.00,2,0.04
78,43,1949,45.33,1069,24.86,49610,1153.72,69482,1615.86,0,0.00,40,0.93
79,161,12272,76.22,6272,38.96,290608,1805.02,969260,6020.25,275,1.71,0,0.00
80,17,589,34.65,291,17.12,53123,3124.88,32724,1924.94,0,0.00,476,28.00
81,103,3193,31.00,1652,16.04,102475,994.90,241335,2343.06,4371,42.44,542,5.26
82,16,737,46.06,332,20.75,21600,1350.00,38407,2400.44,345,21.56,32,2.00
83,42,2422,57.67,1161,27.64,85570,2037.38,179473,4273.17,0,0.00,94,2.24
84,38,1345,35.39,858,22.58,28861,759.50,23355,614.61,438,11.53,79,2.08
85,33,2543,77.06,1253,37.97,63509,1924.52,173788,5266.30,124,3.76,7,0.21
86,5,216,43.20,114,22.80,8985,1797.00,13606,2721.20,30,6.00,0,0.00
87,39,2926,75.03,1520,38.97,80743,2070.33,246902,6330.82,149,3.82,16,0.41
88,8,479,59.88,193,24.12,15227,1903.38,26209,3276.12,69,8.62,2,0.25
89,27,2047,75.81,957,35.44,46959,1739.22,184266,6824.67,0,0.00,0,0.00
90,34,1730,50.88,1031,30.32,28489,837.91,14378,422.88,327,9.62,39,1.15
91,32,2696,84.25,1412,44.12,65913,2059.78,231373,7230.41,220,6.88,2,0.06
92,22,2126,96.64,1798,81.73,19773,898.77,15934,724.27,0,0.00,0,0.00
93,72,5314,73.81,2594,36.03,145577,2021.90,465519,6465.54,84,1.17,1,0.01
94,6,127,21.17,46,7.67,6434,1072.33,2289,381.50,178,29.67,9,1.50
95,10,625,62.50,309,30.90,18917,1891.70,47428,4742.80,44,4.40,3,0.30
96,48,1408,29.33,1054,21.96,170306,3548.04,5070,105.62,1353,28.19,153,3.19
97,46,3620,78.70,1801,39.15,112166,2438.39,343173,7460.28,272,5.91,16,0.35
98,12,206,17.17,60,5.00,34818,2901.50,2250,187.50,118,9.83,135,11.25
99,26,1023,39.35,382,14.69,67463,2594.73,57735,2220.58,625,24.04,34,1.31
100,17,423,24.88,126,7.41,22410,1318.24,8087,475.71,530,31.18,33,1.94
101,14,777,55.50,269,19.21,32909,2350.64,69383,4955.93,102,7.29,78,5.57
102,57,2447,42.93,1247,21.88,83449,1464.02,73385,1287.46,725,12.72,144,2.53
103,27,1751,64.85,804,29.78,61452,2276.00,148466,5498.74,66,2.44,5,0.19
104,12,480,40.00,193,16.08,49896,4158.00,19353,1612.75,38,3.17,10,0.83
105,74,4870,65.81,2188,29.57,99098,1339.16,379181,5124.07,165,2.23,210,2.84
106,5,1694,338.80,121,24.20,44678,8935.60,40615,8123.00,55,11.00,0,0.00
107,28,2400,85.71,1177,42.04,66543,2376.54,237982,8499.36,134,4.79,0,0.00
108,20,1091,54.55,490,24.50,26816,1340.80,46583,2329.15,283,14.15,12,0.60
109,16,1022,63.88,479,29.94,27912,1744.50,83481,5217.56,63,3.94,0,0.00
110,5,167,33.40,64,12.80,17520,3504.00,2396,479.20,73,14.60,9,1.80
111,4,266,66.50,128,32.00,7853,1963.25,28583,7145.75,0,0.00,0,0.00
112,1,101,101.00,48,48.00,824,824.00,3265,3265.00,0,0.00,0,0.00
113,67,2553,38.10,637,9.51,230179,3435.51,107213,1600.19,288,4.30,1,0.01
114,49,2041,41.65,1153,23.53,78497,1601.98,26852,548.00,39,0.80,14,0.29
115,89,2209,24.82,733,8.24,162971,1831.13,163250,1834.27,619,6.96,721,8.10
116,20,1177,58.85,365,18.25,93782,4689.10,46792,2339.60,257,12.85,109,5.45
117,43,2239,52.07,958,22.28,150960,3510.70,139192,3237.02,112,2.60,7,0.16
118,10,372,37.20,122,12.20,21452,2145.20,20527,2052.70,102,10.20,60,6.00
119,9,921,102.33,547,60.78,47652,5294.67,34860,3873.33,0,0.00,0,0.00
120,15,716,47.73,192,12.80,28915,1927.67,22456,1497.07,726,48.40,26,1.73
121,9,1080,120.00,549,61.00,25038,2782.00,137547,15283.00,0,0.00,0,0.00
122,37,992,26.81,353,9.54,77032,2081.95,17353,469.00,164,4.43,71,1.92
123,26,938,36.08,246,9.46,98362,3783.15,71268,2741.08,867,33.35,298,11.46
124,13,574,44.15,110,8.46,26260,2020.00,19629,1509.92,302,23.23,4,0.31
125,30,1649,54.97,753,25.10,111628,3720.93,122053,4068.43,96,3.20,5,0.17
126,11,774,70.36,359,32.64,20153,1832.09,24098,2190.73,181,16.45,58,5.27
127,16,969,60.56,379,23.69,46008,2875.50,74343,4646.44,255,15.94,0,0.00
129,13,263,20.23,91,7.00,13988,1076.00,4124,317.23,1153,88.69,90,6.92
130,9,250,27.78,169,18.78,36320,4035.56,4200,466.67,123,13.67,9,1.00
131,1,18,18.00,19,19.00,126,126.00,0,0.00,0,0.00,1,1.00
132,19,663,34.89,347,18.26,38309,2016.26,16937,891.42,400,21.05,15,0.79
133,5,186,37.20,80,16.00,12679,2535.80,7524,1504.80,0,0.00,35,7.00
134,4,151,37.75,45,11.25,11810,2952.50,5087,1271.75,0,0.00,0,0.00
135,2,50,25.00,35,17.50,2073,1036.50,203,101.50,64,32.00,1,0.50
136,1,66,66.00,6,6.00,835,835.00,1860,1860.00,0,0.00,0,0.00
137,11,515,46.82,155,14.09,42548,3868.00,26192,2381.09,0,0.00,0,0.00
138,36,2856,79.33,1974,54.83,62058,1723.83,19314,536.50,0,0.00,0,0.00
139,3,134,44.67,71,23.67,11871,3957.00,3810,1270.00,0,0.00,0,0.00
140,2,204,102.00,76,38.00,3920,1960.00,6312,3156.00,0,0.00,0,0.00
141,11,1218,110.73,685,62.27,25032,2275.64,25740,2340.00,121,11.00,0,0.00
142,1,53,53.00,15,15.00,3526,3526.00,4733,4733.00,0,0.00,0,0.00
143,6,221,36.83,81,13.50,15441,2573.50,13482,2247.00,124,20.67,5,0.83
144,34,1218,35.82,486,14.29,86714,2550.41,21770,640.29,0,0.00,0,0.00
145,2,15,7.50,6,3.00,3615,1807.50,265,132.50,86,43.00,2,1.00
147,17,870,51.18,399,23.47,47987,2822.76,43050,2532.35,0,0.00,0,0.00
148,5,258,51.60,126,25.20,18285,3657.00,7361,1472.20,156,31.20,2,0.40
149,2,115,57.50,38,19.00,7211,3605.50,5851,2925.50,0,0.00,0,0.00
150,9,1008,112.00,636,70.67,10164,1129.33,11772,1308.00,0,0.00,6,0.67
151,7,206,29.43,87,12.43,36027,5146.71,6714,959.14,149,21.29,1,0.14
152,2,175,87.50,155,77.50,7758,3879.00,1364,682.00,115,57.50,40,20.00
153,12,457,38.08,109,9.08,40007,3333.92,20185,1682.08,110,9.17,7,0.58
154,7,398,56.86,115,16.43,20231,2890.14,17464,2494.86,0,0.00,0,0.00
155,3,264,88.00,69,23.00,11881,3960.33,10255,3418.33,440,146.67,0,0.00
156,6,312,52.00,102,17.00,32016,5336.00,3750,625.00,0,0.00,0,0.00
157,11,539,49.00,187,17.00,35970,3270.00,35805,3255.00,0,0.00,0,0.00
160,2,79,39.50,22,11.00,6498,3249.00,3560,1780.00,0,0.00,0,0.00
161,5,62,12.40,83,16.60,15272,3054.40,4219,843.80,528,105.60,22,4.40
162,66,2866,43.42,1120,16.97,232004,3515.21,81555,1235.68,339,5.14,0,0.00
163,4,187,46.75,59,14.75,14447,3611.75,12592,3148.00,0,0.00,0,0.00
164,9,692,76.89,396,44.00,26845,2982.78,19082,2120.22,162,18.00,5,0.56
165,8,1366,170.75,656,82.00,39152,4894.00,9810,1226.25,616,77.00,40,5.00
166,40,945,23.62,205,5.12,59085,1477.12,1872,46.80,6396,159.90,39,0.97
167,2,157,78.50,27,13.50,3353,1676.50,48,24.00,164,82.00,1,0.50
168,34,250,7.35,239,7.03,31594,929.24,3072,90.35,164,4.82,33,0.97
169,9,332,36.89,155,17.22,17182,1909.11,9084,1009.33,562,62.44,6,0.67
171,7,62,8.86,78,11.14,3991,570.14,183,26.14,80,11.43,6,0.86
172,13,602,46.31,248,19.08,56270,4328.46,12071,928.54,171,13.15,5,0.38
173,2,107,53.50,35,17.50,7412,3706.00,1592,796.00,0,0.00,0,0.00
174,21,1988,94.67,446,21.24,172446,8211.71,40332,1920.57,0,0.00,0,0.00
175,2,98,49.00,9,4.50,6486,3243.00,3804,1902.00,0,0.00,12,6.00
176,1,176,176.00,176,176.00,0,0.00,0,0.00,0,0.00,0,0.00
177,2,93,46.50,11,5.50,1139,569.50,2110,1055.00,0,0.00,0,0.00
178,31,718,23.16,116,3.74,301353,9721.06,49527,1597.65,4143,133.65,1200,38.71
179,5,810,162.00,640,128.00,30650,6130.00,26510,5302.00,264,52.80,80,16.00
180,4,111,27.75,39,9.75,16336,4084.00,5162,1290.50,345,86.25,21,5.25
181,8,221,27.62,51,6.38,66843,8355.38,11538,1442.25,1009,126.12,240,30.00
182,1,12,12.00,6,6.00,3910,3910.00,1262,1262.00,123,123.00,2,2.00
183,4,345,86.25,153,38.25,12469,3117.25,16205,4051.25,108,27.00,0,0.00
184,4,303,75.75,118,29.50,18174,4543.50,3579,894.75,56,14.00,0,0.00
186,16,1108,69.25,245,15.31,66008,4125.50,29265,1829.06,442,27.62,80,5.00
188,5,294,58.80,108,21.60,25424,5084.80,5607,1121.40,155,31.00,0,0.00
189,4,449,112.25,76,19.00,8431,2107.75,9104,2276.00,130,32.50,7,1.75
191,3,104,34.67,41,13.67,14991,4997.00,3477,1159.00,330,110.00,1,0.33
192,7,241,34.43,104,14.86,39516,5645.14,7074,1010.57,0,0.00,12,1.71
194,6,84,14.00,42,7.00,17783,2963.83,2132,355.33,680,113.33,51,8.50
195,3,86,28.67,34,11.33,12132,4044.00,1012,337.33,133,44.33,12,4.00
196,1,0,0.00,6,6.00,1440,1440.00,174,174.00,114,114.00,1,1.00
197,6,478,79.67,111,18.50,17202,2867.00,16573,2762.17,372,62.00,3,0.50
198,9,876,97.33,390,43.33,32772,3641.33,18510,2056.67,0,0.00,0,0.00
199,2,49,24.50,9,4.50,19536,9768.00,2387,1193.50,286,143.00,53,26.50
201,6,483,80.50,268,44.67,18373,3062.17,14351,2391.83,0,0.00,6,1.00
202,12,1740,145.00,720,60.00,78146,6512.17,97731,8144.25,1943,161.92,0,0.00
203,1,4,4.00,3,3.00,5247,5247.00,817,817.00,106,106.00,2,2.00
204,24,1097,45.71,423,17.62,181386,7557.75,29253,1218.88,3121,130.04,210,8.75
205,33,1457,44.15,333,10.09,160580,4866.06,34093,1033.12,2651,80.33,136,4.12
207,14,3581,255.79,1574,112.43,46289,3306.36,14806,1057.57,1065,76.07,34,2.43
208,26,1202,46.23,561,21.58,50492,1942.00,13113,504.35,851,32.73,228,8.77
209,3,430,143.33,215,71.67,1982,660.67,90,30.00,0,0.00,22,7.33
210,4,869,217.25,436,109.00,13216,3304.00,13532,3383.00,89,22.25,0,0.00
211,2,68,34.00,39,19.50,4520,2260.00,4509,2254.50,196,98.00,8,4.00
212,4,194,48.50,85,21.25,28470,7117.50,5141,1285.25,463,115.75,30,7.50
213,4,272,68.00,43,10.75,6955,1738.75,7268,1817.00,89,22.25,1,0.25
214,4,385,96.25,254,63.50,34187,8546.75,9968,2492.00,543,135.75,30,7.50
215,2,103,51.50,87,43.50,9472,4736.00,1281,640.50,396,198.00,11,5.50
216,4,354,88.50,259,64.75,6703,1675.75,3438,859.50,180,45.00,5,1.25
220,3,110,36.67,22,7.33,25464,8488.00,5719,1906.33,0,0.00,4,1.33
222,6,686,114.33,346,57.67,32070,5345.00,18032,3005.33,204,34.00,10,1.67
223,2,68,34.00,2,1.00,27531,13765.50,3739,1869.50,312,156.00,124,62.00
224,2,136,68.00,60,30.00,9714,4857.00,376,188.00,0,0.00,0,0.00
225,4,591,147.75,299,74.75,13211,3302.75,12704,3176.00,224,56.00,0,0.00
227,5,674,134.80,229,45.80,7825,1565.00,31440,6288.00,719,143.80,0,0.00
228,8,636,79.50,380,47.50,22333,2791.62,18523,2315.38,0,0.00,10,1.25
230,1,44,44.00,7,7.00,3938,3938.00,427,427.00,0,0.00,0,0.00
231,3,254,84.67,255,85.00,942,314.00,0,0.00,160,53.33,1,0.33
232,6,580,96.67,68,11.33,22783,3797.17,26933,4488.83,933,155.50,0,0.00
233,1,21,21.00,9,9.00,1997,1997.00,135,135.00,0,0.00,4,4.00
234,5,448,89.60,202,40.40,24768,4953.60,16124,3224.80,0,0.00,0,0.00
237,3,166,55.33,52,17.33,6987,2329.00,4436,1478.67,166,55.33,1,0.33
238,2,52,26.00,14,7.00,11214,5607.00,2815,1407.50,237,118.50,5,2.50
239,3,874,291.33,749,249.67,11448,3816.00,10102,3367.33,210,70.00,0,0.00
240,7,334,47.71,41,5.86,38780,5540.00,12402,1771.71,181,25.86,62,8.86
241,2,4,2.00,10,5.00,3796,1898.00,214,107.00,0,0.00,8,4.00
242,1,76,76.00,2,2.00,13520,13520.00,2090,2090.00,0,0.00,0,0.00
243,1,35,35.00,2,2.00,23230,23230.00,3185,3185.00,0,0.00,0,0.00
245,42,918,21.86,592,14.10,170993,4071.26,15785,375.83,440,10.48,456,10.86
246,5,385,77.00,195,39.00,23643,4728.60,10242,2048.40,0,0.00,36,7.20
247,1,17,17.00,9,9.00,1995,1995.00,124,124.00,0,0.00,4,4.00
248,3,51,17.00,28,9.33,11762,3920.67,956,318.67,0,0.00,36,12.00
249,1,121,121.00,7,7.00,1559,1559.00,4446,4446.00,0,0.00,0,0.00
251,2,36,18.00,38,19.00,310,155.00,0,0.00,182,91.00,2,1.00
252,20,576,28.80,299,14.95,48562,2428.10,14543,727.15,0,0.00,6,0.30
253,26,557,21.42,405,15.58,36642,1409.31,15740,605.38,248,9.54,12,0.46
254,3,228,76.00,94,31.33,15544,5181.33,5256,1752.00,0,0.00,0,0.00
255,1,81,81.00,33,33.00,5119,5119.00,2024,2024.00,0,0.00,0,0.00
256,33,604,18.30,262,7.94,170363,5162.52,21981,666.09,271,8.21,360,10.91
257,2,38,19.00,18,9.00,9514,4757.00,980,490.00,0,0.00,24,12.00
258,33,2615,79.24,1228,37.21,181195,5490.76,50280,1523.64,0,0.00,24,0.73
259,3,115,38.33,53,17.67,12406,4135.33,2376,792.00,113,37.67,24,8.00
260,2,119,59.50,54,27.00,16781,8390.50,6813,3406.50,181,90.50,0,0.00
261,2,254,127.00,14,7.00,3274,1637.00,9840,4920.00,0,0.00,0,0.00
264,4,454,113.50,305,76.25,10492,2623.00,4873,1218.25,0,0.00,6,1.50
265,2,43,21.50,26,13.00,10226,5113.00,836,418.00,228,114.00,1,0.50
266,1,37,37.00,7,7.00,10600,10600.00,1836,1836.00,70,70.00,0,0.00
267,2,30,15.00,8,4.00,15944,7972.00,2187,1093.50,58,29.00,11,5.50
