tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,5051,8377,1.66,8879,1.76,889457,176.10,455306,90.14,14097,2.79,4,0.00
2,214,549,2.57,581,2.71,12796,59.79,1351,6.31,0,0.00,4,0.02
3,4353,6430,1.48,5684,1.31,63630,14.62,2447,0.56,0,0.00,6,0.00
4,395,1231,3.12,1110,2.81,15124,38.29,955,2.42,0,0.00,5,0.01
5,421,1159,2.75,1250,2.97,11269,26.77,666,1.58,0,0.00,0,0.00
6,270,1261,4.67,1142,4.23,7530,27.89,551,2.04,0,0.00,1,0.00
7,274,1721,6.28,1017,3.71,13272,48.44,1884,6.88,0,0.00,2,0.01
8,163,1002,6.15,878,5.39,18225,111.81,1610,9.88,0,0.00,3,0.02
9,207,1204,5.82,1128,5.45,17541,84.74,2401,11.60,0,0.00,9,0.04
10,175,1295,7.40,1292,7.38,7419,42.39,774,4.42,0,0.00,1,0.01
11,150,1280,8.53,1055,7.03,7304,48.69,718,4.79,0,0.00,1,0.01
12,131,1507,11.50,1398,10.67,56384,430.41,5990,45.73,0,0.00,15,0.11
13,140,1478,10.56,1344,9.60,37585,268.46,4266,30.47,0,0.00,7,0.05
14,135,1595,11.81,1471,10.90,17272,127.94,1392,10.31,0,0.00,4,0.03
15,138,1517,10.99,1491,10.80,32797,237.66,3900,28.26,0,0.00,11,0.08
16,119,1278,10.74,1230,10.34,16873,141.79,1582,13.29,0,0.00,18,0.15
17,120,1409,11.74,1464,12.20,9937,82.81,990,8.25,0,0.00,0,0.00
18,109,1579,14.49,1539,14.12,14668,134.57,1543,14.16,0,0.00,9,0.08
19,177,2439,13.78,1977,11.17,28299,159.88,3653,20.64,0,0.00,0,0.00
20,101,1679,16.62,1470,14.55,17555,173.81,1465,14.50,0,0.00,13,0.13
21,121,2026,16.74,2004,16.56,12306,101.70,2849,23.55,0,0.00,1,0.01
22,98,1878,19.16,1818,18.55,79598,812.22,7094,72.39,0,0.00,17,0.17
23,107,2177,20.35,1845,17.24,32222,301.14,4290,40.09,0,0.00,23,0.21
24,112,1987,17.74,1836,16.39,21112,188.50,2083,18.60,0,0.00,1,0.01
25,170,3674,21.61,4122,24.25,50168,295.11,6737,39.63,0,0.00,13,0.08
26,132,2966,22.47,2704,20.48,48738,369.23,6320,47.88,0,0.00,24,0.18
27,150,3121,20.81,2644,17.63,56913,379.42,11333,75.55,0,0.00,28,0.19
28,130,2947,22.67,2595,19.96,17845,137.27,1680,12.92,0,0.00,13,0.10
29,105,2276,21.68,1973,18.79,24814,236.32,3883,36.98,0,0.00,4,0.04
30,92,1928,20.96,1856,20.17,65876,716.04,5401,58.71,0,0.00,8,0.09
31,97,2226,22.95,1908,19.67,13577,139.97,1102,11.36,0,0.00,0,0.00
32,103,2681,26.03,2340,22.72,15908,154.45,1191,11.56,0,0.00,10,0.10
33,128,2497,19.51,2111,16.49,46029,359.60,3749,29.29,0,0.00,2,0.02
34,120,2725,22.71,2683,22.36,33458,278.82,2299,19.16,0,0.00,8,0.07
35,100,2711,27.11,2271,22.71,34644,346.44,4400,44.00,0,0.00,14,0.14
36,114,2796,24.53,2663,23.36,18032,158.18,1552,13.61,0,0.00,5,0.04
37,98,2513,25.64,2146,21.90,25198,257.12,4538,46.31,0,0.00,13,0.13
38,86,2531,29.43,2171,25.24,19744,229.58,1797,20.90,0,0.00,3,0.03
39,90,2379,26.43,2126,23.62,17167,190.74,1636,18.18,0,0.00,6,0.07
40,95,2980,31.37,2611,27.48,18837,198.28,1311,13.80,0,0.00,11,0.12
41,95,2776,29.22,2458,25.87,23373,246.03,1556,16.38,0,0.00,2,0.02
42,127,2585,20.35,2320,18.27,23050,181.50,1840,14.49,0,0.00,12,0.09
43,94,2528,26.89,2554,27.17,28867,307.10,3665,38.99,0,0.00,8,0.09
44,82,2983,36.38,2514,30.66,95344,1162.73,8112,98.93,0,0.00,10,0.12
45,105,3376,32.15,3002,28.59,24443,232.79,4886,46.53,0,0.00,1,0.01
46,93,3093,33.26,3183,34.23,22057,237.17,2156,23.18,0,0.00,10,0.11
47,101,3215,31.83,2657,26.31,30986,306.79,3864,38.26,0,0.00,0,0.00
48,107,3836,35.85,3456,32.30,26476,247.44,3610,33.74,0,0.00,22,0.21
49,81,2786,34.40,2563,31.64,90307,1114.90,7979,98.51,0,0.00,10,0.12
50,81,3542,43.73,2937,36.26,19064,235.36,1991,24.58,0,0.00,13,0.16
51,85,2801,32.95,2430,28.59,90354,1062.99,14569,171.40,0,0.00,45,0.53
52,75,2868,38.24,2223,29.64,101329,1351.05,10003,133.37,0,0.00,14,0.19
53,89,3828,43.01,2929,32.91,25597,287.61,2790,31.35,0,0.00,14,0.16
54,81,3036,37.48,2810,34.69,21081,260.26,2361,29.15,0,0.00,2,0.02
55,83,3432,41.35,2967,35.75,69508,837.45,7309,88.06,0,0.00,11,0.13
56,74,3169,42.82,2664,36.00,29902,404.08,4508,60.92,0,0.00,11,0.15
57,74,3434,46.41,2975,40.20,60219,813.77,4706,63.59,0,0.00,32,0.43
58,84,2971,35.37,2789,33.20,27929,332.49,2586,30.79,0,0.00,0,0.00
59,60,2647,44.12,2133,35.55,21212,353.53,2015,33.58,0,0.00,5,0.08
60,82,3258,39.73,2784,33.95,34186,416.90,4223,51.50,0,0.00,19,0.23
61,66,3139,47.56,2834,42.94,17793,269.59,1398,21.18,0,0.00,1,0.02
62,58,2295,39.57,2263,39.02,20686,356.66,1826,31.48,0,0.00,26,0.45
63,65,2789,42.91,2129,32.75,30383,467.43,6355,97.77,0,0.00,0,0.00
64,70,3984,56.91,2909,41.56,200817,2868.81,17811,254.44,0,0.00,29,0.41
65,53,1982,37.40,1815,34.25,23409,441.68,3391,63.98,0,0.00,4,0.08
66,67,3129,46.70,3155,47.09,22411,334.49,2454,36.63,0,0.00,5,0.07
