tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13329,21983,1.65,23671,1.78,2869994,215.32,1132545,84.97,32112,2.41,17,0.00
2,170,367,2.16,357,2.10,592,3.48,70,0.41,0,0.00,0,0.00
3,13040,18694,1.43,16466,1.26,157488,12.08,3700,0.28,0,0.00,34,0.00
4,278,997,3.59,543,1.95,6077,21.86,23,0.08,0,0.00,6,0.02
5,1153,2519,2.18,2286,1.98,36901,32.00,3154,2.74,0,0.00,0,0.00
6,60,201,3.35,183,3.05,1821,30.35,139,2.32,0,0.00,0,0.00
7,406,2481,6.11,908,2.24,21025,51.79,4598,11.33,0,0.00,0,0.00
8,61,260,4.26,240,3.93,3032,49.70,133,2.18,0,0.00,4,0.07
9,313,1361,4.35,667,2.13,18856,60.24,7643,24.42,0,0.00,0,0.00
10,40,203,5.08,151,3.77,2696,67.40,297,7.42,0,0.00,10,0.25
11,228,662,2.90,889,3.90,28701,125.88,2044,8.96,0,0.00,0,0.00
12,41,337,8.22,263,6.41,2629,64.12,699,17.05,0,0.00,0,0.00
13,51,339,6.65,202,3.96,6210,121.76,1603,31.43,0,0.00,0,0.00
14,26,253,9.73,241,9.27,2552,98.15,88,3.38,0,0.00,1,0.04
15,62,544,8.77,315,5.08,5133,82.79,3171,51.15,0,0.00,0,0.00
16,39,352,9.03,324,8.31,5490,140.77,259,6.64,0,0.00,1,0.03
17,98,438,4.47,233,2.38,9749,99.48,3212,32.78,0,0.00,57,0.58
18,8,44,5.50,30,3.75,2090,261.25,160,20.00,0,0.00,1,0.12
19,70,494,7.06,247,3.53,17350,247.86,5262,75.17,0,0.00,5,0.07
20,8,55,6.88,38,4.75,1323,165.38,202,25.25,0,0.00,4,0.50
21,20,247,12.35,114,5.70,3640,182.00,2911,145.55,0,0.00,0,0.00
22,14,43,3.07,43,3.07,2598,185.57,202,14.43,0,0.00,1,0.07
23,70,1158,16.54,874,12.49,16189,231.27,5555,79.36,0,0.00,0,0.00
24,36,208,5.78,111,3.08,15204,422.33,2209,61.36,0,0.00,7,0.19
25,21,306,14.57,149,7.10,6934,330.19,4362,207.71,0,0.00,2,0.10
26,11,87,7.91,33,3.00,10246,931.45,1003,91.18,0,0.00,0,0.00
27,60,583,9.72,240,4.00,27327,455.45,9236,153.93,0,0.00,0,0.00
28,3,31,10.33,13,4.33,1270,423.33,644,214.67,0,0.00,0,0.00
29,43,701,16.30,132,3.07,55871,1299.33,14569,338.81,0,0.00,0,0.00
30,3,29,9.67,12,4.00,1051,350.33,453,151.00,0,0.00,4,1.33
31,22,289,13.14,37,1.68,8517,387.14,7048,320.36,0,0.00,0,0.00
32,6,40,6.67,11,1.83,3321,553.50,782,130.33,0,0.00,2,0.33
33,19,252,13.26,101,5.32,10364,545.47,4872,256.42,0,0.00,0,0.00
34,4,51,12.75,12,3.00,1701,425.25,933,233.25,0,0.00,1,0.25
35,8,155,19.38,60,7.50,3847,480.88,4770,596.25,0,0.00,2,0.25
36,5,102,20.40,80,16.00,1734,346.80,644,128.80,0,0.00,0,0.00
37,15,308,20.53,174,11.60,8948,596.53,5577,371.80,0,0.00,0,0.00
38,1,17,17.00,1,1.00,404,404.00,544,544.00,0,0.00,0,0.00
39,7,80,11.43,35,5.00,4825,689.29,2324,332.00,0,0.00,1,0.14
40,8,70,8.75,8,1.00,5698,712.25,1399,174.88,0,0.00,0,0.00
41,7,129,18.43,53,7.57,6508,929.71,2496,356.57,0,0.00,0,0.00
42,75,119,1.59,148,1.97,13469,179.59,1674,22.32,0,0.00,2,0.03
