tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1896,2958,1.56,2955,1.56,70573,37.22,7192,3.79,264,0.14,14,0.01
2,743,2020,2.72,2161,2.91,162585,218.82,14646,19.71,1120,1.51,13,0.02
3,10834,50310,4.64,53183,4.91,3428859,316.49,1751783,161.69,62817,5.80,25,0.00
4,427,1220,2.86,1169,2.74,31282,73.26,2602,6.09,0,0.00,11,0.03
5,437,1220,2.79,1106,2.53,12024,27.51,905,2.07,0,0.00,0,0.00
6,8230,78961,9.59,85324,10.37,10484775,1273.97,4091050,497.09,116892,14.20,61,0.01
7,242,987,4.08,837,3.46,10218,42.22,1272,5.26,0,0.00,0,0.00
8,200,826,4.13,696,3.48,11526,57.63,885,4.42,0,0.00,1,0.01
9,9051,38055,4.20,32253,3.56,326629,36.09,8302,0.92,0,0.00,6,0.00
10,213,905,4.25,728,3.42,15122,71.00,1417,6.65,0,0.00,30,0.14
11,112,493,4.40,382,3.41,38032,339.57,2824,25.21,288,2.57,15,0.13
12,479,5443,11.36,3964,8.28,1419378,2963.21,1229804,2567.44,32487,67.82,3,0.01
13,71,457,6.44,327,4.61,7296,102.76,1137,16.01,0,0.00,4,0.06
14,90,529,5.88,378,4.20,10595,117.72,1202,13.36,0,0.00,6,0.07
15,365,2091,5.73,2350,6.44,34958,95.78,1943,5.32,0,0.00,0,0.00
16,82,409,4.99,281,3.43,14097,171.91,845,10.30,0,0.00,5,0.06
17,45,242,5.38,183,4.07,8324,184.98,534,11.87,0,0.00,0,0.00
18,8094,69841,8.63,62403,7.71,598425,73.93,16676,2.06,0,0.00,195,0.02
19,39,306,7.85,211,5.41,7281,186.69,1015,26.03,0,0.00,0,0.00
20,34,193,5.68,139,4.09,6507,191.38,405,11.91,0,0.00,8,0.24
21,203,5407,26.64,1407,6.93,38723,190.75,5445,26.82,0,0.00,0,0.00
22,28,121,4.32,94,3.36,5917,211.32,297,10.61,0,0.00,0,0.00
23,31,195,6.29,70,2.26,6552,211.35,1808,58.32,0,0.00,1,0.03
24,232,4238,18.27,2663,11.48,30890,133.15,2512,10.83,0,0.00,18,0.08
25,14,106,7.57,98,7.00,10909,779.21,455,32.50,0,0.00,2,0.14
26,21,149,7.10,88,4.19,6640,316.19,664,31.62,0,0.00,0,0.00
27,73,1035,14.18,610,8.36,13810,189.18,4049,55.47,0,0.00,0,0.00
28,11,70,6.36,41,3.73,4039,367.18,369,33.55,0,0.00,5,0.45
29,12,150,12.50,67,5.58,3462,288.50,1790,149.17,0,0.00,0,0.00
30,896,12171,13.58,10479,11.70,173797,193.97,17503,19.53,0,0.00,16,0.02
31,7,72,10.29,36,5.14,3286,469.43,358,51.14,0,0.00,0,0.00
32,14,162,11.57,143,10.21,6405,457.50,623,44.50,0,0.00,3,0.21
33,35,539,15.40,473,13.51,8307,237.34,926,26.46,0,0.00,1,0.03
34,3,17,5.67,13,4.33,1139,379.67,48,16.00,0,0.00,0,0.00
35,5,19,3.80,20,4.00,2889,577.80,107,21.40,0,0.00,2,0.40
36,72,1397,19.40,1179,16.38,13713,190.46,2009,27.90,0,0.00,4,0.06
37,9,88,9.78,41,4.56,5098,566.44,812,90.22,0,0.00,0,0.00
38,5,54,10.80,28,5.60,2617,523.40,605,121.00,0,0.00,4,0.80
39,35,777,22.20,534,15.26,13116,374.74,3225,92.14,0,0.00,4,0.11
40,13,99,7.62,32,2.46,9587,737.46,934,71.85,0,0.00,0,0.00
41,4,39,9.75,14,3.50,3214,803.50,237,59.25,0,0.00,0,0.00
42,276,8881,32.18,3834,13.89,79719,288.84,20166,73.07,0,0.00,0,0.00
43,2,18,9.00,12,6.00,1063,531.50,85,42.50,0,0.00,1,0.50
44,8,44,5.50,30,3.75,4105,513.12,497,62.12,0,0.00,2,0.25
45,36,1142,31.72,920,25.56,9840,273.33,4532,125.89,0,0.00,0,0.00
46,14,146,10.43,80,5.71,9574,683.86,2799,199.93,0,0.00,6,0.43
47,3,9,3.00,3,1.00,1380,460.00,225,75.00,0,0.00,0,0.00
48,60,1829,30.48,1573,26.22,15286,254.77,2300,38.33,0,0.00,24,0.40
49,2,19,9.50,8,4.00,849,424.50,83,41.50,0,0.00,0,0.00
50,3,35,11.67,7,2.33,3196,1065.33,833,277.67,0,0.00,0,0.00
51,28,816,29.14,425,15.18,12782,456.50,6237,222.75,0,0.00,2,0.07
52,3,22,7.33,8,2.67,2830,943.33,832,277.33,0,0.00,0,0.00
53,4,58,14.50,28,7.00,5037,1259.25,383,95.75,0,0.00,0,0.00
54,216,5446,25.21,2734,12.66,74136,343.22,36596,169.43,0,0.00,0,0.00
56,1,10,10.00,4,4.00,712,712.00,2,2.00,0,0.00,2,2.00
57,38,877,23.08,436,11.47,32177,846.76,9810,258.16,0,0.00,0,0.00
58,1,13,13.00,3,3.00,622,622.00,93,93.00,0,0.00,0,0.00
59,4,55,13.75,39,9.75,3988,997.00,712,178.00,0,0.00,0,0.00
60,63,1523,24.17,954,15.14,33902,538.13,8391,133.19,0,0.00,27,0.43
61,2,15,7.50,6,3.00,1961,980.50,324,162.00,0,0.00,0,0.00
62,2,9,4.50,7,3.50,122,61.00,0,0.00,0,0.00,2,1.00
63,13,438,33.69,215,16.54,6835,525.77,5590,430.00,0,0.00,1,0.08
64,2,8,4.00,5,2.50,1856,928.00,364,182.00,0,0.00,0,0.00
65,1,13,13.00,7,7.00,1028,1028.00,81,81.00,0,0.00,8,8.00
66,201,3062,15.23,4461,22.19,160651,799.26,12410,61.74,0,0.00,0,0.00
67,1,22,22.00,8,8.00,1353,1353.00,573,573.00,0,0.00,0,0.00
69,35,2119,60.54,1739,49.69,25592,731.20,6936,198.17,0,0.00,0,0.00
70,7,87,12.43,53,7.57,10400,1485.71,874,124.86,0,0.00,4,0.57
72,28,1301,46.46,1045,37.32,17607,628.82,3678,131.36,0,0.00,4,0.14
74,2,43,21.50,36,18.00,2266,1133.00,166,83.00,0,0.00,0,0.00
75,8,352,44.00,110,13.75,6893,861.62,6737,842.12,0,0.00,0,0.00
78,42,1581,37.64,846,20.14,49095,1168.93,11248,267.81,0,0.00,0,0.00
80,1,14,14.00,2,2.00,1608,1608.00,152,152.00,0,0.00,0,0.00
81,21,774,36.86,261,12.43,25710,1224.29,11883,565.86,0,0.00,0,0.00
82,1,14,14.00,7,7.00,2234,2234.00,186,186.00,0,0.00,0,0.00
83,1,17,17.00,4,4.00,1624,1624.00,154,154.00,0,0.00,0,0.00
84,26,936,36.00,753,28.96,15306,588.69,4704,180.92,0,0.00,18,0.69
85,6,16,2.67,13,2.17,3786,631.00,300,50.00,0,0.00,12,2.00
87,33,1734,52.55,387,11.73,156060,4729.09,35013,1061.00,0,0.00,0,0.00
89,6,18,3.00,18,3.00,4026,671.00,300,50.00,0,0.00,12,2.00
90,35,1946,55.60,1148,32.80,19244,549.83,13796,394.17,0,0.00,0,0.00
92,2,18,9.00,6,3.00,2460,1230.00,154,77.00,0,0.00,6,3.00
93,4,180,45.00,12,3.00,2316,579.00,4872,1218.00,0,0.00,0,0.00
95,1,3,3.00,4,4.00,402,402.00,2,2.00,0,0.00,6,6.00
96,17,1239,72.88,870,51.18,6219,365.82,9861,580.06,0,0.00,0,0.00
99,14,492,35.14,186,13.29,24204,1728.86,7506,536.14,0,0.00,0,0.00
