tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2288,3287,1.44,3442,1.50,3184,1.39,498,0.22,0,0.00,6,0.00
2,4409,14185,3.22,15123,3.43,1738975,394.41,989214,224.36,31636,7.18,33,0.01
3,5335,21921,4.11,22890,4.29,1091808,204.65,269578,50.53,14979,2.81,16,0.00
4,1531,5453,3.56,5289,3.45,66184,43.23,6294,4.11,0,0.00,12,0.01
5,1424,5934,4.17,5805,4.08,56499,39.68,4475,3.14,0,0.00,18,0.01
6,6927,46027,6.64,48009,6.93,5149002,743.32,2952812,426.28,94908,13.70,48,0.01
7,8156,86306,10.58,92468,11.34,5054121,619.68,1256614,154.07,70190,8.61,57,0.01
8,1081,8320,7.70,7331,6.78,321349,297.27,26461,24.48,2304,2.13,35,0.03
9,3673,28106,7.65,25964,7.07,121940,33.20,6464,1.76,0,0.00,3,0.00
10,1120,10798,9.64,9554,8.53,182870,163.28,18045,16.11,576,0.51,37,0.03
11,750,7650,10.20,6643,8.86,84938,113.25,8763,11.68,288,0.38,26,0.03
12,946,11308,11.95,9722,10.28,211105,223.16,19451,20.56,897,0.95,55,0.06
13,959,12623,13.16,11711,12.21,3435754,3582.64,2818619,2939.12,75775,79.01,63,0.07
14,797,11123,13.96,9919,12.45,177175,222.30,16761,21.03,1152,1.45,77,0.10
15,606,7689,12.69,6519,10.76,82454,136.06,8946,14.76,0,0.00,34,0.06
16,1266,15569,12.30,14718,11.63,87073,68.78,6181,4.88,0,0.00,29,0.02
17,382,5368,14.05,4077,10.67,56367,147.56,7090,18.56,0,0.00,26,0.07
18,2317,20364,8.79,18065,7.80,185202,79.93,9042,3.90,0,0.00,48,0.02
19,321,3349,10.43,2817,8.78,131829,410.68,10948,34.11,864,2.69,59,0.18
20,1082,13417,12.40,12693,11.73,102696,94.91,5103,4.72,0,0.00,26,0.02
21,4134,41614,10.07,33234,8.04,1803128,436.17,1219258,294.93,32475,7.86,26,0.01
22,231,3273,14.17,2601,11.26,66803,289.19,7699,33.33,0,0.00,38,0.16
23,452,11281,24.96,10695,23.66,80014,177.02,7397,16.37,288,0.64,29,0.06
