tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,590207,1298384,2.20,782601,1.33,13907390,23.56,110991015,188.05,528542,0.90,321,0.00
2,218024,949303,4.35,600583,2.75,33730500,154.71,246933551,1132.60,1285580,5.90,326,0.00
3,296086,760680,2.57,538793,1.82,4214464,14.23,379239,1.28,11292,0.04,150,0.00
4,73547,319823,4.35,222147,3.02,3266269,44.41,14682177,199.63,91862,1.25,115,0.00
5,220999,644111,2.91,508586,2.30,9399578,42.53,2537160,11.48,71803,0.32,66,0.00
6,201888,783201,3.88,623460,3.09,14153137,70.10,49520727,245.29,261377,1.29,191,0.00
7,56945,326012,5.73,223660,3.93,4832429,84.86,17306782,303.92,109577,1.92,211,0.00
8,39350,203612,5.17,163956,4.17,4023204,102.24,16875761,428.86,98750,2.51,208,0.01
9,38543,225489,5.85,144393,3.75,2000683,51.91,120158,3.12,0,0.00,188,0.00
10,57517,210979,3.67,167866,2.92,5652404,98.27,16900206,293.83,99326,1.73,244,0.00
11,26601,186552,7.01,134288,5.05,1875117,70.49,96098,3.61,864,0.03,168,0.01
12,20271,154187,7.61,110519,5.45,1849811,91.25,69696,3.44,0,0.00,300,0.01
13,17148,155591,9.07,102097,5.95,1681423,98.05,101006,5.89,576,0.03,118,0.01
14,9129,95722,10.49,54764,6.00,894829,98.02,64233,7.04,0,0.00,266,0.03
15,18744,112686,6.01,81558,4.35,4776961,254.85,2487232,132.69,64962,3.47,120,0.01
16,10856,78507,7.23,50103,4.62,2122747,195.54,70861,6.53,0,0.00,126,0.01
17,15977,274092,17.16,263782,16.51,32494398,2033.82,11147282,697.71,304317,19.05,188,0.01
18,8424,81566,9.68,46281,5.49,2711248,321.85,1282040,152.19,32481,3.86,217,0.03
19,4348,52048,11.97,31540,7.25,821082,188.84,38295,8.81,0,0.00,49,0.01
20,6994,46512,6.65,24277,3.47,2159882,308.82,90422,12.93,288,0.04,94,0.01
21,5217,57218,10.97,35962,6.89,1166692,223.63,114137,21.88,576,0.11,191,0.04
22,2457,27737,11.29,17003,6.92,652307,265.49,83648,34.04,0,0.00,316,0.13
23,2399,29616,12.35,15715,6.55,644249,268.55,58590,24.42,0,0.00,94,0.04
24,2308,31776,13.77,16189,7.01,553903,239.99,91183,39.51,0,0.00,2741,1.19
25,1658,16451,9.92,10344,6.24,505850,305.10,31691,19.11,0,0.00,127,0.08
26,2800,30308,10.82,17730,6.33,1037701,370.61,284081,101.46,0,0.00,278,0.10
27,4716,43104,9.14,20875,4.43,2722653,577.32,308633,65.44,0,0.00,341,0.07
28,1342,16094,11.99,9065,6.75,646293,481.59,103183,76.89,0,0.00,191,0.14
29,1345,16449,12.23,8860,6.59,544273,404.66,102846,76.47,0,0.00,105,0.08
30,2641,22966,8.70,14088,5.33,1336413,506.03,80872,30.62,0,0.00,169,0.06
31,1248,17467,14.00,9099,7.29,639416,512.35,103653,83.06,0,0.00,107,0.09
32,2130,20790,9.76,10108,4.75,1306696,613.47,99481,46.70,0,0.00,52,0.02
33,2491,23442,9.41,17355,6.97,1072390,430.51,75604,30.35,0,0.00,141,0.06
34,1045,12225,11.70,7568,7.24,643028,615.34,42189,40.37,0,0.00,56,0.05
35,647,8197,12.67,5257,8.13,298139,460.80,35580,54.99,0,0.00,238,0.37
36,1271,21295,16.75,11829,9.31,580523,456.75,176767,139.08,0,0.00,285,0.22
37,1797,17817,9.91,8169,4.55,1202379,669.10,87619,48.76,0,0.00,124,0.07
38,584,8441,14.45,5154,8.83,344917,590.61,43297,74.14,0,0.00,110,0.19
39,408,5513,13.51,3371,8.26,238508,584.58,39403,96.58,0,0.00,73,0.18
40,640,7779,12.15,4706,7.35,368592,575.92,40048,62.58,0,0.00,124,0.19
41,365,6160,16.88,3053,8.36,236820,648.82,56250,154.11,0,0.00,63,0.17
42,1019,19802,19.43,10076,9.89,593239,582.18,150131,147.33,0,0.00,260,0.26
43,374,7100,18.98,4321,11.55,230597,616.57,50591,135.27,0,0.00,94,0.25
44,429,5215,12.16,3018,7.03,306056,713.42,37248,86.83,0,0.00,177,0.41
45,614,5127,8.35,3702,6.03,291328,474.48,29525,48.09,0,0.00,121,0.20
46,346,6640,19.19,2982,8.62,221535,640.27,85651,247.55,0,0.00,150,0.43
47,262,4897,18.69,2589,9.88,171455,654.41,50016,190.90,0,0.00,216,0.82
48,193,3265,16.92,1849,9.58,144769,750.10,27833,144.21,0,0.00,178,0.92
49,134,3338,24.91,1664,12.42,105009,783.65,27127,202.44,0,0.00,62,0.46
50,200,4060,20.30,2501,12.51,110481,552.40,20191,100.95,0,0.00,171,0.85
51,8240,200277,24.31,177410,21.53,1825911,221.59,103953,12.62,0,0.00,632,0.08
52,373,7943,21.29,4462,11.96,321831,862.82,106716,286.10,0,0.00,320,0.86
53,2258,18721,8.29,6627,2.93,4680056,2072.66,361069,159.91,0,0.00,139,0.06
54,1371,20295,14.80,7258,5.29,1881642,1372.46,195828,142.84,0,0.00,166,0.12
55,1449,15156,10.46,7127,4.92,1536380,1060.30,87509,60.39,0,0.00,257,0.18
56,696,9579,13.76,4994,7.18,833134,1197.03,111850,160.70,0,0.00,227,0.33
57,649,10679,16.45,4675,7.20,830480,1279.63,95370,146.95,0,0.00,172,0.27
58,379,5595,14.76,2672,7.05,473710,1249.89,54342,143.38,0,0.00,163,0.43
59,520,6254,12.03,2828,5.44,877671,1687.83,80436,154.68,0,0.00,96,0.18
60,1207,6812,5.64,3982,3.30,315873,261.70,30177,25.00,0,0.00,8678,7.19
61,1141,9499,8.33,5744,5.03,374360,328.10,50567,44.32,0,0.00,7756,6.80
62,742,8762,11.81,4858,6.55,272577,367.35,97935,131.99,0,0.00,4464,6.02
63,479,5540,11.57,3016,6.30,187892,392.26,38691,80.77,0,0.00,2797,5.84
64,392,3327,8.49,2023,5.16,106785,272.41,20562,52.45,0,0.00,2716,6.93
65,275,3942,14.33,2114,7.69,102833,373.94,19402,70.55,59,0.21,1548,5.63
66,821,6562,7.99,3466,4.22,507542,618.20,46725,56.91,0,0.00,3490,4.25
67,453,6945,15.33,2759,6.09,234801,518.32,37135,81.98,0,0.00,2713,5.99
68,345,11434,33.14,6596,19.12,193861,561.92,40988,118.81,65,0.19,1012,2.93
69,511,9326,18.25,4747,9.29,455190,890.78,132197,258.70,390,0.76,1284,2.51
70,375,4770,12.72,2404,6.41,577800,1540.80,54381,145.02,133,0.35,1024,2.73
71,255,3133,12.29,1807,7.09,184744,724.49,34732,136.20,65,0.25,1278,5.01
72,355,9149,25.77,5140,14.48,383579,1080.50,139963,394.26,179,0.50,598,1.68
