tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,8703,15042,1.73,15530,1.78,520269,59.78,394049,45.28,10827,1.24,9,0.00
2,1120,3364,3.00,3727,3.33,1386,1.24,167,0.15,0,0.00,1,0.00
3,11968,44175,3.69,45164,3.77,5448482,455.25,2794062,233.46,84834,7.09,34,0.00
4,1990,8807,4.43,9399,4.72,954742,479.77,470093,236.23,14355,7.21,11,0.01
5,8701,64956,7.47,69104,7.94,6327433,727.21,1147029,131.83,49080,5.64,45,0.01
6,3161,24730,7.82,25480,8.06,625875,198.00,90549,28.65,4968,1.57,10,0.00
7,908,4852,5.34,4198,4.62,38753,42.68,4164,4.59,0,0.00,10,0.01
8,1936,18474,9.54,18769,9.69,3718729,1920.83,2182551,1127.35,63951,33.03,16,0.01
9,5580,26251,4.70,24371,4.37,210489,37.72,7774,1.39,0,0.00,8,0.00
10,1550,11901,7.68,11612,7.49,63807,41.17,4088,2.64,0,0.00,33,0.02
11,762,7796,10.23,7529,9.88,53073,69.65,4310,5.66,0,0.00,15,0.02
12,3650,53048,14.53,56831,15.57,88753,24.32,7281,1.99,0,0.00,25,0.01
13,678,6938,10.23,7242,10.68,38914,57.40,4338,6.40,0,0.00,17,0.03
14,651,7535,11.57,7515,11.54,4807729,7385.14,3892371,5979.06,108270,166.31,18,0.03
15,6583,55455,8.42,49777,7.56,359616,54.63,12244,1.86,0,0.00,11,0.00
16,845,10096,11.95,8405,9.95,60254,71.31,4124,4.88,0,0.00,22,0.03
17,951,21457,22.56,21835,22.96,40768,42.87,3710,3.90,0,0.00,10,0.01
18,2267,26859,11.85,25519,11.26,144457,63.72,4336,1.91,0,0.00,10,0.00
19,301,4050,13.46,3493,11.60,36738,122.05,4040,13.42,0,0.00,9,0.03
20,1346,25878,19.23,25374,18.85,102622,76.24,4219,3.13,0,0.00,8,0.01
21,1143,18000,15.75,15687,13.72,85823,75.09,6517,5.70,0,0.00,17,0.01
22,210,3833,18.25,3503,16.68,28346,134.98,3333,15.87,0,0.00,4,0.02
23,502,11051,22.01,10447,20.81,45131,89.90,4167,8.30,0,0.00,4,0.01
24,629,9688,15.40,8182,13.01,72241,114.85,5601,8.90,0,0.00,9,0.01
25,570,8552,15.00,8210,14.40,85413,149.85,7443,13.06,0,0.00,4,0.01
26,212,3870,18.25,3287,15.50,38497,181.59,4829,22.78,0,0.00,4,0.02
27,694,14107,20.33,13345,19.23,84291,121.46,10664,15.37,0,0.00,7,0.01
28,178,3132,17.60,2619,14.71,95041,533.94,9262,52.03,936,5.26,5,0.03
29,142,2381,16.77,1938,13.65,77181,543.53,10785,75.95,0,0.00,3,0.02
30,743,11996,16.15,10541,14.19,92891,125.02,6623,8.91,0,0.00,21,0.03
31,117,2297,19.63,1906,16.29,41325,353.21,6690,57.18,0,0.00,24,0.21
32,408,8368,20.51,7221,17.70,50663,124.17,6650,16.30,0,0.00,8,0.02
33,325,5644,17.37,4912,15.11,53240,163.82,5561,17.11,0,0.00,0,0.00
34,124,1928,15.55,1522,12.27,36274,292.53,5828,47.00,0,0.00,0,0.00
35,282,11561,41.00,5758,20.42,77887,276.20,11398,40.42,0,0.00,9,0.03
36,2089,34656,16.59,33161,15.87,303417,145.25,7684,3.68,0,0.00,24,0.01
37,230,5645,24.54,5225,22.72,5824743,25324.97,4684712,20368.31,129924,564.89,16,0.07
38,7409,470805,63.55,511158,68.99,69007663,9314.03,24578914,3317.44,672486,90.77,353,0.05
39,927,20606,22.23,15776,17.02,1580127,1704.56,1179467,1272.35,32481,35.04,13,0.01
40,431,8771,20.35,7098,16.47,5100509,11834.13,919155,2132.61,39264,91.10,36,0.08
41,369,9206,24.95,8323,22.56,61378,166.34,4043,10.96,0,0.00,5,0.01
42,143,2851,19.94,2427,16.97,31068,217.26,3369,23.56,0,0.00,0,0.00
43,85,2085,24.53,1477,17.38,32978,387.98,4592,54.02,0,0.00,1,0.01
44,96,2184,22.75,1758,18.31,26430,275.31,4525,47.14,0,0.00,2,0.02
45,593,12095,20.40,10195,17.19,123439,208.16,11800,19.90,0,0.00,1,0.00
46,74,1680,22.70,1419,19.18,30031,405.82,5065,68.45,0,0.00,17,0.23
